Period,Plant_Code,Volume,AvailableHours,LeadTimeDays
2020-W02,PL-001,2861,1912,5
2020-W03,PL-001,1955,1766,8
2020-W04,PL-001,3432,2416,52
2020-W05,PL-001,4507,2399,23
2020-W06,PL-001,5048,2370,5
2020-W07,PL-001,2179,1688,31
2020-W08,PL-001,4326,1954,18
2020-W09,PL-001,2612,1347,45
2020-W10,PL-001,3573,1545,25
2020-W11,PL-001,3789,2126,10
2020-W12,PL-001,4012,1206,23
2020-W13,PL-001,3922,1483,22
2020-W14,PL-001,5033,1854,25
2020-W15,PL-001,4411,1427,10
2020-W16,PL-001,5594,2153,13
2020-W17,PL-001,4738,1468,8
2020-W18,PL-001,2387,2441,40
2020-W19,PL-001,5345,2405,17
2020-W20,PL-001,4006,1220,9
2020-W21,PL-001,5620,2096,16
2020-W22,PL-001,4589,1927,23
2020-W23,PL-001,3962,1652,41
2020-W24,PL-001,1435,2451,58
2020-W25,PL-001,5222,1706,13
2020-W26,PL-001,1341,1436,38
2020-W27,PL-001,1624,1314,26
2020-W28,PL-001,3739,2412,50
2020-W29,PL-001,3522,2314,39
2020-W30,PL-001,5707,2112,49
2020-W31,PL-001,4978,2113,60
2020-W32,PL-001,3985,2279,60
2020-W33,PL-001,2494,1610,5
2020-W34,PL-001,4204,1660,51
2020-W35,PL-001,4337,2259,25
2020-W36,PL-001,4279,1416,33
2020-W37,PL-001,2281,1884,45
2020-W38,PL-001,1809,2118,37
2020-W39,PL-001,3532,1824,49
2020-W40,PL-001,5038,1242,19
2020-W41,PL-001,1902,1282,44
2020-W42,PL-001,2033,1266,27
2020-W43,PL-001,2134,1764,8
2020-W44,PL-001,3375,2052,22
2020-W45,PL-001,1542,1310,10
2020-W46,PL-001,3000,1836,15
2020-W47,PL-001,3393,1742,60
2020-W48,PL-001,3784,2455,11
2020-W49,PL-001,1977,1231,45
2020-W50,PL-001,3367,2475,58
2020-W51,PL-001,1469,1322,5
2020-W52,PL-001,3247,1534,40
2020-W53,PL-001,1018,2329,52
2021-W01,PL-001,1714,1331,7
2021-W02,PL-001,3474,1514,31
2021-W03,PL-001,2553,2030,39
2021-W04,PL-001,3935,2380,51
2021-W05,PL-001,4251,1721,45
2021-W06,PL-001,5571,1777,25
2021-W07,PL-001,4782,1852,9
2021-W08,PL-001,5233,2324,31
2021-W09,PL-001,4640,1667,32
