PartNumber,PartRevision,ParentPartNumber,ECN_Number,EffectivityDate,PlatformCode
MER-VEH-COMPACT-0001,B,,ECN-2022-0671,2024-02-26,COMPACT
MER-BODY-0002,A,MER-VEH-COMPACT-0001,,2024-02-19,COMPACT
MER-BODY-SHELL-0003,B,MER-BODY-0002,ECN-2024-0338,2022-12-26,COMPACT
MER-DOORS-0004,A,MER-BODY-0002,,2023-10-02,COMPACT
MER-HOOD-0005,B,MER-BODY-0002,ECN-2021-0059,2024-02-14,COMPACT
MER-BUMPER-FRONT-0006,A,MER-BODY-0002,,2021-02-27,COMPACT
MER-BUMPER-REAR-0007,A,MER-BODY-0002,ECN-2024-0379,2025-09-14,COMPACT
MER-FENDERS-0008,A,MER-BODY-0002,,2024-02-24,COMPACT
MER-CHASSIS-0009,A,MER-VEH-COMPACT-0001,,2025-03-15,COMPACT
MER-FRONT-SUSPENSION-0010,B,MER-CHASSIS-0009,ECN-2025-0611,2022-09-04,COMPACT
MER-REAR-SUSPENSION-0011,C,MER-CHASSIS-0009,ECN-2025-0710,2020-07-05,COMPACT
MER-BRAKE-SYSTEM-0012,B,MER-CHASSIS-0009,ECN-2024-0844,2020-11-16,COMPACT
MER-STEERING-SYSTEM-0013,C,MER-CHASSIS-0009,ECN-2022-0764,2023-03-29,COMPACT
MER-WHEELS-0014,B,MER-CHASSIS-0009,ECN-2025-0756,2025-08-10,COMPACT
MER-INTERIOR-0015,C,MER-VEH-COMPACT-0001,ECN-2023-0850,2024-10-26,COMPACT
MER-SEATS-0016,A,MER-INTERIOR-0015,ECN-2025-0051,2020-07-19,COMPACT
MER-DASHBOARD-0017,C,MER-INTERIOR-0015,ECN-2021-0466,2021-09-21,COMPACT
MER-CENTER-CONSOLE-0018,B,MER-INTERIOR-0015,ECN-2022-0333,2021-12-18,COMPACT
MER-DOOR-PANELS-0019,B,MER-INTERIOR-0015,ECN-2020-0344,2024-09-27,COMPACT
MER-HEADLINER-0020,A,MER-INTERIOR-0015,,2024-04-05,COMPACT
MER-ELECTRICAL-0021,C,MER-VEH-COMPACT-0001,ECN-2022-0052,2024-03-23,COMPACT
MER-WIRING-HARNESS-0022,A,MER-ELECTRICAL-0021,ECN-2023-0260,2020-08-27,COMPACT
MER-LOW-VOLTAGE-BATT-0023,B,MER-ELECTRICAL-0021,ECN-2025-0519,2020-01-17,COMPACT
MER-LIGHTING-SYSTEM-0024,A,MER-ELECTRICAL-0021,ECN-2025-0618,2021-11-26,COMPACT
MER-INFOTAINMENT-UNI-0025,A,MER-ELECTRICAL-0021,,2025-03-21,COMPACT
MER-ENGINE-0026,A,MER-VEH-COMPACT-0001,,2024-05-23,COMPACT
MER-CYLINDER-BLOCK-0027,C,MER-ENGINE-0026,ECN-2020-0007,2023-05-11,COMPACT
MER-CYLINDER-HEAD-0028,A,MER-ENGINE-0026,,2022-03-01,COMPACT
MER-CRANKSHAFT-0029,B,MER-ENGINE-0026,ECN-2021-0327,2022-10-14,COMPACT
MER-PISTONS-0030,A,MER-ENGINE-0026,,2025-12-29,COMPACT
MER-TRANSMISSION-0031,C,MER-VEH-COMPACT-0001,ECN-2025-0465,2024-10-02,COMPACT
MER-GEARBOX-HOUSING-0032,A,MER-TRANSMISSION-0031,ECN-2024-0811,2023-03-30,COMPACT
MER-CLUTCH-ASSEMBLY-0033,A,MER-TRANSMISSION-0031,ECN-2024-0285,2023-10-14,COMPACT
MER-GEAR-SET-0034,C,MER-TRANSMISSION-0031,ECN-2020-0400,2024-03-13,COMPACT
MER-FUEL-SYSTEM-0035,C,MER-VEH-COMPACT-0001,ECN-2025-0998,2024-01-26,COMPACT
MER-FUEL-TANK-0036,B,MER-FUEL-SYSTEM-0035,ECN-2023-0301,2020-12-08,COMPACT
MER-FUEL-PUMP-0037,A,MER-FUEL-SYSTEM-0035,,2023-11-23,COMPACT
MER-FUEL-INJECTOR-0038,A,MER-FUEL-SYSTEM-0035,ECN-2020-0291,2025-11-10,COMPACT
MER-EXHAUST-SYSTEM-0039,A,MER-VEH-COMPACT-0001,,2025-12-26,COMPACT
MER-CATALYTIC-CONVER-0040,C,MER-EXHAUST-SYSTEM-0039,ECN-2020-0057,2023-08-21,COMPACT
MER-MUFFLER-0041,C,MER-EXHAUST-SYSTEM-0039,ECN-2020-0980,2022-06-01,COMPACT
MER-EXHAUST-PIPE-0042,B,MER-EXHAUST-SYSTEM-0039,ECN-2021-0338,2024-02-03,COMPACT
