PartNumber,PartRevision,ParentPartNumber,ECN_Number,EffectivityDate,PlatformCode
MER-VEH-EV-0001,B,,ECN-2022-0714,2024-02-08,EV
MER-BODY-0002,B,MER-VEH-EV-0001,ECN-2024-0039,2023-03-06,EV
MER-BODY-SHELL-0003,B,MER-BODY-0002,ECN-2024-0424,2025-07-17,EV
MER-DOORS-0004,A,MER-BODY-0002,,2021-02-15,EV
MER-HOOD-0005,C,MER-BODY-0002,ECN-2024-0170,2021-09-18,EV
MER-BUMPER-FRONT-0006,B,MER-BODY-0002,ECN-2020-0959,2022-10-07,EV
MER-BUMPER-REAR-0007,A,MER-BODY-0002,ECN-2023-0519,2025-12-24,EV
MER-FENDERS-0008,B,MER-BODY-0002,ECN-2022-0053,2021-07-14,EV
MER-CHASSIS-0009,B,MER-VEH-EV-0001,ECN-2021-0068,2021-07-17,EV
MER-FRONT-SUSPENSION-0010,C,MER-CHASSIS-0009,ECN-2023-0294,2024-06-09,EV
MER-REAR-SUSPENSION-0011,B,MER-CHASSIS-0009,ECN-2020-0526,2021-04-25,EV
MER-BRAKE-SYSTEM-0012,C,MER-CHASSIS-0009,ECN-2020-0441,2025-06-16,EV
MER-STEERING-SYSTEM-0013,A,MER-CHASSIS-0009,ECN-2021-0115,2024-11-11,EV
MER-WHEELS-0014,B,MER-CHASSIS-0009,ECN-2021-0915,2021-10-05,EV
MER-INTERIOR-0015,A,MER-VEH-EV-0001,ECN-2024-0652,2021-12-29,EV
MER-SEATS-0016,A,MER-INTERIOR-0015,,2021-10-18,EV
MER-DASHBOARD-0017,B,MER-INTERIOR-0015,ECN-2022-0017,2024-10-29,EV
MER-CENTER-CONSOLE-0018,C,MER-INTERIOR-0015,ECN-2025-0209,2024-08-25,EV
MER-DOOR-PANELS-0019,B,MER-INTERIOR-0015,ECN-2024-0609,2022-02-11,EV
MER-HEADLINER-0020,C,MER-INTERIOR-0015,ECN-2020-0889,2024-10-09,EV
MER-ELECTRICAL-0021,A,MER-VEH-EV-0001,,2023-07-01,EV
MER-WIRING-HARNESS-0022,B,MER-ELECTRICAL-0021,ECN-2023-0865,2022-10-31,EV
MER-LOW-VOLTAGE-BATT-0023,B,MER-ELECTRICAL-0021,ECN-2025-0519,2025-05-07,EV
MER-LIGHTING-SYSTEM-0024,C,MER-ELECTRICAL-0021,ECN-2025-0633,2025-07-13,EV
MER-INFOTAINMENT-UNI-0025,A,MER-ELECTRICAL-0021,ECN-2020-0093,2023-09-25,EV
MER-BATTERY-PACK-0026,A,MER-VEH-EV-0001,ECN-2025-0572,2020-01-29,EV
MER-BATTERY-CELL-MOD-0027,A,MER-BATTERY-PACK-0026,ECN-2020-0478,2021-02-06,EV
MER-BATTERY-MANAGEME-0028,A,MER-BATTERY-PACK-0026,ECN-2020-0557,2025-03-08,EV
MER-BATTERY-HOUSING-0029,B,MER-BATTERY-PACK-0026,ECN-2024-0653,2022-09-10,EV
MER-ELECTRIC-MOTOR-0030,B,MER-VEH-EV-0001,ECN-2021-0034,2022-01-21,EV
MER-STATOR-0031,A,MER-ELECTRIC-MOTOR-0030,,2025-01-23,EV
MER-ROTOR-0032,A,MER-ELECTRIC-MOTOR-0030,ECN-2021-0703,2022-01-17,EV
MER-MOTOR-HOUSING-0033,A,MER-ELECTRIC-MOTOR-0030,,2023-12-26,EV
MER-POWER-ELECTRONIC-0034,B,MER-VEH-EV-0001,ECN-2025-0479,2025-05-22,EV
MER-INVERTER-0035,C,MER-POWER-ELECTRONIC-0034,ECN-2021-0476,2022-01-27,EV
MER-DC-DC-CONVERTER-0036,A,MER-POWER-ELECTRONIC-0034,,2021-09-12,EV
MER-ONBOARD-CHARGER-0037,B,MER-POWER-ELECTRONIC-0034,ECN-2020-0069,2025-03-07,EV
MER-CHARGING-SYSTEM-0038,C,MER-VEH-EV-0001,ECN-2022-0970,2020-12-17,EV
MER-CHARGE-PORT-0039,C,MER-CHARGING-SYSTEM-0038,ECN-2020-0701,2021-07-29,EV
MER-CHARGING-CABLE-0040,B,MER-CHARGING-SYSTEM-0038,ECN-2022-0974,2025-12-23,EV
