PartNumber,PartRevision,ParentPartNumber,ECN_Number,EffectivityDate,PlatformCode
MER-VEH-SUV-0001,B,,ECN-2025-0517,2023-11-06,SUV
MER-BODY-0002,A,MER-VEH-SUV-0001,,2023-02-22,SUV
MER-BODY-SHELL-0003,C,MER-BODY-0002,ECN-2025-0087,2023-05-15,SUV
MER-DOORS-0004,B,MER-BODY-0002,ECN-2020-0741,2021-05-07,SUV
MER-HOOD-0005,B,MER-BODY-0002,ECN-2020-0975,2025-04-12,SUV
MER-BUMPER-FRONT-0006,C,MER-BODY-0002,ECN-2021-0985,2025-07-08,SUV
MER-BUMPER-REAR-0007,B,MER-BODY-0002,ECN-2020-0479,2025-03-30,SUV
MER-FENDERS-0008,A,MER-BODY-0002,ECN-2020-0192,2023-10-16,SUV
MER-CHASSIS-0009,C,MER-VEH-SUV-0001,ECN-2025-0008,2024-10-12,SUV
MER-FRONT-SUSPENSION-0010,C,MER-CHASSIS-0009,ECN-2024-0721,2024-01-24,SUV
MER-REAR-SUSPENSION-0011,B,MER-CHASSIS-0009,ECN-2022-0065,2021-06-16,SUV
MER-BRAKE-SYSTEM-0012,A,MER-CHASSIS-0009,ECN-2021-0564,2023-05-27,SUV
MER-STEERING-SYSTEM-0013,B,MER-CHASSIS-0009,ECN-2020-0832,2023-05-22,SUV
MER-WHEELS-0014,B,MER-CHASSIS-0009,ECN-2023-0966,2023-02-24,SUV
MER-INTERIOR-0015,A,MER-VEH-SUV-0001,,2020-04-18,SUV
MER-SEATS-0016,B,MER-INTERIOR-0015,ECN-2021-0938,2025-06-21,SUV
MER-DASHBOARD-0017,B,MER-INTERIOR-0015,ECN-2024-0641,2021-07-29,SUV
MER-CENTER-CONSOLE-0018,B,MER-INTERIOR-0015,ECN-2024-0443,2023-09-28,SUV
MER-DOOR-PANELS-0019,B,MER-INTERIOR-0015,ECN-2025-0453,2023-05-30,SUV
MER-HEADLINER-0020,C,MER-INTERIOR-0015,ECN-2025-0809,2023-07-27,SUV
MER-ELECTRICAL-0021,A,MER-VEH-SUV-0001,,2021-04-11,SUV
MER-WIRING-HARNESS-0022,A,MER-ELECTRICAL-0021,,2024-01-07,SUV
MER-LOW-VOLTAGE-BATT-0023,A,MER-ELECTRICAL-0021,ECN-2023-0938,2025-04-03,SUV
MER-LIGHTING-SYSTEM-0024,B,MER-ELECTRICAL-0021,ECN-2022-0335,2022-01-31,SUV
MER-INFOTAINMENT-UNI-0025,C,MER-ELECTRICAL-0021,ECN-2025-0938,2025-01-25,SUV
MER-ENGINE-0026,A,MER-VEH-SUV-0001,,2025-04-07,SUV
MER-CYLINDER-BLOCK-0027,A,MER-ENGINE-0026,,2025-07-05,SUV
MER-CYLINDER-HEAD-0028,A,MER-ENGINE-0026,,2024-02-05,SUV
MER-CRANKSHAFT-0029,A,MER-ENGINE-0026,,2025-04-16,SUV
MER-PISTONS-0030,B,MER-ENGINE-0026,ECN-2021-0607,2021-04-22,SUV
MER-TRANSMISSION-0031,A,MER-VEH-SUV-0001,ECN-2025-0013,2025-09-06,SUV
MER-GEARBOX-HOUSING-0032,C,MER-TRANSMISSION-0031,ECN-2023-0851,2023-08-01,SUV
MER-CLUTCH-ASSEMBLY-0033,A,MER-TRANSMISSION-0031,,2023-01-05,SUV
MER-GEAR-SET-0034,A,MER-TRANSMISSION-0031,ECN-2025-0813,2023-07-17,SUV
MER-FUEL-SYSTEM-0035,B,MER-VEH-SUV-0001,ECN-2022-0168,2022-06-23,SUV
MER-FUEL-TANK-0036,C,MER-FUEL-SYSTEM-0035,ECN-2021-0088,2024-09-01,SUV
MER-FUEL-PUMP-0037,B,MER-FUEL-SYSTEM-0035,ECN-2024-0346,2022-09-05,SUV
MER-FUEL-INJECTOR-0038,A,MER-FUEL-SYSTEM-0035,,2023-02-17,SUV
MER-EXHAUST-SYSTEM-0039,B,MER-VEH-SUV-0001,ECN-2021-0100,2025-04-06,SUV
MER-CATALYTIC-CONVER-0040,A,MER-EXHAUST-SYSTEM-0039,ECN-2020-0964,2024-01-30,SUV
MER-MUFFLER-0041,B,MER-EXHAUST-SYSTEM-0039,ECN-2020-0030,2021-11-02,SUV
MER-EXHAUST-PIPE-0042,A,MER-EXHAUST-SYSTEM-0039,ECN-2021-0046,2023-01-03,SUV
