WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2170001,ASSET-00001,Emergency,PNEUMATIC-LEAK,400,706,000170000001
WO-2170002,ASSET-00001,Preventive,,0,,000170000001
WO-2170003,ASSET-00001,Preventive,,0,,000170000001
WO-2170004,ASSET-00001,Preventive,,0,,000170000001
WO-2170005,ASSET-00002,Corrective,CONTROLLER-FAULT,58,1321,000170000002
WO-2170006,ASSET-00002,Preventive,,0,,000170000002
WO-2170007,ASSET-00002,Preventive,,0,,000170000002
WO-2170008,ASSET-00002,Preventive,,0,,000170000002
WO-2170009,ASSET-00003,Preventive,,0,,000170000003
WO-2170010,ASSET-00003,Corrective,SPINDLE-SEIZURE,220,1042,000170000003
WO-2170011,ASSET-00003,Preventive,,0,,000170000003
WO-2170012,ASSET-00003,Preventive,,0,,000170000003
WO-2170013,ASSET-00003,Emergency,SENSOR-FAULT,545,1006,000170000003
WO-2170014,ASSET-00003,Preventive,,0,,000170000003
WO-2170015,ASSET-00003,Preventive,,0,,000170000003
WO-2170016,ASSET-00003,Preventive,,0,,000170000003
WO-2170017,ASSET-00003,Corrective,CONTROLLER-FAULT,167,1199,000170000003
WO-2170018,ASSET-00003,Emergency,DIE-WEAR,496,1739,000170000003
WO-2170019,ASSET-00004,Preventive,,0,,000170000004
WO-2170020,ASSET-00004,Preventive,,0,,000170000004
WO-2170021,ASSET-00004,Emergency,DIE-WEAR,429,1372,000170000004
WO-2170022,ASSET-00004,Preventive,,0,,000170000004
WO-2170023,ASSET-00004,Corrective,BEARING-FAILURE,101,523,000170000004
WO-2170024,ASSET-00005,Corrective,MOTOR-BURNOUT,69,1859,000170000005
WO-2170025,ASSET-00005,Preventive,,0,,000170000005
WO-2170026,ASSET-00006,Corrective,PNEUMATIC-LEAK,54,1672,000170000006
WO-2170027,ASSET-00006,Corrective,BELT-FAILURE,152,1860,000170000006
WO-2170028,ASSET-00006,Corrective,PNEUMATIC-LEAK,88,374,000170000006
WO-2170029,ASSET-00006,Corrective,BELT-FAILURE,215,1573,000170000006
WO-2170030,ASSET-00007,Corrective,BEARING-FAILURE,46,1701,000170000007
WO-2170031,ASSET-00007,Preventive,,0,,000170000007
WO-2170032,ASSET-00007,Corrective,SPINDLE-SEIZURE,86,1437,000170000007
WO-2170033,ASSET-00007,Preventive,,0,,000170000007
WO-2170034,ASSET-00007,Corrective,CONTROLLER-FAULT,87,296,000170000007
WO-2170035,ASSET-00008,Preventive,,0,,000170000008
WO-2170036,ASSET-00008,Corrective,BEARING-FAILURE,149,869,000170000008
WO-2170037,ASSET-00008,Preventive,,0,,000170000008
WO-2170038,ASSET-00008,Corrective,CALIBRATION-DRIFT,77,771,000170000008
WO-2170039,ASSET-00008,Preventive,,0,,000170000008
WO-2170040,ASSET-00009,Corrective,SPINDLE-SEIZURE,38,869,000170000009
WO-2170041,ASSET-00009,Preventive,,0,,000170000009
WO-2170042,ASSET-00009,Preventive,,0,,000170000009
WO-2170043,ASSET-00009,Emergency,BELT-FAILURE,419,623,000170000009
