Werk,Anlagennummer,Anlagenbezeichnung,Kostenstelle,Anschaffungswert,Hersteller
P1160,000170000001,Conveyor System,CC-4839,66113.03,FANUC Corporation
P1160,000170000002,Wheel Alignment Rig,CC-4839,61274.31,KUKA
P1160,000170000003,Hydraulic Press,CC-4839,280190.68,KUKA AG
P1160,000170000004,CNC Machining Center,CC-4837,216187.44,KUKA AG
P1160,000170000005,Dimensional Measurement Arm,CC-4837,115103.25,ABB
P1160,000170000006,Automated Guided Vehicle,CC-4838,102471.72,Ingersoll Rand
P1160,000170000007,Vision Inspection Station,CC-4839,25525.60,KUKA
P1160,000170000008,Conveyor System,CC-4838,76858.57,KUKA AG
P1160,000170000009,Assembly Torque Wrench Station,CC-4836,30183.58,KUKA
P1160,000170000010,Induction Heating Unit,CC-4839,52476.62,Miller Electric
P1160,000170000011,Assembly Torque Wrench Station,CC-4836,24248.15,Bosch Rexroth
P1160,000170000012,Automated Guided Vehicle,CC-4839,50843.93,Atlas
P1160,000170000013,Vision Inspection Station,CC-4839,65299.84,KUKA AG
P1160,000170000014,Induction Heating Unit,CC-4838,50900.33,KUKA AG
P1160,000170000015,Torque Application Unit,CC-4839,16666.77,Haas Automation
P1160,000170000016,CNC Machining Center,CC-4837,359795.75,DMG MORI
P1160,000170000017,Torque Application Unit,CC-4837,41287.12,Lincoln Electric
P1160,000170000018,Vision Inspection Station,CC-4836,32550.68,ABB Robotics
P1160,000170000019,Vision Inspection Station,CC-4836,58560.96,ABB Robotics
P1160,000170000020,Vision Inspection Station,CC-4836,34292.56,Hexagon Ab
P1160,000170000021,Leak Test Station,CC-4838,28590.72,ABB Robotics
P1160,000170000022,Palletizing Robot,CC-4839,137050.32,KUKA AG
P1160,000170000023,Battery Pack Assembly Cell,CC-4837,484994.94,KUKA
P1160,000170000024,Wheel Alignment Rig,CC-4836,47135.63,KUKA AG
P1160,000170000025,Vision Inspection Station,CC-4838,36040.32,DMG MORI
P1160,000170000026,Wheel Alignment Rig,CC-4838,66397.38,DMG MORI
P1160,000170000027,Stamping Press,CC-4836,550586.53,KUKA AG
P1160,000170000028,Assembly Torque Wrench Station,CC-4838,25495.14,KUKA AG
P1160,000170000029,Screw Fastening Station,CC-4838,28547.41,FANUC Corporation
P1160,000170000030,Assembly Torque Wrench Station,CC-4839,20643.61,Haas Automation
P1160,000170000031,Conveyor System,CC-4837,103580.45,KUKA AG
P1160,000170000032,Paint Application Robot,,196959.61,KUKA
P1160,000170000033,CNC Machining Center,CC-4839,415713.62,eisenmann se
P1160,000170000034,Leak Test Station,CC-4837,36771.52,KUKA AG
P1160,000170000035,Hydraulic Press,CC-4839,357005.42,Dematic
P1160,000170000036,Torque Application Unit,CC-4836,41172.17,Hexagon AB
P1160,000170000037,Laser Welding Cell,CC-4836,361530.30,AIDA Engineering
P1160,000170000038,Palletizing Robot,CC-4838,84959.26,Lincoln
P1160,000170000039,Screw Fastening Station,CC-4838,22011.78,AIDA Engineering
P1160,000170000040,Torque Application Unit,CC-4836,43008.30,Atlas Copco
P1160,000170000041,Ultrasonic Welding Station,CC-4838,58682.94,AIDA Engineering
P1160,000170000042,Screw Fastening Station,CC-4839,30428.10,haas automation
P1160,000170000043,Robotic Welding Cell,CC-4838,170362.71,ABB Robotics
P1160,000170000044,Hydraulic Press,CC-4839,307447.58,ABB Robotics
P1160,000170000045,Stamping Press,CC-4837,1098103.93,KUKA
P1160,000170000046,Robotic Welding Cell,CC-4838,238925.05,ABB
P1160,000170000047,Coil Winding Machine,CC-4837,150306.60,lincoln electric
P1160,000170000048,Palletizing Robot,CC-4837,87542.87,Carl Zeiss Industrial Metrology
P1160,000170000049,CNC Machining Center,CC-4838,336326.78,FANUC Corporation
P1160,000170000050,Leak Test Station,CC-4838,26833.86,Mazak Corporation
P1160,000170000051,,CC-4838,236137.76,ABB Robotics
P1160,000170000052,Robotic Welding Cell,CC-4837,144481.45,Kuka Ag
P1160,000170000053,Riveting Station,CC-4837,38358.06,KUKA AG
P1160,000170000054,Automated Guided Vehicle,CC-4839,63578.45,Mazak Corporation
P1160,000170000055,Riveting Station,CC-4836,27655.45,KUKA
P1160,000170000056,Adhesive Dispensing Unit,CC-4838,32274.93,KUKA AG
P1160,000170000057,Palletizing Robot,CC-4839,116798.29,ABB Robotics
P1160,000170000058,Coil Winding Machine,CC-4838,165893.06,Lincoln Electric
P1160,000170000059,Stamping Press,CC-4836,867666.37,Bosch Rexroth
P1160,000170000060,Induction Heating Unit,CC-4839,51810.73,Dematic
P1160,000170000061,Vision Inspection Station,CC-4837,72126.79,Ingersoll Rand
P1160,000170000062,Palletizing Robot,CC-4837,116904.00,ABB
P1160,000170000063,Conveyor System,CC-4838,55490.60,KUKA AG
P1160,000170000064,Screw Fastening Station,CC-4839,15416.06,Comau
P1160,000170000065,Vision Inspection Station,CC-4837,50427.16,Schuler Group
P1160,000170000066,Vision Inspection Station,CC-4838,47113.67,Schuler Group
P1160,000170000067,Final Functional Test Bench,CC-4838,139224.61,Eisenmann SE
P1160,000170000068,Induction Heating Unit,CC-4836,84803.01,KUKA AG
P1160,000170000069,Palletizing Robot,,173045.95,FANUC Corporation
P1160,000170000070,Overhead Gantry Loader,CC-4837,89797.42,KUKA AG
P1160,000170000071,Dimensional Measurement Arm,CC-4836,66933.52,Kuka Ag
P1160,000170000072,Final Functional Test Bench,CC-4839,90538.72,Carl Zeiss Industrial Metrology
P1160,000170000073,Robotic Welding Cell,CC-4837,155284.60,Bosch Rexroth
P1160,000170000074,Torque Application Unit,CC-4839,31975.31,Fives Group
P1160,000170000075,Laser Welding Cell,CC-4839,367672.70,Eisenmann
P1160,000170000076,Ultrasonic Welding Station,CC-4839,62450.59,Mazak
P1160,000170000077,Vision Inspection Station,CC-4839,36423.30,FANUC Corporation
P1160,000170000078,Paint Application Robot,CC-4838,163741.45,KUKA AG
P1160,000170000079,Adhesive Dispensing Unit,CC-4837,76547.49,Ingersoll Rand
P1160,000170000080,Laser Welding Cell,CC-4836,307169.46,Miller Electric
P1160,000170000081,Vision Inspection Station,CC-4839,38775.99,ABB Robotics
P1160,000170000082,Final Functional Test Bench,CC-4839,125149.47,Ingersoll Rand
P1160,000170000083,Hydraulic Press,CC-4838,107724.85,FANUC Corporation
P1160,000170000084,Laser Welding Cell,CC-4837,365646.93,ABB Robotics
P1160,000170000085,Wheel Alignment Rig,CC-4839,77753.73,Comau
P1160,000170000086,Conveyor System,CC-4837,50501.17,Haas
P1160,000170000087,Assembly Torque Wrench Station,CC-4837,31528.54,Hexagon
P1160,000170000088,Robotic Welding Cell,CC-4839,214968.59,AIDA Engineering
P1160,000170000089,,CC-4836,102124.45,kuka ag
P1160,000170000090,Dimensional Measurement Arm,CC-4837,83601.86,Haas
P1160,000170000091,CNC Machining Center,CC-4838,373672.47,Mazak Corporation
P1160,000170000092,Leak Test Station,CC-4839,40829.34,ABB
P1160,000170000093,Adhesive Dispensing Unit,CC-4836,36153.23,KUKA
P1160,000170000094,Robotic Welding Cell,CC-4836,209796.64,Ingersoll
P1160,000170000095,,CC-4837,32705.66,FANUC CORPORATION
P1160,000170000096,Coil Winding Machine,CC-4839,152351.16,ABB Robotics
P1160,000170000097,Robotic Welding Cell,CC-4839,228086.78,YASKAWA MOTOMAN
P1160,000170000098,Assembly Torque Wrench Station,CC-4839,28996.64,FANUC Corporation
P1160,000170000099,Overhead Gantry Loader,CC-4837,102387.98,ABB Robotics
P1160,000170000100,Hydraulic Press,CC-4839,119892.12,FANUC
P1160,000170000101,Palletizing Robot,CC-4838,152669.00,Eisenmann
P1160,000170000102,Stamping Press,CC-4839,392704.19,Bosch Rexroth
P1160,000170000103,Dimensional Measurement Arm,CC-4838,127211.51,Atlas Copco
P1160,000170000104,Dimensional Measurement Arm,CC-4839,108527.96,Carl Zeiss Industrial Metrology
P1160,000170000105,Automated Guided Vehicle,CC-4837,67212.55,Lincoln Electric
P1160,000170000106,Hydraulic Press,CC-4836,180236.27,Durr
P1160,000170000107,Induction Heating Unit,CC-4836,57946.68,ABB Robotics
P1160,000170000108,Paint Application Robot,CC-4836,177141.62,ABB Robotics
P1160,000170000109,Induction Heating Unit,CC-4839,56939.04,Mazak
P1160,000170000110,Vision Inspection Station,CC-4837,61449.19,Ingersoll Rand
P1160,000170000111,Injection Molding Machine,CC-4839,388516.70,AIDA Engineering
P1160,000170000112,Vision Inspection Station,CC-4839,67846.43,ABB Robotics
P1160,000170000113,Overhead Gantry Loader,CC-4839,103318.79,KUKA
P1160,000170000114,Assembly Torque Wrench Station,CC-4837,18096.41,Durr AG
P1160,000170000115,Robotic Welding Cell,CC-4836,156767.61,KUKA AG
P1160,000170000116,Palletizing Robot,CC-4837,117659.60,ABB Robotics
P1160,000170000117,Paint Application Robot,CC-4839,246988.70,Mazak Corporation
P1160,000170000118,Riveting Station,CC-4836,54390.05,Mazak
P1160,000170000119,Ultrasonic Welding Station,CC-4838,76085.63,KUKA AG
P1160,000170000120,Laser Welding Cell,CC-4836,367499.98,Miller Electric
P1160,000170000121,Battery Pack Assembly Cell,CC-4836,298677.00,kuka ag
P1160,000170000122,,CC-4836,71735.93,Mazak Corporation
P1160,000170000123,Injection Molding Machine,CC-4838,303124.18,Bosch
P1160,000170000124,Vision Inspection Station,CC-4838,58372.57,Ingersoll Rand
P1160,000170000125,CNC Machining Center,CC-4839,337272.61,KUKA
P1160,000170000126,Riveting Station,CC-4838,31444.48,KUKA AG
