Facility,Line_Ref,Updated_On
Assembly Plant CN,Assembly Plant CN Line 1,2021-05-04
Assembly Plant CN,Assembly Plant CN Line 2,2021-03-16
Assembly Plant CN,Assembly Plant CN Line 3,2022-02-10
Assembly Plant CN,Assembly Plant CN Line 4,
Assembly Plant CN,,2023-12-22
Assembly Plant CN,Assembly Plant CN Line 6,2022-10-25
Assembly Plant CN,Assembly Plant CN Line 7,2020-10-03
Assembly Plant CN,Assembly Plant CN Line 8,
Assembly Plant CN,Assembly Plant CN Line 9,2019-09-21
Assembly Plant CN,Assembly Plant CN Line 10,2024-03-14
Assembly Plant CN,L11,2021-04-30
Assembly Plant CN,Assembly Plant CN Line 12,2019-06-18
Assembly Plant CN,Assembly Plant CN Line 13,2020-10-15
Assembly Plant CN,Assembly Plant CN Line 14,2020-08-20
Assembly Plant CN,Assembly Plant CN Line 15,2025-05-22
Assembly Plant CN,Assembly Plant CN Line 16,2020-04-25
Assembly Plant CN,Assembly Plant CN Line 17,2023-05-06
Assembly Plant CN,L18,2021-03-26
Assembly Plant CN,Assembly Plant CN Line 19,2025-04-23
Assembly Plant CN,Assembly Plant CN Line 20,
Assembly Plant CN,Assembly Plant CN Line 21,2022-03-28
Assembly Plant CN,Assembly Plant CN Line 22,2021-04-02
Assembly Plant CN,Assembly Plant CN Line 23,
Assembly Plant CN,Assembly Plant CN Line 24,2019-08-16
Assembly Plant CN,Assembly Plant CN Line 25,2019-11-03
Assembly Plant CN,L26,2020-02-08
Assembly Plant CN,Assembly Plant CN Line 27,2023-06-23
Assembly Plant CN,Assembly Plant CN Line 28,2023-10-12
Assembly Plant CN,Assembly Plant CN Line 29,2019-11-25
Assembly Plant CN,Assembly Plant CN Line 30,2021-03-06
Assembly Plant CN,Assembly Plant CN Line 31,2019-10-26
Assembly Plant CN,Assembly Plant CN Line 32,2023-07-15
Assembly Plant CN,L33,2024-05-18
Assembly Plant CN,,2019-11-28
Assembly Plant CN,,2023-03-13
Assembly Plant CN,Assembly Plant CN Line 36,
Assembly Plant CN,L37,2023-04-30
Assembly Plant CN,Assembly Plant CN Line 38,
Assembly Plant CN,Assembly Plant CN Line 39,
Assembly Plant CN,Assembly Plant CN Line 40,2025-01-08
Assembly Plant CN,Assembly Plant CN Line 41,2019-10-01
Assembly Plant CN,L42,
Assembly Plant CN,,2019-08-07
Assembly Plant CN,L44,2021-09-27
Assembly Plant CN,Assembly Plant CN Line 45,2023-10-10
Assembly Plant CN,Assembly Plant CN Line 46,2019-09-07
Assembly Plant CN,Assembly Plant CN Line 47,2019-03-15
Assembly Plant CN,L48,2019-06-03
Assembly Plant CN,Assembly Plant CN Line 49,
Assembly Plant CN,Assembly Plant CN Line 50,2022-03-27
Assembly Plant CN,Assembly Plant CN Line 51,2024-08-30
Assembly Plant CN,L52,2025-05-15
Assembly Plant CN,Assembly Plant CN Line 53,
Assembly Plant CN,,2019-06-21
Assembly Plant CN,Assembly Plant CN Line 55,
Assembly Plant CN,Assembly Plant CN Line 56,2024-01-10
Assembly Plant CN,,2025-11-05
Assembly Plant CN,Assembly Plant CN Line 58,2019-11-15
Assembly Plant CN,L59,2021-03-20
Assembly Plant CN,Assembly Plant CN Line 60,2021-03-22
Assembly Plant CN,L61,2021-06-26
Assembly Plant CN,Assembly Plant CN Line 62,2021-05-19
Assembly Plant CN,Assembly Plant CN Line 63,2021-01-28
Assembly Plant CN,Assembly Plant CN Line 64,2019-06-19
Assembly Plant CN,Assembly Plant CN Line 65,2022-10-14
Assembly Plant CN,,
Assembly Plant CN,,2021-10-03
Assembly Plant CN,Assembly Plant CN Line 68,2021-01-04
Assembly Plant CN,Assembly Plant CN Line 69,2020-03-26
Assembly Plant CN,Assembly Plant CN Line 70,2024-07-29
Assembly Plant CN,Assembly Plant CN Line 71,2025-11-05
Assembly Plant CN,Assembly Plant CN Line 72,2025-12-02
Assembly Plant CN,Assembly Plant CN Line 73,2023-07-04
Assembly Plant CN,L74,2020-05-28
Assembly Plant CN,L75,2020-07-07
Assembly Plant CN,Assembly Plant CN Line 76,2025-08-10
Assembly Plant CN,Assembly Plant CN Line 77,2024-05-16
Assembly Plant CN,Assembly Plant CN Line 78,2024-08-11
Assembly Plant CN,Assembly Plant CN Line 79,2022-03-09
Assembly Plant CN,Assembly Plant CN Line 80,2021-12-25
Assembly Plant CN,Assembly Plant CN Line 81,2021-09-01
Assembly Plant CN,Assembly Plant CN Line 82,2021-04-11
Assembly Plant CN,Assembly Plant CN Line 83,2021-03-19
Assembly Plant CN,Assembly Plant CN Line 84,2019-01-18
Assembly Plant CN,Assembly Plant CN Line 85,2020-01-05
Assembly Plant CN,Assembly Plant CN Line 86,2019-06-28
Assembly Plant CN,L87,2023-04-22
Assembly Plant CN,Assembly Plant CN Line 88,2021-07-27
Assembly Plant CN,Assembly Plant CN Line 89,2019-10-09
Assembly Plant CN,Assembly Plant CN Line 90,2019-09-25
Assembly Plant CN,Assembly Plant CN Line 91,2020-01-21
Assembly Plant CN,Assembly Plant CN Line 92,2022-07-07
Assembly Plant CN,Assembly Plant CN Line 93,2023-11-08
Assembly Plant CN,Assembly Plant CN Line 94,2023-02-09
Assembly Plant CN,Assembly Plant CN Line 95,2023-01-26
Assembly Plant CN,Assembly Plant CN Line 96,2019-09-15
Assembly Plant CN,Assembly Plant CN Line 97,2021-10-06
Assembly Plant CN,Assembly Plant CN Line 98,
Assembly Plant CN,Assembly Plant CN Line 99,2020-10-10
Assembly Plant CN,L100,2021-10-10
