PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0002,RESISTANCE WELDING,S01,000170000001,MER-VEH-EV-0001,MER-LIGHTING-SYSTEM-0024
L01,PR-0003,TORQUE TIGHTENING,S01,000170000002,MER-VEH-EV-0001,
L01,PR-0013,DOOR FITMENT,S02,000170000003,MER-VEH-EV-0001,MER-FENDERS-0008
L01,PR-0100,MACHINING - BRAKE CALIPER,S02,000170000004,MER-VEH-EV-0001,
L01,PR-0061,TRIMMING OPERATION - SUSPENSION ARM,S03,000170000005,MER-VEH-EV-0001,
L01,PR-0003,TORQUE TIGHTENING,S03,000170000006,MER-VEH-EV-0001,
L01,PR-0032,TESTING - FUEL RAIL,S03,000170000007,MER-VEH-EV-0001,
L01,PR-0001,DISPENSING SEALING COMPOUND,S04,000170000008,MER-VEH-EV-0001,MER-BUMPER-FRONT-0006
L02,PR-0004,AOI CHECK,S01,000170000009,MER-VEH-EV-0001,
L02,PR-0078,ASSEMBLY - FLOOR PAN,S02,000170000010,MER-VEH-EV-0001,MER-ONBOARD-CHARGER-0037
L02,PR-0001,DISPENSING SEALING COMPOUND,S02,000170000011,MER-VEH-EV-0001,MER-BUMPER-FRONT-0006
L02,PR-0004,AOI CHECK,S03,000170000012,MER-VEH-EV-0001,
L02,PR-0001,DISPENSING SEALING COMPOUND,S03,000170000013,MER-VEH-EV-0001,MER-DOOR-PANELS-0019
L02,PR-0001,DISPENSING SEALING COMPOUND,S04,000170000014,MER-VEH-EV-0001,MER-CHARGING-CABLE-0040
L02,PR-0001,DISPENSING SEALING COMPOUND,S04,000170000015,MER-VEH-EV-0001,MER-INVERTER-0035
L03,PR-0001,DISPENSING SEALING COMPOUND,S01,000170000016,MER-VEH-EV-0001,MER-INVERTER-0035
L03,PR-0010,HARNESS ROUTING,S01,000170000017,MER-VEH-EV-0001,MER-BATTERY-HOUSING-0029
L03,PR-0111,TRIMMING OPERATION - RADIATOR CORE,S02,000170000018,MER-VEH-EV-0001,
L03,PR-0001,DISPENSING SEALING COMPOUND,S02,000170000020,MER-VEH-EV-0001,MER-DOOR-PANELS-0019
L03,PR-0093,DRILLING - CHASSIS FRAME,S03,000170000021,MER-VEH-EV-0001,
L03,PR-0029,CONNECTOR FITMENT,S03,,MER-VEH-EV-0001,MER-BRAKE-SYSTEM-0012
L04,PR-0001,DISPENSING SEALING COMPOUND,S01,000170000022,MER-VEH-EV-0001,MER-DC-DC-CONVERTER-0036
L04,PR-0003,TORQUE TIGHTENING,S01,000170000023,MER-VEH-EV-0001,
L04,PR-0002,RESISTANCE WELDING,S01,000170000024,MER-VEH-EV-0001,MER-LOW-VOLTAGE-BATT-0023
L04,PR-0058,MOULDING - TRANSMISSION HOUSING,S02,000170000025,MER-VEH-EV-0001,MER-DASHBOARD-0017
L04,PR-0040,SHAPING - GLASS PANEL,S02,000170000026,MER-VEH-EV-0001,MER-CHARGE-PORT-0039
L04,PR-0003,TORQUE TIGHTENING,S03,000170000027,MER-VEH-EV-0001,
L04,PR-0001,DISPENSING SEALING COMPOUND,S03,000170000028,MER-VEH-EV-0001,MER-SEATS-0016
L05,PR-0001,DISPENSING SEALING COMPOUND,S01,000170000029,MER-VEH-EV-0001,MER-DOORS-0004
L05,PR-0023,TRIM FITMENT,S01,000170000030,MER-VEH-EV-0001,MER-LIGHTING-SYSTEM-0024
L05,PR-0001,DISPENSING SEALING COMPOUND,S01,000170000031,MER-VEH-EV-0001,MER-CENTER-CONSOLE-0018
L05,PR-0013,DOOR FITMENT,S02,000170000032,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L05,PR-0021,FOAM MOLDING,S03,000170000033,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L05,PR-0032,TESTING - FUEL RAIL,S03,000170000034,MER-VEH-EV-0001,
L05,PR-0001,DISPENSING SEALING COMPOUND,S03,000170000035,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L05,PR-0008,CLEARCOAT APPLICATION,S04,000170000036,MER-VEH-EV-0001,MER-WHEELS-0014
L06,PR-0009,CELL STACK ASSEMBLY,S01,,MER-VEH-EV-0001,MER-REAR-SUSPENSION-0011
L06,PR-0076,CUTTING - CENTER CONSOLE,S01,000170000037,MER-VEH-EV-0001,
L06,PR-0009,CELL STACK ASSEMBLY,S01,000170000038,MER-VEH-EV-0001,MER-STEERING-SYSTEM-0013
L06,PR-0006,ELECTROCOAT DIP,S02,000170000039,MER-VEH-EV-0001,MER-CHARGE-PORT-0039
L07,PR-0001,DISPENSING SEALING COMPOUND,S01,000170000040,MER-VEH-EV-0001,MER-STATOR-0031
L07,PR-0033,GLASS PANEL MACHINING,S01,000170000041,MER-VEH-EV-0001,
L07,PR-0021,FOAM MOLDING,S01,000170000042,MER-VEH-EV-0001,MER-DASHBOARD-0017
L07,PR-0038,SETTING - BODY PANEL,S02,000170000043,MER-VEH-EV-0001,
L07,PR-0027,CRANKSHAFT MACHINING,S02,000170000044,MER-VEH-EV-0001,
L07,PR-0096,SETTING - STEERING COLUMN,S02,,MER-VEH-EV-0001,
