QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-CN-00001,MER-BATTERY-HOUSING-0029,PAINT-BLISTER,ASY-S01,Use-As-Is,193,Closed
NCR-CN-00002,MER-INFOTAINMENT-UNI-0025,ASSY-WRONG-PART,ASY-S02,Scrap,82,Closed
NCR-CN-00003,MER-CENTER-CONSOLE-0018,ASSY-MISSING-FASTENER,ASY-S01,Scrap,345,Closed
NCR-CN-00004,MER-LIGHTING-SYSTEM-0024,SEAL-LEAK,ASY-S03,Rework,301,Closed
NCR-CN-00005,MER-BODY-SHELL-0003,ASSY-CROSS-THREAD,ASY-S03,Scrap,378,Open-D2
NCR-CN-00006,MER-WHEELS-0014,ELEC-OPEN-CIRCUIT,ASY-S01,Scrap,378,Closed
NCR-CN-00007,MER-DASHBOARD-0017,DIM-OUT-OF-TOLERANCE,ASY-S04,Rework,460,Open-D2
NCR-CN-00008,MER-DOOR-PANELS-0019,WELD-POROSITY,ASY-S02,Scrap,280,Open-D5
NCR-CN-00009,MER-DOORS-0004,ELEC-CONNECTOR-MISMATE,ASY-S01,Use-As-Is,77,Closed
NCR-CN-00010,MER-BUMPER-REAR-0007,ELEC-OPEN-CIRCUIT,ASY-S01,Rework,152,Open-D1
NCR-CN-00011,MER-DOOR-PANELS-0019,ASSY-WRONG-PART,ASY-S04,Rework,198,Open-D8
NCR-CN-00012,MER-HEADLINER-0020,ASSY-CROSS-THREAD,ASY-S02,Rework,300,Closed
NCR-CN-00013,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,ASY-S02,Rework,184,Closed
NCR-CN-00014,MER-SEATS-0016,WELD-UNDERCUT,ASY-S01,Rework,126,Closed
NCR-CN-00015,MER-WIRING-HARNESS-0022,PAINT-ORANGE-PEEL,ASY-S01,Rework,326,Closed
NCR-CN-00016,MER-BATTERY-CELL-MOD-0027,MATERIAL-CONTAMINATION,ASY-S02,Rework,454,Closed
NCR-CN-00017,MER-HEADLINER-0020,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,77,Closed
NCR-CN-00018,MER-BATTERY-HOUSING-0029,SURFACE-SCRATCH,ASY-S02,Scrap,481,Open-D5
NCR-CN-00019,MER-FENDERS-0008,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,226,Open-D8
NCR-CN-00020,MER-ONBOARD-CHARGER-0037,WELD-MISALIGN,ASY-S01,Scrap,145,Open-D3
NCR-CN-00021,MER-BUMPER-FRONT-0006,PAINT-RUNS,ASY-S02,Rework,96,Open-D3
NCR-CN-00022,MER-WIRING-HARNESS-0022,MATERIAL-CONTAMINATION,ASY-S01,Rework,128,Open-D5
NCR-CN-00023,MER-MOTOR-HOUSING-0033,PAINT-RUNS,ASY-S03,Rework,395,Closed
NCR-CN-00024,MER-FENDERS-0008,DIM-GAP-FLUSH,ASY-S01,Scrap,359,Open-D5
NCR-CN-00025,MER-BRAKE-SYSTEM-0012,PAINT-ORANGE-PEEL,ASY-S03,Use-As-Is,64,Open-D5
NCR-CN-00026,MER-STATOR-0031,PAINT-RUNS,ASY-S01,Rework,457,Closed
NCR-CN-00027,MER-SEATS-0016,WELD-UNDERCUT,ASY-S03,Use-As-Is,128,Open-D6
NCR-CN-00028,MER-REAR-SUSPENSION-0011,WELD-MISALIGN,ASY-S01,Scrap,445,Closed
NCR-CN-00029,MER-LIGHTING-SYSTEM-0024,MATERIAL-CONTAMINATION,ASY-S03,Rework,213,Closed
NCR-CN-00030,MER-BUMPER-FRONT-0006,WELD-UNDERCUT,ASY-S02,Rework,454,Closed
NCR-CN-00031,MER-MOTOR-HOUSING-0033,SEAL-LEAK,ASY-S04,Scrap,198,Closed
NCR-CN-00032,MER-BATTERY-HOUSING-0029,PAINT-BLISTER,ASY-S02,Rework,99,Closed
NCR-CN-00033,MER-BUMPER-REAR-0007,WELD-UNDERCUT,ASY-S01,Scrap,398,Open-D1
NCR-CN-00034,MER-STEERING-SYSTEM-0013,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,327,Open-D2
NCR-CN-00035,MER-STATOR-0031,ELEC-CONNECTOR-MISMATE,ASY-S02,Scrap,268,Closed
NCR-CN-00036,MER-BATTERY-HOUSING-0029,WELD-MISALIGN,ASY-S03,Scrap,270,Closed
NCR-CN-00037,MER-INVERTER-0035,DIM-GAP-FLUSH,ASY-S03,Rework,347,Closed
NCR-CN-00038,MER-STEERING-SYSTEM-0013,ASSY-WRONG-PART,ASY-S04,Scrap,79,Open-D6
NCR-CN-00039,MER-BATTERY-HOUSING-0029,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,104,Open-D3
NCR-CN-00040,MER-LIGHTING-SYSTEM-0024,PAINT-RUNS,ASY-S03,Rework,29,Closed
NCR-CN-00041,MER-BATTERY-CELL-MOD-0027,ELEC-CONNECTOR-MISMATE,ASY-S04,Rework,81,Closed
NCR-CN-00042,MER-CHARGING-CABLE-0040,ASSY-MISSING-FASTENER,ASY-S02,Rework,462,Closed
NCR-CN-00043,MER-FENDERS-0008,ELEC-CONNECTOR-MISMATE,ASY-S01,Use-As-Is,98,Open-D5
NCR-CN-00044,MER-ONBOARD-CHARGER-0037,ASSY-WRONG-PART,ASY-S02,Scrap,24,Closed
NCR-CN-00045,MER-DOOR-PANELS-0019,PAINT-RUNS,ASY-S01,Rework,103,Open-D1
NCR-CN-00046,MER-STEERING-SYSTEM-0013,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,463,Open-D5
NCR-CN-00047,MER-VEH-EV-0001,SEAL-LEAK,ASY-S02,Scrap,94,Open-D3
NCR-CN-00048,MER-BATTERY-CELL-MOD-0027,WELD-MISALIGN,ASY-S02,Rework,64,Closed
NCR-CN-00049,MER-SEATS-0016,DIM-OUT-OF-TOLERANCE,ASY-S04,Rework,433,Closed
NCR-CN-00050,MER-DOORS-0004,WELD-MISALIGN,ASY-S01,Use-As-Is,467,Closed
NCR-CN-00051,MER-STEERING-SYSTEM-0013,SEAL-LEAK,ASY-S02,Rework,238,Closed
NCR-CN-00052,MER-DOORS-0004,ELEC-CONNECTOR-MISMATE,ASY-S04,Rework,464,Open-D8
NCR-CN-00053,MER-VEH-EV-0001,ELEC-OPEN-CIRCUIT,ASY-S01,Rework,428,Closed
NCR-CN-00054,MER-INVERTER-0035,DIM-GAP-FLUSH,ASY-S02,Rework,368,Closed
NCR-CN-00055,MER-INFOTAINMENT-UNI-0025,SEAL-LEAK,ASY-S02,Rework,290,Closed
NCR-CN-00056,MER-REAR-SUSPENSION-0011,PAINT-BLISTER,ASY-S03,Rework,377,Open-D3
NCR-CN-00057,MER-WIRING-HARNESS-0022,WELD-UNDERCUT,ASY-S03,Use-As-Is,360,Open-D5
NCR-CN-00058,MER-FENDERS-0008,PAINT-RUNS,ASY-S04,Rework,458,Closed
NCR-CN-00059,MER-DOOR-PANELS-0019,PAINT-ORANGE-PEEL,ASY-S03,Rework,498,Closed
NCR-CN-00060,MER-DASHBOARD-0017,PAINT-RUNS,ASY-S01,Rework,214,Closed
NCR-CN-00061,MER-STEERING-SYSTEM-0013,DIM-OUT-OF-TOLERANCE,ASY-S03,Rework,90,Closed
NCR-CN-00062,MER-LOW-VOLTAGE-BATT-0023,PAINT-BLISTER,ASY-S01,Rework,343,Open-D2
NCR-CN-00063,MER-VEH-EV-0001,DIM-OUT-OF-TOLERANCE,ASY-S02,Use-As-Is,24,Closed
NCR-CN-00064,MER-INVERTER-0035,ELEC-CONNECTOR-MISMATE,ASY-S03,Rework,466,Closed
NCR-CN-00065,MER-STATOR-0031,MATERIAL-CONTAMINATION,ASY-S01,Rework,29,Closed
NCR-CN-00066,MER-LOW-VOLTAGE-BATT-0023,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,469,Open-D5
NCR-CN-00067,MER-DOORS-0004,PAINT-RUNS,ASY-S02,Scrap,217,Closed
NCR-CN-00068,MER-BODY-SHELL-0003,WELD-UNDERCUT,ASY-S02,Rework,276,Open-D6
NCR-CN-00069,MER-DASHBOARD-0017,PAINT-ORANGE-PEEL,ASY-S01,Rework,139,Closed
NCR-CN-00070,MER-SEATS-0016,ELEC-OPEN-CIRCUIT,ASY-S02,Use-As-Is,257,Closed
NCR-CN-00071,MER-HEADLINER-0020,PAINT-ORANGE-PEEL,ASY-S01,Use-As-Is,231,Closed
NCR-CN-00072,MER-CHARGE-PORT-0039,PAINT-RUNS,ASY-S02,Scrap,376,Closed
NCR-CN-00073,MER-BUMPER-REAR-0007,DIM-OUT-OF-TOLERANCE,ASY-S02,Use-As-Is,330,Closed
NCR-CN-00074,MER-CHARGING-CABLE-0040,SURFACE-SCRATCH,ASY-S01,Scrap,108,Closed
NCR-CN-00075,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,455,Closed
NCR-CN-00076,MER-ONBOARD-CHARGER-0037,SURFACE-SCRATCH,ASY-S02,Scrap,388,Open-D1
NCR-CN-00077,MER-VEH-EV-0001,SURFACE-SCRATCH,ASY-S01,Rework,163,Closed
NCR-CN-00078,MER-DOOR-PANELS-0019,WELD-POROSITY,ASY-S02,Scrap,71,Closed
NCR-CN-00079,MER-CENTER-CONSOLE-0018,SURFACE-SCRATCH,ASY-S01,Rework,483,Closed
NCR-CN-00080,MER-WHEELS-0014,WELD-UNDERCUT,ASY-S03,Rework,435,Closed
NCR-CN-00081,MER-SEATS-0016,DIM-GAP-FLUSH,ASY-S02,Rework,294,Open-D5
NCR-CN-00082,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,ASY-S02,Scrap,360,Open-D7
NCR-CN-00083,MER-ROTOR-0032,SEAL-LEAK,ASY-S04,Scrap,90,Closed
NCR-CN-00084,MER-INVERTER-0035,DIM-GAP-FLUSH,ASY-S02,Use-As-Is,201,Closed
NCR-CN-00085,MER-FENDERS-0008,WELD-UNDERCUT,ASY-S03,Rework,449,Closed
NCR-CN-00086,MER-LOW-VOLTAGE-BATT-0023,WELD-POROSITY,ASY-S01,Scrap,44,Closed
NCR-CN-00087,MER-LIGHTING-SYSTEM-0024,ELEC-CONNECTOR-MISMATE,ASY-S02,Rework,29,Closed
NCR-CN-00088,MER-WHEELS-0014,PAINT-ORANGE-PEEL,ASY-S03,Scrap,319,Closed
NCR-CN-00089,MER-FRONT-SUSPENSION-0010,PAINT-BLISTER,ASY-S03,Rework,375,Closed
NCR-CN-00090,MER-HEADLINER-0020,PAINT-RUNS,ASY-S02,Rework,225,Open-D4
NCR-CN-00091,MER-BATTERY-HOUSING-0029,ELEC-OPEN-CIRCUIT,ASY-S03,Rework,320,Closed
NCR-CN-00092,MER-DASHBOARD-0017,WELD-UNDERCUT,ASY-S03,Use-As-Is,260,Closed
NCR-CN-00093,MER-HOOD-0005,DIM-GAP-FLUSH,ASY-S03,Rework,254,Closed
NCR-CN-00094,MER-ONBOARD-CHARGER-0037,SEAL-LEAK,ASY-S02,Use-As-Is,101,Open-D4
NCR-CN-00095,MER-VEH-EV-0001,WELD-UNDERCUT,ASY-S01,Scrap,207,Open-D4
NCR-CN-00096,MER-ROTOR-0032,SEAL-LEAK,ASY-S02,Rework,302,Open-D8
NCR-CN-00097,MER-FENDERS-0008,WELD-UNDERCUT,ASY-S02,Rework,346,Open-D1
NCR-CN-00098,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,74,Open-D7
NCR-CN-00099,MER-DOOR-PANELS-0019,SEAL-LEAK,ASY-S03,Scrap,155,Closed
NCR-CN-00100,MER-HOOD-0005,DIM-GAP-FLUSH,ASY-S04,Rework,402,Closed
NCR-CN-00101,MER-STATOR-0031,ASSY-CROSS-THREAD,ASY-S03,Scrap,419,Open-D4
NCR-CN-00102,MER-VEH-EV-0001,ELEC-SHORT-CIRCUIT,ASY-S01,Scrap,483,Closed
NCR-CN-00103,MER-BATTERY-CELL-MOD-0027,SURFACE-SCRATCH,ASY-S01,Rework,428,Open-D2
NCR-CN-00104,MER-CHARGE-PORT-0039,ELEC-SHORT-CIRCUIT,ASY-S02,Rework,150,Open-D8
NCR-CN-00105,MER-REAR-SUSPENSION-0011,ASSY-WRONG-PART,ASY-S01,Scrap,459,Closed
NCR-CN-00106,MER-LIGHTING-SYSTEM-0024,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,444,Open-D8
NCR-CN-00107,MER-INVERTER-0035,ASSY-CROSS-THREAD,ASY-S02,Rework,85,Closed
