Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1001,S01,61.59,62.77,59.199,1.39
K1001,S01,61.251,62.77,59.199,1.39
K1002,S01,90.627,93.97,87.624,0.91
K1002,S01,90.015,93.97,87.624,0.91
K1002,S01,89.374,93.97,87.624,0.91
K1002,S01,93.43,93.97,87.624,0.91
K1002,S01,88.121,93.97,87.624,0.91
K1003,S01,146.98,147.753,144.464,0.84
K1003,S01,144.394,147.753,144.464,0.84
K1003,S01,147.688,147.753,144.464,0.84
K1004,S02,81.99,85.157,78.285,1.9
K1004,S02,80.428,85.157,78.285,1.9
K1005,S03,111.29,115.078,110.943,0.99
K1005,S03,112.61,115.078,110.943,0.99
K1005,S03,112.946,115.078,110.943,0.99
K1005,S03,113.776,115.078,110.943,0.99
K1006,S03,128.583,131.305,124.977,0.95
K1006,S03,128.954,131.305,124.977,0.95
K1006,S03,129.302,131.305,124.977,0.95
K1006,S03,126.799,131.305,124.977,0.95
K1006,S03,128.274,131.305,124.977,0.95
K1007,S03,173.871,176.948,168.732,1.28
K1007,S03,172.823,176.948,168.732,1.28
K1007,S03,171.836,176.948,168.732,1.28
K1007,S03,174.032,176.948,168.732,1.28
K1007,S03,171.326,176.948,168.732,1.28
K1008,S04,166.839,168.462,166.056,1.68
K1008,S04,167.266,168.462,166.056,1.68
K1008,S04,167.064,168.462,166.056,1.68
K1009,S04,59.468,60.86,57.579,1.53
K1009,S04,60.222,60.86,57.579,1.53
K1009,S04,58.898,60.86,57.579,1.53
K1009,S04,59.324,60.86,57.579,1.53
K1009,S04,59.317,60.86,57.579,1.53
K1010,S04,90.888,91.542,90.081,0.94
K1010,S04,90.556,91.542,90.081,0.94
K1011,S01,133.541,134.541,132.864,0.97
K1011,S01,133.83,134.541,132.864,0.97
K1011,S01,133.912,134.541,132.864,0.97
K1011,S01,134.03,134.541,132.864,0.97
K1012,S01,125.473,126.407,124.226,1.95
K1012,S01,125.423,126.407,124.226,1.95
K1012,S01,125.083,126.407,124.226,1.95
K1012,S01,125.275,126.407,124.226,1.95
K1012,S01,125.084,126.407,124.226,1.95
K1013,S01,27.799,28.045,27.019,1.06
K1013,S01,27.687,28.045,27.019,1.06
K1013,S01,27.905,28.045,27.019,1.06
K1013,S01,27.735,28.045,27.019,1.06
K1014,S02,107.583,108.09,106.956,1.86
K1014,S02,107.428,108.09,106.956,1.86
K1014,S02,107.605,108.09,106.956,1.86
K1014,S02,107.519,108.09,106.956,1.86
K1015,S02,138.893,141.469,135.288,2.09
K1015,S02,137.838,141.469,135.288,2.09
K1015,S02,138.134,141.469,135.288,2.09
K1016,S03,42.201,42.918,40.493,0.66
K1016,S03,43.004,42.918,40.493,0.66
K1016,S03,42.794,42.918,40.493,0.66
K1016,S03,41.242,42.918,40.493,0.66
K1017,S03,80.109,80.792,79.507,1.95
K1017,S03,80.016,80.792,79.507,1.95
K1017,S03,80.061,80.792,79.507,1.95
K1017,S03,80.051,80.792,79.507,1.95
K1018,S04,40.674,42.309,39.143,1.5
K1018,S04,40.642,42.309,39.143,1.5
K1018,S04,41.112,42.309,39.143,1.5
