MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-991886,A-27-1,1631,KANBAN-00001,Battery & eDrive Plant CN,Assembly Plant CN
MAT-169844,G-08-4,383,KANBAN-00002,Battery & eDrive Plant CN,Assembly Plant CN
MAT-351538,A-26-4,1703,KANBAN-00003,Battery & eDrive Plant CN,Assembly Plant CN
MAT-649760,E-10-5,122,KANBAN-00004,Battery & eDrive Plant CN,Assembly Plant CN
MAT-400523,E-19-3,421,KANBAN-00005,Battery & eDrive Plant CN,Assembly Plant CN
MAT-692497,F-05-3,2070,KANBAN-00006,Battery & eDrive Plant CN,Assembly Plant CN
MAT-504046,A-13-3,3406,KANBAN-00007,Battery & eDrive Plant CN,Assembly Plant CN
MAT-928907,C-01-3,920,KANBAN-00008,Battery & eDrive Plant CN,Assembly Plant CN
MAT-671089,B-29-2,3899,KANBAN-00009,Battery & eDrive Plant CN,Assembly Plant CN
MAT-330763,D-10-1,3209,KANBAN-00010,Battery & eDrive Plant CN,Assembly Plant CN
MAT-541476,E-04-1,1657,KANBAN-00011,Battery & eDrive Plant CN,Assembly Plant CN
MAT-369321,A-26-5,2769,KANBAN-00012,Battery & eDrive Plant CN,Assembly Plant CN
MAT-179455,B-06-3,344,KANBAN-00013,Battery & eDrive Plant CN,Assembly Plant CN
MAT-697888,H-24-5,2989,KANBAN-00014,Battery & eDrive Plant CN,Assembly Plant CN
MAT-446871,D-23-2,1119,KANBAN-00015,Battery & eDrive Plant CN,Assembly Plant CN
MAT-410068,C-17-1,2357,KANBAN-00016,Battery & eDrive Plant CN,Assembly Plant CN
MAT-592647,H-05-2,4002,KANBAN-00017,Battery & eDrive Plant CN,Assembly Plant CN
MAT-808214,E-21-2,894,KANBAN-00018,Battery & eDrive Plant CN,Assembly Plant CN
MAT-594719,A-26-5,4177,KANBAN-00019,Battery & eDrive Plant CN,Assembly Plant CN
MAT-500946,A-20-2,2673,KANBAN-00020,Battery & eDrive Plant CN,Assembly Plant CN
MAT-144330,C-13-4,2706,KANBAN-00021,Battery & eDrive Plant CN,Assembly Plant CN
MAT-980368,C-18-5,3381,KANBAN-00022,Battery & eDrive Plant CN,Assembly Plant CN
MAT-694629,H-01-3,3909,KANBAN-00023,Battery & eDrive Plant CN,Assembly Plant CN
MAT-821903,E-21-5,728,KANBAN-00024,Battery & eDrive Plant CN,Assembly Plant CN
MAT-196992,F-16-4,4325,KANBAN-00025,Battery & eDrive Plant CN,Assembly Plant CN
MAT-111798,G-17-2,3104,KANBAN-00026,Battery & eDrive Plant CN,Assembly Plant CN
MAT-257699,H-01-5,2247,KANBAN-00027,Battery & eDrive Plant CN,Assembly Plant CN
MAT-121494,E-08-1,672,KANBAN-00028,Battery & eDrive Plant CN,Assembly Plant CN
MAT-468225,B-24-2,3867,KANBAN-00029,Battery & eDrive Plant CN,Assembly Plant CN
MAT-162976,B-26-5,4253,KANBAN-00030,Battery & eDrive Plant CN,Assembly Plant CN
MAT-778085,C-17-1,1480,KANBAN-00031,Battery & eDrive Plant CN,Assembly Plant CN
MAT-185667,H-03-3,3588,KANBAN-00032,Battery & eDrive Plant CN,Assembly Plant CN
MAT-872411,G-23-4,4848,KANBAN-00033,Battery & eDrive Plant CN,Assembly Plant CN
MAT-887658,C-10-3,4300,KANBAN-00034,Battery & eDrive Plant CN,Assembly Plant CN
MAT-627938,E-12-3,1137,KANBAN-00035,Battery & eDrive Plant CN,Assembly Plant CN
MAT-724463,A-18-3,422,KANBAN-00036,Battery & eDrive Plant CN,Assembly Plant CN
MAT-415975,B-17-4,3552,KANBAN-00037,Battery & eDrive Plant CN,Assembly Plant CN
MAT-510705,A-02-5,890,KANBAN-00038,Battery & eDrive Plant CN,Assembly Plant CN
MAT-639505,H-27-1,1049,KANBAN-00039,Battery & eDrive Plant CN,Assembly Plant CN
MAT-224647,C-14-1,2377,KANBAN-00040,Battery & eDrive Plant CN,Assembly Plant CN
