OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2130001,ASSET-00001,Emergency,515,1007,000130000001
WO-2130002,ASSET-00001,Preventive,0,,000130000001
WO-2130003,ASSET-00001,Corrective,224,915,000130000001
WO-2130004,ASSET-00001,Preventive,0,,000130000001
WO-2130005,ASSET-00002,Preventive,0,,000130000002
WO-2130006,ASSET-00002,Preventive,0,,000130000002
WO-2130007,ASSET-00002,Preventive,0,,000130000002
WO-2130008,ASSET-00002,Corrective,77,1850,000130000002
WO-2130009,ASSET-00003,Preventive,0,,000130000003
WO-2130010,ASSET-00003,Preventive,0,,000130000003
WO-2130011,ASSET-00003,Preventive,0,,000130000003
WO-2130012,ASSET-00004,Preventive,0,,000130000004
WO-2130013,ASSET-00004,Corrective,228,1419,000130000004
WO-2130014,ASSET-00004,Preventive,0,,000130000004
WO-2130015,ASSET-00005,Preventive,0,,000130000005
WO-2130016,ASSET-00005,Corrective,183,1749,000130000005
WO-2130017,ASSET-00005,Preventive,0,,000130000005
WO-2130018,ASSET-00005,Corrective,102,1222,000130000005
WO-2130019,ASSET-00005,Preventive,0,,000130000005
WO-2130020,ASSET-00005,Preventive,0,,000130000005
WO-2130021,ASSET-00005,Preventive,0,,000130000005
WO-2130022,ASSET-00005,Preventive,0,,000130000005
WO-2130023,ASSET-00005,Preventive,0,,000130000005
WO-2130024,ASSET-00005,Corrective,125,1354,000130000005
WO-2130025,ASSET-00006,Preventive,0,,000130000006
WO-2130026,ASSET-00006,Preventive,0,,000130000006
WO-2130027,ASSET-00006,Preventive,0,,000130000006
WO-2130028,ASSET-00006,Preventive,0,,000130000006
WO-2130029,ASSET-00006,Preventive,0,,000130000006
WO-2130030,ASSET-00007,Emergency,307,926,000130000007
WO-2130031,ASSET-00007,Corrective,53,1515,000130000007
WO-2130032,ASSET-00007,Corrective,136,752,000130000007
WO-2130033,ASSET-00007,Corrective,159,504,000130000007
WO-2130034,ASSET-00007,Corrective,172,320,000130000007
WO-2130035,ASSET-00007,Preventive,0,,000130000007
WO-2130036,ASSET-00007,Preventive,0,,000130000007
WO-2130037,ASSET-00008,Preventive,0,,000130000008
WO-2130038,ASSET-00008,Corrective,112,1388,000130000008
WO-2130039,ASSET-00008,Preventive,0,,000130000008
WO-2130040,ASSET-00008,Corrective,147,1876,000130000008
WO-2130041,ASSET-00008,Corrective,178,1558,000130000008
WO-2130042,ASSET-00008,Preventive,0,,000130000008
WO-2130043,ASSET-00008,Preventive,0,,000130000008
WO-2130044,ASSET-00009,Preventive,0,,000130000009
