PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1120,000130000001,,247996.01,Bosch Rexroth
P1120,000130000002,Paint Application Robot,317544.48,DMG MORI
P1120,000130000003,Battery Pack Assembly Cell,590185.54,ABB Robotics
P1120,000130000004,Ultrasonic Welding Station,51086.92,Durr AG
P1120,000130000005,Conveyor System,52867.74,ABB Robotics
P1120,000130000006,Automated Guided Vehicle,102109.00,Dematic
P1120,000130000007,Riveting Station,69740.10,Mazak Corporation
P1120,000130000008,Stamping Press,793926.74,ABB Robotics
P1120,000130000009,Stamping Press,1076923.73,KUKA
P1120,000130000010,Injection Molding Machine,421496.41,KUKA
P1120,000130000011,Riveting Station,34819.29,KUKA AG
P1120,000130000012,Battery Pack Assembly Cell,285018.29,ABB Robotics
P1120,000130000013,Laser Welding Cell,180439.81,Kuka Ag
P1120,000130000014,Riveting Station,28181.10,KUKA
P1120,000130000015,Riveting Station,59887.18,Schuler Group
P1120,000130000016,Adhesive Dispensing Unit,60360.26,Schuler Group
P1120,000130000017,Vision Inspection Station,44070.88,Eisenmann
P1120,000130000018,Injection Molding Machine,321940.57,ABB Robotics
P1120,000130000019,Overhead Gantry Loader,92522.21,KUKA AG
P1120,000130000020,Robotic Welding Cell,174509.13,KUKA AG
P1120,000130000021,Battery Pack Assembly Cell,549811.11,Ingersoll Rand
P1120,000130000022,Ultrasonic Welding Station,58597.09,KUKA
P1120,000130000023,Leak Test Station,60727.08,ABB Robotics
P1120,000130000024,Assembly Torque Wrench Station,16516.69,Lincoln Electric
P1120,000130000025,Stamping Press,403675.14,Yaskawa Motoman
P1120,000130000026,Hydraulic Press,183212.75,Miller Electric
P1120,000130000027,Coil Winding Machine,207115.16,KUKA
P1120,000130000028,Assembly Torque Wrench Station,21155.67,Yaskawa Motoman
P1120,000130000029,Stamping Press,1030217.11,Mazak Corporation
P1120,000130000030,Hydraulic Press,250039.63,Hexagon AB
P1120,000130000031,Leak Test Station,41543.73,KUKA
P1120,000130000032,Adhesive Dispensing Unit,37850.37,Eisenmann SE
P1120,000130000033,Wheel Alignment Rig,47013.34,KUKA AG
P1120,000130000034,Coil Winding Machine,129881.50,Schuler Group
P1120,000130000035,Torque Application Unit,43691.76,KUKA
P1120,000130000036,Vision Inspection Station,48982.26,Bosch Rexroth
P1120,000130000037,Adhesive Dispensing Unit,37396.99,DMG MORI
P1120,000130000038,Coil Winding Machine,175388.96,Lincoln
P1120,000130000039,Laser Welding Cell,261460.95,FANUC Corporation
P1120,000130000040,Dimensional Measurement Arm,69756.49,KUKA AG
P1120,000130000041,Conveyor System,72734.06,KUKA AG
P1120,000130000042,Ultrasonic Welding Station,78532.60,Eisenmann
P1120,000130000043,Ultrasonic Welding Station,27958.33,KUKA AG
P1120,000130000044,Hydraulic Press,397623.33,FANUC Corporation
P1120,000130000045,Assembly Torque Wrench Station,26426.27,KUKA AG
P1120,000130000046,Paint Application Robot,231047.15,KUKA AG
P1120,000130000047,Adhesive Dispensing Unit,50315.45,KUKA AG
P1120,000130000048,Induction Heating Unit,81566.71,KUKA AG
P1120,000130000049,Adhesive Dispensing Unit,34509.77,KUKA AG
P1120,000130000050,Adhesive Dispensing Unit,67938.05,FANUC
P1120,000130000051,,496528.31,haas automation
P1120,000130000052,Palletizing Robot,135696.55,Haas Automation
P1120,000130000053,Automated Guided Vehicle,85110.53,Siemens AG
P1120,000130000054,Hydraulic Press,389604.68,ABB Robotics
P1120,000130000055,Torque Application Unit,24146.31,Schuler
P1120,000130000056,Assembly Torque Wrench Station,24480.12,ABB Robotics
P1120,000130000057,Laser Welding Cell,264059.62,Lincoln Electric
P1120,000130000058,Paint Application Robot,176386.68,mazak corporation
P1120,000130000059,Injection Molding Machine,177371.28,Schuler
P1120,000130000060,Battery Pack Assembly Cell,354343.36,KUKA AG
P1120,000130000061,Laser Welding Cell,280072.05,KUKA
P1120,000130000062,Final Functional Test Bench,75777.99,FANUC Corporation
P1120,000130000063,Overhead Gantry Loader,152939.60,FANUC Corporation
P1120,000130000064,Final Functional Test Bench,187295.53,ABB Robotics
P1120,000130000065,Wheel Alignment Rig,75364.61,bosch rexroth
P1120,000130000066,Adhesive Dispensing Unit,88602.40,ABB Robotics
P1120,000130000067,Leak Test Station,61829.51,Yaskawa Motoman
P1120,000130000068,Laser Welding Cell,278797.21,FANUC
P1120,000130000069,CNC Machining Center,263359.85,Yaskawa Motoman
P1120,000130000070,Injection Molding Machine,240485.96,Atlas
P1120,000130000071,CNC Machining Center,306851.45,FANUC Corporation
P1120,000130000072,Dimensional Measurement Arm,72314.38,ABB Robotics
P1120,000130000073,Paint Application Robot,297275.60,KUKA
P1120,000130000074,Injection Molding Machine,444632.40,KUKA
P1120,000130000075,Adhesive Dispensing Unit,47606.41,MAZAK CORPORATION
P1120,000130000076,Torque Application Unit,20581.06,ABB Robotics
P1120,000130000077,Stamping Press,393911.96,YASKAWA MOTOMAN
P1120,000130000078,Overhead Gantry Loader,149713.89,Yaskawa Motoman
P1120,000130000079,Dimensional Measurement Arm,139518.15,Mazak
P1120,000130000080,,223821.63,Siemens
P1120,000130000081,Riveting Station,36640.06,Durr AG
P1120,000130000082,Wheel Alignment Rig,86039.94,FANUC Corporation
P1120,000130000083,Automated Guided Vehicle,94002.59,KUKA AG
P1120,000130000084,,85061.55,Kuka Ag
P1120,000130000085,Induction Heating Unit,73706.43,KUKA AG
P1120,000130000086,Paint Application Robot,279169.54,YASKAWA MOTOMAN
P1120,000130000087,Assembly Torque Wrench Station,24991.07,Mazak Corporation
P1120,000130000088,Coil Winding Machine,170906.01,FANUC Corporation
P1120,000130000089,Screw Fastening Station,29921.68,KUKA AG
P1120,000130000090,Conveyor System,43292.04,Schneider Electric
P1120,000130000091,CNC Machining Center,285514.41,Yaskawa Motoman
P1120,000130000092,Hydraulic Press,172369.74,Mazak Corporation
P1120,000130000093,Adhesive Dispensing Unit,49031.12,Eisenmann SE
P1120,000130000094,Conveyor System,82535.51,KUKA
P1120,000130000095,Vision Inspection Station,87342.89,KUKA AG
P1120,000130000096,Paint Application Robot,273838.17,KUKA
P1120,000130000097,Leak Test Station,60402.19,Ingersoll Rand
P1120,000130000098,Robotic Welding Cell,279692.17,KUKA
P1120,000130000099,CNC Machining Center,389585.97,FANUC Corporation
P1120,000130000100,Leak Test Station,41577.35,ABB Robotics
P1120,000130000101,Assembly Torque Wrench Station,28024.92,ABB Robotics
P1120,000130000102,Induction Heating Unit,82003.14,DMG MORI
P1120,000130000103,Riveting Station,31725.84,Schuler Group
P1120,000130000104,Leak Test Station,32810.17,yaskawa motoman
P1120,000130000105,,380552.65,KUKA
P1120,000130000106,CNC Machining Center,414247.17,ABB Robotics
P1120,000130000107,Automated Guided Vehicle,86789.36,DMG MORI
P1120,000130000108,Adhesive Dispensing Unit,36646.12,AIDA Engineering
P1120,000130000109,Overhead Gantry Loader,152211.64,ABB Robotics
P1120,000130000110,Laser Welding Cell,242912.16,Miller Electric
P1120,000130000111,Wheel Alignment Rig,46161.66,KUKA
P1120,000130000112,Palletizing Robot,156129.44,DMG MORI
P1120,000130000113,Induction Heating Unit,82594.30,AIDA Engineering
P1120,000130000114,Robotic Welding Cell,187232.94,Siemens Ag
P1120,000130000115,Laser Welding Cell,394154.42,Comau
P1120,000130000116,Screw Fastening Station,35790.59,KUKA
P1120,000130000117,Screw Fastening Station,28871.98,KUKA AG
P1120,000130000118,Final Functional Test Bench,194292.46,abb robotics
P1120,000130000119,Final Functional Test Bench,162728.55,Kuka Ag
P1120,000130000120,Screw Fastening Station,22899.81,KUKA
P1120,000130000121,Leak Test Station,56037.03,durr ag
P1120,000130000122,Robotic Welding Cell,160068.21,FANUC Corporation
P1120,000130000123,Torque Application Unit,30240.64,Atlas
P1120,000130000124,Final Functional Test Bench,198907.38,Comau
P1120,000130000125,Wheel Alignment Rig,67195.75,Yaskawa
P1120,000130000126,Palletizing Robot,153112.48,KUKA AG
P1120,000130000127,Ultrasonic Welding Station,63182.69,Fanuc Corporation
P1120,000130000128,Coil Winding Machine,180242.24,MAZAK CORPORATION
P1120,000130000129,Torque Application Unit,16634.80,KUKA
P1120,000130000130,Adhesive Dispensing Unit,73926.15,KUKA AG
P1120,000130000131,Laser Welding Cell,196507.21,Mazak
P1120,000130000132,Battery Pack Assembly Cell,364858.49,FANUC Corporation
P1120,000130000133,Injection Molding Machine,337800.68,Bosch
P1120,000130000134,Overhead Gantry Loader,83169.86,Lincoln Electric
P1120,000130000135,Stamping Press,1199897.89,Ingersoll Rand
P1120,000130000136,Leak Test Station,65903.57,FANUC Corporation
P1120,000130000137,Torque Application Unit,24552.47,KUKA
P1120,000130000138,Dimensional Measurement Arm,52490.46,ABB Robotics
P1120,000130000139,Dimensional Measurement Arm,121967.17,ABB
P1120,000130000140,Hydraulic Press,376652.43,KUKA AG
P1120,000130000141,Adhesive Dispensing Unit,73190.97,AIDA ENGINEERING
P1120,000130000142,Vision Inspection Station,85814.13,KUKA AG
P1120,000130000143,Paint Application Robot,329914.14,KUKA AG
P1120,000130000144,Overhead Gantry Loader,94131.78,KUKA AG
P1120,000130000145,Riveting Station,29964.40,Kuka Ag
P1120,000130000146,Induction Heating Unit,71406.83,DMG MORI
P1120,000130000147,Coil Winding Machine,138728.24,FANUC Corporation
P1120,000130000148,Palletizing Robot,70016.53,Mazak
P1120,000130000149,Overhead Gantry Loader,117257.58,Dematic
P1120,000130000150,Dimensional Measurement Arm,93743.14,Haas Automation
P1120,000130000151,Dimensional Measurement Arm,142603.24,FANUC Corporation
P1120,000130000152,Injection Molding Machine,488536.94,KUKA AG
P1120,000130000153,Hydraulic Press,193928.77,KUKA AG
P1120,000130000154,Ultrasonic Welding Station,51295.66,Dematic
P1120,000130000155,Robotic Welding Cell,218779.45,Carl
P1120,000130000156,Final Functional Test Bench,109778.37,ABB Robotics
P1120,000130000157,Screw Fastening Station,34929.57,KUKA AG
P1120,000130000158,Torque Application Unit,28517.38,Durr AG
P1120,000130000159,Hydraulic Press,233641.74,KUKA AG
P1120,000130000160,Adhesive Dispensing Unit,84249.08,Yaskawa Motoman
P1120,000130000161,Injection Molding Machine,268333.27,KUKA
P1120,000130000162,Final Functional Test Bench,134838.44,Miller Electric
P1120,000130000163,Injection Molding Machine,434608.69,ABB Robotics
P1120,000130000164,Final Functional Test Bench,68894.91,KUKA AG
P1120,000130000165,Injection Molding Machine,434215.90,Yaskawa Motoman
P1120,000130000166,Leak Test Station,54889.51,KUKA AG
P1120,000130000167,Robotic Welding Cell,273815.02,KUKA AG
P1120,000130000168,Induction Heating Unit,83374.66,KUKA AG
P1120,000130000169,Dimensional Measurement Arm,102848.79,KUKA AG
P1120,000130000170,Conveyor System,80805.20,DMG MORI
P1120,000130000171,Automated Guided Vehicle,114321.53,FANUC
P1120,000130000172,,64450.48,Rockwell Automation
P1120,000130000173,Conveyor System,126096.76,YASKAWA MOTOMAN
P1120,000130000174,Paint Application Robot,235503.65,Haas
P1120,000130000175,CNC Machining Center,208567.17,DMG MORI
P1120,000130000176,Adhesive Dispensing Unit,89477.88,Yaskawa Motoman
P1120,000130000177,Coil Winding Machine,81985.28,Schuler Group
P1120,000130000178,Battery Pack Assembly Cell,305721.05,KUKA
P1120,000130000179,Assembly Torque Wrench Station,33399.57,ABB ROBOTICS
P1120,000130000180,Final Functional Test Bench,184718.45,ABB Robotics
P1120,000130000181,Coil Winding Machine,126303.16,Yaskawa Motoman
P1120,000130000182,Wheel Alignment Rig,84971.24,FANUC Corporation
P1120,000130000183,Overhead Gantry Loader,107288.44,ABB Robotics
P1120,000130000184,,266328.20,KUKA AG
P1120,000130000185,Automated Guided Vehicle,58459.95,Siemens
P1120,000130000186,Robotic Welding Cell,183043.02,KUKA AG
P1120,000130000187,Assembly Torque Wrench Station,14935.20,ABB Robotics
P1120,000130000188,Robotic Welding Cell,236810.30,FANUC
P1120,000130000189,Overhead Gantry Loader,153256.64,KUKA AG
P1120,000130000190,Overhead Gantry Loader,105386.30,FANUC Corporation
P1120,000130000191,Adhesive Dispensing Unit,71988.46,Fives Group
P1120,000130000192,,191366.90,fanuc corporation
P1120,000130000193,Torque Application Unit,44615.19,KUKA
P1120,000130000194,Battery Pack Assembly Cell,333069.21,Schuler Group
P1120,000130000195,Battery Pack Assembly Cell,580625.07,ABB Robotics
P1120,000130000196,Battery Pack Assembly Cell,200006.56,fanuc corporation
P1120,000130000197,CNC Machining Center,292873.76,Schuler
P1120,000130000198,Adhesive Dispensing Unit,68006.17,Ingersoll Rand
P1120,000130000199,Dimensional Measurement Arm,145728.88,ABB Robotics
P1120,000130000200,Ultrasonic Welding Station,31604.86,Miller Electric
P1120,000130000201,Riveting Station,57980.82,FANUC CORPORATION
P1120,000130000202,Riveting Station,27520.90,FANUC CORPORATION
P1120,000130000203,Leak Test Station,20748.03,ABB Robotics
P1120,000130000204,Stamping Press,613070.73,Carl Zeiss Industrial Metrology
P1120,000130000205,CNC Machining Center,262393.65,KUKA
P1120,000130000206,Riveting Station,53423.25,Schuler Group
P1120,000130000207,Stamping Press,663791.42,Eisenmann SE
P1120,000130000208,Laser Welding Cell,387943.00,atlas copco
P1120,000130000209,Final Functional Test Bench,61341.47,KUKA AG
P1120,000130000210,Palletizing Robot,148104.06,Lincoln
P1120,000130000211,Torque Application Unit,29095.15,AIDA Engineering
P1120,000130000212,Assembly Torque Wrench Station,23519.43,FANUC
P1120,000130000213,Hydraulic Press,316404.94,Fives Group
P1120,000130000214,Battery Pack Assembly Cell,246896.25,Aida Engineering
P1120,000130000215,Leak Test Station,64057.13,DMG MORI
P1120,000130000216,Coil Winding Machine,118734.53,DMG
P1120,000130000217,Palletizing Robot,154973.03,ABB Robotics
P1120,000130000218,Ultrasonic Welding Station,65808.25,Miller Electric
P1120,000130000219,Ultrasonic Welding Station,58740.53,Miller
P1120,000130000220,Conveyor System,70716.84,FANUC
P1120,000130000221,Overhead Gantry Loader,119563.39,Haas Automation
P1120,000130000222,Automated Guided Vehicle,51529.39,Yaskawa Motoman
P1120,000130000223,Laser Welding Cell,297061.39,yaskawa motoman
P1120,000130000224,Hydraulic Press,312183.82,Durr AG
P1120,000130000225,Robotic Welding Cell,269741.24,ABB Robotics
P1120,000130000226,Conveyor System,126370.10,FANUC Corporation
P1120,000130000227,Adhesive Dispensing Unit,64763.87,Schuler Group
P1120,000130000228,Torque Application Unit,37664.53,Haas
P1120,000130000229,Paint Application Robot,318704.00,FANUC
P1120,000130000230,Conveyor System,66862.28,KUKA AG
P1120,000130000231,Automated Guided Vehicle,95423.48,ABB Robotics
P1120,000130000232,Torque Application Unit,31164.93,Lincoln Electric
P1120,000130000233,Conveyor System,119519.70,FANUC Corporation
P1120,000130000234,Conveyor System,111639.93,LINCOLN ELECTRIC
P1120,000130000235,Ultrasonic Welding Station,44998.86,Durr
P1120,000130000236,Adhesive Dispensing Unit,64763.28,Carl Zeiss Industrial Metrology
P1120,000130000237,Final Functional Test Bench,137057.31,Mazak Corporation
P1120,000130000238,Palletizing Robot,122494.73,Haas Automation
P1120,000130000239,,59379.41,DMG
P1120,000130000240,Final Functional Test Bench,171843.33,ABB
P1120,000130000241,Automated Guided Vehicle,70822.76,FANUC Corporation
P1120,000130000242,Stamping Press,379704.98,ABB
P1120,000130000243,Conveyor System,105044.70,Mazak Corporation
P1120,000130000244,Conveyor System,141462.02,DMG
P1120,000130000245,Overhead Gantry Loader,68677.27,ABB ROBOTICS
P1120,000130000246,Conveyor System,90379.54,Dematic
P1120,000130000247,Screw Fastening Station,35804.63,Schuler
P1120,000130000248,Robotic Welding Cell,228763.80,Yaskawa Motoman
P1120,000130000249,Vision Inspection Station,46547.89,Lincoln Electric
P1120,000130000250,Battery Pack Assembly Cell,401900.20,Haas Automation
P1120,000130000251,Robotic Welding Cell,222265.89,Bosch Rexroth
P1120,000130000252,,24793.97,KUKA AG
P1120,000130000253,Paint Application Robot,156905.09,KUKA
P1120,000130000254,Dimensional Measurement Arm,67746.39,KUKA AG
P1120,000130000255,Automated Guided Vehicle,45542.61,Yaskawa
P1120,000130000256,CNC Machining Center,385471.05,KUKA AG
P1120,000130000257,Leak Test Station,31918.10,Miller Electric
P1120,000130000258,Palletizing Robot,112504.83,KUKA AG
P1120,000130000259,Overhead Gantry Loader,132665.09,KUKA AG
P1120,000130000260,Torque Application Unit,39033.30,Comau
P1120,000130000261,Battery Pack Assembly Cell,235900.42,KUKA AG
P1120,000130000262,Assembly Torque Wrench Station,19432.44,Haas Automation
P1120,000130000263,Leak Test Station,49202.07,Haas Automation
P1120,000130000264,CNC Machining Center,371353.76,Atlas Copco
P1120,000130000265,Automated Guided Vehicle,63781.21,Schneider Electric
P1120,000130000266,Battery Pack Assembly Cell,205743.31,Siemens Ag
P1120,000130000267,Paint Application Robot,179088.17,KUKA
P1120,000130000268,Dimensional Measurement Arm,106149.72,DMG MORI
P1120,000130000269,Overhead Gantry Loader,172896.49,KUKA AG
P1120,000130000270,Ultrasonic Welding Station,63105.62,ABB
P1120,000130000271,Vision Inspection Station,86162.43,ABB Robotics
P1120,000130000272,Riveting Station,34901.40,KUKA AG
P1120,000130000273,Injection Molding Machine,197473.20,KUKA
P1120,000130000274,Stamping Press,882403.11,AIDA Engineering
P1120,000130000275,Laser Welding Cell,306598.35,ABB Robotics
P1120,000130000276,Coil Winding Machine,80506.56,FANUC
P1120,000130000277,Palletizing Robot,130438.61,DMG MORI
P1120,000130000278,Screw Fastening Station,31182.97,Lincoln Electric
P1120,000130000279,Torque Application Unit,21341.90,KUKA
P1120,000130000280,Leak Test Station,46822.44,ABB Robotics
P1120,000130000281,Laser Welding Cell,311506.50,KUKA AG
P1120,000130000282,Conveyor System,56210.89,ABB Robotics
P1120,000130000283,Vision Inspection Station,28699.34,KUKA
P1120,000130000284,Screw Fastening Station,32812.52,KUKA AG
P1120,000130000285,Vision Inspection Station,87878.55,KUKA AG
P1120,000130000286,Laser Welding Cell,368434.88,Schuler Group
P1120,000130000287,Final Functional Test Bench,103019.70,Yaskawa Motoman
P1120,000130000288,Injection Molding Machine,456044.59,ABB Robotics
P1120,000130000289,Automated Guided Vehicle,78100.68,AIDA Engineering
P1120,000130000290,Vision Inspection Station,33978.29,ABB Robotics
P1120,000130000291,Paint Application Robot,206043.00,KUKA AG
P1120,000130000292,Dimensional Measurement Arm,133596.55,KUKA
P1120,000130000293,Induction Heating Unit,57916.12,Mazak Corporation
P1120,000130000294,Coil Winding Machine,116380.66,KUKA AG
P1120,000130000295,Vision Inspection Station,74480.85,Mazak Corporation
P1120,000130000296,Laser Welding Cell,196651.46,Haas Automation
P1120,000130000297,Laser Welding Cell,257579.92,KUKA AG
P1120,000130000298,Laser Welding Cell,391306.99,Carl
P1120,000130000299,Laser Welding Cell,227652.74,ABB Robotics
P1120,000130000300,Coil Winding Machine,159649.21,Haas Automation
P1120,000130000301,Dimensional Measurement Arm,80113.34,ABB Robotics
P1120,000130000302,Screw Fastening Station,13768.98,ABB Robotics
P1120,000130000303,Ultrasonic Welding Station,46882.57,Atlas Copco
P1120,000130000304,Adhesive Dispensing Unit,32679.72,Yaskawa Motoman
P1120,000130000305,Automated Guided Vehicle,103124.41,ABB Robotics
P1120,000130000306,Laser Welding Cell,396915.61,Mazak
P1120,000130000307,Battery Pack Assembly Cell,289180.58,Bosch
P1120,000130000308,Adhesive Dispensing Unit,89429.14,KUKA
P1120,000130000309,,176836.87,Kuka Ag
P1120,000130000310,Stamping Press,763240.40,YASKAWA MOTOMAN
P1120,000130000311,Dimensional Measurement Arm,109137.80,KUKA
P1120,000130000312,Coil Winding Machine,202056.91,Kuka Ag
P1120,000130000313,Coil Winding Machine,174179.07,KUKA AG
P1120,000130000314,Induction Heating Unit,45532.62,ABB Robotics
P1120,000130000315,Wheel Alignment Rig,46247.31,Schneider Electric
P1120,000130000316,Injection Molding Machine,246895.64,FANUC Corporation
P1120,000130000317,Injection Molding Machine,311609.57,KUKA AG
P1120,000130000318,Injection Molding Machine,362250.07,Yaskawa Motoman
P1120,000130000319,Overhead Gantry Loader,87438.95,mazak corporation
P1120,000130000320,Final Functional Test Bench,72618.61,Comau
P1120,000130000321,Final Functional Test Bench,68943.97,KUKA AG
P1120,000130000322,Vision Inspection Station,84920.61,Mazak Corporation
P1120,000130000323,Dimensional Measurement Arm,95717.05,KUKA AG
P1120,000130000324,Dimensional Measurement Arm,115213.68,KUKA AG
