PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0002,SPOT WELD,S01,000130000001,MER-VEH-EV-0001,MER-SEATS-0016
L01,PR-0001,DISPENSING SEALING COMPOUND,S02,000130000002,MER-VEH-EV-0001,MER-ONBOARD-CHARGER-0037
L01,PR-0001,DISPENSING SEALING COMPOUND,S03,000130000003,MER-VEH-EV-0001,MER-DOORS-0004
L01,PR-0076,CUTTING - CENTER CONSOLE,S03,000130000004,MER-VEH-EV-0001,
L01,PR-0008,CLEAR COAT SPRAY,S03,000130000005,MER-VEH-EV-0001,MER-INVERTER-0035
L01,PR-0003,TORQUE FASTENING,S04,000130000006,MER-VEH-EV-0001,
L02,PR-0054,VERIFICATION - CHASSIS FRAME,S01,000130000007,MER-VEH-EV-0001,
L02,PR-0060,GRINDING - REAR AXLE,S02,000130000008,MER-VEH-EV-0001,
L02,PR-0005,LEAK TEST,S03,000130000009,MER-VEH-EV-0001,
L02,PR-0112,MOLDING - GLASS PANEL,S04,000130000010,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L02,PR-0009,STACKING OPERATION,S04,000130000011,MER-VEH-EV-0001,MER-HOOD-0005
L02,PR-0003,TORQUE FASTENING,S04,000130000012,MER-VEH-EV-0001,
L03,PR-0111,TRIMMING OPERATION - RADIATOR CORE,S01,000130000013,MER-VEH-EV-0001,
L03,PR-0001,DISPENSING SEALING COMPOUND,S01,000130000014,MER-VEH-EV-0001,MER-REAR-SUSPENSION-0011
L03,PR-0196,FUEL RAIL ASSEMBLY,S02,000130000015,MER-VEH-EV-0001,MER-DOORS-0004
L03,PR-0021,FOAM MOLDING,S03,000130000016,MER-VEH-EV-0001,MER-ONBOARD-CHARGER-0037
L04,PR-0122,SECURING - HOOD PANEL,S01,000130000017,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L04,PR-0002,SPOT WELD,S02,,MER-VEH-EV-0001,MER-INFOTAINMENT-UNI-0025
L04,PR-0006,ELECTROCOAT DIP,S02,000130000018,MER-VEH-EV-0001,MER-WIRING-HARNESS-0022
L04,PR-0095,DISPENSING - FLOOR PAN,S03,000130000019,MER-VEH-EV-0001,MER-DASHBOARD-0017
L04,PR-0077,FASTENING - EXHAUST MANIFOLD,S03,000130000020,MER-VEH-EV-0001,MER-FENDERS-0008
L04,PR-0094,GRINDING - CHASSIS FRAME,S03,000130000021,MER-VEH-EV-0001,
L05,PR-0003,TORQUE FASTENING,S01,000130000022,MER-VEH-EV-0001,
L05,PR-0021,FOAM MOLDING,S01,000130000023,MER-VEH-EV-0001,MER-BATTERY-HOUSING-0029
L05,PR-0006,ELECTROCOAT DIP,S02,000130000024,MER-VEH-EV-0001,MER-BUMPER-REAR-0007
L05,PR-0004,CAMERA INSPECTION,S03,000130000025,MER-VEH-EV-0001,
L05,PR-0012,CHASSIS SEALING,S04,000130000026,MER-VEH-EV-0001,MER-FRONT-SUSPENSION-0010
L05,PR-0038,SETTING - BODY PANEL,S04,000130000027,MER-VEH-EV-0001,
L05,PR-0012,CHASSIS SEALING,S04,000130000028,MER-VEH-EV-0001,MER-CHARGING-CABLE-0040
L06,PR-0002,SPOT WELD,S01,000130000029,MER-VEH-EV-0001,MER-HOOD-0005
L06,PR-0065,BAKING - SEAT FRAME,S01,000130000030,MER-VEH-EV-0001,
L06,PR-0176,FINISHING - DASHBOARD ASSEMBLY,S02,000130000031,MER-VEH-EV-0001,MER-CHARGE-PORT-0039
L06,PR-0005,LEAK TEST,S02,000130000032,MER-VEH-EV-0001,
L06,PR-0083,DIE STAMPING - ENGINE BLOCK,S03,000130000033,MER-VEH-EV-0001,MER-HOOD-0005
L07,PR-0090,TESTING - WIRE HARNESS,S01,000130000034,MER-VEH-EV-0001,
L07,PR-0003,TORQUE FASTENING,S01,000130000035,MER-VEH-EV-0001,
L07,PR-0035,SEAL APPLICATION - TRANSMISSION HOUSING,S01,000130000036,MER-VEH-EV-0001,MER-HEADLINER-0020
L07,PR-0140,MACHINING - SEAT FRAME,S02,000130000037,MER-VEH-EV-0001,
L07,PR-0043,INSPECTION - DOOR MODULE,S02,000130000038,MER-VEH-EV-0001,
L07,PR-0001,DISPENSING SEALING COMPOUND,S02,000130000039,MER-VEH-EV-0001,MER-LIGHTING-SYSTEM-0024
L07,PR-0020,WIRE CRIMPING,S03,000130000040,MER-VEH-EV-0001,MER-BUMPER-FRONT-0006
