QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-DE-00001,MER-BUMPER-REAR-0007,SURFACE-SCRATCH,ASY-S03,Rework,203,Closed
NCR-DE-00002,MER-LIGHTING-SYSTEM-0024,MATERIAL-CONTAMINATION,ASY-S03,Scrap,172,Closed
NCR-DE-00003,MER-DC-DC-CONVERTER-0036,PAINT-RUNS,ASY-S02,Rework,262,Closed
NCR-DE-00004,MER-DASHBOARD-0017,WELD-MISALIGN,ASY-S03,Rework,191,Closed
NCR-DE-00005,MER-FENDERS-0008,WELD-MISALIGN,ASY-S01,Rework,470,Open-D7
NCR-DE-00006,MER-INFOTAINMENT-UNI-0025,ASSY-WRONG-PART,ASY-S02,Rework,200,Closed
NCR-DE-00007,MER-STEERING-SYSTEM-0013,SEAL-LEAK,ASY-S02,Rework,221,Closed
NCR-DE-00008,MER-VEH-EV-0001,WELD-UNDERCUT,ASY-S03,Rework,327,Open-D5
NCR-DE-00009,MER-BRAKE-SYSTEM-0012,WELD-POROSITY,ASY-S01,Rework,444,Closed
NCR-DE-00010,MER-DOORS-0004,ASSY-WRONG-PART,ASY-S02,Scrap,170,Closed
NCR-DE-00011,MER-ROTOR-0032,SEAL-LEAK,ASY-S01,Rework,481,Closed
NCR-DE-00012,MER-VEH-EV-0001,ELEC-CONNECTOR-MISMATE,ASY-S03,Scrap,475,Open-D4
NCR-DE-00013,MER-BODY-SHELL-0003,WELD-POROSITY,ASY-S01,Scrap,26,Closed
NCR-DE-00014,MER-INFOTAINMENT-UNI-0025,ASSY-CROSS-THREAD,ASY-S03,Scrap,301,Closed
NCR-DE-00015,MER-DC-DC-CONVERTER-0036,ASSY-CROSS-THREAD,ASY-S02,Use-As-Is,416,Open-D6
NCR-DE-00016,MER-SEATS-0016,ASSY-WRONG-PART,ASY-S01,Use-As-Is,172,Closed
NCR-DE-00017,MER-BATTERY-MANAGEME-0028,DIM-OUT-OF-TOLERANCE,ASY-S03,Scrap,59,Closed
NCR-DE-00018,MER-HEADLINER-0020,ASSY-MISSING-FASTENER,ASY-S01,Use-As-Is,441,Closed
NCR-DE-00019,MER-BRAKE-SYSTEM-0012,WELD-POROSITY,ASY-S01,Use-As-Is,432,Open-D2
NCR-DE-00020,MER-CHARGING-CABLE-0040,ASSY-CROSS-THREAD,ASY-S02,Rework,260,Open-D6
NCR-DE-00021,MER-VEH-EV-0001,ELEC-SHORT-CIRCUIT,ASY-S03,Scrap,495,Closed
NCR-DE-00022,MER-WHEELS-0014,SURFACE-SCRATCH,ASY-S02,Scrap,71,Open-D3
NCR-DE-00023,MER-VEH-EV-0001,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,328,Closed
NCR-DE-00024,MER-WIRING-HARNESS-0022,SURFACE-SCRATCH,ASY-S03,Rework,396,Open-D7
NCR-DE-00025,MER-CHARGE-PORT-0039,DIM-GAP-FLUSH,ASY-S02,Rework,354,Closed
NCR-DE-00026,MER-DOOR-PANELS-0019,SURFACE-SCRATCH,ASY-S01,Use-As-Is,287,Closed
NCR-DE-00027,MER-FENDERS-0008,PAINT-RUNS,ASY-S02,Rework,490,Open-D6
NCR-DE-00028,MER-ROTOR-0032,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,60,Closed
NCR-DE-00029,MER-BUMPER-FRONT-0006,DIM-OUT-OF-TOLERANCE,ASY-S04,Rework,379,Open-D3
NCR-DE-00030,MER-LIGHTING-SYSTEM-0024,WELD-POROSITY,ASY-S03,Rework,121,Closed
NCR-DE-00031,MER-INVERTER-0035,WELD-MISALIGN,ASY-S02,Rework,229,Closed
NCR-DE-00032,MER-BODY-SHELL-0003,ELEC-OPEN-CIRCUIT,ASY-S04,Scrap,51,Closed
NCR-DE-00033,MER-DOOR-PANELS-0019,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,474,Closed
NCR-DE-00034,MER-BRAKE-SYSTEM-0012,PAINT-RUNS,ASY-S01,Scrap,82,Closed
NCR-DE-00035,MER-INFOTAINMENT-UNI-0025,PAINT-ORANGE-PEEL,ASY-S02,Use-As-Is,461,Closed
NCR-DE-00036,MER-WIRING-HARNESS-0022,WELD-UNDERCUT,ASY-S01,Rework,198,Closed
NCR-DE-00037,MER-LIGHTING-SYSTEM-0024,WELD-POROSITY,ASY-S01,Rework,202,Open-D7
NCR-DE-00038,MER-FENDERS-0008,MATERIAL-CONTAMINATION,ASY-S02,Scrap,212,Closed
NCR-DE-00039,MER-HOOD-0005,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,281,Closed
NCR-DE-00040,MER-MOTOR-HOUSING-0033,SEAL-LEAK,ASY-S02,Use-As-Is,307,Closed
NCR-DE-00041,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,ASY-S02,Scrap,289,Open-D3
NCR-DE-00042,MER-BODY-SHELL-0003,PAINT-BLISTER,ASY-S01,Rework,255,Closed
NCR-DE-00043,MER-BRAKE-SYSTEM-0012,PAINT-ORANGE-PEEL,ASY-S03,Use-As-Is,450,Closed
NCR-DE-00044,MER-CENTER-CONSOLE-0018,ASSY-WRONG-PART,ASY-S02,Rework,359,Open-D7
NCR-DE-00045,MER-DASHBOARD-0017,PAINT-ORANGE-PEEL,ASY-S02,Rework,108,Open-D6
NCR-DE-00046,MER-SEATS-0016,PAINT-BLISTER,ASY-S03,Rework,250,Closed
NCR-DE-00047,MER-WIRING-HARNESS-0022,WELD-MISALIGN,ASY-S02,Rework,75,Open-D5
NCR-DE-00048,MER-BODY-SHELL-0003,PAINT-RUNS,ASY-S02,Rework,442,Closed
NCR-DE-00049,MER-WIRING-HARNESS-0022,WELD-MISALIGN,ASY-S04,Rework,388,Open-D1
NCR-DE-00050,MER-BODY-SHELL-0003,ASSY-CROSS-THREAD,ASY-S04,Rework,353,Closed
NCR-DE-00051,MER-DOORS-0004,ELEC-OPEN-CIRCUIT,ASY-S03,Rework,265,Closed
NCR-DE-00052,MER-VEH-EV-0001,WELD-UNDERCUT,ASY-S02,Rework,451,Closed
NCR-DE-00053,MER-SEATS-0016,ELEC-CONNECTOR-MISMATE,ASY-S04,Rework,466,Closed
NCR-DE-00054,MER-HOOD-0005,MATERIAL-CONTAMINATION,ASY-S04,Use-As-Is,496,Open-D3
NCR-DE-00055,MER-HOOD-0005,MATERIAL-CONTAMINATION,ASY-S01,Scrap,448,Closed
NCR-DE-00056,MER-BUMPER-FRONT-0006,WELD-POROSITY,ASY-S04,Scrap,302,Closed
NCR-DE-00057,MER-INFOTAINMENT-UNI-0025,PAINT-RUNS,ASY-S01,Rework,220,Open-D5
NCR-DE-00058,MER-DOOR-PANELS-0019,ELEC-OPEN-CIRCUIT,ASY-S03,Scrap,162,Open-D2
NCR-DE-00059,MER-FENDERS-0008,SEAL-LEAK,ASY-S02,Use-As-Is,263,Closed
NCR-DE-00060,MER-INVERTER-0035,MATERIAL-CONTAMINATION,ASY-S03,Rework,43,Closed
NCR-DE-00061,MER-BODY-SHELL-0003,SEAL-LEAK,ASY-S03,Rework,262,Open-D1
NCR-DE-00062,MER-LIGHTING-SYSTEM-0024,DIM-GAP-FLUSH,ASY-S02,Scrap,67,Open-D8
NCR-DE-00063,MER-INVERTER-0035,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,294,Open-D3
NCR-DE-00064,MER-INVERTER-0035,WELD-POROSITY,ASY-S01,Scrap,475,Closed
NCR-DE-00065,MER-DC-DC-CONVERTER-0036,WELD-UNDERCUT,ASY-S01,Scrap,37,Closed
NCR-DE-00066,MER-BUMPER-FRONT-0006,ASSY-MISSING-FASTENER,ASY-S04,Scrap,87,Open-D4
NCR-DE-00067,MER-ONBOARD-CHARGER-0037,WELD-MISALIGN,ASY-S02,Rework,113,Closed
NCR-DE-00068,MER-FENDERS-0008,ASSY-CROSS-THREAD,ASY-S04,Scrap,152,Open-D1
NCR-DE-00069,MER-CHARGING-CABLE-0040,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,320,Open-D5
NCR-DE-00070,MER-BATTERY-MANAGEME-0028,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,338,Open-D3
NCR-DE-00071,MER-HEADLINER-0020,ASSY-MISSING-FASTENER,ASY-S01,Rework,152,Closed
NCR-DE-00072,MER-ROTOR-0032,ELEC-OPEN-CIRCUIT,ASY-S04,Scrap,382,Open-D8
NCR-DE-00073,MER-DOORS-0004,ASSY-CROSS-THREAD,ASY-S02,Use-As-Is,272,Open-D5
NCR-DE-00074,MER-ROTOR-0032,ASSY-MISSING-FASTENER,ASY-S03,Rework,37,Open-D4
NCR-DE-00075,MER-LIGHTING-SYSTEM-0024,ASSY-MISSING-FASTENER,ASY-S02,Rework,93,Closed
NCR-DE-00076,MER-ONBOARD-CHARGER-0037,ASSY-CROSS-THREAD,ASY-S04,Rework,447,Closed
NCR-DE-00077,MER-DASHBOARD-0017,WELD-MISALIGN,ASY-S02,Rework,23,Open-D3
NCR-DE-00078,MER-LOW-VOLTAGE-BATT-0023,PAINT-RUNS,ASY-S01,Rework,365,Closed
NCR-DE-00079,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,ASY-S01,Rework,116,Closed
NCR-DE-00080,MER-ONBOARD-CHARGER-0037,SURFACE-SCRATCH,ASY-S02,Rework,66,Closed
NCR-DE-00081,MER-BATTERY-CELL-MOD-0027,WELD-UNDERCUT,ASY-S02,Use-As-Is,247,Open-D2
NCR-DE-00082,MER-CHARGE-PORT-0039,PAINT-BLISTER,ASY-S01,Rework,329,Closed
NCR-DE-00083,MER-STATOR-0031,PAINT-BLISTER,ASY-S04,Rework,110,Closed
NCR-DE-00084,MER-CHARGING-CABLE-0040,MATERIAL-CONTAMINATION,ASY-S01,Rework,333,Open-D8
NCR-DE-00085,MER-INVERTER-0035,MATERIAL-CONTAMINATION,ASY-S03,Rework,436,Closed
NCR-DE-00086,MER-WHEELS-0014,ASSY-CROSS-THREAD,ASY-S02,Use-As-Is,233,Closed
NCR-DE-00087,MER-BUMPER-REAR-0007,PAINT-RUNS,ASY-S01,Rework,493,Open-D7
NCR-DE-00088,MER-REAR-SUSPENSION-0011,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,414,Closed
NCR-DE-00089,MER-CHARGING-CABLE-0040,ASSY-WRONG-PART,ASY-S01,Use-As-Is,301,Closed
NCR-DE-00090,MER-LOW-VOLTAGE-BATT-0023,SEAL-LEAK,ASY-S03,Use-As-Is,393,Closed
NCR-DE-00091,MER-WHEELS-0014,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,451,Open-D2
NCR-DE-00092,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,ASY-S03,Rework,278,Closed
NCR-DE-00093,MER-INFOTAINMENT-UNI-0025,SURFACE-SCRATCH,ASY-S01,Use-As-Is,453,Open-D5
NCR-DE-00094,MER-SEATS-0016,SEAL-LEAK,ASY-S02,Scrap,331,Closed
NCR-DE-00095,MER-BRAKE-SYSTEM-0012,PAINT-BLISTER,ASY-S01,Rework,220,Open-D2
NCR-DE-00096,MER-FRONT-SUSPENSION-0010,ELEC-CONNECTOR-MISMATE,ASY-S03,Rework,215,Open-D1
NCR-DE-00097,MER-LIGHTING-SYSTEM-0024,WELD-UNDERCUT,ASY-S01,Rework,377,Closed
