CharID,Station,Reading,USL,LSL
K1001,S01,125.488,129.13,119.941
K1001,S01,123.05,129.13,119.941
K1001,S01,125.976,129.13,119.941
K1001,S01,122.788,129.13,119.941
K1001,S01,122.523,129.13,119.941
K1002,S01,160.831,161.604,159.733
K1002,S01,159.8,161.604,159.733
K1002,S01,160.786,161.604,159.733
K1002,S01,160.465,161.604,159.733
K1003,S01,81.434,82.351,79.191
K1003,S01,80.786,82.351,79.191
K1004,S02,59.982,62.785,56.514
K1004,S02,60.506,62.785,56.514
K1005,S02,90.73,93.193,89.346
K1005,S02,91.365,93.193,89.346
K1005,S02,90.977,93.193,89.346
K1006,S02,44.086,46.487,38.043
K1006,S02,42.184,46.487,38.043
K1006,S02,42.916,46.487,38.043
K1006,S02,42.395,46.487,38.043
K1007,S03,50.487,54.524,47.018
K1007,S03,51.312,54.524,47.018
K1007,S03,50.291,54.524,47.018
K1007,S03,50.684,54.524,47.018
K1007,S03,51.454,54.524,47.018
K1008,S03,141.767,145.206,136.931
K1008,S03,139.869,145.206,136.931
K1008,S03,140.577,145.206,136.931
K1008,S03,140.942,145.206,136.931
K1009,S03,198.397,202.002,194.921
K1009,S03,198.162,202.002,194.921
K1009,S03,199.027,202.002,194.921
K1009,S03,199.256,202.002,194.921
K1009,S03,199.554,202.002,194.921
K1010,S04,166.407,170.585,162.674
K1010,S04,168.119,170.585,162.674
K1010,S04,168.997,170.585,162.674
K1010,S04,166.441,170.585,162.674
K1010,S04,167.087,170.585,162.674
K1011,S01,108.048,109.428,106.578
K1011,S01,108.071,109.428,106.578
K1011,S01,108.023,109.428,106.578
K1011,S01,107.9,109.428,106.578
K1011,S01,108.084,109.428,106.578
K1012,S01,38.46,40.319,36.653
K1012,S01,38.425,40.319,36.653
K1012,S01,38.282,40.319,36.653
K1012,S01,38.26,40.319,36.653
K1012,S01,38.144,40.319,36.653
K1013,S01,193.569,200.083,190.104
K1013,S01,193.918,200.083,190.104
K1013,S01,192.859,200.083,190.104
K1013,S01,194.533,200.083,190.104
K1013,S01,196.933,200.083,190.104
K1014,S02,42.343,44.623,40.767
K1014,S02,42.649,44.623,40.767
K1014,S02,42.736,44.623,40.767
K1014,S02,42.831,44.623,40.767
K1014,S02,42.961,44.623,40.767
K1015,S03,130.735,135.281,127.883
K1015,S03,131.901,135.281,127.883
K1016,S03,91.884,94.611,91.497
K1016,S03,92.704,94.611,91.497
K1016,S03,92.923,94.611,91.497
K1017,S04,174.159,178.935,170.648
K1017,S04,173.92,178.935,170.648
K1017,S04,172.903,178.935,170.648
K1018,S04,101.718,103.974,98.861
K1018,S04,99.221,103.974,98.861
K1018,S04,101.374,103.974,98.861
K1019,S04,166.058,168.0,164.481
K1019,S04,166.377,168.0,164.481
K1019,S04,165.707,168.0,164.481
K1019,S04,165.654,168.0,164.481
K1020,S01,64.181,67.061,60.931
K1020,S01,64.435,67.061,60.931
K1021,S02,106.374,110.194,103.047
K1021,S02,106.272,110.194,103.047
K1021,S02,106.783,110.194,103.047
K1021,S02,107.888,110.194,103.047
K1021,S02,104.84,110.194,103.047
K1022,S02,143.327,145.603,140.758
K1022,S02,142.954,145.603,140.758
K1022,S02,145.183,145.603,140.758
K1022,S02,145.028,145.603,140.758
K1022,S02,142.206,145.603,140.758
K1023,S03,72.653,75.922,69.064
K1023,S03,73.596,75.922,69.064
K1023,S03,73.536,75.922,69.064
K1023,S03,70.939,75.922,69.064
K1024,S01,113.892,117.948,109.853
K1024,S01,113.498,117.948,109.853
K1024,S01,114.25,117.948,109.853
K1024,S01,113.694,117.948,109.853
K1025,S01,67.806,68.602,59.492
K1025,S01,65.782,68.602,59.492
K1025,S01,63.326,68.602,59.492
K1025,S01,65.734,68.602,59.492
K1026,S02,198.854,200.9,197.274
K1026,S02,198.566,200.9,197.274
K1026,S02,199.12,200.9,197.274
K1026,S02,197.937,200.9,197.274
K1026,S02,199.88,200.9,197.274
K1027,S03,182.521,185.218,179.535
K1027,S03,182.62,185.218,179.535
K1027,S03,182.411,185.218,179.535
K1027,S03,182.793,185.218,179.535
K1028,S03,161.445,165.162,155.774
K1028,S03,158.373,165.162,155.774
K1028,S03,161.239,165.162,155.774
K1028,S03,159.512,165.162,155.774
K1028,S03,161.875,165.162,155.774
K1029,S03,36.273,36.93,35.202
K1029,S03,36.018,36.93,35.202
K1029,S03,36.493,36.93,35.202
K1029,S03,36.219,36.93,35.202
K1029,S03,36.457,36.93,35.202
K1030,S01,58.361,59.642,57.473
K1030,S01,58.759,59.642,57.473
K1031,S01,77.266,84.223,74.247
K1031,S01,80.518,84.223,74.247
K1031,S01,79.193,84.223,74.247
K1032,S02,134.205,135.636,131.998
K1032,S02,134.406,135.636,131.998
K1033,S02,159.988,163.8,155.38
K1033,S02,158.931,163.8,155.38
K1033,S02,160.386,163.8,155.38
K1033,S02,160.09,163.8,155.38
K1033,S02,158.334,163.8,155.38
K1034,S02,150.515,150.069,143.173
K1034,S02,147.445,150.069,143.173
K1035,S03,59.941,63.071,53.913
K1035,S03,58.012,63.071,53.913
K1035,S03,57.483,63.071,53.913
K1035,S03,58.891,63.071,53.913
K1035,S03,56.82,63.071,53.913
K1036,S03,169.562,175.04,166.115
K1036,S03,170.625,175.04,166.115
K1036,S03,170.376,175.04,166.115
K1036,S03,172.55,175.04,166.115
K1036,S03,171.776,175.04,166.115
K1037,S03,65.866,68.942,60.961
K1037,S03,64.716,68.942,60.961
K1038,S04,75.665,79.233,72.705
K1038,S04,75.434,79.233,72.705
K1038,S04,76.199,79.233,72.705
K1039,S01,152.554,154.012,150.161
K1039,S01,152.79,154.012,150.161
K1040,S01,100.702,101.556,100.335
K1040,S01,100.971,101.556,100.335
K1040,S01,101.031,101.556,100.335
K1040,S01,100.971,101.556,100.335
K1040,S01,100.713,101.556,100.335
K1041,S01,163.79,164.308,162.665
K1041,S01,163.219,164.308,162.665
K1041,S01,163.606,164.308,162.665
K1041,S01,163.001,164.308,162.665
K1042,S02,20.44,21.313,19.671
K1042,S02,20.777,21.313,19.671
K1042,S02,20.254,21.313,19.671
K1043,S02,139.16,141.723,137.466
K1043,S02,139.999,141.723,137.466
K1043,S02,139.925,141.723,137.466
K1043,S02,139.435,141.723,137.466
K1044,S03,133.152,135.205,131.753
K1044,S03,133.077,135.205,131.753
K1044,S03,133.535,135.205,131.753
K1044,S03,133.479,135.205,131.753
K1044,S03,133.063,135.205,131.753
K1045,S03,146.242,148.533,144.414
K1045,S03,146.189,148.533,144.414
K1045,S03,146.584,148.533,144.414
K1046,S03,114.106,119.039,111.597
K1046,S03,115.623,119.039,111.597
K1046,S03,114.964,119.039,111.597
K1047,S01,117.488,118.806,116.357
K1047,S01,117.639,118.806,116.357
K1047,S01,117.184,118.806,116.357
K1047,S01,117.455,118.806,116.357
K1048,S01,126.26,129.133,124.109
K1048,S01,126.534,129.133,124.109
K1048,S01,126.397,129.133,124.109
K1048,S01,126.69,129.133,124.109
K1048,S01,126.716,129.133,124.109
K1049,S01,67.097,70.063,63.851
K1049,S01,67.581,70.063,63.851
K1050,S02,187.572,190.777,184.808
K1050,S02,187.898,190.777,184.808
K1050,S02,188.222,190.777,184.808
K1050,S02,188.111,190.777,184.808
K1051,S03,21.118,22.596,19.152
K1051,S03,21.168,22.596,19.152
K1051,S03,21.202,22.596,19.152
K1051,S03,20.969,22.596,19.152
K1052,S04,165.942,171.0,162.377
K1052,S04,165.992,171.0,162.377
K1052,S04,166.052,171.0,162.377
K1052,S04,167.377,171.0,162.377
K1052,S04,167.051,171.0,162.377
K1053,S04,67.622,72.8,63.062
K1053,S04,67.056,72.8,63.062
K1053,S04,68.632,72.8,63.062
K1053,S04,68.84,72.8,63.062
K1054,S01,103.524,107.979,98.617
K1054,S01,104.234,107.979,98.617
K1054,S01,102.765,107.979,98.617
K1054,S01,102.932,107.979,98.617
K1054,S01,103.013,107.979,98.617
K1055,S02,188.934,189.551,188.087
K1055,S02,188.927,189.551,188.087
K1055,S02,189.008,189.551,188.087
K1056,S02,38.606,40.762,36.146
K1056,S02,38.028,40.762,36.146
K1056,S02,38.253,40.762,36.146
K1056,S02,38.466,40.762,36.146
K1057,S02,41.629,43.78,42.052
K1057,S02,42.476,43.78,42.052
K1057,S02,42.748,43.78,42.052
K1057,S02,43.315,43.78,42.052
K1057,S02,43.664,43.78,42.052
K1058,S01,143.753,144.763,142.9
K1058,S01,144.169,144.763,142.9
K1059,S02,137.706,138.461,137.1
K1059,S02,137.911,138.461,137.1
K1059,S02,137.778,138.461,137.1
K1059,S02,137.938,138.461,137.1
