PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-598085,C-16-5,1489,Battery & eDrive Plant PL,Assembly Plant DE
MAT-446945,H-26-3,1300,Battery & eDrive Plant PL,Assembly Plant DE
MAT-456075,H-05-5,1420,Battery & eDrive Plant PL,Assembly Plant DE
MAT-526391,G-04-4,4415,Battery & eDrive Plant PL,Assembly Plant DE
MAT-154556,A-14-4,1576,Battery & eDrive Plant PL,Assembly Plant DE
MAT-779297,A-09-1,2757,Battery & eDrive Plant PL,Assembly Plant DE
MAT-548118,D-25-4,2634,Battery & eDrive Plant PL,Assembly Plant DE
MAT-736372,C-04-5,3987,Battery & eDrive Plant PL,Assembly Plant DE
MAT-205970,C-16-1,4927,Battery & eDrive Plant PL,Assembly Plant DE
MAT-321086,G-29-2,3142,Battery & eDrive Plant PL,Assembly Plant DE
MAT-310357,D-03-2,711,Battery & eDrive Plant PL,Assembly Plant DE
MAT-804589,E-24-4,3498,Battery & eDrive Plant PL,Assembly Plant DE
MAT-919137,A-10-4,2524,Battery & eDrive Plant PL,Assembly Plant DE
MAT-441676,G-18-2,4965,Battery & eDrive Plant PL,Assembly Plant DE
MAT-126244,A-03-3,1087,Battery & eDrive Plant PL,Assembly Plant DE
MAT-227109,A-17-4,2483,Battery & eDrive Plant PL,Assembly Plant DE
MAT-690418,B-06-2,1311,Battery & eDrive Plant PL,Assembly Plant DE
MAT-715931,B-11-2,4446,Battery & eDrive Plant PL,Assembly Plant DE
MAT-618916,H-25-4,3875,Battery & eDrive Plant PL,Assembly Plant DE
MAT-200870,C-29-2,3089,Battery & eDrive Plant PL,Assembly Plant DE
MAT-718267,F-18-5,3330,Battery & eDrive Plant PL,Assembly Plant DE
MAT-810396,G-07-2,4819,Battery & eDrive Plant PL,Assembly Plant DE
MAT-617298,C-15-1,1593,Battery & eDrive Plant PL,Assembly Plant DE
MAT-603287,B-15-5,2025,Battery & eDrive Plant PL,Assembly Plant DE
MAT-630319,A-26-1,1166,Battery & eDrive Plant PL,Assembly Plant DE
MAT-552214,B-25-1,4953,Battery & eDrive Plant PL,Assembly Plant DE
MAT-487785,F-28-5,659,Battery & eDrive Plant PL,Assembly Plant DE
MAT-326590,B-12-3,2818,Battery & eDrive Plant PL,Assembly Plant DE
MAT-715061,A-05-3,1557,Battery & eDrive Plant PL,Assembly Plant DE
MAT-752630,B-27-5,3200,Battery & eDrive Plant PL,Assembly Plant DE
MAT-731204,D-25-2,912,Battery & eDrive Plant PL,Assembly Plant DE
MAT-593284,E-21-2,520,Battery & eDrive Plant PL,Assembly Plant DE
MAT-756238,H-01-1,4862,Battery & eDrive Plant PL,Assembly Plant DE
MAT-787087,G-10-1,4236,Battery & eDrive Plant PL,Assembly Plant DE
MAT-204151,H-10-5,195,Battery & eDrive Plant PL,Assembly Plant DE
MAT-978142,H-22-2,3447,Battery & eDrive Plant PL,Assembly Plant DE
MAT-781505,D-20-4,4213,Battery & eDrive Plant PL,Assembly Plant DE
MAT-350615,B-28-5,2217,Battery & eDrive Plant PL,Assembly Plant DE
MAT-911130,G-20-3,4103,Battery & eDrive Plant PL,Assembly Plant DE
MAT-145723,H-17-3,770,Battery & eDrive Plant PL,Assembly Plant DE
MAT-324804,D-08-4,2808,Battery & eDrive Plant PL,Assembly Plant DE
MAT-892155,H-07-2,4105,Battery & eDrive Plant PL,Assembly Plant DE
MAT-263505,C-26-1,146,Battery & eDrive Plant PL,Assembly Plant DE
MAT-339864,H-03-2,1015,Battery & eDrive Plant PL,Assembly Plant DE
MAT-578362,D-12-2,3673,Battery & eDrive Plant PL,Assembly Plant DE
MAT-586872,C-19-4,2090,Battery & eDrive Plant PL,Assembly Plant DE
MAT-210928,F-26-4,4420,Battery & eDrive Plant PL,Assembly Plant DE
MAT-919775,B-08-1,3051,Battery & eDrive Plant PL,Assembly Plant DE
MAT-195140,F-24-5,2294,Battery & eDrive Plant PL,Assembly Plant DE
MAT-432601,H-15-3,4817,Battery & eDrive Plant PL,Assembly Plant DE
MAT-408683,C-05-3,2412,Battery & eDrive Plant PL,Assembly Plant DE
MAT-157547,H-01-1,245,Battery & eDrive Plant PL,Assembly Plant DE
MAT-648676,B-11-5,3025,Battery & eDrive Plant PL,Assembly Plant DE
MAT-851482,D-19-4,1142,Battery & eDrive Plant PL,Assembly Plant DE
MAT-574810,E-01-2,940,Battery & eDrive Plant PL,Assembly Plant DE
MAT-781514,A-19-5,1742,Battery & eDrive Plant PL,Assembly Plant DE
MAT-373316,H-15-3,3360,Battery & eDrive Plant PL,Assembly Plant DE
MAT-781304,B-03-3,2929,Battery & eDrive Plant PL,Assembly Plant DE
MAT-811436,F-09-1,3048,Battery & eDrive Plant PL,Assembly Plant DE
MAT-775349,A-24-3,3558,Battery & eDrive Plant PL,Assembly Plant DE
MAT-962057,F-09-5,3710,Battery & eDrive Plant PL,Assembly Plant DE
