OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2140001,ASSET-00001,Preventive,0,,000140000001
WO-2140002,ASSET-00001,Corrective,136,1820,000140000001
WO-2140003,ASSET-00001,Preventive,0,,000140000001
WO-2140004,ASSET-00002,Preventive,0,,000140000002
WO-2140005,ASSET-00002,Corrective,146,1528,000140000002
WO-2140006,ASSET-00002,Preventive,0,,000140000002
WO-2140007,ASSET-00002,Preventive,0,,000140000002
WO-2140008,ASSET-00002,Corrective,154,1904,000140000002
WO-2140009,ASSET-00003,Preventive,0,,000140000003
WO-2140010,ASSET-00003,Preventive,0,,000140000003
WO-2140011,ASSET-00003,Corrective,181,1503,000140000003
WO-2140012,ASSET-00003,Corrective,88,1637,000140000003
WO-2140013,ASSET-00003,Corrective,123,651,000140000003
WO-2140014,ASSET-00003,Emergency,116,1283,000140000003
WO-2140015,ASSET-00003,Preventive,0,,000140000003
WO-2140016,ASSET-00004,Preventive,0,,000140000004
WO-2140017,ASSET-00004,Preventive,0,,000140000004
WO-2140018,ASSET-00004,Preventive,0,,000140000004
WO-2140019,ASSET-00004,Corrective,153,1572,000140000004
WO-2140020,ASSET-00004,Preventive,0,,000140000004
WO-2140021,ASSET-00004,Preventive,0,,000140000004
WO-2140022,ASSET-00005,Preventive,0,,000140000005
WO-2140023,ASSET-00005,Preventive,0,,000140000005
WO-2140024,ASSET-00005,Corrective,170,396,000140000005
WO-2140025,ASSET-00005,Corrective,52,653,000140000005
WO-2140026,ASSET-00006,Corrective,60,1695,000140000007
WO-2140027,ASSET-00006,Preventive,0,,000140000007
WO-2140028,ASSET-00006,Preventive,0,,000140000007
WO-2140029,ASSET-00006,Corrective,155,1437,000140000007
WO-2140030,ASSET-00006,Emergency,362,1098,000140000007
WO-2140031,ASSET-00007,Preventive,0,,000140000008
WO-2140032,ASSET-00007,Preventive,0,,000140000008
WO-2140033,ASSET-00008,Preventive,0,,000140000009
WO-2140034,ASSET-00008,Corrective,222,284,000140000009
WO-2140035,ASSET-00008,Preventive,0,,000140000009
WO-2140036,ASSET-00009,Corrective,119,1137,000140000010
WO-2140037,ASSET-00009,Preventive,0,,000140000010
WO-2140038,ASSET-00009,Emergency,591,302,000140000010
WO-2140039,ASSET-00010,Preventive,0,,000140000011
WO-2140040,ASSET-00010,Corrective,199,1386,000140000011
WO-2140041,ASSET-00011,Preventive,0,,000140000012
WO-2140042,ASSET-00011,Corrective,85,794,000140000012
WO-2140043,ASSET-00011,Preventive,0,,000140000012
WO-2140044,ASSET-00011,Emergency,166,1699,000140000012
WO-2140045,ASSET-00011,Corrective,217,662,000140000012
WO-2140046,ASSET-00011,Emergency,551,1552,000140000012
WO-2140047,ASSET-00011,Emergency,237,455,000140000012
WO-2140048,ASSET-00012,Preventive,0,,000140000013
WO-2140049,ASSET-00012,Corrective,218,1367,000140000013
WO-2140050,ASSET-00012,Preventive,0,,000140000013
WO-2140051,ASSET-00012,Emergency,126,949,000140000013
WO-2140052,ASSET-00012,Corrective,31,1644,000140000013
WO-2140053,ASSET-00012,Preventive,0,,000140000013
WO-2140054,ASSET-00012,Corrective,70,521,000140000013
WO-2140055,ASSET-00013,Emergency,505,1991,000140000014
WO-2140056,ASSET-00013,Preventive,0,,000140000014
WO-2140057,ASSET-00013,Preventive,0,,000140000014
WO-2140058,ASSET-00013,Emergency,299,625,000140000014
WO-2140059,ASSET-00013,Preventive,0,,000140000014
WO-2140060,ASSET-00014,Preventive,0,,000140000015
WO-2140061,ASSET-00014,Preventive,0,,000140000015
WO-2140062,ASSET-00014,Preventive,0,,000140000015
WO-2140063,ASSET-00014,Preventive,0,,000140000015
WO-2140064,ASSET-00014,Corrective,87,735,000140000015
WO-2140065,ASSET-00015,Preventive,0,,000140000016
WO-2140066,ASSET-00015,Corrective,179,397,000140000016
WO-2140067,ASSET-00015,Preventive,0,,000140000016
WO-2140068,ASSET-00015,Preventive,0,,000140000016
WO-2140069,ASSET-00015,Preventive,0,,000140000016
WO-2140070,ASSET-00015,Preventive,0,,000140000016
WO-2140071,ASSET-00015,Preventive,0,,000140000016
WO-2140072,ASSET-00016,Preventive,0,,000140000017
WO-2140073,ASSET-00016,Preventive,0,,000140000017
WO-2140074,ASSET-00016,Emergency,191,1973,000140000017
WO-2140075,ASSET-00016,Corrective,184,1603,000140000017
WO-2140076,ASSET-00016,Preventive,0,,000140000017
WO-2140077,ASSET-00016,Preventive,0,,000140000017
WO-2140078,ASSET-00017,Preventive,0,,000140000018
WO-2140079,ASSET-00017,Preventive,0,,000140000018
WO-2140080,ASSET-00017,Emergency,259,497,000140000018
WO-2140081,ASSET-00017,Preventive,0,,000140000018
WO-2140082,ASSET-00017,Corrective,82,1730,000140000018
WO-2140083,ASSET-00017,Corrective,239,942,000140000018
WO-2140084,ASSET-00018,Emergency,156,526,
WO-2140085,ASSET-00018,Preventive,0,,
WO-2140086,ASSET-00018,Corrective,234,1146,
WO-2140087,ASSET-00018,Preventive,0,,
WO-2140088,ASSET-00019,Corrective,82,370,000140000019
WO-2140089,ASSET-00019,Preventive,0,,000140000019
WO-2140090,ASSET-00019,Corrective,52,785,000140000019
WO-2140091,ASSET-00019,Preventive,0,,000140000019
WO-2140092,ASSET-00019,Emergency,222,997,000140000019
WO-2140093,ASSET-00019,Corrective,136,470,000140000019
WO-2140094,ASSET-00019,Corrective,192,1181,000140000019
WO-2140095,ASSET-00019,Corrective,234,786,000140000019
WO-2140096,ASSET-00019,Preventive,0,,000140000019
WO-2140097,ASSET-00019,Preventive,0,,000140000019
WO-2140098,ASSET-00020,Preventive,0,,000140000020
WO-2140099,ASSET-00020,Corrective,91,1246,000140000020
WO-2140100,ASSET-00020,Emergency,576,1293,000140000020
WO-2140101,ASSET-00020,Preventive,0,,000140000020
WO-2140102,ASSET-00020,Emergency,427,613,000140000020
WO-2140103,ASSET-00020,Preventive,0,,000140000020
WO-2140104,ASSET-00020,Preventive,0,,000140000020
WO-2140105,ASSET-00020,Preventive,0,,000140000020
WO-2140106,ASSET-00020,Preventive,0,,000140000020
WO-2140107,ASSET-00020,Preventive,0,,000140000020
WO-2140108,ASSET-00021,Preventive,0,,000140000021
WO-2140109,ASSET-00021,Preventive,0,,000140000021
WO-2140110,ASSET-00021,Preventive,0,,000140000021
WO-2140111,ASSET-00021,Preventive,0,,000140000021
WO-2140112,ASSET-00022,Preventive,0,,000140000022
WO-2140113,ASSET-00023,Corrective,89,1425,000140000023
WO-2140114,ASSET-00023,Corrective,145,1829,000140000023
WO-2140115,ASSET-00023,Corrective,41,1131,000140000023
WO-2140116,ASSET-00023,Preventive,0,,000140000023
WO-2140117,ASSET-00023,Preventive,0,,000140000023
WO-2140118,ASSET-00023,Preventive,0,,000140000023
WO-2140119,ASSET-00024,Corrective,125,1535,000140000024
WO-2140120,ASSET-00024,Preventive,0,,000140000024
WO-2140121,ASSET-00024,Preventive,0,,000140000024
WO-2140122,ASSET-00025,Corrective,100,857,000140000025
WO-2140123,ASSET-00025,Preventive,0,,000140000025
WO-2140124,ASSET-00025,Preventive,0,,000140000025
WO-2140125,ASSET-00026,Preventive,0,,000140000026
WO-2140126,ASSET-00026,Corrective,174,1948,000140000026
WO-2140127,ASSET-00026,Preventive,0,,000140000026
WO-2140128,ASSET-00026,Corrective,216,392,000140000026
WO-2140129,ASSET-00027,Preventive,0,,000140000027
WO-2140130,ASSET-00027,Corrective,64,1651,000140000027
WO-2140131,ASSET-00027,Corrective,208,761,000140000027
WO-2140132,ASSET-00027,Preventive,0,,000140000027
WO-2140133,ASSET-00028,Preventive,0,,000140000028
WO-2140134,ASSET-00028,Corrective,222,1699,000140000028
WO-2140135,ASSET-00028,Preventive,0,,000140000028
WO-2140136,ASSET-00029,Emergency,78,974,
WO-2140137,ASSET-00029,Corrective,64,265,
WO-2140138,ASSET-00029,Preventive,0,,
WO-2140139,ASSET-00029,Preventive,0,,
WO-2140140,ASSET-00029,Preventive,0,,
WO-2140141,ASSET-00030,Preventive,0,,000140000029
WO-2140142,ASSET-00030,Preventive,0,,000140000029
WO-2140143,ASSET-00030,Preventive,0,,000140000029
WO-2140144,ASSET-00030,Preventive,0,,000140000029
WO-2140145,ASSET-00030,Preventive,0,,000140000029
WO-2140146,ASSET-00030,Preventive,0,,000140000029
WO-2140147,ASSET-00031,Corrective,39,1623,000140000030
WO-2140148,ASSET-00031,Emergency,560,1874,000140000030
WO-2140149,ASSET-00031,Preventive,0,,000140000030
WO-2140150,ASSET-00031,Preventive,0,,000140000030
WO-2140151,ASSET-00031,Preventive,0,,000140000030
WO-2140152,ASSET-00032,Corrective,31,240,000140000031
WO-2140153,ASSET-00032,Preventive,0,,000140000031
WO-2140154,ASSET-00032,Preventive,0,,000140000031
WO-2140155,ASSET-00032,Corrective,184,776,000140000031
WO-2140156,ASSET-00032,Preventive,0,,000140000031
WO-2140157,ASSET-00033,Preventive,0,,000140000032
WO-2140158,ASSET-00033,Preventive,0,,000140000032
WO-2140159,ASSET-00033,Emergency,336,872,000140000032
WO-2140160,ASSET-00033,Corrective,138,1026,000140000032
WO-2140161,ASSET-00033,Preventive,0,,000140000032
WO-2140162,ASSET-00033,Emergency,181,538,000140000032
WO-2140163,ASSET-00033,Preventive,0,,000140000032
WO-2140164,ASSET-00034,Preventive,0,,
WO-2140165,ASSET-00035,Corrective,121,712,000140000034
WO-2140166,ASSET-00035,Corrective,170,858,000140000034
WO-2140167,ASSET-00036,Corrective,215,1226,000140000035
WO-2140168,ASSET-00036,Corrective,99,1501,000140000035
WO-2140169,ASSET-00036,Corrective,128,1747,000140000035
WO-2140170,ASSET-00036,Corrective,222,1627,000140000035
WO-2140171,ASSET-00036,Corrective,179,420,000140000035
WO-2140172,ASSET-00036,Emergency,114,991,000140000035
WO-2140173,ASSET-00036,Preventive,0,,000140000035
WO-2140174,ASSET-00036,Preventive,0,,000140000035
WO-2140175,ASSET-00037,Corrective,88,287,000140000036
WO-2140176,ASSET-00037,Preventive,0,,000140000036
WO-2140177,ASSET-00037,Emergency,506,1324,000140000036
WO-2140178,ASSET-00037,Emergency,425,1864,000140000036
WO-2140179,ASSET-00037,Corrective,159,1684,000140000036
WO-2140180,ASSET-00037,Preventive,0,,000140000036
WO-2140181,ASSET-00037,Corrective,182,1430,000140000036
WO-2140182,ASSET-00037,Preventive,0,,000140000036
WO-2140183,ASSET-00037,Preventive,0,,000140000036
WO-2140184,ASSET-00038,Corrective,159,1706,
WO-2140185,ASSET-00038,Corrective,60,266,
WO-2140186,ASSET-00038,Emergency,287,1909,
WO-2140187,ASSET-00038,Corrective,50,1564,
WO-2140188,ASSET-00038,Preventive,0,,
WO-2140189,ASSET-00039,Corrective,98,977,000140000037
WO-2140190,ASSET-00039,Preventive,0,,000140000037
WO-2140191,ASSET-00039,Corrective,124,1014,000140000037
WO-2140192,ASSET-00039,Preventive,0,,000140000037
WO-2140193,ASSET-00039,Corrective,163,807,000140000037
WO-2140194,ASSET-00039,Preventive,0,,000140000037
WO-2140195,ASSET-00039,Preventive,0,,000140000037
WO-2140196,ASSET-00039,Emergency,258,1155,000140000037
WO-2140197,ASSET-00039,Preventive,0,,000140000037
WO-2140198,ASSET-00040,Corrective,109,1196,000140000038
