Site_ID,Asset_Tag,Equipment_Description,CostCtr,Book_Value_USD,OEM_Name
P1130,000140000001,Leak Test Station,CC-4356,64450.08,Miller
P1130,000140000002,Leak Test Station,,49811.63,Mazak Corporation
P1130,000140000003,Coil Winding Machine,CC-4358,186254.24,Hexagon
P1130,000140000004,Final Functional Test Bench,CC-4358,167366.22,Schuler Group
P1130,000140000005,Screw Fastening Station,CC-4359,19777.73,KUKA AG
P1130,000140000006,Screw Fastening Station,CC-4356,16926.63,KUKA
P1130,000140000007,Automated Guided Vehicle,CC-4358,42856.06,KUKA AG
P1130,000140000008,Vision Inspection Station,CC-4356,60630.91,Yaskawa
P1130,000140000009,Induction Heating Unit,CC-4356,32490.60,Miller Electric
P1130,000140000010,Dimensional Measurement Arm,CC-4357,125786.81,Dmg Mori
P1130,000140000011,Wheel Alignment Rig,CC-4356,47177.41,Durr AG
P1130,000140000012,Dimensional Measurement Arm,CC-4357,139416.18,KUKA AG
P1130,000140000013,Laser Welding Cell,CC-4356,312363.76,Miller
P1130,000140000014,Final Functional Test Bench,CC-4357,176807.31,KUKA AG
P1130,000140000015,Adhesive Dispensing Unit,CC-4358,57216.32,ABB Robotics
P1130,000140000016,Leak Test Station,CC-4357,43346.79,Dematic
P1130,000140000017,Robotic Welding Cell,CC-4358,122111.69,ABB
P1130,000140000018,Overhead Gantry Loader,CC-4357,60935.03,FANUC Corporation
P1130,000140000019,Laser Welding Cell,CC-4357,203837.89,Fives
P1130,000140000020,Induction Heating Unit,CC-4358,55903.35,Fives Group
P1130,000140000021,Paint Application Robot,CC-4357,191495.88,SCHULER GROUP
P1130,000140000022,Laser Welding Cell,CC-4356,222168.78,Lincoln
P1130,000140000023,Coil Winding Machine,CC-4358,128912.10,KUKA AG
P1130,000140000024,Robotic Welding Cell,CC-4356,133035.96,Bosch Rexroth
P1130,000140000025,Palletizing Robot,CC-4357,91712.40,KUKA AG
P1130,000140000026,Automated Guided Vehicle,CC-4356,47018.31,Miller Electric
P1130,000140000027,Laser Welding Cell,CC-4358,256208.44,ABB
P1130,000140000028,Screw Fastening Station,CC-4358,28763.63,Mazak
P1130,000140000029,Induction Heating Unit,CC-4356,36435.03,KUKA AG
P1130,000140000030,Wheel Alignment Rig,CC-4357,57201.70,ABB
