LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0006,Cathodic Dip Coating,WU1,S01,000140000001,MER-VEH-SUV-0001,MER-CLUTCH-ASSEMBLY-0033
L01,PR-0001,Dispensing Sealing Compound,WU2,S01,000140000002,MER-VEH-SUV-0001,MER-MUFFLER-0041
L01,PR-0001,Dispensing Sealing Compound,WU3,S01,000140000003,MER-VEH-SUV-0001,MER-FUEL-INJECTOR-0038
L01,PR-0032,Testing - Fuel Rail,WU4,S02,000140000004,MER-VEH-SUV-0001,
L01,PR-0027,Crankshaft Machining,WU5,S02,000140000005,MER-VEH-SUV-0001,
L02,PR-0001,Dispensing Sealing Compound,WU6,S01,000140000007,MER-VEH-COMPACT-0001,MER-GEAR-SET-0034
L02,PR-0091,Finishing - Battery Module,WU7,S01,000140000008,MER-VEH-COMPACT-0001,MER-WHEELS-0014
L02,PR-0028,Gear Hobbing,WU8,S02,000140000009,MER-VEH-COMPACT-0001,
L02,PR-0001,Dispensing Sealing Compound,WU9,S03,000140000010,MER-VEH-COMPACT-0001,MER-GEARBOX-HOUSING-0032
L02,PR-0003,Torque Fastening,WU10,S03,000140000011,MER-VEH-COMPACT-0001,
L02,PR-0172,Securing - Center Console,WU11,S03,000140000012,MER-VEH-COMPACT-0001,MER-FENDERS-0008
L02,PR-0006,Cathodic Dip Coating,WU12,S04,000140000013,MER-VEH-COMPACT-0001,MER-WHEELS-0014
L03,PR-0002,Spot Weld,WU13,S01,000140000014,MER-VEH-SUV-0001,MER-STEERING-SYSTEM-0013
L03,PR-0012,Underbody Seam Sealing,WU14,S02,000140000015,MER-VEH-SUV-0001,MER-WIRING-HARNESS-0022
L03,PR-0002,Spot Weld,WU15,S03,000140000016,MER-VEH-SUV-0001,MER-FUEL-PUMP-0037
L03,PR-0059,Drilling - Trunk Lid,WU16,S03,000140000017,MER-VEH-SUV-0001,
L03,PR-0060,Grinding - Rear Axle,WU17,S04,000140000018,MER-VEH-SUV-0001,
L03,PR-0062,Trimming - Wheel Hub,WU18,S04,,MER-VEH-SUV-0001,
L03,PR-0021,Cushion Molding,WU19,S04,000140000019,MER-VEH-SUV-0001,MER-FUEL-PUMP-0037
L04,PR-0033,Milling - Glass Panel,WU20,S01,000140000020,MER-VEH-COMPACT-0001,
L04,PR-0004,Aoi Check,WU21,S02,000140000021,MER-VEH-COMPACT-0001,
L04,PR-0098,Drilling - Battery Module,WU22,S03,000140000022,MER-VEH-COMPACT-0001,
L04,PR-0001,Dispensing Sealing Compound,WU23,S03,000140000023,MER-VEH-COMPACT-0001,MER-FUEL-INJECTOR-0038
L04,PR-0002,Spot Weld,WU24,S03,000140000024,MER-VEH-COMPACT-0001,MER-CATALYTIC-CONVER-0040
L05,PR-0192,Adjustment - Transmission Housing,WU25,S01,000140000025,MER-VEH-COMPACT-0001,
L05,PR-0159,Brake Caliper Drilling,WU26,S02,000140000026,MER-VEH-COMPACT-0001,
L05,PR-0011,Eol Functional Check,WU27,S02,000140000027,MER-VEH-COMPACT-0001,
L05,PR-0011,Eol Functional Check,WU28,S03,000140000028,MER-VEH-COMPACT-0001,
L05,PR-0001,Dispensing Sealing Compound,WU29,S04,,MER-VEH-COMPACT-0001,MER-BODY-SHELL-0003
L06,PR-0027,Crankshaft Machining,WU30,S01,000140000029,MER-VEH-COMPACT-0001,
L06,PR-0001,Dispensing Sealing Compound,WU31,S01,000140000030,MER-VEH-COMPACT-0001,MER-EXHAUST-PIPE-0042
L06,PR-0004,Aoi Check,WU32,S02,000140000031,MER-VEH-COMPACT-0001,
L06,PR-0007,Base Coat Spray,WU33,S03,000140000032,MER-VEH-COMPACT-0001,MER-FUEL-PUMP-0037
L06,PR-0108,Shaping - Seat Frame,WU34,S03,,MER-VEH-COMPACT-0001,MER-GEARBOX-HOUSING-0032
L06,PR-0167,Deflashing - Wire Harness,WU35,S04,000140000034,MER-VEH-COMPACT-0001,
L06,PR-0172,Securing - Center Console,WU36,S04,000140000035,MER-VEH-COMPACT-0001,MER-HOOD-0005
L07,PR-0061,Trimming Operation - Suspension Arm,WU37,S01,000140000036,MER-VEH-COMPACT-0001,
L07,PR-0003,Torque Fastening,WU38,S01,,MER-VEH-COMPACT-0001,
L07,PR-0001,Dispensing Sealing Compound,WU39,S02,000140000037,MER-VEH-COMPACT-0001,MER-GEARBOX-HOUSING-0032
L08,PR-0007,Base Coat Spray,WU40,S01,000140000038,MER-VEH-COMPACT-0001,MER-CRANKSHAFT-0029
L08,PR-0003,Torque Fastening,WU41,S01,000140000039,MER-VEH-COMPACT-0001,
L08,PR-0026,Cam Assembly,WU42,S01,,MER-VEH-COMPACT-0001,MER-BUMPER-FRONT-0006
L08,PR-0005,Leak Test,WU43,S02,000140000040,MER-VEH-COMPACT-0001,
L08,PR-0105,Shaping - Exhaust Manifold,WU44,S02,000140000041,MER-VEH-COMPACT-0001,MER-FRONT-SUSPENSION-0010
L08,PR-0005,Leak Test,WU45,S02,000140000042,MER-VEH-COMPACT-0001,
L09,PR-0005,Leak Test,WU46,S01,000140000043,MER-VEH-COMPACT-0001,
L09,PR-0049,Abrasive Finishing - Door Module,WU47,S01,000140000044,MER-VEH-COMPACT-0001,
L09,PR-0018,Draw Forming,WU48,S01,000140000045,MER-VEH-COMPACT-0001,MER-GEARBOX-HOUSING-0032
L09,PR-0003,Torque Fastening,WU49,S02,000140000046,MER-VEH-COMPACT-0001,
L09,PR-0030,Block Machining,WU50,S02,000140000047,MER-VEH-COMPACT-0001,
L10,PR-0015,Winding Operation,WU51,S01,000140000048,MER-VEH-COMPACT-0001,MER-FENDERS-0008
L10,PR-0001,Dispensing Sealing Compound,WU52,S01,000140000049,MER-VEH-COMPACT-0001,MER-SEATS-0016
L10,PR-0009,Cell Stack Assembly,WU53,S01,000140000050,MER-VEH-COMPACT-0001,MER-CYLINDER-BLOCK-0027
L10,PR-0124,Inspection - Dashboard Assembly,WU54,S02,000140000051,MER-VEH-COMPACT-0001,
L10,PR-0002,Spot Weld,WU55,S02,000140000052,MER-VEH-COMPACT-0001,MER-FUEL-PUMP-0037
