NCR_ID,PartNumber,DefectCode,DetectedAtStation,Disposition,PPM_Rate,EightD_Status
NCR-IN-00001,MER-WHEELS-0014,ELEC-CONNECTOR-MISMATE,ASY-S04,Use-As-Is,422,Closed
NCR-IN-00002,MER-LOW-VOLTAGE-BATT-0023,PAINT-ORANGE-PEEL,ASY-S01,Rework,110,Closed
NCR-IN-00003,MER-BUMPER-FRONT-0006,DIM-GAP-FLUSH,ASY-S02,Rework,141,Closed
NCR-IN-00004,MER-SEATS-0016,ELEC-CONNECTOR-MISMATE,ASY-S02,Rework,419,Open-D2
NCR-IN-00005,MER-STEERING-SYSTEM-0013,ASSY-CROSS-THREAD,ASY-S03,Use-As-Is,23,Open-D5
NCR-IN-00006,MER-BUMPER-FRONT-0006,WELD-POROSITY,ASY-S03,Rework,312,Open-D6
NCR-IN-00007,MER-CRANKSHAFT-0029,PAINT-ORANGE-PEEL,ASY-S04,Rework,34,Closed
NCR-IN-00008,MER-DOORS-0004,ASSY-MISSING-FASTENER,ASY-S04,Use-As-Is,499,Closed
NCR-IN-00009,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,ASY-S04,Scrap,456,Closed
NCR-IN-00010,MER-STEERING-SYSTEM-0013,ELEC-CONNECTOR-MISMATE,ASY-S01,Rework,351,Closed
NCR-IN-00011,MER-CLUTCH-ASSEMBLY-0033,MATERIAL-CONTAMINATION,ASY-S01,Use-As-Is,262,Closed
NCR-IN-00012,MER-BODY-SHELL-0003,DIM-GAP-FLUSH,ASY-S03,Rework,260,Closed
NCR-IN-00013,MER-CYLINDER-HEAD-0028,ASSY-MISSING-FASTENER,ASY-S02,Rework,469,Closed
NCR-IN-00014,MER-BUMPER-FRONT-0006,PAINT-RUNS,ASY-S02,Rework,140,Closed
NCR-IN-00015,MER-FUEL-INJECTOR-0038,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,463,Open-D5
NCR-IN-00016,MER-MUFFLER-0041,ELEC-CONNECTOR-MISMATE,ASY-S02,Use-As-Is,310,Closed
NCR-IN-00017,MER-CATALYTIC-CONVER-0040,SURFACE-SCRATCH,ASY-S04,Use-As-Is,188,Closed
NCR-IN-00018,MER-DOOR-PANELS-0019,PAINT-BLISTER,ASY-S01,Rework,145,Open-D3
NCR-IN-00019,MER-MUFFLER-0041,WELD-POROSITY,ASY-S02,Scrap,133,Closed
NCR-IN-00020,MER-FRONT-SUSPENSION-0010,PAINT-ORANGE-PEEL,ASY-S04,Scrap,421,Closed
NCR-IN-00021,MER-CYLINDER-HEAD-0028,WELD-POROSITY,ASY-S03,Rework,488,Open-D3
NCR-IN-00022,MER-BRAKE-SYSTEM-0012,ELEC-CONNECTOR-MISMATE,ASY-S03,Rework,468,Closed
NCR-IN-00023,MER-BODY-SHELL-0003,ELEC-CONNECTOR-MISMATE,ASY-S02,Scrap,324,Open-D3
NCR-IN-00024,MER-FUEL-PUMP-0037,WELD-POROSITY,ASY-S04,Use-As-Is,426,Closed
NCR-IN-00025,MER-CYLINDER-BLOCK-0027,SURFACE-SCRATCH,ASY-S04,Use-As-Is,252,Closed
NCR-IN-00026,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,ASY-S03,Scrap,174,Open-D3
NCR-IN-00027,MER-GEARBOX-HOUSING-0032,WELD-UNDERCUT,ASY-S01,Use-As-Is,128,Closed
NCR-IN-00028,MER-BODY-SHELL-0003,MATERIAL-CONTAMINATION,ASY-S04,Rework,277,Open-D6
NCR-IN-00029,MER-CLUTCH-ASSEMBLY-0033,ASSY-WRONG-PART,ASY-S04,Rework,189,Closed
NCR-IN-00030,MER-FUEL-TANK-0036,ASSY-CROSS-THREAD,ASY-S02,Rework,398,Closed
NCR-IN-00031,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,405,Closed
NCR-IN-00032,MER-FUEL-TANK-0036,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,491,Closed
NCR-IN-00033,MER-PISTONS-0030,SURFACE-SCRATCH,ASY-S03,Rework,436,Closed
NCR-IN-00034,MER-BUMPER-REAR-0007,WELD-UNDERCUT,ASY-S01,Scrap,161,Closed
NCR-IN-00035,MER-BODY-SHELL-0003,PAINT-RUNS,ASY-S02,Rework,34,Closed
NCR-IN-00036,MER-PISTONS-0030,PAINT-BLISTER,ASY-S01,Scrap,88,Closed
NCR-IN-00037,MER-INFOTAINMENT-UNI-0025,SEAL-LEAK,ASY-S02,Scrap,167,Open-D6
NCR-IN-00038,MER-BUMPER-REAR-0007,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,380,Closed
NCR-IN-00039,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,ASY-S01,Scrap,429,Closed
NCR-IN-00040,MER-BRAKE-SYSTEM-0012,SEAL-LEAK,ASY-S03,Rework,208,Open-D3
NCR-IN-00041,MER-DOOR-PANELS-0019,MATERIAL-CONTAMINATION,ASY-S02,Rework,55,Open-D7
NCR-IN-00042,MER-CATALYTIC-CONVER-0040,WELD-MISALIGN,ASY-S02,Scrap,260,Open-D4
NCR-IN-00043,MER-LIGHTING-SYSTEM-0024,SURFACE-SCRATCH,ASY-S02,Rework,177,Open-D1
NCR-IN-00044,MER-DOOR-PANELS-0019,ELEC-CONNECTOR-MISMATE,ASY-S04,Use-As-Is,445,Closed
NCR-IN-00045,MER-FUEL-PUMP-0037,DIM-OUT-OF-TOLERANCE,ASY-S03,Use-As-Is,171,Closed
NCR-IN-00046,MER-FUEL-PUMP-0037,ASSY-WRONG-PART,ASY-S02,Rework,177,Open-D8
NCR-IN-00047,MER-MUFFLER-0041,ASSY-MISSING-FASTENER,ASY-S02,Rework,391,Closed
NCR-IN-00048,MER-BRAKE-SYSTEM-0012,MATERIAL-CONTAMINATION,ASY-S01,Rework,182,Open-D8
NCR-IN-00049,MER-CYLINDER-BLOCK-0027,ELEC-SHORT-CIRCUIT,ASY-S01,Scrap,160,Closed
NCR-IN-00050,MER-SEATS-0016,SEAL-LEAK,ASY-S02,Rework,294,Open-D1
NCR-IN-00051,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,ASY-S03,Rework,397,Closed
NCR-IN-00052,MER-WIRING-HARNESS-0022,PAINT-RUNS,ASY-S01,Scrap,462,Closed
NCR-IN-00053,MER-FUEL-PUMP-0037,ASSY-MISSING-FASTENER,ASY-S03,Rework,347,Closed
NCR-IN-00054,MER-FRONT-SUSPENSION-0010,ELEC-SHORT-CIRCUIT,ASY-S02,Scrap,124,Open-D3
NCR-IN-00055,MER-FRONT-SUSPENSION-0010,ELEC-CONNECTOR-MISMATE,ASY-S01,Scrap,406,Closed
NCR-IN-00056,MER-CYLINDER-BLOCK-0027,WELD-MISALIGN,ASY-S03,Use-As-Is,445,Closed
NCR-IN-00057,MER-BUMPER-REAR-0007,WELD-POROSITY,ASY-S03,Rework,445,Closed
NCR-IN-00058,MER-CYLINDER-HEAD-0028,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,235,Closed
NCR-IN-00059,MER-CLUTCH-ASSEMBLY-0033,PAINT-ORANGE-PEEL,ASY-S01,Scrap,348,Closed
NCR-IN-00060,MER-CYLINDER-BLOCK-0027,WELD-MISALIGN,ASY-S02,Scrap,332,Open-D1
NCR-IN-00061,MER-WIRING-HARNESS-0022,PAINT-BLISTER,ASY-S01,Rework,334,Open-D5
NCR-IN-00062,MER-CATALYTIC-CONVER-0040,SURFACE-SCRATCH,ASY-S02,Rework,499,Closed
NCR-IN-00063,MER-HEADLINER-0020,ASSY-MISSING-FASTENER,ASY-S02,Rework,139,Open-D5
NCR-IN-00064,MER-DOOR-PANELS-0019,SEAL-LEAK,ASY-S02,Rework,31,Closed
NCR-IN-00065,MER-HOOD-0005,DIM-GAP-FLUSH,ASY-S01,Scrap,204,Closed
NCR-IN-00066,MER-WIRING-HARNESS-0022,ASSY-WRONG-PART,ASY-S02,Rework,224,Closed
NCR-IN-00067,MER-DASHBOARD-0017,ELEC-OPEN-CIRCUIT,ASY-S01,Scrap,121,Closed
NCR-IN-00068,MER-GEARBOX-HOUSING-0032,ASSY-MISSING-FASTENER,ASY-S02,Rework,393,Closed
NCR-IN-00069,MER-WIRING-HARNESS-0022,ASSY-MISSING-FASTENER,ASY-S04,Rework,277,Closed
NCR-IN-00070,MER-VEH-COMPACT-0001,ASSY-MISSING-FASTENER,ASY-S02,Rework,126,Closed
NCR-IN-00071,MER-LIGHTING-SYSTEM-0024,PAINT-BLISTER,ASY-S02,Use-As-Is,320,Open-D5
NCR-IN-00072,MER-CATALYTIC-CONVER-0040,ELEC-SHORT-CIRCUIT,ASY-S04,Rework,474,Open-D4
NCR-IN-00073,MER-FENDERS-0008,WELD-MISALIGN,ASY-S01,Scrap,33,Closed
NCR-IN-00074,MER-CYLINDER-HEAD-0028,MATERIAL-CONTAMINATION,ASY-S02,Rework,123,Open-D4
NCR-IN-00075,MER-FUEL-PUMP-0037,DIM-GAP-FLUSH,ASY-S03,Rework,452,Closed
NCR-IN-00076,MER-CATALYTIC-CONVER-0040,SURFACE-SCRATCH,ASY-S02,Rework,117,Open-D6
NCR-IN-00077,MER-CLUTCH-ASSEMBLY-0033,ELEC-OPEN-CIRCUIT,ASY-S01,Use-As-Is,435,Closed
NCR-IN-00078,MER-DOOR-PANELS-0019,PAINT-ORANGE-PEEL,ASY-S02,Scrap,85,Closed
NCR-IN-00079,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,ASY-S03,Use-As-Is,197,Closed
NCR-IN-00080,MER-VEH-COMPACT-0001,WELD-UNDERCUT,ASY-S01,Scrap,113,Closed
NCR-IN-00081,MER-SEATS-0016,PAINT-RUNS,ASY-S01,Rework,330,Closed
NCR-IN-00082,MER-CRANKSHAFT-0029,ASSY-CROSS-THREAD,ASY-S04,Rework,499,Closed
NCR-IN-00083,MER-CLUTCH-ASSEMBLY-0033,SEAL-LEAK,ASY-S02,Scrap,398,Closed
NCR-IN-00084,MER-CYLINDER-HEAD-0028,ASSY-MISSING-FASTENER,ASY-S03,Scrap,93,Closed
NCR-IN-00085,MER-BRAKE-SYSTEM-0012,ASSY-CROSS-THREAD,ASY-S01,Scrap,100,Closed
