CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,181.035,185.3,175.71,1.7
K1001,S01,179.668,185.3,175.71,1.7
K1001,S01,180.551,185.3,175.71,1.7
K1002,S02,72.9,74.024,69.499,1.67
K1002,S02,72.811,74.024,69.499,1.67
K1002,S02,71.866,74.024,69.499,1.67
K1003,S01,134.249,137.353,129.037,1.98
K1003,S01,133.347,137.353,129.037,1.98
K1003,S01,131.572,137.353,129.037,1.98
K1003,S01,132.52,137.353,129.037,1.98
K1004,S01,171.349,172.042,170.917,1.36
K1004,S01,171.671,172.042,170.917,1.36
K1005,S01,94.477,95.783,93.224,1.84
K1005,S01,94.499,95.783,93.224,1.84
K1005,S01,93.879,95.783,93.224,1.84
K1005,S01,94.638,95.783,93.224,1.84
K1005,S01,93.973,95.783,93.224,1.84
K1006,S02,169.988,173.439,167.97,1.52
K1006,S02,170.833,173.439,167.97,1.52
K1006,S02,171.183,173.439,167.97,1.52
K1007,S03,181.216,184.041,178.396,1.97
K1007,S03,181.811,184.041,178.396,1.97
K1007,S03,180.416,184.041,178.396,1.97
K1007,S03,181.44,184.041,178.396,1.97
K1007,S03,180.895,184.041,178.396,1.97
K1008,S03,93.969,97.899,89.097,1.76
K1008,S03,94.081,97.899,89.097,1.76
K1008,S03,94.639,97.899,89.097,1.76
K1008,S03,93.149,97.899,89.097,1.76
K1008,S03,94.316,97.899,89.097,1.76
K1009,S04,128.356,129.379,127.862,1.48
K1009,S04,128.558,129.379,127.862,1.48
K1009,S04,128.549,129.379,127.862,1.48
K1009,S04,128.375,129.379,127.862,1.48
K1009,S04,128.477,129.379,127.862,1.48
K1010,S01,192.631,195.553,191.561,1.09
K1010,S01,193.268,195.553,191.561,1.09
K1010,S01,194.11,195.553,191.561,1.09
K1010,S01,193.434,195.553,191.561,1.09
K1011,S01,73.439,76.882,70.479,1.37
K1011,S01,73.286,76.882,70.479,1.37
K1011,S01,74.157,76.882,70.479,1.37
K1012,S02,117.951,121.41,116.409,1.32
K1012,S02,119.41,121.41,116.409,1.32
K1012,S02,118.774,121.41,116.409,1.32
K1012,S02,118.617,121.41,116.409,1.32
K1013,S03,120.737,123.168,119.098,1.8
K1013,S03,121.446,123.168,119.098,1.8
K1013,S03,121.169,123.168,119.098,1.8
K1013,S03,120.952,123.168,119.098,1.8
K1014,S03,21.939,23.632,19.245,1.43
K1014,S03,21.374,23.632,19.245,1.43
K1014,S03,21.036,23.632,19.245,1.43
K1014,S03,21.693,23.632,19.245,1.43
K1014,S03,21.86,23.632,19.245,1.43
K1015,S03,159.771,164.177,155.702,1.72
K1015,S03,160.51,164.177,155.702,1.72
K1015,S03,159.947,164.177,155.702,1.72
K1015,S03,159.83,164.177,155.702,1.72
K1015,S03,159.606,164.177,155.702,1.72
K1016,S04,28.569,29.516,27.138,1.35
K1016,S04,28.838,29.516,27.138,1.35
K1017,S01,63.839,66.856,61.952,1.64
K1017,S01,64.504,66.856,61.952,1.64
K1017,S01,64.311,66.856,61.952,1.64
K1017,S01,64.113,66.856,61.952,1.64
K1018,S02,123.856,127.706,119.706,2.16
K1018,S02,123.589,127.706,119.706,2.16
K1018,S02,123.571,127.706,119.706,2.16
K1018,S02,125.392,127.706,119.706,2.16
K1018,S02,123.976,127.706,119.706,2.16
K1019,S02,45.462,49.712,42.347,1.45
K1019,S02,45.532,49.712,42.347,1.45
K1020,S03,124.937,129.642,120.527,0.94
K1020,S03,128.596,129.642,120.527,0.94
K1021,S01,153.43,157.317,150.569,0.67
K1021,S01,151.94,157.317,150.569,0.67
K1021,S01,154.503,157.317,150.569,0.67
K1021,S01,156.856,157.317,150.569,0.67
K1021,S01,151.628,157.317,150.569,0.67
K1022,S02,51.011,56.995,47.402,1.73
K1022,S02,53.014,56.995,47.402,1.73
K1022,S02,52.199,56.995,47.402,1.73
K1022,S02,51.797,56.995,47.402,1.73
K1022,S02,50.911,56.995,47.402,1.73
K1023,S03,119.563,123.676,118.368,0.66
K1023,S03,120.556,123.676,118.368,0.66
K1023,S03,120.687,123.676,118.368,0.66
K1023,S03,120.359,123.676,118.368,0.66
K1024,S03,31.07,31.738,25.4,0.66
K1024,S03,26.825,31.738,25.4,0.66
K1024,S03,26.861,31.738,25.4,0.66
K1024,S03,27.202,31.738,25.4,0.66
K1024,S03,27.071,31.738,25.4,0.66
K1025,S04,165.306,165.83,163.303,1.07
K1025,S04,164.664,165.83,163.303,1.07
K1025,S04,164.937,165.83,163.303,1.07
K1025,S04,165.169,165.83,163.303,1.07
K1025,S04,164.706,165.83,163.303,1.07
K1026,S04,120.809,121.776,119.949,1.1
K1026,S04,121.075,121.776,119.949,1.1
K1026,S04,120.681,121.776,119.949,1.1
K1026,S04,120.723,121.776,119.949,1.1
K1027,S01,138.992,140.645,137.103,0.65
K1027,S01,140.219,140.645,137.103,0.65
K1028,S01,114.634,115.494,113.857,1.67
K1028,S01,114.624,115.494,113.857,1.67
K1028,S01,114.3,115.494,113.857,1.67
K1028,S01,114.725,115.494,113.857,1.67
K1028,S01,114.497,115.494,113.857,1.67
K1029,S01,175.579,178.865,168.986,1.29
K1029,S01,175.655,178.865,168.986,1.29
K1029,S01,172.825,178.865,168.986,1.29
K1029,S01,172.331,178.865,168.986,1.29
K1030,S02,103.74,106.636,101.769,0.89
K1030,S02,102.747,106.636,101.769,0.89
K1031,S02,118.916,119.822,118.034,0.62
K1031,S02,118.334,119.822,118.034,0.62
K1032,S03,126.62,132.009,123.021,0.84
K1032,S03,128.686,132.009,123.021,0.84
K1032,S03,126.136,132.009,123.021,0.84
K1033,S03,21.911,22.792,21.288,0.87
K1033,S03,21.843,22.792,21.288,0.87
K1033,S03,21.938,22.792,21.288,0.87
K1033,S03,21.903,22.792,21.288,0.87
K1034,S04,67.207,70.158,65.002,1.39
K1034,S04,67.32,70.158,65.002,1.39
K1034,S04,68.0,70.158,65.002,1.39
K1034,S04,67.557,70.158,65.002,1.39
K1035,S01,41.952,44.561,39.68,2.01
K1035,S01,42.372,44.561,39.68,2.01
K1035,S01,41.679,44.561,39.68,2.01
K1035,S01,42.282,44.561,39.68,2.01
K1035,S01,42.074,44.561,39.68,2.01
K1036,S02,45.431,49.609,41.697,1.78
K1036,S02,46.608,49.609,41.697,1.78
K1037,S01,175.771,179.779,169.93,1.27
K1037,S01,174.993,179.779,169.93,1.27
K1038,S01,73.516,74.354,72.159,1.8
K1038,S01,73.402,74.354,72.159,1.8
K1038,S01,72.947,74.354,72.159,1.8
K1038,S01,73.025,74.354,72.159,1.8
K1038,S01,73.017,74.354,72.159,1.8
K1039,S02,76.544,79.182,74.653,0.69
K1039,S02,78.315,79.182,74.653,0.69
K1039,S02,76.942,79.182,74.653,0.69
K1040,S02,34.06,36.465,32.934,1.15
K1040,S02,34.821,36.465,32.934,1.15
K1040,S02,35.245,36.465,32.934,1.15
K1040,S02,34.341,36.465,32.934,1.15
K1040,S02,34.499,36.465,32.934,1.15
K1041,S02,198.899,199.412,198.248,0.81
K1041,S02,199.007,199.412,198.248,0.81
K1041,S02,199.009,199.412,198.248,0.81
K1042,S01,174.896,175.856,174.214,1.27
K1042,S01,175.0,175.856,174.214,1.27
K1042,S01,175.244,175.856,174.214,1.27
K1042,S01,175.183,175.856,174.214,1.27
K1042,S01,174.817,175.856,174.214,1.27
K1043,S01,11.283,12.07,10.764,2.13
K1043,S01,11.557,12.07,10.764,2.13
K1043,S01,11.387,12.07,10.764,2.13
K1043,S01,11.409,12.07,10.764,2.13
