MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-225394,A-27-2,3968,KANBAN-00001,Engine Plant DE,Assembly Plant IN
MAT-856927,G-22-4,3770,KANBAN-00002,Engine Plant DE,Assembly Plant IN
MAT-368168,E-22-2,1852,KANBAN-00003,Engine Plant DE,Assembly Plant IN
MAT-979862,H-10-2,1121,KANBAN-00004,Engine Plant DE,Assembly Plant IN
MAT-973185,A-27-2,1191,KANBAN-00005,Engine Plant DE,Assembly Plant IN
MAT-174758,F-14-4,4090,KANBAN-00006,Engine Plant DE,Assembly Plant IN
MAT-272333,F-27-5,190,KANBAN-00007,Engine Plant DE,Assembly Plant IN
MAT-139258,C-23-4,762,KANBAN-00008,Engine Plant DE,Assembly Plant IN
MAT-295889,F-04-4,60,KANBAN-00009,Engine Plant DE,Assembly Plant IN
MAT-474681,C-06-2,4610,KANBAN-00010,Engine Plant DE,Assembly Plant IN
MAT-828853,C-29-1,3603,KANBAN-00011,Engine Plant DE,Assembly Plant IN
MAT-206024,G-01-4,3690,KANBAN-00012,Engine Plant DE,Assembly Plant IN
MAT-632459,D-08-3,265,KANBAN-00013,Engine Plant DE,Assembly Plant IN
MAT-217103,B-22-5,1269,KANBAN-00014,Engine Plant DE,Assembly Plant IN
MAT-934753,E-23-1,1962,KANBAN-00015,Engine Plant DE,Assembly Plant IN
MAT-276988,D-02-5,1510,KANBAN-00016,Engine Plant DE,Assembly Plant IN
MAT-466921,G-18-2,2971,KANBAN-00017,Engine Plant DE,Assembly Plant IN
MAT-268505,H-05-2,2352,KANBAN-00018,Engine Plant DE,Assembly Plant IN
MAT-511575,F-07-2,3581,KANBAN-00019,Engine Plant DE,Assembly Plant IN
MAT-684127,G-02-1,644,KANBAN-00020,Engine Plant DE,Assembly Plant IN
MAT-430080,E-07-5,377,KANBAN-00021,Engine Plant DE,Assembly Plant IN
MAT-119426,C-25-2,3307,KANBAN-00022,Engine Plant DE,Assembly Plant IN
MAT-801602,G-19-1,561,KANBAN-00023,Engine Plant DE,Assembly Plant IN
MAT-634471,B-08-5,3363,KANBAN-00024,Engine Plant DE,Assembly Plant IN
MAT-746746,B-22-2,4320,KANBAN-00025,Engine Plant DE,Assembly Plant IN
MAT-970443,F-11-4,1369,KANBAN-00026,Engine Plant DE,Assembly Plant IN
MAT-938163,B-11-3,1429,KANBAN-00027,Engine Plant DE,Assembly Plant IN
MAT-980166,F-19-4,2213,KANBAN-00028,Engine Plant DE,Assembly Plant IN
MAT-874871,E-15-2,1224,KANBAN-00029,Engine Plant DE,Assembly Plant IN
MAT-126529,C-25-2,673,KANBAN-00030,Engine Plant DE,Assembly Plant IN
MAT-464922,A-15-3,4330,KANBAN-00031,Engine Plant DE,Assembly Plant IN
MAT-464118,C-15-1,838,KANBAN-00032,Engine Plant DE,Assembly Plant IN
MAT-793615,E-19-1,1527,KANBAN-00033,Engine Plant DE,Assembly Plant IN
MAT-239071,E-29-1,1180,KANBAN-00034,Engine Plant DE,Assembly Plant IN
MAT-284054,E-08-4,4748,KANBAN-00035,Engine Plant DE,Assembly Plant IN
MAT-768030,H-08-1,1250,KANBAN-00036,Engine Plant DE,Assembly Plant IN
MAT-547805,F-29-1,1915,KANBAN-00037,Engine Plant DE,Assembly Plant IN
MAT-643324,G-23-1,2036,KANBAN-00038,Engine Plant DE,Assembly Plant IN
MAT-920253,B-05-5,3537,KANBAN-00039,Engine Plant DE,Assembly Plant IN
MAT-280875,B-05-5,4061,KANBAN-00040,Engine Plant DE,Assembly Plant IN
MAT-889147,C-15-5,478,KANBAN-00041,Engine Plant DE,Assembly Plant IN
MAT-686049,G-03-4,2616,KANBAN-00042,Engine Plant DE,Assembly Plant IN
MAT-776618,B-29-3,613,KANBAN-00043,Engine Plant DE,Assembly Plant IN
