WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2150001,ASSET-00001,Preventive,,0,,000150000001
WO-2150002,ASSET-00001,Emergency,PNEUMATIC-LEAK,166,433,000150000001
WO-2150003,ASSET-00001,Preventive,,0,,000150000001
WO-2150004,ASSET-00001,Preventive,,0,,000150000001
WO-2150005,ASSET-00001,Corrective,PNEUMATIC-LEAK,107,533,000150000001
WO-2150006,ASSET-00001,Corrective,CALIBRATION-DRIFT,229,1117,000150000001
WO-2150007,ASSET-00001,Preventive,,0,,000150000001
WO-2150008,ASSET-00001,Corrective,CALIBRATION-DRIFT,230,1170,000150000001
WO-2150009,ASSET-00001,Preventive,,0,,000150000001
WO-2150010,ASSET-00002,Preventive,,0,,000150000002
WO-2150011,ASSET-00002,Preventive,,0,,000150000002
WO-2150012,ASSET-00002,Corrective,CALIBRATION-DRIFT,149,1189,000150000002
WO-2150013,ASSET-00002,Corrective,DIE-WEAR,125,663,000150000002
WO-2150014,ASSET-00002,Preventive,,0,,000150000002
WO-2150015,ASSET-00003,Corrective,SENSOR-FAULT,221,788,000150000003
WO-2150016,ASSET-00003,Preventive,,0,,000150000003
WO-2150017,ASSET-00003,Emergency,DIE-WEAR,348,1618,000150000003
WO-2150018,ASSET-00003,Preventive,,0,,000150000003
WO-2150019,ASSET-00003,Preventive,,0,,000150000003
WO-2150020,ASSET-00003,Preventive,,0,,000150000003
WO-2150021,ASSET-00004,Preventive,,0,,000150000004
WO-2150022,ASSET-00004,Corrective,PNEUMATIC-LEAK,134,704,000150000004
WO-2150023,ASSET-00004,Preventive,,0,,000150000004
WO-2150024,ASSET-00004,Corrective,SENSOR-FAULT,116,1239,000150000004
WO-2150025,ASSET-00004,Corrective,MOTOR-BURNOUT,137,1164,000150000004
WO-2150026,ASSET-00004,Preventive,,0,,000150000004
WO-2150027,ASSET-00004,Corrective,CONTROLLER-FAULT,126,708,000150000004
WO-2150028,ASSET-00004,Corrective,CALIBRATION-DRIFT,208,498,000150000004
WO-2150029,ASSET-00004,Corrective,SPINDLE-SEIZURE,31,1027,000150000004
WO-2150030,ASSET-00005,Preventive,,0,,000150000005
WO-2150031,ASSET-00005,Corrective,SENSOR-FAULT,221,1996,000150000005
WO-2150032,ASSET-00005,Corrective,PNEUMATIC-LEAK,50,328,000150000005
WO-2150033,ASSET-00005,Preventive,,0,,000150000005
WO-2150034,ASSET-00005,Corrective,HYDRAULIC-LEAK,100,1171,000150000005
WO-2150035,ASSET-00005,Preventive,,0,,000150000005
WO-2150036,ASSET-00005,Corrective,HYDRAULIC-LEAK,65,1419,000150000005
WO-2150037,ASSET-00006,Corrective,CONTROLLER-FAULT,187,1588,000150000006
WO-2150038,ASSET-00006,Corrective,CALIBRATION-DRIFT,167,382,000150000006
WO-2150039,ASSET-00006,Preventive,,0,,000150000006
WO-2150040,ASSET-00006,Corrective,HYDRAULIC-LEAK,101,1862,000150000006
WO-2150041,ASSET-00006,Corrective,SENSOR-FAULT,220,1156,000150000006
WO-2150042,ASSET-00007,Preventive,,0,,000150000007
WO-2150043,ASSET-00007,Emergency,HYDRAULIC-LEAK,386,1143,000150000007
WO-2150044,ASSET-00007,Corrective,CONTROLLER-FAULT,92,1105,000150000007
WO-2150045,ASSET-00007,Corrective,HYDRAULIC-LEAK,74,1799,000150000007
WO-2150046,ASSET-00007,Preventive,,0,,000150000007
WO-2150047,ASSET-00008,Preventive,,0,,000150000008
WO-2150048,ASSET-00008,Corrective,PNEUMATIC-LEAK,147,1839,000150000008
WO-2150049,ASSET-00008,Corrective,MOTOR-BURNOUT,109,1187,000150000008
WO-2150050,ASSET-00008,Corrective,CONTROLLER-FAULT,184,1098,000150000008
WO-2150051,ASSET-00009,Preventive,,0,,000150000009
WO-2150052,ASSET-00009,Preventive,,0,,000150000009
WO-2150053,ASSET-00009,Preventive,,0,,000150000009
WO-2150054,ASSET-00009,Preventive,,0,,000150000009
WO-2150055,ASSET-00009,Corrective,SPINDLE-SEIZURE,230,1299,000150000009
WO-2150056,ASSET-00009,Corrective,BEARING-FAILURE,104,742,000150000009
WO-2150057,ASSET-00009,Emergency,MOTOR-BURNOUT,567,1351,000150000009
WO-2150058,ASSET-00010,Corrective,BELT-FAILURE,240,908,
WO-2150059,ASSET-00010,Emergency,DIE-WEAR,356,1617,
WO-2150060,ASSET-00010,Corrective,CONTROLLER-FAULT,50,1495,
WO-2150061,ASSET-00010,Preventive,,0,,
WO-2150062,ASSET-00011,Corrective,SPINDLE-SEIZURE,208,1257,000150000010
WO-2150063,ASSET-00011,Emergency,CALIBRATION-DRIFT,476,1999,000150000010
WO-2150064,ASSET-00011,Corrective,SPINDLE-SEIZURE,240,1730,000150000010
WO-2150065,ASSET-00011,Preventive,,0,,000150000010
WO-2150066,ASSET-00011,Corrective,DIE-WEAR,35,847,000150000010
WO-2150067,ASSET-00011,Preventive,,0,,000150000010
WO-2150068,ASSET-00012,Preventive,,0,,000150000011
WO-2150069,ASSET-00012,Preventive,,0,,000150000011
WO-2150070,ASSET-00012,Preventive,,0,,000150000011
WO-2150071,ASSET-00012,Emergency,CALIBRATION-DRIFT,220,958,000150000011
WO-2150072,ASSET-00013,Corrective,BEARING-FAILURE,133,447,000150000013
WO-2150073,ASSET-00013,Preventive,,0,,000150000013
WO-2150074,ASSET-00013,Corrective,SPINDLE-SEIZURE,114,1901,000150000013
WO-2150075,ASSET-00013,Preventive,,0,,000150000013
WO-2150076,ASSET-00014,Preventive,,0,,000150000014
WO-2150077,ASSET-00014,Corrective,SENSOR-FAULT,193,1651,000150000014
WO-2150078,ASSET-00014,Emergency,MOTOR-BURNOUT,272,1905,000150000014
WO-2150079,ASSET-00014,Preventive,,0,,000150000014
WO-2150080,ASSET-00015,Corrective,MOTOR-BURNOUT,76,1445,000150000015
WO-2150081,ASSET-00015,Preventive,,0,,000150000015
WO-2150082,ASSET-00015,Preventive,,0,,000150000015
WO-2150083,ASSET-00015,Preventive,,0,,000150000015
WO-2150084,ASSET-00015,Corrective,PNEUMATIC-LEAK,171,1764,000150000015
WO-2150085,ASSET-00016,Corrective,MOTOR-BURNOUT,71,1602,000150000016
WO-2150086,ASSET-00016,Preventive,,0,,000150000016
WO-2150087,ASSET-00016,Preventive,,0,,000150000016
WO-2150088,ASSET-00016,Corrective,PNEUMATIC-LEAK,171,1882,000150000016
WO-2150089,ASSET-00016,Preventive,,0,,000150000016
WO-2150090,ASSET-00016,Corrective,HYDRAULIC-LEAK,53,1164,000150000016
WO-2150091,ASSET-00016,Corrective,SPINDLE-SEIZURE,190,548,000150000016
WO-2150092,ASSET-00017,Corrective,CONTROLLER-FAULT,136,324,000150000017
WO-2150093,ASSET-00017,Emergency,SPINDLE-SEIZURE,130,1581,000150000017
WO-2150094,ASSET-00017,Corrective,MOTOR-BURNOUT,127,1272,000150000017
WO-2150095,ASSET-00017,Preventive,,0,,000150000017
WO-2150096,ASSET-00017,Preventive,,0,,000150000017
WO-2150097,ASSET-00017,Corrective,MOTOR-BURNOUT,215,264,000150000017
WO-2150098,ASSET-00017,Preventive,,0,,000150000017
WO-2150099,ASSET-00018,Preventive,,0,,
WO-2150100,ASSET-00018,Preventive,,0,,
WO-2150101,ASSET-00018,Preventive,,0,,
WO-2150102,ASSET-00019,Corrective,PNEUMATIC-LEAK,162,1078,000150000018
WO-2150103,ASSET-00019,Corrective,BEARING-FAILURE,150,1770,000150000018
WO-2150104,ASSET-00019,Preventive,,0,,000150000018
WO-2150105,ASSET-00019,Preventive,,0,,000150000018
WO-2150106,ASSET-00019,Preventive,,0,,000150000018
WO-2150107,ASSET-00020,Preventive,,0,,000150000019
WO-2150108,ASSET-00020,Emergency,PNEUMATIC-LEAK,164,896,000150000019
WO-2150109,ASSET-00020,Preventive,,0,,000150000019
WO-2150110,ASSET-00020,Preventive,,0,,000150000019
WO-2150111,ASSET-00020,Emergency,MOTOR-BURNOUT,550,1533,000150000019
WO-2150112,ASSET-00021,Preventive,,0,,000150000020
WO-2150113,ASSET-00022,Corrective,SPINDLE-SEIZURE,230,865,000150000021
WO-2150114,ASSET-00022,Preventive,,0,,000150000021
WO-2150115,ASSET-00022,Preventive,,0,,000150000021
WO-2150116,ASSET-00022,Preventive,,0,,000150000021
WO-2150117,ASSET-00022,Corrective,CONTROLLER-FAULT,196,1414,000150000021
WO-2150118,ASSET-00022,Corrective,DIE-WEAR,105,767,000150000021
WO-2150119,ASSET-00022,Preventive,,0,,000150000021
WO-2150120,ASSET-00023,Corrective,DIE-WEAR,74,1871,000150000022
WO-2150121,ASSET-00023,Corrective,HYDRAULIC-LEAK,34,320,000150000022
WO-2150122,ASSET-00023,Preventive,,0,,000150000022
WO-2150123,ASSET-00023,Preventive,,0,,000150000022
WO-2150124,ASSET-00023,Preventive,,0,,000150000022
WO-2150125,ASSET-00024,Preventive,,0,,000150000023
WO-2150126,ASSET-00025,Corrective,CONTROLLER-FAULT,103,1836,000150000024
WO-2150127,ASSET-00025,Preventive,,0,,000150000024
WO-2150128,ASSET-00025,Preventive,,0,,000150000024
WO-2150129,ASSET-00026,Emergency,CONTROLLER-FAULT,263,1750,000150000025
WO-2150130,ASSET-00026,Preventive,,0,,000150000025
WO-2150131,ASSET-00027,Preventive,,0,,000150000026
WO-2150132,ASSET-00027,Preventive,,0,,000150000026
WO-2150133,ASSET-00027,Preventive,,0,,000150000026
WO-2150134,ASSET-00027,Preventive,,0,,000150000026
WO-2150135,ASSET-00027,Preventive,,0,,000150000026
WO-2150136,ASSET-00027,Preventive,,0,,000150000026
WO-2150137,ASSET-00027,Emergency,BEARING-FAILURE,398,1934,000150000026
WO-2150138,ASSET-00027,Corrective,SENSOR-FAULT,145,335,000150000026
WO-2150139,ASSET-00028,Preventive,,0,,000150000027
WO-2150140,ASSET-00028,Corrective,BEARING-FAILURE,62,1528,000150000027
WO-2150141,ASSET-00028,Preventive,,0,,000150000027
WO-2150142,ASSET-00029,Preventive,,0,,000150000028
WO-2150143,ASSET-00029,Preventive,,0,,000150000028
WO-2150144,ASSET-00029,Corrective,CONTROLLER-FAULT,35,1985,000150000028
WO-2150145,ASSET-00029,Preventive,,0,,000150000028
WO-2150146,ASSET-00029,Preventive,,0,,000150000028
WO-2150147,ASSET-00029,Emergency,HYDRAULIC-LEAK,396,550,000150000028
WO-2150148,ASSET-00029,Corrective,CONTROLLER-FAULT,65,1026,000150000028
WO-2150149,ASSET-00029,Corrective,BEARING-FAILURE,52,1943,000150000028
WO-2150150,ASSET-00030,Emergency,DIE-WEAR,70,773,000150000029
WO-2150151,ASSET-00030,Preventive,,0,,000150000029
WO-2150152,ASSET-00030,Preventive,,0,,000150000029
WO-2150153,ASSET-00030,Preventive,,0,,000150000029
WO-2150154,ASSET-00031,Preventive,,0,,000150000030
WO-2150155,ASSET-00031,Corrective,PNEUMATIC-LEAK,75,1723,000150000030
WO-2150156,ASSET-00031,Preventive,,0,,000150000030
WO-2150157,ASSET-00031,Preventive,,0,,000150000030
WO-2150158,ASSET-00031,Preventive,,0,,000150000030
WO-2150159,ASSET-00032,Corrective,PNEUMATIC-LEAK,67,861,000150000031
WO-2150160,ASSET-00032,Preventive,,0,,000150000031
WO-2150161,ASSET-00032,Corrective,CONTROLLER-FAULT,142,736,000150000031
WO-2150162,ASSET-00032,Emergency,DIE-WEAR,485,351,000150000031
WO-2150163,ASSET-00032,Emergency,DIE-WEAR,486,1690,000150000031
WO-2150164,ASSET-00032,Corrective,SPINDLE-SEIZURE,131,1680,000150000031
WO-2150165,ASSET-00033,Corrective,SENSOR-FAULT,225,295,000150000032
WO-2150166,ASSET-00033,Preventive,,0,,000150000032
WO-2150167,ASSET-00034,Emergency,PNEUMATIC-LEAK,139,321,000150000033
WO-2150168,ASSET-00034,Preventive,,0,,000150000033
WO-2150169,ASSET-00034,Preventive,,0,,000150000033
WO-2150170,ASSET-00034,Corrective,SPINDLE-SEIZURE,46,1766,000150000033
WO-2150171,ASSET-00034,Preventive,,0,,000150000033
WO-2150172,ASSET-00035,Corrective,BELT-FAILURE,31,1450,000150000034
WO-2150173,ASSET-00035,Corrective,PNEUMATIC-LEAK,39,768,000150000034
WO-2150174,ASSET-00035,Emergency,BELT-FAILURE,431,1199,000150000034
WO-2150175,ASSET-00036,Corrective,HYDRAULIC-LEAK,177,297,000150000035
WO-2150176,ASSET-00036,Preventive,,0,,000150000035
WO-2150177,ASSET-00036,Corrective,SPINDLE-SEIZURE,212,1109,000150000035
WO-2150178,ASSET-00036,Corrective,CALIBRATION-DRIFT,115,1553,000150000035
WO-2150179,ASSET-00036,Preventive,,0,,000150000035
WO-2150180,ASSET-00036,Corrective,HYDRAULIC-LEAK,213,634,000150000035
WO-2150181,ASSET-00037,Corrective,CONTROLLER-FAULT,225,1012,000150000036
WO-2150182,ASSET-00037,Corrective,CONTROLLER-FAULT,55,269,000150000036
WO-2150183,ASSET-00037,Preventive,,0,,000150000036
WO-2150184,ASSET-00037,Corrective,SENSOR-FAULT,176,435,000150000036
WO-2150185,ASSET-00038,Preventive,,0,,000150000037
WO-2150186,ASSET-00038,Preventive,,0,,000150000037
WO-2150187,ASSET-00038,Corrective,PNEUMATIC-LEAK,111,1524,000150000037
WO-2150188,ASSET-00038,Preventive,,0,,000150000037
WO-2150189,ASSET-00038,Emergency,SPINDLE-SEIZURE,479,545,000150000037
WO-2150190,ASSET-00039,Preventive,,0,,000150000038
WO-2150191,ASSET-00039,Corrective,SENSOR-FAULT,225,239,000150000038
WO-2150192,ASSET-00039,Corrective,SENSOR-FAULT,213,766,000150000038
WO-2150193,ASSET-00039,Corrective,PNEUMATIC-LEAK,215,1537,000150000038
WO-2150194,ASSET-00039,Preventive,,0,,000150000038
WO-2150195,ASSET-00040,Emergency,SENSOR-FAULT,499,790,000150000039
WO-2150196,ASSET-00040,Corrective,BEARING-FAILURE,202,877,000150000039
WO-2150197,ASSET-00040,Corrective,MOTOR-BURNOUT,103,1930,000150000039
WO-2150198,ASSET-00040,Preventive,,0,,000150000039
WO-2150199,ASSET-00040,Preventive,,0,,000150000039
WO-2150200,ASSET-00041,Corrective,BELT-FAILURE,178,1982,
WO-2150201,ASSET-00041,Preventive,,0,,
WO-2150202,ASSET-00041,Preventive,,0,,
WO-2150203,ASSET-00041,Preventive,,0,,
WO-2150204,ASSET-00041,Corrective,BEARING-FAILURE,77,252,
WO-2150205,ASSET-00042,Preventive,,0,,000150000040
WO-2150206,ASSET-00042,Preventive,,0,,000150000040
WO-2150207,ASSET-00042,Corrective,CALIBRATION-DRIFT,59,1795,000150000040
WO-2150208,ASSET-00042,Corrective,CALIBRATION-DRIFT,61,1246,000150000040
WO-2150209,ASSET-00043,Preventive,,0,,000150000041
WO-2150210,ASSET-00043,Preventive,,0,,000150000041
WO-2150211,ASSET-00043,Corrective,BELT-FAILURE,171,1918,000150000041
WO-2150212,ASSET-00044,Preventive,,0,,000150000042
WO-2150213,ASSET-00044,Corrective,PNEUMATIC-LEAK,156,1564,000150000042
WO-2150214,ASSET-00044,Preventive,,0,,000150000042
WO-2150215,ASSET-00044,Corrective,PNEUMATIC-LEAK,81,228,000150000042
WO-2150216,ASSET-00044,Preventive,,0,,000150000042
WO-2150217,ASSET-00045,Preventive,,0,,000150000043
WO-2150218,ASSET-00045,Preventive,,0,,000150000043
WO-2150219,ASSET-00045,Corrective,HYDRAULIC-LEAK,58,1743,000150000043
WO-2150220,ASSET-00045,Corrective,HYDRAULIC-LEAK,194,1145,000150000043
WO-2150221,ASSET-00045,Corrective,HYDRAULIC-LEAK,91,548,000150000043
WO-2150222,ASSET-00046,Corrective,SENSOR-FAULT,150,535,000150000044
WO-2150223,ASSET-00046,Preventive,,0,,000150000044
WO-2150224,ASSET-00046,Preventive,,0,,000150000044
WO-2150225,ASSET-00046,Preventive,,0,,000150000044
WO-2150226,ASSET-00046,Emergency,BELT-FAILURE,317,986,000150000044
WO-2150227,ASSET-00046,Preventive,,0,,000150000044
WO-2150228,ASSET-00047,Preventive,,0,,000150000045
WO-2150229,ASSET-00047,Preventive,,0,,000150000045
WO-2150230,ASSET-00047,Preventive,,0,,000150000045
WO-2150231,ASSET-00047,Preventive,,0,,000150000045
WO-2150232,ASSET-00047,Corrective,BEARING-FAILURE,108,1505,000150000045
WO-2150233,ASSET-00047,Corrective,SENSOR-FAULT,158,290,000150000045
WO-2150234,ASSET-00047,Preventive,,0,,000150000045
WO-2150235,ASSET-00048,Preventive,,0,,000150000046
WO-2150236,ASSET-00048,Corrective,CONTROLLER-FAULT,168,1517,000150000046
WO-2150237,ASSET-00048,Emergency,SPINDLE-SEIZURE,476,1123,000150000046
WO-2150238,ASSET-00049,Preventive,,0,,000150000047
WO-2150239,ASSET-00049,Preventive,,0,,000150000047
WO-2150240,ASSET-00049,Preventive,,0,,000150000047
WO-2150241,ASSET-00049,Emergency,PNEUMATIC-LEAK,224,1274,000150000047
WO-2150242,ASSET-00049,Preventive,,0,,000150000047
WO-2150243,ASSET-00050,Preventive,,0,,000150000048
WO-2150244,ASSET-00050,Preventive,,0,,000150000048
WO-2150245,ASSET-00050,Emergency,BEARING-FAILURE,242,1196,000150000048
WO-2150246,ASSET-00050,Preventive,,0,,000150000048
WO-2150247,ASSET-00050,Preventive,,0,,000150000048
WO-2150248,ASSET-00051,Corrective,PNEUMATIC-LEAK,197,746,000150000049
WO-2150249,ASSET-00051,Emergency,SENSOR-FAULT,346,234,000150000049
WO-2150250,ASSET-00051,Emergency,SPINDLE-SEIZURE,221,1309,000150000049
WO-2150251,ASSET-00051,Preventive,,0,,000150000049
WO-2150252,ASSET-00052,Corrective,CALIBRATION-DRIFT,184,1287,000150000050
WO-2150253,ASSET-00052,Preventive,,0,,000150000050
WO-2150254,ASSET-00052,Preventive,,0,,000150000050
WO-2150255,ASSET-00052,Corrective,PNEUMATIC-LEAK,193,1847,000150000050
WO-2150256,ASSET-00052,Corrective,PNEUMATIC-LEAK,222,627,000150000050
WO-2150257,ASSET-00052,Preventive,,0,,000150000050
WO-2150258,ASSET-00053,Corrective,HYDRAULIC-LEAK,87,1337,000150000051
WO-2150259,ASSET-00053,Preventive,,0,,000150000051
WO-2150260,ASSET-00053,Preventive,,0,,000150000051
WO-2150261,ASSET-00053,Corrective,MOTOR-BURNOUT,125,1079,000150000051
WO-2150262,ASSET-00053,Preventive,,0,,000150000051
WO-2150263,ASSET-00053,Corrective,SPINDLE-SEIZURE,81,1360,000150000051
WO-2150264,ASSET-00054,Emergency,DIE-WEAR,445,1669,000150000052
WO-2150265,ASSET-00054,Corrective,SENSOR-FAULT,135,542,000150000052
WO-2150266,ASSET-00054,Preventive,,0,,000150000052
WO-2150267,ASSET-00054,Preventive,,0,,000150000052
WO-2150268,ASSET-00055,Preventive,,0,,
WO-2150269,ASSET-00055,Preventive,,0,,
WO-2150270,ASSET-00055,Corrective,DIE-WEAR,232,874,
WO-2150271,ASSET-00056,Corrective,PNEUMATIC-LEAK,82,427,000150000053
