PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1140,000150000001,Coil Winding Machine,129038.25,ABB Robotics
P1140,000150000002,Torque Application Unit,37284.84,DMG MORI
P1140,000150000003,Automated Guided Vehicle,46618.25,ABB Robotics
P1140,000150000004,Paint Application Robot,204221.24,KUKA AG
P1140,000150000005,Battery Pack Assembly Cell,375739.28,Schuler Group
P1140,000150000006,Battery Pack Assembly Cell,275956.72,Durr AG
P1140,000150000007,Automated Guided Vehicle,63504.28,Fives Group
P1140,000150000008,Adhesive Dispensing Unit,65787.62,KUKA AG
P1140,000150000009,Automated Guided Vehicle,54992.00,Eisenmann SE
P1140,000150000010,Automated Guided Vehicle,58713.25,KUKA
P1140,000150000011,Laser Welding Cell,351730.01,DMG MORI
P1140,000150000012,Laser Welding Cell,216014.24,DMG MORI
P1140,000150000013,Final Functional Test Bench,83123.48,KUKA
P1140,000150000014,Assembly Torque Wrench Station,32626.00,DMG
P1140,000150000015,Palletizing Robot,175511.41,FANUC Corporation
P1140,000150000016,CNC Machining Center,341002.56,Haas Automation
P1140,000150000017,Screw Fastening Station,29558.26,ABB Robotics
P1140,000150000018,Injection Molding Machine,329244.01,KUKA
P1140,000150000019,Torque Application Unit,35979.32,DMG
P1140,000150000020,Torque Application Unit,42435.87,KUKA AG
P1140,000150000021,Assembly Torque Wrench Station,15125.15,Yaskawa Motoman
P1140,000150000022,Induction Heating Unit,61680.12,AIDA Engineering
P1140,000150000023,Injection Molding Machine,200731.53,Mazak Corporation
P1140,000150000024,Dimensional Measurement Arm,66694.04,Kuka Ag
P1140,000150000025,Robotic Welding Cell,122732.96,COMAU
P1140,000150000026,Injection Molding Machine,479991.23,Bosch Rexroth
P1140,000150000027,Wheel Alignment Rig,76220.24,Schuler Group
P1140,000150000028,Laser Welding Cell,326111.02,Haas
P1140,000150000029,Induction Heating Unit,40734.08,Mazak Corporation
P1140,000150000030,Assembly Torque Wrench Station,20910.24,KUKA AG
P1140,000150000031,Overhead Gantry Loader,94968.77,KUKA AG
P1140,000150000032,CNC Machining Center,432301.41,Carl
P1140,000150000033,Laser Welding Cell,220461.91,DMG
P1140,000150000034,Coil Winding Machine,179398.50,Miller Electric
P1140,000150000035,Conveyor System,140852.00,DMG MORI
P1140,000150000036,Coil Winding Machine,186866.72,ABB Robotics
P1140,000150000037,Robotic Welding Cell,265532.84,Rockwell Automation
P1140,000150000038,Ultrasonic Welding Station,67321.88,KUKA AG
P1140,000150000039,Final Functional Test Bench,132896.05,Fanuc Corporation
P1140,000150000040,Battery Pack Assembly Cell,253648.99,Lincoln Electric
P1140,000150000041,Screw Fastening Station,22492.74,KUKA AG
P1140,000150000042,Wheel Alignment Rig,84831.41,ABB Robotics
P1140,000150000043,Wheel Alignment Rig,34458.65,Yaskawa Motoman
P1140,000150000044,,667950.51,Lincoln Electric
P1140,000150000045,Conveyor System,117038.49,FANUC Corporation
P1140,000150000046,Battery Pack Assembly Cell,370150.70,BOSCH REXROTH
P1140,000150000047,Overhead Gantry Loader,146868.57,FANUC Corporation
P1140,000150000048,Ultrasonic Welding Station,56140.67,Fives
P1140,000150000049,Dimensional Measurement Arm,96971.83,Dematic
P1140,000150000050,Coil Winding Machine,175602.99,Durr AG
P1140,000150000051,Leak Test Station,27012.16,ABB Robotics
P1140,000150000052,Assembly Torque Wrench Station,33326.75,KUKA AG
P1140,000150000053,Battery Pack Assembly Cell,335357.17,KUKA
P1140,000150000054,Overhead Gantry Loader,146496.89,FANUC Corporation
P1140,000150000055,Wheel Alignment Rig,84294.54,KUKA
P1140,000150000056,Robotic Welding Cell,245083.06,Bosch
P1140,000150000057,Adhesive Dispensing Unit,46491.98,AIDA Engineering
P1140,000150000058,Hydraulic Press,158487.74,FANUC Corporation
P1140,000150000059,Laser Welding Cell,236975.89,Durr AG
P1140,000150000060,Stamping Press,1163816.16,yaskawa motoman
P1140,000150000061,Riveting Station,30755.19,Yaskawa
P1140,000150000062,Final Functional Test Bench,64851.37,Lincoln Electric
P1140,000150000063,Torque Application Unit,24901.83,Ingersoll Rand
P1140,000150000064,Leak Test Station,36547.00,ABB
P1140,000150000065,Riveting Station,38276.49,Atlas Copco
P1140,000150000066,Vision Inspection Station,66976.82,ABB Robotics
P1140,000150000067,Ultrasonic Welding Station,79232.32,Atlas Copco
P1140,000150000068,Induction Heating Unit,71957.10,KUKA AG
P1140,000150000069,Riveting Station,65509.88,Ingersoll Rand
P1140,000150000070,Coil Winding Machine,187128.33,FANUC Corporation
P1140,000150000071,Conveyor System,61666.10,Yaskawa Motoman
P1140,000150000072,,188060.96,KUKA AG
P1140,000150000073,Laser Welding Cell,398951.84,abb robotics
P1140,000150000074,Paint Application Robot,182012.01,FANUC Corporation
P1140,000150000075,Hydraulic Press,135805.67,Rockwell Automation
P1140,000150000076,Laser Welding Cell,252242.75,ABB Robotics
P1140,000150000077,Automated Guided Vehicle,67168.94,DMG MORI
P1140,000150000078,Paint Application Robot,325023.44,ABB Robotics
P1140,000150000079,Conveyor System,95930.40,HEXAGON AB
P1140,000150000080,Palletizing Robot,151339.70,Siemens AG
P1140,000150000081,CNC Machining Center,210139.58,ABB Robotics
P1140,000150000082,Robotic Welding Cell,264407.16,Haas Automation
P1140,000150000083,Final Functional Test Bench,196103.05,DMG MORI
P1140,000150000084,Wheel Alignment Rig,35902.88,Ingersoll Rand
