Facility,Line_Ref,Updated_On
Assembly Plant MX,ASSEMBLY PLANT MX LINE 1,2019-02-04
Assembly Plant MX,ASSEMBLY PLANT MX LINE 2,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 3,2021-02-13
Assembly Plant MX,ASSEMBLY PLANT MX LINE 4,2024-06-08
Assembly Plant MX,ASSEMBLY PLANT MX LINE 5,2023-02-16
Assembly Plant MX,ASSEMBLY PLANT MX LINE 6,
Assembly Plant MX,L07,2025-03-21
Assembly Plant MX,ASSEMBLY PLANT MX LINE 8,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 9,2021-01-19
Assembly Plant MX,ASSEMBLY PLANT MX LINE 10,2022-01-01
Assembly Plant MX,ASSEMBLY PLANT MX LINE 11,2019-02-10
Assembly Plant MX,ASSEMBLY PLANT MX LINE 12,
Assembly Plant MX,L13,2024-11-05
Assembly Plant MX,ASSEMBLY PLANT MX LINE 14,2024-02-20
Assembly Plant MX,ASSEMBLY PLANT MX LINE 15,
Assembly Plant MX,,2019-06-29
Assembly Plant MX,L17,2023-03-09
Assembly Plant MX,ASSEMBLY PLANT MX LINE 18,2021-03-25
Assembly Plant MX,ASSEMBLY PLANT MX LINE 19,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 20,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 21,2024-04-09
Assembly Plant MX,L22,2022-02-13
Assembly Plant MX,ASSEMBLY PLANT MX LINE 23,2021-09-17
Assembly Plant MX,ASSEMBLY PLANT MX LINE 24,2020-01-22
Assembly Plant MX,ASSEMBLY PLANT MX LINE 25,2024-07-11
Assembly Plant MX,ASSEMBLY PLANT MX LINE 26,2019-08-03
Assembly Plant MX,ASSEMBLY PLANT MX LINE 27,2025-09-20
Assembly Plant MX,ASSEMBLY PLANT MX LINE 28,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 29,2020-05-07
Assembly Plant MX,ASSEMBLY PLANT MX LINE 30,2023-12-10
Assembly Plant MX,ASSEMBLY PLANT MX LINE 31,2021-11-10
Assembly Plant MX,,2020-04-14
Assembly Plant MX,ASSEMBLY PLANT MX LINE 33,2025-04-09
Assembly Plant MX,ASSEMBLY PLANT MX LINE 34,2019-05-08
Assembly Plant MX,ASSEMBLY PLANT MX LINE 35,2024-04-25
Assembly Plant MX,L36,2022-03-18
Assembly Plant MX,ASSEMBLY PLANT MX LINE 37,2022-04-11
Assembly Plant MX,ASSEMBLY PLANT MX LINE 38,2022-12-25
Assembly Plant MX,ASSEMBLY PLANT MX LINE 39,2024-04-23
Assembly Plant MX,ASSEMBLY PLANT MX LINE 40,2020-04-27
Assembly Plant MX,ASSEMBLY PLANT MX LINE 41,2023-03-26
Assembly Plant MX,ASSEMBLY PLANT MX LINE 42,2025-12-16
Assembly Plant MX,L43,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 44,2023-03-18
Assembly Plant MX,ASSEMBLY PLANT MX LINE 45,2023-05-23
Assembly Plant MX,ASSEMBLY PLANT MX LINE 46,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 47,2025-05-07
Assembly Plant MX,ASSEMBLY PLANT MX LINE 48,2019-11-01
Assembly Plant MX,ASSEMBLY PLANT MX LINE 49,2023-10-06
Assembly Plant MX,ASSEMBLY PLANT MX LINE 50,2020-02-14
Assembly Plant MX,ASSEMBLY PLANT MX LINE 51,2020-06-28
Assembly Plant MX,ASSEMBLY PLANT MX LINE 52,2022-11-29
Assembly Plant MX,ASSEMBLY PLANT MX LINE 53,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 54,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 55,2020-06-27
Assembly Plant MX,ASSEMBLY PLANT MX LINE 56,2024-04-11
Assembly Plant MX,ASSEMBLY PLANT MX LINE 57,2023-02-01
Assembly Plant MX,ASSEMBLY PLANT MX LINE 58,2022-07-28
Assembly Plant MX,ASSEMBLY PLANT MX LINE 59,2025-04-01
Assembly Plant MX,,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 61,2021-09-04
Assembly Plant MX,ASSEMBLY PLANT MX LINE 62,2022-01-18
Assembly Plant MX,ASSEMBLY PLANT MX LINE 63,2021-02-23
Assembly Plant MX,ASSEMBLY PLANT MX LINE 64,2020-02-23
Assembly Plant MX,ASSEMBLY PLANT MX LINE 65,2024-01-26
Assembly Plant MX,ASSEMBLY PLANT MX LINE 66,
Assembly Plant MX,,2023-09-10
Assembly Plant MX,ASSEMBLY PLANT MX LINE 68,2020-11-15
Assembly Plant MX,ASSEMBLY PLANT MX LINE 69,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 70,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 71,2020-01-09
Assembly Plant MX,ASSEMBLY PLANT MX LINE 72,2021-07-08
Assembly Plant MX,ASSEMBLY PLANT MX LINE 73,2024-08-17
Assembly Plant MX,L74,2020-04-04
Assembly Plant MX,ASSEMBLY PLANT MX LINE 75,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 76,2025-10-15
Assembly Plant MX,L77,2024-08-28
Assembly Plant MX,ASSEMBLY PLANT MX LINE 78,2025-08-03
Assembly Plant MX,ASSEMBLY PLANT MX LINE 79,2024-01-05
Assembly Plant MX,ASSEMBLY PLANT MX LINE 80,2021-12-13
Assembly Plant MX,ASSEMBLY PLANT MX LINE 81,2020-11-22
Assembly Plant MX,ASSEMBLY PLANT MX LINE 82,2022-05-06
Assembly Plant MX,ASSEMBLY PLANT MX LINE 83,2022-08-17
Assembly Plant MX,L84,2023-11-04
Assembly Plant MX,,2020-03-06
Assembly Plant MX,ASSEMBLY PLANT MX LINE 86,2023-04-04
Assembly Plant MX,ASSEMBLY PLANT MX LINE 87,2021-04-11
Assembly Plant MX,ASSEMBLY PLANT MX LINE 88,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 89,2019-12-31
Assembly Plant MX,ASSEMBLY PLANT MX LINE 90,2019-06-29
Assembly Plant MX,ASSEMBLY PLANT MX LINE 91,2020-04-11
Assembly Plant MX,L92,2025-07-01
Assembly Plant MX,ASSEMBLY PLANT MX LINE 93,2023-05-17
Assembly Plant MX,ASSEMBLY PLANT MX LINE 94,2024-08-16
Assembly Plant MX,ASSEMBLY PLANT MX LINE 95,2023-04-28
Assembly Plant MX,ASSEMBLY PLANT MX LINE 96,2022-04-19
Assembly Plant MX,ASSEMBLY PLANT MX LINE 97,2024-08-10
Assembly Plant MX,ASSEMBLY PLANT MX LINE 98,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 99,2024-10-20
Assembly Plant MX,L100,2022-08-27
Assembly Plant MX,,2022-12-21
Assembly Plant MX,ASSEMBLY PLANT MX LINE 102,2022-03-26
Assembly Plant MX,ASSEMBLY PLANT MX LINE 103,2020-12-16
Assembly Plant MX,L104,2024-09-07
Assembly Plant MX,ASSEMBLY PLANT MX LINE 105,2022-06-29
Assembly Plant MX,ASSEMBLY PLANT MX LINE 106,2019-11-21
Assembly Plant MX,ASSEMBLY PLANT MX LINE 107,
Assembly Plant MX,ASSEMBLY PLANT MX LINE 108,2023-12-30
Assembly Plant MX,,2020-08-05
Assembly Plant MX,ASSEMBLY PLANT MX LINE 110,2019-12-23
