Line_No,Process_ID,Local_Process_Desc,WC_ID,Station_No,Linked_Asset_ID,Product_Ref,Material_Ref
L01,PR-0003,BOLT TORQUING,WU1,S01,000150000001,MER-VEH-COMPACT-0001,
L01,PR-0002,RESISTANCE WELDING,WU2,S01,000150000002,MER-VEH-COMPACT-0001,MER-FUEL-INJECTOR-0038
L01,PR-0002,RESISTANCE WELDING,WU3,S01,000150000003,MER-VEH-COMPACT-0001,MER-CLUTCH-ASSEMBLY-0033
L01,PR-0001,BEAD APPLICATION,WU4,S02,000150000004,MER-VEH-COMPACT-0001,MER-CENTER-CONSOLE-0018
L01,PR-0001,BEAD APPLICATION,WU5,S02,000150000005,MER-VEH-COMPACT-0001,MER-CYLINDER-HEAD-0028
L01,PR-0001,BEAD APPLICATION,WU6,S02,000150000006,MER-VEH-COMPACT-0001,MER-FUEL-INJECTOR-0038
L01,PR-0018,DRAW FORMING,WU7,S03,000150000007,MER-VEH-COMPACT-0001,MER-BRAKE-SYSTEM-0012
L01,PR-0016,SHEET METAL FORMING,WU8,S03,000150000008,MER-VEH-COMPACT-0001,MER-GEAR-SET-0034
L01,PR-0003,BOLT TORQUING,WU9,S04,000150000009,MER-VEH-COMPACT-0001,
L01,PR-0031,TRANSMISSION HOUSING STAMPING,WU10,S04,,MER-VEH-COMPACT-0001,MER-EXHAUST-PIPE-0042
L02,PR-0052,BUILD - ENGINE BLOCK,WU11,S01,000150000010,MER-VEH-SUV-0001,MER-SEATS-0016
L02,PR-0178,ENGINE BLOCK CURING,WU12,S02,000150000011,MER-VEH-SUV-0001,
L02,PR-0007,BASE COAT SPRAY,WU13,S02,000150000013,MER-VEH-SUV-0001,MER-FUEL-INJECTOR-0038
L02,PR-0005,PRESSURE DECAY TEST,WU14,S02,000150000014,MER-VEH-SUV-0001,
L03,PR-0171,DRILLING - SEAT FRAME,WU15,S01,000150000015,MER-VEH-SUV-0001,
L03,PR-0143,CUTTING - HOOD PANEL,WU16,S01,000150000016,MER-VEH-SUV-0001,
L03,PR-0131,FITTING - SEAT FRAME,WU17,S01,000150000017,MER-VEH-SUV-0001,MER-BODY-SHELL-0003
L03,PR-0020,WIRE CRIMPING,WU18,S02,,MER-VEH-SUV-0001,MER-DASHBOARD-0017
L03,PR-0021,CUSHION MOLDING,WU19,S03,000150000018,MER-VEH-SUV-0001,MER-STEERING-SYSTEM-0013
L03,PR-0131,FITTING - SEAT FRAME,WU20,S03,000150000019,MER-VEH-SUV-0001,MER-BODY-SHELL-0003
L03,PR-0009,STACKING OPERATION,WU21,S04,000150000020,MER-VEH-SUV-0001,MER-INFOTAINMENT-UNI-0025
L04,PR-0002,RESISTANCE WELDING,WU22,S01,000150000021,MER-VEH-COMPACT-0001,MER-LOW-VOLTAGE-BATT-0023
L04,PR-0184,ALIGNMENT - DOOR MODULE,WU23,S02,000150000022,MER-VEH-COMPACT-0001,
L04,PR-0079,TRUNK LID ASSEMBLY,WU24,S03,000150000023,MER-VEH-COMPACT-0001,MER-DASHBOARD-0017
L04,PR-0001,BEAD APPLICATION,WU25,S03,000150000024,MER-VEH-COMPACT-0001,MER-FUEL-PUMP-0037
L04,PR-0001,BEAD APPLICATION,WU26,S04,000150000025,MER-VEH-COMPACT-0001,MER-BRAKE-SYSTEM-0012
L04,PR-0100,MACHINING - BRAKE CALIPER,WU27,S04,000150000026,MER-VEH-COMPACT-0001,
L04,PR-0003,BOLT TORQUING,WU28,S04,000150000027,MER-VEH-COMPACT-0001,
L05,PR-0034,CHASSIS FRAME MOLDING,WU29,S01,000150000028,MER-VEH-SUV-0001,MER-FUEL-TANK-0036
L05,PR-0001,BEAD APPLICATION,WU30,S02,000150000029,MER-VEH-SUV-0001,MER-CYLINDER-BLOCK-0027
L05,PR-0002,RESISTANCE WELDING,WU31,S03,000150000030,MER-VEH-SUV-0001,MER-FUEL-INJECTOR-0038
L05,PR-0045,STAMPING - CENTER CONSOLE,WU32,S04,000150000031,MER-VEH-SUV-0001,MER-BODY-SHELL-0003
L06,PR-0178,ENGINE BLOCK CURING,WU33,S01,000150000032,MER-VEH-COMPACT-0001,
L06,PR-0011,EOL FUNCTIONAL CHECK,WU34,S02,000150000033,MER-VEH-COMPACT-0001,
L06,PR-0001,BEAD APPLICATION,WU35,S03,000150000034,MER-VEH-COMPACT-0001,MER-MUFFLER-0041
L06,PR-0002,RESISTANCE WELDING,WU36,S03,000150000035,MER-VEH-COMPACT-0001,MER-BODY-SHELL-0003
L07,PR-0002,RESISTANCE WELDING,WU37,S01,000150000036,MER-VEH-SUV-0001,MER-PISTONS-0030
L07,PR-0137,PACKAGING - CHASSIS FRAME,WU38,S02,000150000037,MER-VEH-SUV-0001,MER-GEARBOX-HOUSING-0032
L08,PR-0007,BASE COAT SPRAY,WU39,S01,000150000038,MER-VEH-SUV-0001,MER-FENDERS-0008
L08,PR-0147,TRIMMING - BATTERY MODULE,WU40,S01,000150000039,MER-VEH-SUV-0001,
L08,PR-0088,ROOF RAIL DRILLING,WU41,S02,,MER-VEH-SUV-0001,
L08,PR-0008,CLEAR COAT SPRAY,WU42,S02,000150000040,MER-VEH-SUV-0001,MER-DOORS-0004
L08,PR-0001,BEAD APPLICATION,WU43,S02,000150000041,MER-VEH-SUV-0001,MER-DOORS-0004
L09,PR-0171,DRILLING - SEAT FRAME,WU44,S01,000150000042,MER-VEH-COMPACT-0001,
L09,PR-0001,BEAD APPLICATION,WU45,S02,000150000043,MER-VEH-COMPACT-0001,MER-BUMPER-REAR-0007
L09,PR-0086,STEERING COLUMN DRILLING,WU46,S03,000150000044,MER-VEH-COMPACT-0001,
L09,PR-0006,CATHODIC DIP COATING,WU47,S03,000150000045,MER-VEH-COMPACT-0001,MER-BUMPER-REAR-0007
L09,PR-0003,BOLT TORQUING,WU48,S04,000150000046,MER-VEH-COMPACT-0001,
L09,PR-0006,CATHODIC DIP COATING,WU49,S04,000150000047,MER-VEH-COMPACT-0001,MER-MUFFLER-0041
L10,PR-0005,PRESSURE DECAY TEST,WU50,S01,000150000048,MER-VEH-SUV-0001,
L10,PR-0032,TESTING - FUEL RAIL,WU51,S01,000150000049,MER-VEH-SUV-0001,
L10,PR-0016,SHEET METAL FORMING,WU52,S01,000150000050,MER-VEH-SUV-0001,MER-FRONT-SUSPENSION-0010
L10,PR-0003,BOLT TORQUING,WU53,S02,000150000051,MER-VEH-SUV-0001,
