NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-MX-00001,MER-WHEELS-0014,SURFACE-SCRATCH,ASY-S02,Scrap,335
NCR-MX-00002,MER-HOOD-0005,ASSY-MISSING-FASTENER,ASY-S02,Use-As-Is,40
NCR-MX-00003,MER-PISTONS-0030,DIM-OUT-OF-TOLERANCE,ASY-S01,Scrap,72
NCR-MX-00004,MER-FUEL-PUMP-0037,DIM-OUT-OF-TOLERANCE,ASY-S01,Scrap,467
NCR-MX-00005,MER-LOW-VOLTAGE-BATT-0023,ASSY-WRONG-PART,ASY-S03,Rework,149
NCR-MX-00006,MER-BUMPER-REAR-0007,ELEC-OPEN-CIRCUIT,ASY-S02,Scrap,339
NCR-MX-00007,MER-VEH-COMPACT-0001,SURFACE-SCRATCH,ASY-S02,Use-As-Is,61
NCR-MX-00008,MER-PISTONS-0030,ELEC-SHORT-CIRCUIT,ASY-S01,Scrap,354
NCR-MX-00009,MER-GEARBOX-HOUSING-0032,PAINT-ORANGE-PEEL,ASY-S01,Rework,30
NCR-MX-00010,MER-PISTONS-0030,PAINT-ORANGE-PEEL,ASY-S02,Use-As-Is,369
NCR-MX-00011,MER-GEARBOX-HOUSING-0032,ASSY-MISSING-FASTENER,ASY-S02,Use-As-Is,178
NCR-MX-00012,MER-FUEL-TANK-0036,WELD-MISALIGN,ASY-S02,Rework,356
NCR-MX-00013,MER-HEADLINER-0020,ELEC-CONNECTOR-MISMATE,ASY-S02,Rework,263
NCR-MX-00014,MER-LOW-VOLTAGE-BATT-0023,WELD-UNDERCUT,ASY-S02,Rework,478
NCR-MX-00015,MER-WIRING-HARNESS-0022,SEAL-LEAK,ASY-S02,Rework,103
NCR-MX-00016,MER-STEERING-SYSTEM-0013,SEAL-LEAK,ASY-S02,Scrap,433
NCR-MX-00017,MER-DASHBOARD-0017,ASSY-MISSING-FASTENER,ASY-S01,Scrap,242
NCR-MX-00018,MER-CATALYTIC-CONVER-0040,SURFACE-SCRATCH,ASY-S02,Scrap,84
NCR-MX-00019,MER-CLUTCH-ASSEMBLY-0033,SURFACE-SCRATCH,ASY-S01,Rework,317
NCR-MX-00020,MER-DOOR-PANELS-0019,ASSY-MISSING-FASTENER,ASY-S03,Rework,394
NCR-MX-00021,MER-PISTONS-0030,ASSY-WRONG-PART,ASY-S02,Scrap,335
NCR-MX-00022,MER-SEATS-0016,SEAL-LEAK,ASY-S01,Rework,311
NCR-MX-00023,MER-CYLINDER-HEAD-0028,SURFACE-SCRATCH,ASY-S03,Scrap,202
NCR-MX-00024,MER-GEARBOX-HOUSING-0032,DIM-GAP-FLUSH,ASY-S03,Scrap,497
NCR-MX-00025,MER-BUMPER-REAR-0007,DIM-GAP-FLUSH,ASY-S01,Scrap,379
NCR-MX-00026,MER-BUMPER-FRONT-0006,SURFACE-SCRATCH,ASY-S01,Use-As-Is,475
NCR-MX-00027,MER-DOORS-0004,ELEC-OPEN-CIRCUIT,ASY-S03,Scrap,42
NCR-MX-00028,MER-CYLINDER-BLOCK-0027,WELD-UNDERCUT,ASY-S01,Scrap,111
NCR-MX-00029,MER-WIRING-HARNESS-0022,PAINT-ORANGE-PEEL,ASY-S02,Scrap,96
NCR-MX-00030,MER-CATALYTIC-CONVER-0040,WELD-UNDERCUT,ASY-S02,Rework,58
NCR-MX-00031,MER-FUEL-INJECTOR-0038,PAINT-ORANGE-PEEL,ASY-S01,Use-As-Is,315
NCR-MX-00032,MER-DOORS-0004,MATERIAL-CONTAMINATION,ASY-S01,Rework,33
NCR-MX-00033,MER-FRONT-SUSPENSION-0010,PAINT-RUNS,ASY-S02,Rework,498
NCR-MX-00034,MER-LOW-VOLTAGE-BATT-0023,SEAL-LEAK,ASY-S01,Rework,254
NCR-MX-00035,MER-CYLINDER-HEAD-0028,PAINT-ORANGE-PEEL,ASY-S01,Rework,328
NCR-MX-00036,MER-FRONT-SUSPENSION-0010,SURFACE-SCRATCH,ASY-S02,Rework,401
NCR-MX-00037,MER-BODY-SHELL-0003,PAINT-ORANGE-PEEL,ASY-S02,Scrap,494
NCR-MX-00038,MER-CYLINDER-BLOCK-0027,WELD-UNDERCUT,ASY-S03,Rework,315
NCR-MX-00039,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,ASY-S04,Rework,464
NCR-MX-00040,MER-CYLINDER-BLOCK-0027,ASSY-WRONG-PART,ASY-S03,Rework,411
NCR-MX-00041,MER-LIGHTING-SYSTEM-0024,MATERIAL-CONTAMINATION,ASY-S04,Scrap,253
NCR-MX-00042,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,ASY-S01,Rework,76
NCR-MX-00043,MER-FUEL-TANK-0036,ASSY-MISSING-FASTENER,ASY-S04,Use-As-Is,142
NCR-MX-00044,MER-EXHAUST-PIPE-0042,DIM-GAP-FLUSH,ASY-S02,Rework,211
NCR-MX-00045,MER-INFOTAINMENT-UNI-0025,SEAL-LEAK,ASY-S03,Scrap,153
NCR-MX-00046,MER-CYLINDER-HEAD-0028,ELEC-SHORT-CIRCUIT,ASY-S04,Rework,495
