CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,22.138,25.983,17.253,1.85
K1001,S01,21.911,25.983,17.253,1.85
K1001,S01,21.582,25.983,17.253,1.85
K1001,S01,21.076,25.983,17.253,1.85
K1002,S01,60.792,65.092,56.53,1.86
K1002,S01,60.241,65.092,56.53,1.86
K1002,S01,60.366,65.092,56.53,1.86
K1002,S01,60.862,65.092,56.53,1.86
K1002,S01,59.302,65.092,56.53,1.86
K1003,S02,176.167,178.5,173.578,2.17
K1003,S02,176.13,178.5,173.578,2.17
K1003,S02,175.781,178.5,173.578,2.17
K1003,S02,176.196,178.5,173.578,2.17
K1003,S02,175.555,178.5,173.578,2.17
K1004,S03,158.012,160.3,152.566,0.7
K1004,S03,156.3,160.3,152.566,0.7
K1004,S03,157.203,160.3,152.566,0.7
K1004,S03,162.093,160.3,152.566,0.7
K1004,S03,158.67,160.3,152.566,0.7
K1005,S03,36.33,38.516,34.427,1.17
K1005,S03,35.923,38.516,34.427,1.17
K1006,S03,146.181,148.265,143.278,1.09
K1006,S03,145.02,148.265,143.278,1.09
K1007,S04,50.861,52.198,47.795,0.77
K1007,S04,50.034,52.198,47.795,0.77
K1007,S04,50.556,52.198,47.795,0.77
K1007,S04,52.335,52.198,47.795,0.77
K1008,S04,39.707,43.941,35.816,1.75
K1008,S04,39.758,43.941,35.816,1.75
K1008,S04,38.893,43.941,35.816,1.75
K1008,S04,40.972,43.941,35.816,1.75
K1009,S01,175.819,177.936,168.993,1.92
K1009,S01,172.941,177.936,168.993,1.92
K1009,S01,174.205,177.936,168.993,1.92
K1009,S01,173.283,177.936,168.993,1.92
K1010,S02,15.583,20.203,11.23,1.11
K1010,S02,17.255,20.203,11.23,1.11
K1011,S01,79.681,80.62,78.57,0.89
K1011,S01,80.416,80.62,78.57,0.89
K1011,S01,79.895,80.62,78.57,0.89
K1011,S01,79.122,80.62,78.57,0.89
K1011,S01,80.108,80.62,78.57,0.89
K1012,S01,177.701,179.755,176.062,1.06
K1012,S01,177.871,179.755,176.062,1.06
K1013,S01,95.639,97.848,91.59,1.13
K1013,S01,94.593,97.848,91.59,1.13
K1013,S01,95.593,97.848,91.59,1.13
K1014,S02,126.342,128.439,124.55,0.85
K1014,S02,126.662,128.439,124.55,0.85
K1014,S02,126.909,128.439,124.55,0.85
K1015,S03,170.897,177.894,168.555,1.06
K1015,S03,174.041,177.894,168.555,1.06
K1016,S04,67.94,70.267,66.495,1.07
K1016,S04,67.708,70.267,66.495,1.07
K1017,S04,52.74,56.104,48.37,1.97
K1017,S04,51.484,56.104,48.37,1.97
K1017,S04,52.073,56.104,48.37,1.97
K1017,S04,51.93,56.104,48.37,1.97
K1017,S04,51.301,56.104,48.37,1.97
K1018,S01,36.54,37.336,35.737,1.05
K1018,S01,36.636,37.336,35.737,1.05
K1018,S01,36.291,37.336,35.737,1.05
K1018,S01,36.771,37.336,35.737,1.05
K1019,S01,98.558,102.003,92.611,2.19
K1019,S01,97.199,102.003,92.611,2.19
K1019,S01,97.429,102.003,92.611,2.19
K1019,S01,96.991,102.003,92.611,2.19
K1019,S01,97.113,102.003,92.611,2.19
K1020,S02,72.928,73.835,71.933,1.87
K1020,S02,73.074,73.835,71.933,1.87
K1020,S02,72.972,73.835,71.933,1.87
K1020,S02,73.04,73.835,71.933,1.87
K1021,S03,189.287,193.198,185.666,1.71
K1021,S03,189.726,193.198,185.666,1.71
K1021,S03,190.367,193.198,185.666,1.71
K1022,S04,15.495,19.906,11.804,1.08
K1022,S04,13.989,19.906,11.804,1.08
K1023,S04,72.621,76.204,69.019,0.83
K1023,S04,77.041,76.204,69.019,0.83
K1023,S04,72.27,76.204,69.019,0.83
K1023,S04,71.396,76.204,69.019,0.83
K1024,S01,185.91,188.637,183.283,1.19
K1024,S01,186.542,188.637,183.283,1.19
K1025,S01,177.226,180.23,171.504,0.92
K1025,S01,176.636,180.23,171.504,0.92
K1025,S01,172.879,180.23,171.504,0.92
K1026,S02,66.374,70.038,61.992,2.07
K1026,S02,66.45,70.038,61.992,2.07
K1027,S03,29.657,33.356,27.437,1.76
K1027,S03,30.832,33.356,27.437,1.76
K1027,S03,29.456,33.356,27.437,1.76
K1028,S04,129.291,130.017,128.108,2.07
K1028,S04,129.021,130.017,128.108,2.07
K1028,S04,129.109,130.017,128.108,2.07
K1028,S04,129.41,130.017,128.108,2.07
K1028,S04,129.126,130.017,128.108,2.07
K1029,S01,174.001,174.833,173.705,1.63
K1029,S01,174.195,174.833,173.705,1.63
K1030,S01,34.947,36.92,31.081,0.7
K1030,S01,33.377,36.92,31.081,0.7
K1030,S01,36.49,36.92,31.081,0.7
K1030,S01,33.141,36.92,31.081,0.7
K1031,S01,86.666,89.016,82.761,1.24
K1031,S01,86.621,89.016,82.761,1.24
K1031,S01,85.721,89.016,82.761,1.24
K1032,S02,172.676,174.919,170.958,1.07
K1032,S02,172.55,174.919,170.958,1.07
K1032,S02,173.134,174.919,170.958,1.07
K1033,S03,74.872,76.479,73.53,2.0
K1033,S03,74.788,76.479,73.53,2.0
K1033,S03,75.107,76.479,73.53,2.0
K1034,S01,72.968,76.169,67.852,0.97
K1034,S01,73.153,76.169,67.852,0.97
K1034,S01,71.69,76.169,67.852,0.97
K1034,S01,67.736,76.169,67.852,0.97
K1035,S01,55.194,56.666,52.508,0.86
K1035,S01,53.509,56.666,52.508,0.86
K1036,S01,115.166,116.393,113.815,1.24
K1036,S01,115.133,116.393,113.815,1.24
K1036,S01,115.305,116.393,113.815,1.24
K1036,S01,115.034,116.393,113.815,1.24
K1037,S02,111.259,116.497,108.105,1.66
K1037,S02,112.228,116.497,108.105,1.66
K1037,S02,112.944,116.497,108.105,1.66
K1037,S02,112.879,116.497,108.105,1.66
K1037,S02,110.377,116.497,108.105,1.66
K1038,S01,127.828,130.991,121.692,1.88
K1038,S01,125.98,130.991,121.692,1.88
K1038,S01,127.175,130.991,121.692,1.88
K1038,S01,126.632,130.991,121.692,1.88
K1039,S01,35.385,36.885,33.217,1.25
K1039,S01,34.591,36.885,33.217,1.25
K1039,S01,35.184,36.885,33.217,1.25
K1039,S01,34.803,36.885,33.217,1.25
K1040,S01,119.22,120.561,118.131,1.53
K1040,S01,119.099,120.561,118.131,1.53
K1040,S01,119.45,120.561,118.131,1.53
K1040,S01,119.032,120.561,118.131,1.53
K1040,S01,119.065,120.561,118.131,1.53
K1041,S02,65.792,70.826,63.616,0.93
K1041,S02,66.517,70.826,63.616,0.93
K1041,S02,67.399,70.826,63.616,0.93
K1041,S02,66.752,70.826,63.616,0.93
K1041,S02,67.938,70.826,63.616,0.93
K1042,S01,190.123,192.528,187.972,2.02
K1042,S01,189.72,192.528,187.972,2.02
K1042,S01,190.292,192.528,187.972,2.02
K1043,S01,57.531,59.762,54.452,0.86
K1043,S01,57.814,59.762,54.452,0.86
K1044,S02,40.477,44.438,37.793,0.75
K1044,S02,42.465,44.438,37.793,0.75
K1044,S02,41.928,44.438,37.793,0.75
K1044,S02,43.847,44.438,37.793,0.75
K1045,S02,82.063,86.499,76.995,1.23
K1045,S02,82.692,86.499,76.995,1.23
K1045,S02,80.894,86.499,76.995,1.23
K1045,S02,82.021,86.499,76.995,1.23
K1046,S03,140.526,141.491,139.93,0.84
K1046,S03,140.902,141.491,139.93,0.84
K1046,S03,140.815,141.491,139.93,0.84
K1046,S03,140.846,141.491,139.93,0.84
K1046,S03,140.582,141.491,139.93,0.84
K1047,S04,27.3,28.118,26.196,1.33
K1047,S04,26.942,28.118,26.196,1.33
K1048,S04,26.896,26.979,22.743,0.68
K1048,S04,24.068,26.979,22.743,0.68
K1048,S04,25.523,26.979,22.743,0.68
K1049,S04,97.397,98.807,92.011,0.83
K1049,S04,94.854,98.807,92.011,0.83
K1049,S04,94.193,98.807,92.011,0.83
K1050,S01,88.839,92.054,83.75,0.91
K1050,S01,86.91,92.054,83.75,0.91
K1050,S01,86.883,92.054,83.75,0.91
K1050,S01,88.24,92.054,83.75,0.91
K1051,S01,87.271,88.824,85.157,1.7
K1051,S01,86.785,88.824,85.157,1.7
K1051,S01,86.666,88.824,85.157,1.7
K1051,S01,87.553,88.824,85.157,1.7
K1051,S01,86.555,88.824,85.157,1.7
K1052,S01,140.602,145.372,137.588,1.44
K1052,S01,142.037,145.372,137.588,1.44
K1052,S01,141.471,145.372,137.588,1.44
K1052,S01,141.253,145.372,137.588,1.44
K1053,S02,17.524,19.462,16.151,0.79
K1053,S02,16.117,19.462,16.151,0.79
K1053,S02,16.655,19.462,16.151,0.79
K1053,S02,18.239,19.462,16.151,0.79
K1054,S02,126.091,128.466,123.55,1.74
K1054,S02,125.924,128.466,123.55,1.74
K1054,S02,125.719,128.466,123.55,1.74
K1054,S02,126.476,128.466,123.55,1.74
K1055,S03,114.71,117.829,108.153,1.84
K1055,S03,112.668,117.829,108.153,1.84
K1055,S03,112.749,117.829,108.153,1.84
K1055,S03,113.066,117.829,108.153,1.84
K1056,S03,178.289,181.026,176.345,0.81
K1056,S03,178.99,181.026,176.345,0.81
K1056,S03,179.675,181.026,176.345,0.81
K1056,S03,177.353,181.026,176.345,0.81
K1057,S04,94.993,96.573,93.617,0.62
K1057,S04,94.026,96.573,93.617,0.62
K1057,S04,96.141,96.573,93.617,0.62
K1057,S04,94.792,96.573,93.617,0.62
K1058,S01,124.275,126.199,121.775,1.1
K1058,S01,124.5,126.199,121.775,1.1
K1058,S01,124.506,126.199,121.775,1.1
K1058,S01,123.008,126.199,121.775,1.1
K1059,S01,31.881,33.872,30.025,2.0
K1059,S01,31.821,33.872,30.025,2.0
K1059,S01,31.833,33.872,30.025,2.0
K1060,S02,46.48,47.521,45.528,1.65
K1060,S02,46.553,47.521,45.528,1.65
K1061,S02,147.552,148.387,146.077,1.08
K1061,S02,147.909,148.387,146.077,1.08
K1062,S01,74.743,75.24,73.826,0.72
K1062,S01,74.432,75.24,73.826,0.72
K1062,S01,74.409,75.24,73.826,0.72
K1063,S01,87.784,90.599,83.125,1.99
K1063,S01,85.785,90.599,83.125,1.99
K1063,S01,87.377,90.599,83.125,1.99
K1063,S01,86.468,90.599,83.125,1.99
K1063,S01,87.486,90.599,83.125,1.99
K1064,S01,91.134,96.442,87.788,1.15
K1064,S01,92.344,96.442,87.788,1.15
K1064,S01,93.543,96.442,87.788,1.15
K1064,S01,91.05,96.442,87.788,1.15
K1065,S02,37.683,40.469,31.776,0.67
K1065,S02,33.998,40.469,31.776,0.67
K1065,S02,34.715,40.469,31.776,0.67
K1065,S02,34.737,40.469,31.776,0.67
K1066,S02,183.134,186.27,178.759,1.48
K1066,S02,181.489,186.27,178.759,1.48
K1067,S02,120.99,123.957,118.131,1.99
K1067,S02,120.914,123.957,118.131,1.99
K1067,S02,121.037,123.957,118.131,1.99
K1067,S02,121.53,123.957,118.131,1.99
K1068,S01,51.613,52.228,50.864,0.79
K1068,S01,51.53,52.228,50.864,0.79
K1068,S01,51.789,52.228,50.864,0.79
K1068,S01,51.506,52.228,50.864,0.79
K1068,S01,51.627,52.228,50.864,0.79
K1069,S01,153.443,157.705,151.346,0.7
K1069,S01,154.061,157.705,151.346,0.7
K1070,S01,71.554,77.236,70.102,0.78
K1070,S01,73.061,77.236,70.102,0.78
K1071,S02,99.205,101.423,95.951,1.09
K1071,S02,99.434,101.423,95.951,1.09
K1071,S02,97.295,101.423,95.951,1.09
K1071,S02,98.61,101.423,95.951,1.09
K1071,S02,97.728,101.423,95.951,1.09
K1072,S02,169.95,173.749,166.1,0.87
K1072,S02,167.521,173.749,166.1,0.87
K1072,S02,170.442,173.749,166.1,0.87
K1072,S02,168.811,173.749,166.1,0.87
K1073,S02,89.997,91.25,89.026,1.59
K1073,S02,89.883,91.25,89.026,1.59
K1074,S03,156.182,157.796,154.139,1.04
K1074,S03,155.543,157.796,154.139,1.04
K1075,S03,189.357,194.144,188.46,0.97
K1075,S03,190.991,194.144,188.46,0.97
K1075,S03,192.36,194.144,188.46,0.97
K1075,S03,191.708,194.144,188.46,0.97
K1075,S03,191.694,194.144,188.46,0.97
K1076,S03,130.113,132.425,127.601,0.91
K1076,S03,128.598,132.425,127.601,0.91
K1077,S01,136.859,139.834,134.373,1.1
K1077,S01,139.459,139.834,134.373,1.1
K1077,S01,136.096,139.834,134.373,1.1
K1078,S01,194.06,196.891,191.801,1.97
K1078,S01,194.725,196.891,191.801,1.97
K1079,S02,50.56,52.037,48.558,1.63
K1079,S02,50.057,52.037,48.558,1.63
K1079,S02,50.771,52.037,48.558,1.63
K1079,S02,49.947,52.037,48.558,1.63
K1080,S02,56.386,57.976,54.982,2.01
K1080,S02,56.867,57.976,54.982,2.01
K1081,S02,182.514,184.848,180.936,1.45
K1081,S02,182.433,184.848,180.936,1.45
K1082,S01,200.481,204.257,194.976,0.9
K1082,S01,199.715,204.257,194.976,0.9
K1082,S01,197.516,204.257,194.976,0.9
K1083,S01,142.096,145.969,138.157,1.92
K1083,S01,141.797,145.969,138.157,1.92
K1084,S02,25.45,26.149,23.305,0.82
K1084,S02,24.762,26.149,23.305,0.82
K1084,S02,24.876,26.149,23.305,0.82
K1085,S02,108.804,111.721,106.453,1.77
K1085,S02,109.005,111.721,106.453,1.77
K1085,S02,108.386,111.721,106.453,1.77
K1085,S02,108.912,111.721,106.453,1.77
K1086,S02,99.716,99.787,98.671,0.7
K1086,S02,99.093,99.787,98.671,0.7
K1087,S03,35.22,36.061,34.296,1.74
K1087,S03,35.332,36.061,34.296,1.74
K1088,S01,13.956,15.614,12.277,1.47
K1088,S01,14.568,15.614,12.277,1.47
K1089,S01,185.451,189.872,182.451,0.87
K1089,S01,186.294,189.872,182.451,0.87
K1090,S02,187.467,190.644,185.75,0.98
K1090,S02,189.294,190.644,185.75,0.98
K1090,S02,187.711,190.644,185.75,0.98
K1090,S02,189.638,190.644,185.75,0.98
K1091,S02,101.245,102.704,100.457,1.27
K1091,S02,101.853,102.704,100.457,1.27
K1092,S02,108.611,109.478,106.81,1.21
K1092,S02,107.786,109.478,106.81,1.21
K1092,S02,108.001,109.478,106.81,1.21
K1093,S01,130.391,137.269,128.136,1.06
K1093,S01,133.397,137.269,128.136,1.06
K1093,S01,131.662,137.269,128.136,1.06
K1094,S01,25.409,26.656,24.575,1.34
K1094,S01,25.948,26.656,24.575,1.34
K1094,S01,25.294,26.656,24.575,1.34
K1094,S01,25.65,26.656,24.575,1.34
K1095,S01,35.784,36.269,35.199,1.76
K1095,S01,35.713,36.269,35.199,1.76
K1096,S02,190.123,192.196,187.378,2.13
K1096,S02,189.789,192.196,187.378,2.13
K1097,S02,55.256,60.867,51.899,1.84
K1097,S02,55.863,60.867,51.899,1.84
K1097,S02,57.642,60.867,51.899,1.84
K1097,S02,55.922,60.867,51.899,1.84
K1098,S02,57.976,63.156,53.347,0.74
K1098,S02,61.328,63.156,53.347,0.74
K1098,S02,57.546,63.156,53.347,0.74
K1098,S02,58.032,63.156,53.347,0.74
K1098,S02,58.447,63.156,53.347,0.74
K1099,S03,147.32,151.013,141.716,1.67
K1099,S03,146.326,151.013,141.716,1.67
K1100,S01,189.331,191.821,186.613,1.72
K1100,S01,188.539,191.821,186.613,1.72
K1100,S01,189.96,191.821,186.613,1.72
K1100,S01,189.547,191.821,186.613,1.72
K1100,S01,189.258,191.821,186.613,1.72
K1101,S01,32.765,35.456,28.941,0.88
K1101,S01,33.512,35.456,28.941,0.88
K1101,S01,32.43,35.456,28.941,0.88
K1101,S01,32.907,35.456,28.941,0.88
K1101,S01,32.122,35.456,28.941,0.88
K1102,S02,196.914,201.396,192.673,0.9
K1102,S02,197.375,201.396,192.673,0.9
K1102,S02,195.329,201.396,192.673,0.9
K1102,S02,195.826,201.396,192.673,0.9
K1102,S02,198.885,201.396,192.673,0.9
K1103,S02,194.289,197.12,192.801,0.74
K1103,S02,196.59,197.12,192.801,0.74
K1103,S02,193.861,197.12,192.801,0.74
K1103,S02,193.301,197.12,192.801,0.74
K1104,S02,109.919,112.774,106.75,1.83
K1104,S02,108.289,112.774,106.75,1.83
K1104,S02,110.033,112.774,106.75,1.83
K1105,S03,75.513,79.604,73.416,0.93
K1105,S03,78.647,79.604,73.416,0.93
K1105,S03,76.433,79.604,73.416,0.93
K1105,S03,76.204,79.604,73.416,0.93
K1105,S03,76.57,79.604,73.416,0.93
K1106,S01,97.971,102.399,95.26,1.93
K1106,S01,99.247,102.399,95.26,1.93
K1106,S01,99.301,102.399,95.26,1.93
K1106,S01,99.043,102.399,95.26,1.93
K1107,S02,111.281,113.083,107.51,2.02
K1107,S02,109.688,113.083,107.51,2.02
K1107,S02,110.002,113.083,107.51,2.02
K1108,S02,43.473,47.501,37.896,1.9
K1108,S02,43.425,47.501,37.896,1.9
K1109,S01,27.547,34.784,24.81,0.73
K1109,S01,31.504,34.784,24.81,0.73
K1109,S01,30.341,34.784,24.81,0.73
K1110,S02,34.919,43.336,34.088,0.87
K1110,S02,35.727,43.336,34.088,0.87
K1110,S02,35.834,43.336,34.088,0.87
K1111,S02,157.871,160.291,155.309,0.94
K1111,S02,157.43,160.291,155.309,0.94
K1112,S02,188.38,192.616,182.892,1.79
K1112,S02,188.504,192.616,182.892,1.79
K1112,S02,188.47,192.616,182.892,1.79
K1113,S03,76.688,79.644,74.873,1.5
K1113,S03,77.183,79.644,74.873,1.5
K1114,S03,83.306,85.672,80.973,0.66
K1114,S03,85.014,85.672,80.973,0.66
K1114,S03,83.449,85.672,80.973,0.66
K1115,S01,24.505,28.026,22.543,1.65
K1115,S01,25.145,28.026,22.543,1.65
K1115,S01,26.07,28.026,22.543,1.65
K1115,S01,24.809,28.026,22.543,1.65
K1116,S02,194.48,198.693,190.289,1.55
K1116,S02,194.779,198.693,190.289,1.55
K1116,S02,195.064,198.693,190.289,1.55
K1116,S02,192.57,198.693,190.289,1.55
K1117,S02,36.063,38.532,33.968,1.88
K1117,S02,36.772,38.532,33.968,1.88
K1117,S02,35.508,38.532,33.968,1.88
K1117,S02,36.136,38.532,33.968,1.88
K1118,S02,43.807,49.229,40.688,0.95
K1118,S02,45.04,49.229,40.688,0.95
K1118,S02,43.202,49.229,40.688,0.95
K1119,S03,102.184,103.408,101.186,2.02
K1119,S03,102.237,103.408,101.186,2.02
K1119,S03,102.058,103.408,101.186,2.02
K1120,S03,176.274,179.68,173.377,1.84
K1120,S03,176.976,179.68,173.377,1.84
K1121,S04,23.198,24.552,22.034,1.28
K1121,S04,23.343,24.552,22.034,1.28
K1121,S04,23.419,24.552,22.034,1.28
K1122,S04,141.041,142.582,138.616,0.71
K1122,S04,139.658,142.582,138.616,0.71
K1123,S04,29.268,32.899,25.755,1.68
K1123,S04,27.926,32.899,25.755,1.68
K1123,S04,28.461,32.899,25.755,1.68
K1123,S04,29.101,32.899,25.755,1.68
K1123,S04,29.045,32.899,25.755,1.68
K1124,S01,70.542,71.638,68.428,0.87
K1124,S01,69.497,71.638,68.428,0.87
K1124,S01,70.028,71.638,68.428,0.87
K1125,S01,128.495,133.105,123.38,1.97
K1125,S01,129.604,133.105,123.38,1.97
K1126,S01,157.021,157.928,155.601,1.51
K1126,S01,156.402,157.928,155.601,1.51
K1127,S02,98.98,100.835,96.631,1.55
K1127,S02,98.176,100.835,96.631,1.55
K1127,S02,98.648,100.835,96.631,1.55
K1127,S02,98.237,100.835,96.631,1.55
K1128,S02,28.98,32.855,24.034,0.68
K1128,S02,32.188,32.855,24.034,0.68
K1128,S02,25.177,32.855,24.034,0.68
K1128,S02,28.686,32.855,24.034,0.68
K1128,S02,27.587,32.855,24.034,0.68
K1129,S01,14.958,18.113,10.785,1.57
K1129,S01,13.199,18.113,10.785,1.57
K1129,S01,15.008,18.113,10.785,1.57
K1129,S01,13.967,18.113,10.785,1.57
K1130,S01,25.905,28.709,22.03,2.14
K1130,S01,24.819,28.709,22.03,2.14
K1130,S01,25.188,28.709,22.03,2.14
K1130,S01,25.739,28.709,22.03,2.14
K1130,S01,24.437,28.709,22.03,2.14
K1131,S01,197.757,199.401,195.887,1.35
K1131,S01,198.03,199.401,195.887,1.35
K1131,S01,198.978,199.401,195.887,1.35
K1132,S02,164.6,166.282,158.245,0.98
K1132,S02,165.405,166.282,158.245,0.98
K1132,S02,162.163,166.282,158.245,0.98
K1132,S02,161.024,166.282,158.245,0.98
K1132,S02,163.792,166.282,158.245,0.98
K1133,S02,52.532,60.559,50.583,0.87
K1133,S02,56.259,60.559,50.583,0.87
K1133,S02,58.875,60.559,50.583,0.87
K1133,S02,56.92,60.559,50.583,0.87
K1134,S01,141.982,144.053,138.482,1.05
K1134,S01,142.183,144.053,138.482,1.05
K1134,S01,141.903,144.053,138.482,1.05
K1134,S01,140.457,144.053,138.482,1.05
K1135,S01,44.655,49.53,39.963,0.7
K1135,S01,43.892,49.53,39.963,0.7
K1135,S01,43.515,49.53,39.963,0.7
K1136,S01,106.975,107.767,105.744,2.11
K1136,S01,106.689,107.767,105.744,2.11
K1136,S01,106.696,107.767,105.744,2.11
K1136,S01,106.573,107.767,105.744,2.11
K1136,S01,106.403,107.767,105.744,2.11
K1137,S02,59.768,61.52,56.337,0.75
K1137,S02,56.978,61.52,56.337,0.75
K1137,S02,61.607,61.52,56.337,0.75
K1138,S02,77.863,80.643,76.429,1.52
