Material_No,Bin_Location,Quantity,Kanban_ID,Ship_From,Ship_To
MAT-327970,H-22-1,2432,KANBAN-00001,Engine Plant DE,Assembly Plant MX
MAT-827402,E-17-4,4095,KANBAN-00002,Engine Plant DE,Assembly Plant MX
MAT-278357,A-13-1,3125,KANBAN-00003,Engine Plant DE,Assembly Plant MX
MAT-856363,G-18-3,589,KANBAN-00004,Engine Plant DE,Assembly Plant MX
MAT-134435,C-15-4,2627,KANBAN-00005,Engine Plant DE,Assembly Plant MX
MAT-928719,E-22-4,2176,KANBAN-00006,Engine Plant DE,Assembly Plant MX
MAT-324076,F-09-4,2270,KANBAN-00007,Engine Plant DE,Assembly Plant MX
MAT-493794,C-19-4,306,KANBAN-00008,Engine Plant DE,Assembly Plant MX
MAT-158651,B-26-3,345,KANBAN-00009,Engine Plant DE,Assembly Plant MX
MAT-106315,G-26-1,732,KANBAN-00010,Engine Plant DE,Assembly Plant MX
MAT-408109,H-10-4,4283,KANBAN-00011,Engine Plant DE,Assembly Plant MX
MAT-464910,E-04-3,1537,KANBAN-00012,Engine Plant DE,Assembly Plant MX
MAT-588324,A-19-2,4249,KANBAN-00013,Engine Plant DE,Assembly Plant MX
MAT-455661,C-12-1,1716,KANBAN-00014,Engine Plant DE,Assembly Plant MX
MAT-795070,H-10-3,3295,KANBAN-00015,Engine Plant DE,Assembly Plant MX
MAT-478173,A-28-2,2907,KANBAN-00016,Engine Plant DE,Assembly Plant MX
MAT-759112,D-16-4,426,KANBAN-00017,Engine Plant DE,Assembly Plant MX
MAT-398015,H-03-1,1794,KANBAN-00018,Engine Plant DE,Assembly Plant MX
MAT-103499,A-17-2,206,KANBAN-00019,Engine Plant DE,Assembly Plant MX
MAT-727347,B-16-2,4771,KANBAN-00020,Engine Plant DE,Assembly Plant MX
MAT-281853,E-20-5,4367,KANBAN-00021,Engine Plant DE,Assembly Plant MX
MAT-959714,E-10-2,779,KANBAN-00022,Engine Plant DE,Assembly Plant MX
MAT-199335,B-04-3,2632,KANBAN-00023,Engine Plant DE,Assembly Plant MX
MAT-928475,G-06-4,497,KANBAN-00024,Engine Plant DE,Assembly Plant MX
MAT-296717,G-24-2,2807,KANBAN-00025,Engine Plant DE,Assembly Plant MX
MAT-723556,C-16-1,1377,KANBAN-00026,Engine Plant DE,Assembly Plant MX
MAT-106266,B-08-1,1305,KANBAN-00027,Engine Plant DE,Assembly Plant MX
MAT-772134,C-04-3,567,KANBAN-00028,Engine Plant DE,Assembly Plant MX
MAT-472877,C-04-5,1601,KANBAN-00029,Engine Plant DE,Assembly Plant MX
MAT-705305,A-25-3,1674,KANBAN-00030,Engine Plant DE,Assembly Plant MX
MAT-297841,E-25-4,1281,KANBAN-00031,Engine Plant DE,Assembly Plant MX
MAT-931626,D-21-4,3935,KANBAN-00032,Engine Plant DE,Assembly Plant MX
MAT-715274,H-14-3,1538,KANBAN-00033,Engine Plant DE,Assembly Plant MX
MAT-172938,F-16-3,4068,KANBAN-00034,Engine Plant DE,Assembly Plant MX
MAT-643103,D-28-1,50,KANBAN-00035,Engine Plant DE,Assembly Plant MX
MAT-466663,A-04-3,4295,KANBAN-00036,Engine Plant DE,Assembly Plant MX
MAT-649851,F-21-1,4808,KANBAN-00037,Engine Plant DE,Assembly Plant MX
MAT-825969,F-27-5,4406,KANBAN-00038,Engine Plant DE,Assembly Plant MX
MAT-377273,D-12-3,2110,KANBAN-00039,Engine Plant DE,Assembly Plant MX
MAT-999747,C-10-4,1670,KANBAN-00040,Engine Plant DE,Assembly Plant MX
MAT-846258,D-13-3,586,KANBAN-00041,Engine Plant DE,Assembly Plant MX
MAT-669068,B-17-2,3108,KANBAN-00042,Engine Plant DE,Assembly Plant MX
MAT-696533,G-08-5,3465,KANBAN-00043,Engine Plant DE,Assembly Plant MX
MAT-164399,C-04-2,2596,KANBAN-00044,Engine Plant DE,Assembly Plant MX
MAT-240806,C-29-4,1008,KANBAN-00045,Engine Plant DE,Assembly Plant MX
MAT-820809,F-23-3,4275,KANBAN-00046,Engine Plant DE,Assembly Plant MX
MAT-368414,B-24-3,3010,KANBAN-00047,Engine Plant DE,Assembly Plant MX
MAT-688317,D-04-2,3166,KANBAN-00048,Engine Plant DE,Assembly Plant MX
MAT-735506,D-24-3,3909,KANBAN-00049,Engine Plant DE,Assembly Plant MX
MAT-860988,G-28-2,1141,KANBAN-00050,Engine Plant DE,Assembly Plant MX
MAT-276182,D-27-2,4288,KANBAN-00051,Engine Plant DE,Assembly Plant MX
MAT-573447,H-01-5,4670,KANBAN-00052,Engine Plant DE,Assembly Plant MX
MAT-707011,C-07-5,694,KANBAN-00053,Engine Plant DE,Assembly Plant MX
MAT-826514,E-18-3,4815,KANBAN-00054,Engine Plant DE,Assembly Plant MX
