WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2160001,ASSET-00001,Corrective,HYDRAULIC-LEAK,133,1799,000160000001
WO-2160002,ASSET-00001,Corrective,MOTOR-BURNOUT,182,1798,000160000001
WO-2160003,ASSET-00001,Corrective,PNEUMATIC-LEAK,190,835,000160000001
WO-2160004,ASSET-00001,Corrective,DIE-WEAR,143,949,000160000001
WO-2160005,ASSET-00001,Preventive,,0,,000160000001
WO-2160006,ASSET-00001,Corrective,BEARING-FAILURE,161,451,000160000001
WO-2160007,ASSET-00001,Preventive,,0,,000160000001
WO-2160008,ASSET-00001,Preventive,,0,,000160000001
WO-2160009,ASSET-00002,Corrective,DIE-WEAR,86,922,000160000002
WO-2160010,ASSET-00002,Preventive,,0,,000160000002
WO-2160011,ASSET-00002,Preventive,,0,,000160000002
WO-2160012,ASSET-00002,Corrective,BEARING-FAILURE,107,1955,000160000002
WO-2160013,ASSET-00003,Corrective,DIE-WEAR,76,1831,000160000003
WO-2160014,ASSET-00003,Preventive,,0,,000160000003
WO-2160015,ASSET-00004,Preventive,,0,,000160000004
WO-2160016,ASSET-00004,Corrective,BEARING-FAILURE,40,521,000160000004
WO-2160017,ASSET-00004,Preventive,,0,,000160000004
WO-2160018,ASSET-00004,Preventive,,0,,000160000004
WO-2160019,ASSET-00004,Corrective,BELT-FAILURE,32,1667,000160000004
WO-2160020,ASSET-00004,Preventive,,0,,000160000004
WO-2160021,ASSET-00004,Corrective,SPINDLE-SEIZURE,117,953,000160000004
WO-2160022,ASSET-00005,Preventive,,0,,000160000005
WO-2160023,ASSET-00005,Preventive,,0,,000160000005
WO-2160024,ASSET-00005,Preventive,,0,,000160000005
WO-2160025,ASSET-00006,Corrective,HYDRAULIC-LEAK,50,368,000160000006
WO-2160026,ASSET-00006,Preventive,,0,,000160000006
WO-2160027,ASSET-00006,Corrective,HYDRAULIC-LEAK,36,1771,000160000006
WO-2160028,ASSET-00006,Preventive,,0,,000160000006
WO-2160029,ASSET-00006,Corrective,CONTROLLER-FAULT,218,301,000160000006
WO-2160030,ASSET-00006,Preventive,,0,,000160000006
WO-2160031,ASSET-00006,Preventive,,0,,000160000006
WO-2160032,ASSET-00007,Preventive,,0,,000160000007
WO-2160033,ASSET-00007,Preventive,,0,,000160000007
WO-2160034,ASSET-00007,Preventive,,0,,000160000007
WO-2160035,ASSET-00008,Preventive,,0,,
WO-2160036,ASSET-00008,Preventive,,0,,
WO-2160037,ASSET-00008,Corrective,SPINDLE-SEIZURE,234,504,
WO-2160038,ASSET-00008,Preventive,,0,,
WO-2160039,ASSET-00008,Preventive,,0,,
WO-2160040,ASSET-00008,Preventive,,0,,
WO-2160041,ASSET-00009,Preventive,,0,,000160000008
WO-2160042,ASSET-00009,Preventive,,0,,000160000008
WO-2160043,ASSET-00009,Preventive,,0,,000160000008
WO-2160044,ASSET-00010,Corrective,MOTOR-BURNOUT,117,939,000160000009
WO-2160045,ASSET-00010,Preventive,,0,,000160000009
WO-2160046,ASSET-00011,Preventive,,0,,000160000010
WO-2160047,ASSET-00011,Corrective,PNEUMATIC-LEAK,164,630,000160000010
WO-2160048,ASSET-00011,Corrective,SENSOR-FAULT,121,1973,000160000010
WO-2160049,ASSET-00011,Preventive,,0,,000160000010
WO-2160050,ASSET-00012,Emergency,BEARING-FAILURE,149,1732,000160000011
WO-2160051,ASSET-00012,Preventive,,0,,000160000011
WO-2160052,ASSET-00012,Corrective,SPINDLE-SEIZURE,89,700,000160000011
WO-2160053,ASSET-00012,Preventive,,0,,000160000011
WO-2160054,ASSET-00012,Preventive,,0,,000160000011
WO-2160055,ASSET-00012,Emergency,SENSOR-FAULT,85,997,000160000011
WO-2160056,ASSET-00012,Corrective,SENSOR-FAULT,83,1172,000160000011
WO-2160057,ASSET-00013,Preventive,,0,,000160000012
WO-2160058,ASSET-00013,Preventive,,0,,000160000012
WO-2160059,ASSET-00013,Corrective,SENSOR-FAULT,96,711,000160000012
WO-2160060,ASSET-00013,Preventive,,0,,000160000012
WO-2160061,ASSET-00014,Preventive,,0,,000160000013
WO-2160062,ASSET-00014,Emergency,DIE-WEAR,549,800,000160000013
WO-2160063,ASSET-00014,Corrective,SPINDLE-SEIZURE,91,523,000160000013
WO-2160064,ASSET-00014,Preventive,,0,,000160000013
WO-2160065,ASSET-00014,Preventive,,0,,000160000013
WO-2160066,ASSET-00014,Preventive,,0,,000160000013
WO-2160067,ASSET-00014,Corrective,DIE-WEAR,180,330,000160000013
WO-2160068,ASSET-00015,Preventive,,0,,000160000014
WO-2160069,ASSET-00015,Preventive,,0,,000160000014
WO-2160070,ASSET-00015,Preventive,,0,,000160000014
WO-2160071,ASSET-00015,Corrective,DIE-WEAR,214,893,000160000014
WO-2160072,ASSET-00016,Corrective,DIE-WEAR,180,273,000160000015
WO-2160073,ASSET-00016,Corrective,HYDRAULIC-LEAK,131,394,000160000015
WO-2160074,ASSET-00016,Emergency,SENSOR-FAULT,340,597,000160000015
WO-2160075,ASSET-00016,Preventive,,0,,000160000015
WO-2160076,ASSET-00017,Preventive,,0,,000160000016
WO-2160077,ASSET-00017,Corrective,HYDRAULIC-LEAK,141,360,000160000016
WO-2160078,ASSET-00017,Emergency,DIE-WEAR,591,960,000160000016
WO-2160079,ASSET-00017,Preventive,,0,,000160000016
WO-2160080,ASSET-00018,Corrective,DIE-WEAR,212,1121,000160000017
WO-2160081,ASSET-00018,Preventive,,0,,000160000017
WO-2160082,ASSET-00018,Preventive,,0,,000160000017
WO-2160083,ASSET-00018,Corrective,CALIBRATION-DRIFT,77,614,000160000017
