Werk,Anlagennummer,Anlagenbezeichnung,Kostenstelle,Anschaffungswert,Hersteller
P1150,000160000001,Final Functional Test Bench,CC-4682,114143.68,Yaskawa Motoman
P1150,000160000002,Robotic Welding Cell,CC-4680,211170.97,Bosch Rexroth
P1150,000160000003,Conveyor System,CC-4680,136312.76,Ingersoll Rand
P1150,000160000004,Screw Fastening Station,CC-4683,16164.01,KUKA
P1150,000160000005,Riveting Station,CC-4681,69605.46,Fives
P1150,000160000006,Wheel Alignment Rig,CC-4681,45188.30,Yaskawa Motoman
P1150,000160000007,Overhead Gantry Loader,CC-4683,145264.63,DMG MORI
P1150,000160000008,Adhesive Dispensing Unit,CC-4680,69657.96,ABB Robotics
P1150,000160000009,Battery Pack Assembly Cell,CC-4680,233523.99,Atlas Copco
P1150,000160000010,Conveyor System,CC-4683,123676.91,KUKA
P1150,000160000011,CNC Machining Center,CC-4681,377519.98,KUKA
P1150,000160000012,Final Functional Test Bench,CC-4681,198509.37,FANUC Corporation
P1150,000160000013,Paint Application Robot,CC-4683,223448.13,Comau
P1150,000160000014,CNC Machining Center,CC-4683,302920.95,FANUC Corporation
P1150,000160000015,Palletizing Robot,CC-4680,97305.81,Schuler
P1150,000160000016,Paint Application Robot,CC-4680,167815.02,Lincoln Electric
P1150,000160000017,Hydraulic Press,CC-4681,139216.32,Haas Automation
P1150,000160000018,Laser Welding Cell,CC-4680,252436.92,Miller Electric
P1150,000160000019,Wheel Alignment Rig,CC-4683,49354.11,atlas copco
P1150,000160000020,Ultrasonic Welding Station,CC-4682,52794.78,ABB
P1150,000160000021,Robotic Welding Cell,CC-4681,274051.22,DMG MORI
P1150,000160000022,CNC Machining Center,CC-4683,246377.30,Lincoln Electric
P1150,000160000023,Induction Heating Unit,CC-4680,39675.57,DMG
P1150,000160000024,Paint Application Robot,CC-4683,177927.88,Ingersoll Rand
P1150,000160000025,Riveting Station,CC-4681,68668.14,Yaskawa Motoman
P1150,000160000026,Riveting Station,CC-4681,30372.83,KUKA AG
P1150,000160000027,Induction Heating Unit,CC-4683,30737.32,KUKA AG
P1150,000160000028,Riveting Station,CC-4681,50461.17,KUKA
P1150,000160000029,Conveyor System,CC-4680,130905.87,KUKA
P1150,000160000030,CNC Machining Center,CC-4681,408710.21,Durr AG
P1150,000160000031,Palletizing Robot,CC-4680,163303.83,KUKA AG
P1150,000160000032,Robotic Welding Cell,CC-4680,200826.16,AIDA Engineering
P1150,000160000033,CNC Machining Center,CC-4682,377509.10,FANUC
P1150,000160000034,Torque Application Unit,CC-4682,44327.21,DMG MORI
P1150,000160000035,Final Functional Test Bench,CC-4681,94274.08,KUKA
P1150,000160000036,Wheel Alignment Rig,CC-4682,61676.40,Ingersoll
P1150,000160000037,Final Functional Test Bench,CC-4681,120685.30,Schuler Group
P1150,000160000038,Dimensional Measurement Arm,CC-4683,135352.83,DMG MORI
P1150,000160000039,Robotic Welding Cell,CC-4681,259259.97,ABB Robotics
P1150,000160000040,Conveyor System,CC-4680,64872.71,Fanuc Corporation
P1150,000160000041,Paint Application Robot,CC-4683,313905.19,ABB Robotics
P1150,000160000042,Leak Test Station,CC-4681,32301.33,DMG MORI
P1150,000160000043,Stamping Press,CC-4680,1159470.80,KUKA AG
P1150,000160000044,Leak Test Station,CC-4681,66338.99,FANUC Corporation
P1150,000160000045,CNC Machining Center,,295997.99,Schneider Electric
P1150,000160000046,Leak Test Station,CC-4681,68535.30,ABB ROBOTICS
P1150,000160000047,Laser Welding Cell,CC-4682,205787.28,Atlas Copco
P1150,000160000048,Coil Winding Machine,CC-4681,193533.80,KUKA AG
P1150,000160000049,Riveting Station,CC-4680,56042.61,FANUC
P1150,000160000050,Battery Pack Assembly Cell,CC-4680,293279.96,Fives
P1150,000160000051,Final Functional Test Bench,CC-4683,126096.89,DMG MORI
P1150,000160000052,Wheel Alignment Rig,CC-4681,57304.70,Hexagon AB
P1150,000160000053,Conveyor System,CC-4680,67053.32,KUKA AG
P1150,000160000054,Injection Molding Machine,CC-4681,262551.01,ABB
P1150,000160000055,Screw Fastening Station,CC-4682,22797.51,FANUC Corporation
P1150,000160000056,Hydraulic Press,CC-4682,168407.44,Lincoln
P1150,000160000057,CNC Machining Center,CC-4683,210215.45,KUKA AG
P1150,000160000058,Overhead Gantry Loader,CC-4682,101552.15,Hexagon
P1150,000160000059,Adhesive Dispensing Unit,CC-4682,68072.95,AIDA ENGINEERING
P1150,000160000060,Induction Heating Unit,CC-4681,83675.63,Fives
P1150,000160000061,Coil Winding Machine,CC-4681,148731.12,KUKA AG
P1150,000160000062,Ultrasonic Welding Station,CC-4683,49995.45,Dematic
P1150,000160000063,Overhead Gantry Loader,,122051.15,ingersoll rand
P1150,000160000064,Assembly Torque Wrench Station,,22267.40,Lincoln Electric
P1150,000160000065,Vision Inspection Station,CC-4682,74648.38,KUKA AG
P1150,000160000066,CNC Machining Center,CC-4681,274026.32,Haas Automation
P1150,000160000067,Battery Pack Assembly Cell,CC-4681,397066.90,KUKA AG
P1150,000160000068,Battery Pack Assembly Cell,CC-4680,237564.06,ABB Robotics
P1150,000160000069,Riveting Station,,48455.22,Eisenmann
P1150,000160000070,Injection Molding Machine,CC-4681,331245.90,Haas Automation
P1150,000160000071,Overhead Gantry Loader,CC-4682,177364.27,KUKA AG
P1150,000160000072,Adhesive Dispensing Unit,CC-4681,32876.11,Kuka Ag
P1150,000160000073,Coil Winding Machine,CC-4683,171065.03,Durr AG
P1150,000160000074,Injection Molding Machine,CC-4681,451401.33,FANUC
P1150,000160000075,Conveyor System,CC-4681,76387.01,ABB Robotics
P1150,000160000076,Wheel Alignment Rig,CC-4682,89307.61,ABB Robotics
P1150,000160000077,Induction Heating Unit,CC-4681,49655.42,KUKA AG
P1150,000160000078,Stamping Press,CC-4680,692692.66,ABB Robotics
P1150,000160000079,Screw Fastening Station,CC-4683,34315.54,KUKA AG
P1150,000160000080,Induction Heating Unit,CC-4683,30691.71,KUKA AG
P1150,000160000081,Hydraulic Press,CC-4680,351941.85,ABB Robotics
P1150,000160000082,Paint Application Robot,CC-4683,212182.68,Durr AG
P1150,000160000083,Riveting Station,CC-4680,50946.06,KUKA AG
P1150,000160000084,Battery Pack Assembly Cell,CC-4680,563806.49,KUKA AG
P1150,000160000085,Coil Winding Machine,CC-4681,170116.99,FANUC Corporation
P1150,000160000086,Stamping Press,CC-4683,724337.15,FANUC Corporation
P1150,000160000087,Hydraulic Press,CC-4683,174398.63,Hexagon
P1150,000160000088,Hydraulic Press,CC-4680,361219.26,Hexagon AB
P1150,000160000089,Overhead Gantry Loader,CC-4681,63143.89,Yaskawa Motoman
P1150,000160000090,Ultrasonic Welding Station,CC-4681,41843.40,ABB ROBOTICS
P1150,000160000091,Robotic Welding Cell,CC-4680,225575.72,MAZAK CORPORATION
P1150,000160000092,Paint Application Robot,CC-4683,251624.08,Lincoln Electric
P1150,000160000093,Hydraulic Press,CC-4680,313332.35,KUKA AG
P1150,000160000094,Assembly Torque Wrench Station,CC-4680,27523.46,Mazak Corporation
P1150,000160000095,Overhead Gantry Loader,CC-4683,81426.31,Dematic
P1150,000160000096,Adhesive Dispensing Unit,CC-4683,50284.43,Bosch Rexroth
P1150,000160000097,Hydraulic Press,CC-4683,171035.89,KUKA AG
P1150,000160000098,Stamping Press,CC-4680,382838.66,KUKA
P1150,000160000099,Palletizing Robot,CC-4682,151258.76,Carl Zeiss Industrial Metrology
P1150,000160000100,,CC-4681,95087.00,abb robotics
P1150,000160000101,Coil Winding Machine,CC-4683,214367.03,Dematic
P1150,000160000102,Leak Test Station,CC-4682,51843.03,ABB ROBOTICS
P1150,000160000103,Conveyor System,CC-4680,147756.56,DMG MORI
P1150,000160000104,Automated Guided Vehicle,CC-4680,41402.93,ABB Robotics
P1150,000160000105,CNC Machining Center,CC-4681,196106.67,Miller
P1150,000160000106,,CC-4681,267410.09,KUKA AG
P1150,000160000107,Leak Test Station,CC-4682,37233.14,Rockwell Automation
P1150,000160000108,Hydraulic Press,CC-4683,235346.10,DMG MORI
P1150,000160000109,Hydraulic Press,CC-4682,343987.27,Rockwell Automation
P1150,000160000110,Adhesive Dispensing Unit,CC-4683,66296.93,ABB Robotics
P1150,000160000111,Assembly Torque Wrench Station,CC-4682,26773.21,Dematic
P1150,000160000112,Conveyor System,CC-4681,70171.22,Mazak
P1150,000160000113,Automated Guided Vehicle,CC-4680,56854.53,Abb Robotics
P1150,000160000114,Vision Inspection Station,CC-4682,36612.55,Schuler Group
P1150,000160000115,CNC Machining Center,CC-4683,409986.39,Miller Electric
P1150,000160000116,Conveyor System,CC-4682,42544.37,Eisenmann
P1150,000160000117,Battery Pack Assembly Cell,CC-4682,319719.54,Mazak Corporation
P1150,000160000118,Stamping Press,CC-4681,954331.13,KUKA AG
P1150,000160000119,Overhead Gantry Loader,CC-4681,60895.40,Yaskawa Motoman
P1150,000160000120,Ultrasonic Welding Station,CC-4683,74492.90,DMG MORI
P1150,000160000121,Riveting Station,CC-4681,59202.40,Atlas Copco
P1150,000160000122,Battery Pack Assembly Cell,CC-4681,579034.60,Durr AG
P1150,000160000123,Assembly Torque Wrench Station,CC-4683,21507.88,ABB Robotics
P1150,000160000124,Ultrasonic Welding Station,CC-4681,68341.67,KUKA AG
P1150,000160000125,Paint Application Robot,CC-4681,342450.16,KUKA AG
P1150,000160000126,Injection Molding Machine,CC-4680,449549.51,Mazak
P1150,000160000127,CNC Machining Center,CC-4680,306962.07,KUKA AG
P1150,000160000128,Leak Test Station,CC-4681,43735.26,ABB Robotics
P1150,000160000129,Torque Application Unit,CC-4681,31440.00,KUKA AG
P1150,000160000130,Dimensional Measurement Arm,,121716.90,Lincoln Electric
P1150,000160000131,Leak Test Station,CC-4681,28959.27,KUKA
P1150,000160000132,Torque Application Unit,CC-4683,35886.92,ABB Robotics
P1150,000160000133,Assembly Torque Wrench Station,CC-4680,14183.31,Eisenmann
P1150,000160000134,Induction Heating Unit,CC-4683,69644.94,FANUC Corporation
P1150,000160000135,,CC-4683,1116040.98,Haas
P1150,000160000136,Wheel Alignment Rig,CC-4681,86452.05,KUKA AG
P1150,000160000137,Dimensional Measurement Arm,CC-4680,66990.67,KUKA AG
P1150,000160000138,Overhead Gantry Loader,CC-4681,86034.70,KUKA
P1150,000160000139,Laser Welding Cell,CC-4683,357934.01,DMG MORI
P1150,000160000140,Hydraulic Press,CC-4682,337486.10,Haas Automation
P1150,000160000141,Robotic Welding Cell,CC-4681,201486.23,Lincoln Electric
P1150,000160000142,Stamping Press,CC-4683,591352.37,Haas Automation
P1150,000160000143,Stamping Press,CC-4682,1165954.56,FANUC Corporation
P1150,000160000144,Assembly Torque Wrench Station,CC-4683,34440.27,Comau
P1150,000160000145,Assembly Torque Wrench Station,CC-4681,25246.67,Comau
P1150,000160000146,Hydraulic Press,CC-4682,263164.09,KUKA AG
P1150,000160000147,Overhead Gantry Loader,CC-4683,117244.99,KUKA AG
P1150,000160000148,Leak Test Station,CC-4682,55365.82,Abb Robotics
P1150,000160000149,Ultrasonic Welding Station,CC-4683,48552.60,Siemens AG
P1150,000160000150,Robotic Welding Cell,CC-4682,157393.58,Bosch Rexroth
P1150,000160000151,Leak Test Station,CC-4681,53695.91,DMG
P1150,000160000152,Final Functional Test Bench,CC-4680,145793.48,KUKA AG
P1150,000160000153,Assembly Torque Wrench Station,CC-4682,33809.88,Ingersoll Rand
P1150,000160000154,Automated Guided Vehicle,CC-4682,102049.68,Hexagon AB
P1150,000160000155,Hydraulic Press,CC-4680,280224.10,ABB Robotics
P1150,000160000156,Palletizing Robot,CC-4682,120710.12,Schuler Group
P1150,000160000157,Wheel Alignment Rig,CC-4682,52125.41,FANUC Corporation
P1150,000160000158,Vision Inspection Station,CC-4681,46740.70,SCHNEIDER ELECTRIC
P1150,000160000159,Final Functional Test Bench,CC-4682,185319.26,Yaskawa Motoman
