Facility,Line_Ref,Updated_On
Assembly Plant US (Old),Assembly Plant US Line 1,2024-09-23
Assembly Plant US (Old),Assembly Plant US Line 2,
Assembly Plant US (Old),Assembly Plant US Line 3,
Assembly Plant US (Old),Assembly Plant US Line 4,2025-07-26
Assembly Plant US (Old),Assembly Plant US Line 5,2024-11-27
Assembly Plant US (Old),Assembly Plant US Line 6,2022-09-11
Assembly Plant US (Old),Assembly Plant US Line 7,
Assembly Plant US (Old),Assembly Plant US Line 8,
Assembly Plant US (Old),Assembly Plant US Line 9,2019-12-10
Assembly Plant US (Old),Assembly Plant US Line 10,2019-09-03
Assembly Plant US (Old),Assembly Plant US Line 11,2024-10-05
Assembly Plant US (Old),Assembly Plant US Line 12,
Assembly Plant US (Old),Assembly Plant US Line 13,2024-02-22
Assembly Plant US (Old),,2021-01-05
Assembly Plant US (Old),L15,
Assembly Plant US (Old),L16,2021-12-20
Assembly Plant US (Old),Assembly Plant US Line 17,
Assembly Plant US (Old),L18,2025-11-26
Assembly Plant US (Old),L19,2020-04-06
Assembly Plant US (Old),Assembly Plant US Line 20,2023-06-17
Assembly Plant US (Old),Assembly Plant US Line 21,2022-08-06
Assembly Plant US (Old),Assembly Plant US Line 22,
Assembly Plant US (Old),,2022-06-24
Assembly Plant US (Old),,2023-10-31
Assembly Plant US (Old),Assembly Plant US Line 25,
Assembly Plant US (Old),Assembly Plant US Line 26,2024-04-05
Assembly Plant US (Old),Assembly Plant US Line 27,2025-10-20
Assembly Plant US (Old),Assembly Plant US Line 28,2021-01-21
Assembly Plant US (Old),Assembly Plant US Line 29,2022-10-27
Assembly Plant US (Old),,2022-05-25
Assembly Plant US (Old),,2023-07-11
Assembly Plant US (Old),Assembly Plant US Line 32,2025-05-28
Assembly Plant US (Old),,2019-07-27
Assembly Plant US (Old),L34,2025-06-16
Assembly Plant US (Old),Assembly Plant US Line 35,2025-10-30
Assembly Plant US (Old),Assembly Plant US Line 36,
Assembly Plant US (Old),Assembly Plant US Line 37,2019-10-05
Assembly Plant US (Old),,
Assembly Plant US (Old),Assembly Plant US Line 39,2021-09-14
Assembly Plant US (Old),Assembly Plant US Line 40,2020-12-29
Assembly Plant US (Old),Assembly Plant US Line 41,2021-08-18
Assembly Plant US (Old),Assembly Plant US Line 42,2021-06-01
Assembly Plant US (Old),Assembly Plant US Line 43,2021-01-27
Assembly Plant US (Old),,2024-11-22
Assembly Plant US (Old),Assembly Plant US Line 45,2020-03-25
Assembly Plant US (Old),Assembly Plant US Line 46,
Assembly Plant US (Old),Assembly Plant US Line 47,2022-07-22
Assembly Plant US (Old),Assembly Plant US Line 48,2025-05-19
Assembly Plant US (Old),Assembly Plant US Line 49,2021-03-13
Assembly Plant US (Old),,2020-03-01
Assembly Plant US (Old),L51,2021-09-16
Assembly Plant US (Old),Assembly Plant US Line 52,2025-09-13
Assembly Plant US (Old),Assembly Plant US Line 53,
Assembly Plant US (Old),,2019-03-10
Assembly Plant US (Old),Assembly Plant US Line 55,
Assembly Plant US (Old),Assembly Plant US Line 56,2020-09-28
Assembly Plant US (Old),Assembly Plant US Line 57,2019-06-18
Assembly Plant US (Old),,2020-06-28
Assembly Plant US (Old),Assembly Plant US Line 59,
Assembly Plant US (Old),L60,2024-04-07
Assembly Plant US (Old),Assembly Plant US Line 61,2024-04-12
Assembly Plant US (Old),Assembly Plant US Line 62,2024-05-04
Assembly Plant US (Old),Assembly Plant US Line 63,2020-11-08
Assembly Plant US (Old),Assembly Plant US Line 64,2021-02-24
Assembly Plant US (Old),Assembly Plant US Line 65,2024-08-07
Assembly Plant US (Old),Assembly Plant US Line 66,2021-07-10
Assembly Plant US (Old),Assembly Plant US Line 67,2021-06-05
Assembly Plant US (Old),L68,
Assembly Plant US (Old),Assembly Plant US Line 69,2023-11-21
Assembly Plant US (Old),Assembly Plant US Line 70,2024-10-09
Assembly Plant US (Old),Assembly Plant US Line 71,
Assembly Plant US (Old),Assembly Plant US Line 72,2025-11-05
Assembly Plant US (Old),L73,2024-07-08
Assembly Plant US (Old),Assembly Plant US Line 74,2022-12-31
Assembly Plant US (Old),Assembly Plant US Line 75,2019-02-15
Assembly Plant US (Old),Assembly Plant US Line 76,
Assembly Plant US (Old),L77,
Assembly Plant US (Old),Assembly Plant US Line 78,2024-09-17
Assembly Plant US (Old),Assembly Plant US Line 79,2024-12-18
Assembly Plant US (Old),,2023-03-05
Assembly Plant US (Old),Assembly Plant US Line 81,2019-04-21
Assembly Plant US (Old),Assembly Plant US Line 82,
Assembly Plant US (Old),,2021-11-02
Assembly Plant US (Old),Assembly Plant US Line 84,2024-12-04
Assembly Plant US (Old),Assembly Plant US Line 85,
Assembly Plant US (Old),Assembly Plant US Line 86,2020-06-28
Assembly Plant US (Old),Assembly Plant US Line 87,
Assembly Plant US (Old),Assembly Plant US Line 88,2019-01-20
Assembly Plant US (Old),Assembly Plant US Line 89,2020-09-16
Assembly Plant US (Old),Assembly Plant US Line 90,2019-04-26
Assembly Plant US (Old),Assembly Plant US Line 91,2024-02-03
Assembly Plant US (Old),Assembly Plant US Line 92,2020-08-28
Assembly Plant US (Old),L93,2022-11-27
Assembly Plant US (Old),Assembly Plant US Line 94,2022-11-13
Assembly Plant US (Old),Assembly Plant US Line 95,
Assembly Plant US (Old),Assembly Plant US Line 96,2025-12-03
Assembly Plant US (Old),L97,2023-04-22
Assembly Plant US (Old),Assembly Plant US Line 98,2024-01-02
Assembly Plant US (Old),Assembly Plant US Line 99,2022-10-24
