LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0055,Adjustment - Engine Block,WU1,S01,000160000001,MER-VEH-SUV-0001,
L01,PR-0001,Bead Application,WU2,S01,000160000002,MER-VEH-SUV-0001,MER-BODY-SHELL-0003
L01,PR-0014,Alignment Check,WU3,S02,000160000003,MER-VEH-SUV-0001,
L01,PR-0006,Cathodic Dip Coating,WU4,S02,000160000004,MER-VEH-SUV-0001,MER-LOW-VOLTAGE-BATT-0023
L01,PR-0023,Interior Fitting,WU5,S02,000160000005,MER-VEH-SUV-0001,MER-BUMPER-FRONT-0006
L01,PR-0029,Connector Termination,WU6,S03,000160000006,MER-VEH-SUV-0001,MER-GEARBOX-HOUSING-0032
L01,PR-0065,Seat Frame Curing,WU7,S04,000160000007,MER-VEH-SUV-0001,
L01,PR-0002,Spot Weld,WU8,S04,,MER-VEH-SUV-0001,MER-FUEL-PUMP-0037
L02,PR-0163,Abrasive Finishing - Brake Caliper,WU9,S01,000160000008,MER-VEH-SUV-0001,
L02,PR-0002,Spot Weld,WU10,S01,000160000009,MER-VEH-SUV-0001,MER-CENTER-CONSOLE-0018
L02,PR-0001,Bead Application,WU11,S02,000160000010,MER-VEH-SUV-0001,MER-FUEL-INJECTOR-0038
L03,PR-0073,Battery Module Sealing,WU12,S01,000160000011,MER-VEH-SUV-0001,MER-DASHBOARD-0017
L03,PR-0009,Cell Stack Assembly,WU13,S01,000160000012,MER-VEH-SUV-0001,MER-FUEL-PUMP-0037
L03,PR-0010,Harness Routing,WU14,S02,000160000013,MER-VEH-SUV-0001,MER-LOW-VOLTAGE-BATT-0023
L03,PR-0004,Camera Inspection,WU15,S03,000160000014,MER-VEH-SUV-0001,
L04,PR-0001,Bead Application,WU16,S01,000160000015,MER-VEH-COMPACT-0001,MER-LIGHTING-SYSTEM-0024
L04,PR-0002,Spot Weld,WU17,S01,000160000016,MER-VEH-COMPACT-0001,MER-CENTER-CONSOLE-0018
L04,PR-0049,Door Module Grinding,WU18,S01,000160000017,MER-VEH-COMPACT-0001,
L04,PR-0002,Spot Weld,WU19,S02,,MER-VEH-COMPACT-0001,MER-CATALYTIC-CONVER-0040
L04,PR-0192,Adjustment - Transmission Housing,WU20,S03,000160000018,MER-VEH-COMPACT-0001,
L04,PR-0057,Transmission Housing Trimming,WU21,S03,000160000019,MER-VEH-COMPACT-0001,
L05,PR-0082,Curing - Steering Column,WU22,S01,000160000020,MER-VEH-COMPACT-0001,
L05,PR-0095,Dispensing - Floor Pan,WU23,S01,000160000021,MER-VEH-COMPACT-0001,MER-PISTONS-0030
L05,PR-0038,Body Panel Alignment,WU24,S01,000160000022,MER-VEH-COMPACT-0001,
L05,PR-0009,Cell Stack Assembly,WU25,S02,000160000023,MER-VEH-COMPACT-0001,MER-WIRING-HARNESS-0022
L05,PR-0123,Trimming - Door Module,WU26,S02,000160000024,MER-VEH-COMPACT-0001,
L06,PR-0007,Base Coat Spray,WU27,S01,000160000025,MER-VEH-SUV-0001,MER-GEAR-SET-0034
L06,PR-0001,Bead Application,WU28,S02,000160000026,MER-VEH-SUV-0001,MER-HEADLINER-0020
L06,PR-0019,Trim and Pierce Operation,WU29,S03,000160000027,MER-VEH-SUV-0001,
L06,PR-0001,Bead Application,WU30,S03,000160000028,MER-VEH-SUV-0001,MER-FUEL-PUMP-0037
L06,PR-0026,Camshaft Fitting,WU31,S04,000160000029,MER-VEH-SUV-0001,MER-HEADLINER-0020
L06,PR-0198,Baking - Transmission Housing,WU32,S04,000160000030,MER-VEH-SUV-0001,
L07,PR-0030,Block Machining,WU33,S01,000160000031,MER-VEH-COMPACT-0001,
L07,PR-0002,Spot Weld,WU34,S01,000160000032,MER-VEH-COMPACT-0001,MER-GEAR-SET-0034
L07,PR-0001,Bead Application,WU35,S01,000160000033,MER-VEH-COMPACT-0001,MER-BRAKE-SYSTEM-0012
L07,PR-0005,Pressure Decay Test,WU36,S02,000160000034,MER-VEH-COMPACT-0001,
L07,PR-0001,Bead Application,WU37,S02,000160000035,MER-VEH-COMPACT-0001,MER-LIGHTING-SYSTEM-0024
L07,PR-0016,Sheet Metal Forming,WU38,S02,000160000036,MER-VEH-COMPACT-0001,MER-CYLINDER-BLOCK-0027
L07,PR-0056,Bumper Fascia Curing,WU39,S03,000160000037,MER-VEH-COMPACT-0001,
L07,PR-0027,Crankshaft Machining,WU40,S03,000160000038,MER-VEH-COMPACT-0001,
L07,PR-0021,Cushion Molding,WU41,S04,,MER-VEH-COMPACT-0001,MER-LOW-VOLTAGE-BATT-0023
L07,PR-0007,Base Coat Spray,WU42,S04,,MER-VEH-COMPACT-0001,MER-DOOR-PANELS-0019
