NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-US-00001,MER-FUEL-PUMP-0037,SEAL-LEAK,ASY-S02,Scrap,487
NCR-US-00002,MER-WIRING-HARNESS-0022,SEAL-LEAK,ASY-S03,Rework,370
NCR-US-00003,MER-BODY-SHELL-0003,WELD-MISALIGN,ASY-S02,Rework,272
NCR-US-00004,MER-CRANKSHAFT-0029,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,353
NCR-US-00005,MER-FRONT-SUSPENSION-0010,ASSY-CROSS-THREAD,ASY-S04,Rework,273
NCR-US-00006,MER-LOW-VOLTAGE-BATT-0023,WELD-UNDERCUT,ASY-S01,Rework,175
NCR-US-00007,MER-BUMPER-FRONT-0006,ELEC-SHORT-CIRCUIT,ASY-S01,Use-As-Is,47
NCR-US-00008,MER-MUFFLER-0041,ELEC-CONNECTOR-MISMATE,ASY-S02,Scrap,361
NCR-US-00009,MER-FRONT-SUSPENSION-0010,ELEC-OPEN-CIRCUIT,ASY-S01,Scrap,352
NCR-US-00010,MER-WHEELS-0014,ELEC-OPEN-CIRCUIT,ASY-S02,Use-As-Is,473
NCR-US-00011,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,ASY-S01,Scrap,324
NCR-US-00012,MER-CLUTCH-ASSEMBLY-0033,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,262
NCR-US-00013,MER-WIRING-HARNESS-0022,WELD-UNDERCUT,ASY-S03,Use-As-Is,264
NCR-US-00014,MER-HEADLINER-0020,ASSY-MISSING-FASTENER,ASY-S02,Scrap,214
NCR-US-00015,MER-BODY-SHELL-0003,WELD-POROSITY,ASY-S03,Rework,30
NCR-US-00016,MER-MUFFLER-0041,PAINT-BLISTER,ASY-S02,Scrap,427
NCR-US-00017,MER-INFOTAINMENT-UNI-0025,ELEC-SHORT-CIRCUIT,ASY-S03,Scrap,60
NCR-US-00018,MER-BUMPER-REAR-0007,DIM-GAP-FLUSH,ASY-S01,Rework,158
NCR-US-00019,MER-BRAKE-SYSTEM-0012,SURFACE-SCRATCH,ASY-S03,Scrap,296
NCR-US-00020,MER-MUFFLER-0041,PAINT-ORANGE-PEEL,ASY-S01,Scrap,51
NCR-US-00021,MER-FENDERS-0008,PAINT-BLISTER,ASY-S02,Use-As-Is,170
NCR-US-00022,MER-STEERING-SYSTEM-0013,SEAL-LEAK,ASY-S03,Rework,318
NCR-US-00023,MER-FENDERS-0008,WELD-UNDERCUT,ASY-S02,Scrap,264
NCR-US-00024,MER-FUEL-INJECTOR-0038,ASSY-CROSS-THREAD,ASY-S02,Rework,25
NCR-US-00025,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,ASY-S04,Rework,440
NCR-US-00026,MER-MUFFLER-0041,DIM-GAP-FLUSH,ASY-S04,Scrap,326
NCR-US-00027,MER-BUMPER-REAR-0007,ASSY-WRONG-PART,ASY-S01,Rework,489
NCR-US-00028,MER-FUEL-PUMP-0037,WELD-UNDERCUT,ASY-S01,Rework,92
NCR-US-00029,MER-CYLINDER-BLOCK-0027,PAINT-RUNS,ASY-S01,Scrap,398
NCR-US-00030,MER-GEAR-SET-0034,SURFACE-SCRATCH,ASY-S02,Use-As-Is,422
NCR-US-00031,MER-CYLINDER-HEAD-0028,SEAL-LEAK,ASY-S04,Scrap,452
