CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,148.238,150.662,144.54,1.8
K1001,S01,148.125,150.662,144.54,1.8
K1001,S01,147.598,150.662,144.54,1.8
K1001,S01,147.899,150.662,144.54,1.8
K1001,S01,147.883,150.662,144.54,1.8
K1002,S01,144.349,145.389,142.133,0.61
K1002,S01,144.512,145.389,142.133,0.61
K1002,S01,142.973,145.389,142.133,0.61
K1003,S02,66.838,73.023,64.72,0.71
K1003,S02,69.265,73.023,64.72,0.71
K1003,S02,69.438,73.023,64.72,0.71
K1003,S02,68.047,73.023,64.72,0.71
K1003,S02,66.636,73.023,64.72,0.71
K1004,S02,178.274,181.47,174.98,0.69
K1004,S02,177.007,181.47,174.98,0.69
K1005,S02,11.162,16.091,6.609,2.03
K1005,S02,11.552,16.091,6.609,2.03
K1006,S03,50.927,56.495,47.5,1.58
K1006,S03,53.025,56.495,47.5,1.58
K1007,S03,110.256,112.568,108.371,1.64
K1007,S03,110.87,112.568,108.371,1.64
K1008,S04,188.965,190.194,187.911,1.68
K1008,S04,189.048,190.194,187.911,1.68
K1008,S04,189.164,190.194,187.911,1.68
K1008,S04,189.158,190.194,187.911,1.68
K1009,S01,51.021,56.189,46.908,2.16
K1009,S01,50.009,56.189,46.908,2.16
K1009,S01,51.64,56.189,46.908,2.16
K1010,S02,47.583,50.471,46.187,1.19
K1010,S02,47.978,50.471,46.187,1.19
K1011,S02,103.762,106.671,99.425,2.19
K1011,S02,102.778,106.671,99.425,2.19
K1012,S01,96.465,99.645,93.2,0.72
K1012,S01,94.057,99.645,93.2,0.72
K1012,S01,96.114,99.645,93.2,0.72
K1013,S01,158.34,158.938,149.949,0.76
K1013,S01,156.904,158.938,149.949,0.76
K1013,S01,154.344,158.938,149.949,0.76
K1013,S01,155.007,158.938,149.949,0.76
K1014,S01,134.261,138.55,130.916,1.91
K1014,S01,134.309,138.55,130.916,1.91
K1014,S01,133.801,138.55,130.916,1.91
K1014,S01,135.429,138.55,130.916,1.91
K1015,S02,29.435,31.85,28.226,2.2
K1015,S02,29.86,31.85,28.226,2.2
K1016,S03,67.618,71.434,63.112,1.4
K1016,S03,67.099,71.434,63.112,1.4
K1016,S03,67.366,71.434,63.112,1.4
K1016,S03,65.868,71.434,63.112,1.4
K1016,S03,67.225,71.434,63.112,1.4
K1017,S03,66.921,67.842,65.806,1.57
K1017,S03,66.886,67.842,65.806,1.57
K1017,S03,66.804,67.842,65.806,1.57
K1017,S03,66.673,67.842,65.806,1.57
K1017,S03,66.759,67.842,65.806,1.57
K1018,S03,76.8,79.337,72.561,2.0
K1018,S03,75.138,79.337,72.561,2.0
K1018,S03,75.979,79.337,72.561,2.0
K1018,S03,75.953,79.337,72.561,2.0
K1018,S03,75.768,79.337,72.561,2.0
K1019,S01,124.894,127.737,122.854,1.16
K1019,S01,124.927,127.737,122.854,1.16
K1019,S01,125.257,127.737,122.854,1.16
K1020,S02,115.483,119.611,111.461,1.78
K1020,S02,116.574,119.611,111.461,1.78
K1020,S02,115.757,119.611,111.461,1.78
K1020,S02,115.07,119.611,111.461,1.78
K1020,S02,115.967,119.611,111.461,1.78
K1021,S02,87.291,89.812,85.701,0.87
K1021,S02,87.759,89.812,85.701,0.87
K1021,S02,88.235,89.812,85.701,0.87
K1021,S02,87.901,89.812,85.701,0.87
K1021,S02,87.999,89.812,85.701,0.87
K1022,S02,50.785,52.95,49.309,0.95
K1022,S02,50.058,52.95,49.309,0.95
K1023,S03,180.92,184.104,177.053,1.13
K1023,S03,180.316,184.104,177.053,1.13
K1023,S03,181.715,184.104,177.053,1.13
K1024,S03,40.507,41.574,38.815,1.55
K1024,S03,39.983,41.574,38.815,1.55
K1024,S03,39.898,41.574,38.815,1.55
K1025,S01,78.662,80.355,77.654,0.98
K1025,S01,79.268,80.355,77.654,0.98
K1025,S01,78.716,80.355,77.654,0.98
K1025,S01,79.095,80.355,77.654,0.98
K1025,S01,78.529,80.355,77.654,0.98
K1026,S01,172.132,173.413,170.839,1.18
K1026,S01,172.327,173.413,170.839,1.18
K1027,S02,30.218,31.088,28.897,2.06
K1027,S02,30.098,31.088,28.897,2.06
K1028,S02,122.553,125.558,119.936,0.79
K1028,S02,123.397,125.558,119.936,0.79
K1028,S02,122.271,125.558,119.936,0.79
K1029,S01,89.645,93.261,86.064,1.2
K1029,S01,90.18,93.261,86.064,1.2
K1029,S01,89.218,93.261,86.064,1.2
K1029,S01,89.804,93.261,86.064,1.2
K1029,S01,89.075,93.261,86.064,1.2
