PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-419266,B-01-3,1935,Engine Plant DE,Assembly Plant US
MAT-169248,E-28-3,1159,Engine Plant DE,Assembly Plant US
MAT-698151,A-17-3,765,Engine Plant DE,Assembly Plant US
MAT-664279,C-01-4,867,Engine Plant DE,Assembly Plant US
MAT-702671,A-14-5,2804,Engine Plant DE,Assembly Plant US
MAT-795143,D-12-4,2946,Engine Plant DE,Assembly Plant US
MAT-446718,A-06-1,356,Engine Plant DE,Assembly Plant US
MAT-391692,D-21-1,2812,Engine Plant DE,Assembly Plant US
MAT-973756,B-28-1,4661,Engine Plant DE,Assembly Plant US
MAT-161448,F-20-1,4344,Engine Plant DE,Assembly Plant US
MAT-280136,E-04-5,1722,Engine Plant DE,Assembly Plant US
MAT-238817,A-18-2,4495,Engine Plant DE,Assembly Plant US
MAT-748832,D-07-1,2298,Engine Plant DE,Assembly Plant US
MAT-502361,G-17-4,1145,Engine Plant DE,Assembly Plant US
MAT-473319,D-09-4,153,Engine Plant DE,Assembly Plant US
MAT-148552,D-10-4,1572,Engine Plant DE,Assembly Plant US
MAT-795231,G-25-1,4963,Engine Plant DE,Assembly Plant US
MAT-843263,D-18-2,529,Engine Plant DE,Assembly Plant US
MAT-538962,B-17-3,2664,Engine Plant DE,Assembly Plant US
MAT-537098,B-20-4,2375,Engine Plant DE,Assembly Plant US
MAT-183214,A-28-2,2119,Engine Plant DE,Assembly Plant US
MAT-113034,E-03-2,1749,Engine Plant DE,Assembly Plant US
MAT-615615,G-20-3,990,Engine Plant DE,Assembly Plant US
MAT-869670,G-10-5,603,Engine Plant DE,Assembly Plant US
MAT-231529,H-13-1,4278,Engine Plant DE,Assembly Plant US
MAT-173681,D-23-1,3342,Engine Plant DE,Assembly Plant US
MAT-280359,A-18-5,1377,Engine Plant DE,Assembly Plant US
MAT-670409,B-24-3,3468,Engine Plant DE,Assembly Plant US
MAT-265467,D-20-1,4742,Engine Plant DE,Assembly Plant US
MAT-151286,D-11-2,936,Engine Plant DE,Assembly Plant US
MAT-766175,B-11-3,4303,Engine Plant DE,Assembly Plant US
MAT-611478,H-19-4,1866,Engine Plant DE,Assembly Plant US
MAT-889300,G-07-4,2333,Engine Plant DE,Assembly Plant US
MAT-852460,G-21-1,2680,Engine Plant DE,Assembly Plant US
MAT-253358,F-18-3,1255,Engine Plant DE,Assembly Plant US
MAT-158647,E-09-5,3953,Engine Plant DE,Assembly Plant US
MAT-129642,A-11-1,135,Engine Plant DE,Assembly Plant US
MAT-838658,A-28-5,3706,Engine Plant DE,Assembly Plant US
MAT-917516,H-01-3,2683,Engine Plant DE,Assembly Plant US
MAT-344936,D-08-4,3383,Engine Plant DE,Assembly Plant US
MAT-856147,G-07-2,1762,Engine Plant DE,Assembly Plant US
MAT-210401,C-02-1,932,Engine Plant DE,Assembly Plant US
MAT-168586,G-08-5,2171,Engine Plant DE,Assembly Plant US
MAT-768838,H-24-1,3334,Engine Plant DE,Assembly Plant US
MAT-291772,E-01-2,401,Engine Plant DE,Assembly Plant US
MAT-665501,D-24-5,3093,Engine Plant DE,Assembly Plant US
MAT-504786,F-21-3,2391,Engine Plant DE,Assembly Plant US
MAT-386477,D-08-4,4334,Engine Plant DE,Assembly Plant US
MAT-157337,H-10-2,4642,Engine Plant DE,Assembly Plant US
MAT-885019,H-02-3,4115,Engine Plant DE,Assembly Plant US
MAT-145828,G-03-3,3829,Engine Plant DE,Assembly Plant US
MAT-332347,A-25-3,4499,Engine Plant DE,Assembly Plant US
MAT-959703,G-25-3,2889,Engine Plant DE,Assembly Plant US
MAT-355090,F-11-3,1790,Engine Plant DE,Assembly Plant US
MAT-585613,C-03-4,815,Engine Plant DE,Assembly Plant US
MAT-286876,B-28-5,1953,Engine Plant DE,Assembly Plant US
MAT-964121,F-15-3,4968,Engine Plant DE,Assembly Plant US
MAT-910219,E-01-4,505,Engine Plant DE,Assembly Plant US
MAT-963012,B-15-5,4243,Engine Plant DE,Assembly Plant US
MAT-239872,G-17-1,2309,Engine Plant DE,Assembly Plant US
MAT-784329,E-08-3,4077,Engine Plant DE,Assembly Plant US
MAT-377897,E-21-4,3039,Engine Plant DE,Assembly Plant US
MAT-286143,F-11-3,335,Engine Plant DE,Assembly Plant US
MAT-126533,F-19-5,1350,Engine Plant DE,Assembly Plant US
MAT-484075,B-08-2,3823,Engine Plant DE,Assembly Plant US
MAT-974748,F-18-1,1702,Engine Plant DE,Assembly Plant US
MAT-228362,F-27-5,3276,Engine Plant DE,Assembly Plant US
MAT-503995,H-27-3,2573,Engine Plant DE,Assembly Plant US
MAT-273353,A-18-5,4796,Engine Plant DE,Assembly Plant US
MAT-852998,A-16-3,3307,Engine Plant DE,Assembly Plant US
MAT-148064,A-12-1,2969,Engine Plant DE,Assembly Plant US
MAT-996716,G-03-3,1966,Engine Plant DE,Assembly Plant US
MAT-228791,A-08-1,3980,Engine Plant DE,Assembly Plant US
MAT-992380,G-11-4,1179,Engine Plant DE,Assembly Plant US
MAT-198953,G-22-2,2267,Engine Plant DE,Assembly Plant US
MAT-429378,F-10-1,4085,Engine Plant DE,Assembly Plant US
MAT-374613,E-20-5,1891,Engine Plant DE,Assembly Plant US
MAT-393321,E-17-5,4703,Engine Plant DE,Assembly Plant US
MAT-423456,D-20-5,796,Engine Plant DE,Assembly Plant US
MAT-646691,H-29-2,2349,Engine Plant DE,Assembly Plant US
MAT-942368,E-29-3,2540,Engine Plant DE,Assembly Plant US
MAT-658110,H-13-5,1027,Engine Plant DE,Assembly Plant US
MAT-111898,D-02-5,508,Engine Plant DE,Assembly Plant US
MAT-930415,G-16-3,3814,Engine Plant DE,Assembly Plant US
MAT-121048,G-11-2,3999,Engine Plant DE,Assembly Plant US
MAT-963607,H-14-2,166,Engine Plant DE,Assembly Plant US
MAT-113520,E-08-4,1279,Engine Plant DE,Assembly Plant US
MAT-127247,H-28-2,760,Engine Plant DE,Assembly Plant US
MAT-678200,B-25-1,3578,Engine Plant DE,Assembly Plant US
MAT-187955,E-01-1,114,Engine Plant DE,Assembly Plant US
MAT-562990,E-05-5,2669,Engine Plant DE,Assembly Plant US
MAT-178841,D-28-1,376,Engine Plant DE,Assembly Plant US
MAT-885322,A-28-2,4441,Engine Plant DE,Assembly Plant US
MAT-656956,C-12-5,3125,Engine Plant DE,Assembly Plant US
MAT-369886,G-25-4,1523,Engine Plant DE,Assembly Plant US
MAT-381961,D-28-3,2280,Engine Plant DE,Assembly Plant US
MAT-373928,B-02-3,1986,Engine Plant DE,Assembly Plant US
MAT-547785,A-16-1,3504,Engine Plant DE,Assembly Plant US
MAT-506163,B-09-4,4886,Engine Plant DE,Assembly Plant US
MAT-572921,C-13-5,71,Engine Plant DE,Assembly Plant US
MAT-514629,G-25-1,392,Engine Plant DE,Assembly Plant US
MAT-418083,H-16-4,4351,Engine Plant DE,Assembly Plant US
MAT-112022,D-28-4,4655,Engine Plant DE,Assembly Plant US
MAT-533317,F-19-1,4168,Engine Plant DE,Assembly Plant US
MAT-417292,E-24-2,2335,Engine Plant DE,Assembly Plant US
MAT-303625,C-29-3,2873,Engine Plant DE,Assembly Plant US
MAT-284841,F-27-3,2583,Engine Plant DE,Assembly Plant US
MAT-458414,C-25-2,3482,Engine Plant DE,Assembly Plant US
MAT-671173,A-19-2,1330,Engine Plant DE,Assembly Plant US
MAT-825555,H-20-3,1571,Engine Plant DE,Assembly Plant US
MAT-984054,H-04-4,1996,Engine Plant DE,Assembly Plant US
MAT-116643,E-05-1,576,Engine Plant DE,Assembly Plant US
MAT-961242,G-15-3,1157,Engine Plant DE,Assembly Plant US
MAT-945266,G-09-2,215,Engine Plant DE,Assembly Plant US
MAT-851860,C-22-3,3178,Engine Plant DE,Assembly Plant US
MAT-463411,B-01-5,3221,Engine Plant DE,Assembly Plant US
MAT-300921,B-07-5,4760,Engine Plant DE,Assembly Plant US
MAT-335245,B-06-2,3710,Engine Plant DE,Assembly Plant US
MAT-780043,E-29-2,1903,Engine Plant DE,Assembly Plant US
MAT-614736,B-20-2,4918,Engine Plant DE,Assembly Plant US
MAT-714513,D-08-1,1327,Engine Plant DE,Assembly Plant US
MAT-589180,E-06-4,3245,Engine Plant DE,Assembly Plant US
MAT-434692,A-23-5,3642,Engine Plant DE,Assembly Plant US
MAT-777417,G-12-4,2919,Engine Plant DE,Assembly Plant US
MAT-835803,F-20-2,4405,Engine Plant DE,Assembly Plant US
MAT-289919,B-05-4,543,Engine Plant DE,Assembly Plant US
MAT-584066,G-28-2,3669,Engine Plant DE,Assembly Plant US
MAT-817146,E-22-1,1100,Engine Plant DE,Assembly Plant US
MAT-522723,A-07-5,2097,Engine Plant DE,Assembly Plant US
MAT-459505,G-20-5,500,Engine Plant DE,Assembly Plant US
MAT-584266,B-16-5,409,Engine Plant DE,Assembly Plant US
MAT-716706,B-24-1,4998,Engine Plant DE,Assembly Plant US
MAT-658431,A-22-2,2623,Engine Plant DE,Assembly Plant US
MAT-660022,D-19-3,4621,Engine Plant DE,Assembly Plant US
MAT-775509,A-18-5,4500,Engine Plant DE,Assembly Plant US
MAT-403332,A-08-4,1518,Engine Plant DE,Assembly Plant US
MAT-794686,G-25-3,4441,Engine Plant DE,Assembly Plant US
MAT-253010,E-20-5,3654,Engine Plant DE,Assembly Plant US
MAT-412495,A-11-2,1672,Engine Plant DE,Assembly Plant US
MAT-652597,G-22-1,2917,Engine Plant DE,Assembly Plant US
MAT-348131,B-26-2,2433,Engine Plant DE,Assembly Plant US
MAT-107881,G-27-2,3720,Engine Plant DE,Assembly Plant US
MAT-879667,A-10-4,4768,Engine Plant DE,Assembly Plant US
MAT-541575,H-13-1,3511,Engine Plant DE,Assembly Plant US
MAT-282286,E-17-5,4281,Engine Plant DE,Assembly Plant US
MAT-715533,A-06-4,2513,Engine Plant DE,Assembly Plant US
MAT-691025,B-01-3,387,Engine Plant DE,Assembly Plant US
MAT-599261,A-01-5,2291,Engine Plant DE,Assembly Plant US
MAT-229764,D-20-3,3074,Engine Plant DE,Assembly Plant US
MAT-927700,B-18-4,4074,Engine Plant DE,Assembly Plant US
MAT-378657,E-05-1,1274,Engine Plant DE,Assembly Plant US
MAT-730904,D-17-3,1358,Engine Plant DE,Assembly Plant US
MAT-953793,H-14-3,3807,Engine Plant DE,Assembly Plant US
MAT-241623,B-03-4,4267,Engine Plant DE,Assembly Plant US
MAT-603486,G-02-1,4826,Engine Plant DE,Assembly Plant US
MAT-155382,D-06-5,4583,Engine Plant DE,Assembly Plant US
MAT-170849,E-09-5,4055,Engine Plant DE,Assembly Plant US
MAT-281696,A-20-4,624,Engine Plant DE,Assembly Plant US
MAT-120864,D-18-5,2682,Engine Plant DE,Assembly Plant US
MAT-352313,G-01-1,3899,Engine Plant DE,Assembly Plant US
MAT-433302,F-24-1,1734,Engine Plant DE,Assembly Plant US
MAT-661243,C-14-3,1889,Engine Plant US,Assembly Plant US
MAT-395112,A-06-4,3839,Engine Plant US,Assembly Plant US
MAT-617154,F-08-4,462,Engine Plant US,Assembly Plant US
MAT-433561,E-23-5,3214,Engine Plant US,Assembly Plant US
MAT-690819,E-25-3,3717,Engine Plant US,Assembly Plant US
