OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2040001,ASSET-00001,Preventive,0,,000040000001
WO-2040002,ASSET-00001,Preventive,0,,000040000001
WO-2040003,ASSET-00001,Preventive,0,,000040000001
WO-2040004,ASSET-00001,Preventive,0,,000040000001
WO-2040005,ASSET-00001,Corrective,129,552,000040000001
WO-2040006,ASSET-00001,Preventive,0,,000040000001
WO-2040007,ASSET-00001,Preventive,0,,000040000001
WO-2040008,ASSET-00002,Preventive,0,,000040000002
WO-2040009,ASSET-00002,Corrective,76,232,000040000002
WO-2040010,ASSET-00003,Preventive,0,,000040000003
WO-2040011,ASSET-00003,Corrective,30,1233,000040000003
WO-2040012,ASSET-00003,Emergency,243,616,000040000003
WO-2040013,ASSET-00003,Corrective,135,872,000040000003
WO-2040014,ASSET-00004,Preventive,0,,000040000004
WO-2040015,ASSET-00004,Preventive,0,,000040000004
WO-2040016,ASSET-00004,Corrective,191,562,000040000004
WO-2040017,ASSET-00004,Corrective,49,802,000040000004
WO-2040018,ASSET-00004,Preventive,0,,000040000004
WO-2040019,ASSET-00004,Preventive,0,,000040000004
WO-2040020,ASSET-00005,Preventive,0,,000040000005
WO-2040021,ASSET-00005,Emergency,144,790,000040000005
WO-2040022,ASSET-00006,Corrective,222,1219,000040000006
WO-2040023,ASSET-00006,Preventive,0,,000040000006
WO-2040024,ASSET-00006,Preventive,0,,000040000006
WO-2040025,ASSET-00006,Emergency,345,1336,000040000006
WO-2040026,ASSET-00007,Corrective,31,1009,000040000007
WO-2040027,ASSET-00007,Corrective,236,611,000040000007
WO-2040028,ASSET-00007,Corrective,59,291,000040000007
WO-2040029,ASSET-00007,Corrective,189,1102,000040000007
WO-2040030,ASSET-00007,Preventive,0,,000040000007
WO-2040031,ASSET-00008,Preventive,0,,000040000008
WO-2040032,ASSET-00008,Preventive,0,,000040000008
WO-2040033,ASSET-00008,Emergency,288,1009,000040000008
WO-2040034,ASSET-00008,Preventive,0,,000040000008
WO-2040035,ASSET-00009,Preventive,0,,000040000009
WO-2040036,ASSET-00009,Corrective,129,1952,000040000009
WO-2040037,ASSET-00009,Corrective,212,467,000040000009
