PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1030,000040000001,Riveting Station,55192.40,FANUC Corporation
P1030,000040000002,Vision Inspection Station,50029.89,FANUC Corporation
P1030,000040000003,Automated Guided Vehicle,67259.95,ABB
P1030,000040000004,Screw Fastening Station,23748.99,ABB Robotics
P1030,000040000005,Paint Application Robot,200025.70,Rockwell Automation
P1030,000040000006,Palletizing Robot,153555.49,ABB
P1030,000040000007,Dimensional Measurement Arm,82258.32,Yaskawa Motoman
P1030,000040000008,Adhesive Dispensing Unit,34266.15,Bosch Rexroth
P1030,000040000009,Induction Heating Unit,60735.87,ABB Robotics
P1030,000040000010,Hydraulic Press,118822.92,ABB Robotics
P1030,000040000011,CNC Machining Center,326615.58,Rockwell
P1030,000040000012,Laser Welding Cell,295175.49,DMG MORI
P1030,000040000013,Riveting Station,33095.88,Yaskawa Motoman
P1030,000040000014,Leak Test Station,55869.58,Comau
P1030,000040000015,Hydraulic Press,126671.97,HAAS AUTOMATION
P1030,000040000016,Coil Winding Machine,203780.50,Abb Robotics
P1030,000040000017,Robotic Welding Cell,132072.54,ABB Robotics
P1030,000040000018,Robotic Welding Cell,215993.41,ABB Robotics
P1030,000040000019,Paint Application Robot,274760.58,Haas Automation
P1030,000040000020,,60111.34,Haas Automation
P1030,000040000021,Stamping Press,319533.11,Hexagon AB
P1030,000040000022,Assembly Torque Wrench Station,15967.38,KUKA AG
P1030,000040000023,Paint Application Robot,181082.54,Hexagon AB
P1030,000040000024,Vision Inspection Station,82625.68,Haas
P1030,000040000025,Dimensional Measurement Arm,71120.10,KUKA
P1030,000040000026,CNC Machining Center,321608.95,Yaskawa
P1030,000040000027,Dimensional Measurement Arm,113236.45,ABB Robotics
P1030,000040000028,Stamping Press,766000.36,FIVES GROUP
P1030,000040000029,Automated Guided Vehicle,80252.42,Atlas Copco
P1030,000040000030,Induction Heating Unit,69239.69,Lincoln Electric
P1030,000040000031,Assembly Torque Wrench Station,16836.25,ABB Robotics
P1030,000040000032,Wheel Alignment Rig,39175.33,DMG MORI
P1030,000040000033,Leak Test Station,36983.46,Yaskawa
P1030,000040000034,Hydraulic Press,138207.64,FANUC Corporation
P1030,000040000035,Ultrasonic Welding Station,38189.39,DMG MORI
P1030,000040000036,CNC Machining Center,421118.03,DMG MORI
P1030,000040000037,Hydraulic Press,252946.09,Carl
P1030,000040000038,Battery Pack Assembly Cell,573278.19,Dmg Mori
P1030,000040000039,Coil Winding Machine,203581.28,Yaskawa Motoman
P1030,000040000040,Robotic Welding Cell,232009.36,Eisenmann SE
P1030,000040000041,Screw Fastening Station,13325.94,Yaskawa Motoman
P1030,000040000042,Laser Welding Cell,209242.42,KUKA
P1030,000040000043,Riveting Station,25131.49,FANUC CORPORATION
P1030,000040000044,Overhead Gantry Loader,61295.37,KUKA
P1030,000040000045,Overhead Gantry Loader,146522.84,ABB Robotics
P1030,000040000046,Automated Guided Vehicle,48574.30,Mazak Corporation
P1030,000040000047,Conveyor System,81942.08,FANUC
P1030,000040000048,Palletizing Robot,93912.17,Mazak Corporation
P1030,000040000049,Robotic Welding Cell,253702.96,FANUC Corporation
P1030,000040000050,Leak Test Station,34532.32,MAZAK CORPORATION
P1030,000040000051,Hydraulic Press,340546.91,KUKA AG
P1030,000040000052,Hydraulic Press,355974.22,Miller Electric
P1030,000040000053,Leak Test Station,47236.45,FANUC Corporation
P1030,000040000054,Paint Application Robot,240792.74,FANUC
P1030,000040000055,Robotic Welding Cell,123941.32,KUKA AG
P1030,000040000056,Automated Guided Vehicle,40931.27,KUKA AG
P1030,000040000057,Overhead Gantry Loader,131020.19,KUKA
P1030,000040000058,Riveting Station,25971.62,ABB Robotics
P1030,000040000059,Assembly Torque Wrench Station,21345.18,mazak corporation
P1030,000040000060,Conveyor System,95350.34,DMG MORI
P1030,000040000061,Torque Application Unit,31991.38,Fanuc Corporation
P1030,000040000062,Paint Application Robot,324766.31,Durr AG
P1030,000040000063,Coil Winding Machine,133496.22,DMG
P1030,000040000064,Assembly Torque Wrench Station,25156.20,ABB Robotics
P1030,000040000065,Conveyor System,57307.14,Carl
P1030,000040000066,Ultrasonic Welding Station,41963.90,Kuka Ag
P1030,000040000067,Induction Heating Unit,44524.02,FANUC Corporation
P1030,000040000068,CNC Machining Center,249445.42,yaskawa motoman
P1030,000040000069,Stamping Press,579678.58,KUKA AG
P1030,000040000070,Overhead Gantry Loader,129331.20,KUKA AG
P1030,000040000071,,19455.76,Haas Automation
P1030,000040000072,Palletizing Robot,100290.47,Mazak
P1030,000040000073,Dimensional Measurement Arm,105501.56,ABB Robotics
P1030,000040000074,Laser Welding Cell,218876.21,yaskawa motoman
P1030,000040000075,Screw Fastening Station,24809.11,KUKA AG
P1030,000040000076,Riveting Station,43450.11,Schuler Group
P1030,000040000077,Assembly Torque Wrench Station,32102.28,Ingersoll Rand
P1030,000040000078,Assembly Torque Wrench Station,11796.55,KUKA AG
P1030,000040000079,CNC Machining Center,352021.54,KUKA AG
P1030,000040000080,Paint Application Robot,221384.10,SCHULER GROUP
P1030,000040000081,Screw Fastening Station,20416.87,Yaskawa Motoman
P1030,000040000082,,42627.61,Yaskawa Motoman
P1030,000040000083,Dimensional Measurement Arm,77712.30,Schuler Group
P1030,000040000084,Leak Test Station,42249.63,KUKA AG
P1030,000040000085,Screw Fastening Station,36530.10,Atlas Copco
P1030,000040000086,Robotic Welding Cell,148090.15,Bosch Rexroth
P1030,000040000087,Torque Application Unit,33812.45,KUKA AG
P1030,000040000088,Induction Heating Unit,52021.45,Yaskawa Motoman
P1030,000040000089,Battery Pack Assembly Cell,453577.35,Eisenmann SE
P1030,000040000090,,88633.44,KUKA
P1030,000040000091,Hydraulic Press,272216.43,Schuler
P1030,000040000092,Laser Welding Cell,223205.26,Fives
P1030,000040000093,Overhead Gantry Loader,117587.37,KUKA AG
P1030,000040000094,Paint Application Robot,247629.49,Bosch Rexroth
P1030,000040000095,Final Functional Test Bench,107523.44,KUKA AG
P1030,000040000096,Torque Application Unit,44934.58,Schuler Group
P1030,000040000097,Robotic Welding Cell,250816.14,KUKA
P1030,000040000098,Screw Fastening Station,29432.09,dematic
P1030,000040000099,Screw Fastening Station,26494.88,Haas Automation
P1030,000040000100,Adhesive Dispensing Unit,83693.84,Eisenmann SE
P1030,000040000101,Leak Test Station,54521.95,ABB Robotics
P1030,000040000102,Screw Fastening Station,13792.29,Haas
P1030,000040000103,Screw Fastening Station,14689.03,KUKA AG
P1030,000040000104,Wheel Alignment Rig,62565.07,Mazak Corporation
P1030,000040000105,Automated Guided Vehicle,101876.59,Carl
P1030,000040000106,Assembly Torque Wrench Station,25739.08,Lincoln Electric
P1030,000040000107,Screw Fastening Station,27449.13,Haas Automation
P1030,000040000108,,202147.34,KUKA AG
P1030,000040000109,Wheel Alignment Rig,68566.75,Comau
P1030,000040000110,Final Functional Test Bench,138678.27,KUKA AG
P1030,000040000111,Assembly Torque Wrench Station,27843.09,Schuler Group
P1030,000040000112,Induction Heating Unit,48404.01,KUKA AG
P1030,000040000113,Hydraulic Press,340905.07,KUKA AG
P1030,000040000114,Injection Molding Machine,333911.79,KUKA AG
P1030,000040000115,Robotic Welding Cell,133414.42,KUKA AG
P1030,000040000116,Screw Fastening Station,25559.79,Miller Electric
P1030,000040000117,Wheel Alignment Rig,82678.48,FANUC
P1030,000040000118,Battery Pack Assembly Cell,346788.74,abb robotics
P1030,000040000119,Hydraulic Press,105585.82,ABB Robotics
P1030,000040000120,Induction Heating Unit,44174.44,Dematic
P1030,000040000121,Dimensional Measurement Arm,100421.04,KUKA AG
P1030,000040000122,Laser Welding Cell,371734.22,KUKA AG
P1030,000040000123,CNC Machining Center,227503.89,Lincoln Electric
P1030,000040000124,Laser Welding Cell,360596.86,Miller Electric
P1030,000040000125,Torque Application Unit,35591.44,Schneider
P1030,000040000126,Final Functional Test Bench,98062.70,FANUC
P1030,000040000127,Dimensional Measurement Arm,111950.05,KUKA AG
P1030,000040000128,,64803.89,Durr AG
