Facility,Line_Ref,Updated_On
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 1,2023-09-22
Battery & eDrive Plant CN,L02,2023-12-10
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 3,2020-05-23
Battery & eDrive Plant CN,L04,2021-03-17
Battery & eDrive Plant CN,L05,2024-07-17
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 6,2024-06-06
Battery & eDrive Plant CN,L07,2024-08-30
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 8,2025-05-08
Battery & eDrive Plant CN,,2019-07-29
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 10,2019-11-27
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 11,2022-05-19
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 12,2019-05-25
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 13,2023-06-21
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 14,2022-01-30
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 15,2019-03-15
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 16,2024-07-26
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 17,2022-07-22
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 18,2021-08-15
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 19,
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 20,2023-06-17
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 21,2019-04-26
Battery & eDrive Plant CN,,2020-01-08
Battery & eDrive Plant CN,L23,2023-02-20
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 24,
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 25,2019-10-26
Battery & eDrive Plant CN,,2021-05-07
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 27,2023-03-30
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 28,2022-06-14
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 29,2021-09-24
Battery & eDrive Plant CN,L30,2021-03-20
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 31,2024-10-07
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 32,
Battery & eDrive Plant CN,L33,2020-08-13
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 34,
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 35,2020-01-30
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 36,2023-08-25
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 37,2023-11-23
Battery & eDrive Plant CN,L38,2025-05-10
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 39,2019-10-12
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 40,2020-01-02
Battery & eDrive Plant CN,L41,
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 42,2024-10-27
Battery & eDrive Plant CN,Battery & eDrive Plant CN Line 43,2024-11-11
