Line_No,Process_ID,Local_Process_Desc,WC_ID,Station_No,Linked_Asset_ID,Product_Ref,Material_Ref
L01,PR-0010,Cable Routing,WU1,S01,000040000001,,
L01,PR-0001,Bead Application,WU2,S01,000040000002,,
L01,PR-0107,Packing - Fuel Rail,WU3,S01,000040000003,,
L01,PR-0030,Block Machining,WU4,S02,000040000004,,
L01,PR-0135,Door Module Fastening,WU5,S02,000040000005,,
L01,PR-0142,Body Panel Fastening,WU6,S02,000040000006,,
L01,PR-0011,End-of-Line Test,WU7,S03,000040000007,,
L01,PR-0085,Deflashing - Brake Caliper,WU8,S04,000040000008,,
L01,PR-0043,Inspection - Door Module,WU9,S04,000040000009,,
L01,PR-0005,Pressure Decay Test,WU10,S04,000040000010,,
L02,PR-0027,Crank Grinding,WU11,S01,000040000011,,
L02,PR-0152,Stamping - Battery Module,WU12,S01,000040000012,,
L02,PR-0050,QC Review - Steering Column,WU13,S02,000040000013,,
L02,PR-0036,Molding - Hood Panel,WU14,S02,000040000014,,
L03,PR-0002,RSW Operation,WU15,S01,000040000015,,
L03,PR-0074,Radiator Core Alignment,WU16,S02,000040000016,,
L03,PR-0006,Cathodic Dip Coating,WU17,S03,000040000017,,
L03,PR-0022,Cover Stitching,WU18,S03,000040000019,,
L03,PR-0030,Block Machining,WU19,S03,,,
L04,PR-0012,Chassis Sealing,WU20,S01,000040000020,,
L04,PR-0001,Bead Application,WU21,S02,000040000021,,
L04,PR-0034,Chassis Frame Molding,WU22,S02,000040000022,,
L04,PR-0002,RSW Operation,WU23,S02,000040000023,,
L05,PR-0003,Torque Fastening,WU24,S01,000040000024,,
L05,PR-0001,Bead Application,WU25,S01,,,
L05,PR-0021,Foam Molding,WU26,S01,000040000025,,
L05,PR-0001,Bead Application,WU27,S02,000040000026,,
L05,PR-0004,Camera Inspection,WU28,S02,000040000027,,
L05,PR-0105,Exhaust Manifold Forming,WU29,S02,000040000028,,
L06,PR-0008,Clear Coat Spray,WU30,S01,000040000029,,
L06,PR-0108,Shaping - Seat Frame,WU31,S02,000040000030,,
L06,PR-0010,Cable Routing,WU32,S03,000040000031,,
L07,PR-0002,RSW Operation,WU33,S01,,,
L07,PR-0049,Door Module Grinding,WU34,S02,000040000032,,
L07,PR-0004,Camera Inspection,WU35,S02,000040000033,,
L07,PR-0165,Baking - Glass Panel,WU36,S03,000040000034,,
L08,PR-0003,Torque Fastening,WU37,S01,000040000035,,
L08,PR-0070,Application - Seat Frame,WU38,S02,000040000036,,
L08,PR-0010,Cable Routing,WU39,S02,000040000037,,
L08,PR-0079,Fitting - Trunk Lid,WU40,S02,000040000038,,
L08,PR-0002,RSW Operation,WU41,S03,000040000039,,
L09,PR-0023,Interior Fitting,WU42,S01,000040000040,,
L09,PR-0001,Bead Application,WU43,S02,000040000041,,
L09,PR-0064,Deflashing - Center Console,WU44,S02,000040000042,,
L09,PR-0002,RSW Operation,WU45,S02,000040000043,,
L10,PR-0007,Colour Coat Application,WU46,S01,000040000044,,
L10,PR-0027,Crank Grinding,WU47,S01,000040000045,,
L10,PR-0009,Cell Stack Assembly,WU48,S02,000040000046,,
L10,PR-0055,Engine Block Calibration,WU49,S02,000040000047,,
L11,PR-0032,Testing - Fuel Rail,WU50,S01,000040000048,,
L11,PR-0001,Bead Application,WU51,S01,000040000049,,
L11,PR-0053,Press Forming - Door Module,WU52,S01,000040000050,,
L11,PR-0007,Colour Coat Application,WU53,S02,000040000051,,
L11,PR-0019,Trim and Pierce Operation,WU54,S02,000040000052,,
L11,PR-0002,RSW Operation,WU55,S02,,,
L11,PR-0007,Colour Coat Application,WU56,S03,000040000053,,
L11,PR-0068,Packaging - Dashboard Assembly,WU57,S03,000040000054,,
L12,PR-0130,Rear Axle Forming,WU58,S01,000040000055,,
L12,PR-0140,Machining - Seat Frame,WU59,S02,000040000056,,
L12,PR-0034,Chassis Frame Molding,WU60,S02,000040000057,,
L12,PR-0001,Bead Application,WU61,S02,000040000058,,
L12,PR-0008,Clear Coat Spray,WU62,S03,,,
L12,PR-0002,RSW Operation,WU63,S03,000040000059,,
L12,PR-0034,Chassis Frame Molding,WU64,S04,000040000060,,
L12,PR-0001,Bead Application,WU65,S04,000040000061,,
L12,PR-0176,Dashboard Assembly Coating,WU66,S04,000040000062,,
L13,PR-0002,RSW Operation,WU67,S01,000040000063,,
L13,PR-0001,Bead Application,WU68,S01,000040000064,,
L13,PR-0080,Sealing - Dashboard Assembly,WU69,S01,000040000065,,
L13,PR-0002,RSW Operation,WU70,S02,000040000066,,
L13,PR-0001,Bead Application,WU71,S02,000040000067,,
L13,PR-0014,Toe & Camber Setting,WU72,S02,000040000068,,
L13,PR-0167,Deflashing - Wire Harness,WU73,S03,000040000069,,
L13,PR-0003,Torque Fastening,WU74,S03,000040000070,,
L13,PR-0006,Cathodic Dip Coating,WU75,S04,000040000071,,
L14,PR-0002,RSW Operation,WU76,S01,000040000072,,
L14,PR-0015,Motor Coil Winding,WU77,S02,000040000073,,
L14,PR-0004,Camera Inspection,WU78,S02,000040000074,,
L14,PR-0018,Deep Drawing,WU79,S02,000040000075,,
L14,PR-0009,Cell Stack Assembly,WU80,S03,000040000076,,
L15,PR-0132,Deflashing - Suspension Arm,WU81,S01,000040000077,,
L15,PR-0029,Connector Termination,WU82,S02,000040000078,,
L15,PR-0031,Press Forming - Transmission Housing,WU83,S02,,,
L16,PR-0010,Cable Routing,WU84,S01,000040000079,,
L16,PR-0003,Torque Fastening,WU85,S01,000040000080,,
L16,PR-0004,Camera Inspection,WU86,S01,000040000081,,
L16,PR-0011,End-of-Line Test,WU87,S02,000040000082,,
L16,PR-0002,RSW Operation,WU88,S02,000040000083,,
L16,PR-0001,Bead Application,WU89,S03,000040000084,,
L17,PR-0005,Pressure Decay Test,WU90,S01,000040000085,,
L17,PR-0001,Bead Application,WU91,S02,000040000086,,
L17,PR-0002,RSW Operation,WU92,S02,000040000087,,
L18,PR-0013,Door Fitment,WU93,S01,000040000088,,
L18,PR-0058,Moulding - Transmission Housing,WU94,S01,000040000089,,
L18,PR-0002,RSW Operation,WU95,S02,000040000090,,
L18,PR-0059,Drilling - Trunk Lid,WU96,S02,000040000091,,
L18,PR-0001,Bead Application,WU97,S02,000040000092,,
L18,PR-0197,Stamping - Roof Rail,WU98,S03,000040000093,,
L18,PR-0012,Chassis Sealing,WU99,S04,000040000094,,
L19,PR-0009,Cell Stack Assembly,WU100,S01,000040000095,,
L19,PR-0026,Cam Assembly,WU101,S02,000040000096,,
L19,PR-0009,Cell Stack Assembly,WU102,S03,000040000097,,
L19,PR-0006,Cathodic Dip Coating,WU103,S03,000040000098,,
L19,PR-0005,Pressure Decay Test,WU104,S04,000040000099,,
L19,PR-0176,Dashboard Assembly Coating,WU105,S04,000040000100,,
L19,PR-0089,Assembly - Wheel Hub,WU106,S04,000040000101,,
L20,PR-0011,End-of-Line Test,WU107,S01,000040000102,,
L20,PR-0077,Fastening - Exhaust Manifold,WU108,S02,000040000103,,
L20,PR-0001,Bead Application,WU109,S02,000040000104,,
L20,PR-0013,Door Fitment,WU110,S02,000040000105,,
L20,PR-0008,Clear Coat Spray,WU111,S03,000040000106,,
L20,PR-0004,Camera Inspection,WU112,S03,,,
L20,PR-0124,Inspection - Dashboard Assembly,WU113,S03,000040000107,,
L20,PR-0075,Fusing - Door Module,WU114,S04,000040000108,,
L20,PR-0116,Bumper Fascia Coating,WU115,S04,000040000109,,
L20,PR-0023,Interior Fitting,WU116,S04,000040000110,,
