NCR_ID,PartNumber,DefectCode,DetectedAtStation,Disposition,PPM_Rate,EightD_Status
NCR-CN-00001,MER-STATOR-0031,DIM-OUT-OF-TOLERANCE,BAT-S04,Rework,465,Closed
NCR-CN-00002,MER-STATOR-0031,ELEC-CONNECTOR-MISMATE,BAT-S04,Rework,486,Open-D2
NCR-CN-00003,MER-DOORS-0004,PAINT-BLISTER,BAT-S04,Use-As-Is,292,Open-D1
NCR-CN-00004,MER-BODY-SHELL-0003,SURFACE-SCRATCH,BAT-S01,Use-As-Is,204,Closed
NCR-CN-00005,MER-BRAKE-SYSTEM-0012,ELEC-SHORT-CIRCUIT,BAT-S01,Rework,257,Open-D4
NCR-CN-00006,MER-CHARGE-PORT-0039,ASSY-MISSING-FASTENER,BAT-S01,Rework,95,Open-D1
NCR-CN-00007,MER-ROTOR-0032,WELD-POROSITY,BAT-S02,Rework,52,Closed
NCR-CN-00008,MER-BUMPER-REAR-0007,WELD-POROSITY,BAT-S02,Scrap,80,Closed
NCR-CN-00009,MER-INVERTER-0035,ASSY-MISSING-FASTENER,BAT-S01,Rework,407,Closed
NCR-CN-00010,MER-CENTER-CONSOLE-0018,ELEC-CONNECTOR-MISMATE,BAT-S01,Rework,180,Closed
NCR-CN-00011,MER-BUMPER-FRONT-0006,ASSY-WRONG-PART,BAT-S03,Scrap,467,Open-D5
NCR-CN-00012,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,BAT-S02,Use-As-Is,284,Closed
NCR-CN-00013,MER-BUMPER-REAR-0007,WELD-MISALIGN,BAT-S02,Scrap,284,Open-D7
NCR-CN-00014,MER-INFOTAINMENT-UNI-0025,PAINT-ORANGE-PEEL,BAT-S04,Scrap,260,Closed
NCR-CN-00015,MER-ONBOARD-CHARGER-0037,SURFACE-SCRATCH,BAT-S02,Rework,480,Closed
NCR-CN-00016,MER-CHARGING-CABLE-0040,ASSY-CROSS-THREAD,BAT-S03,Rework,497,Closed
NCR-CN-00017,MER-SEATS-0016,ASSY-MISSING-FASTENER,BAT-S01,Scrap,315,Closed
NCR-CN-00018,MER-ONBOARD-CHARGER-0037,WELD-MISALIGN,BAT-S04,Rework,21,Open-D5
NCR-CN-00019,MER-BATTERY-MANAGEME-0028,DIM-GAP-FLUSH,BAT-S04,Use-As-Is,469,Closed
NCR-CN-00020,MER-LOW-VOLTAGE-BATT-0023,ASSY-MISSING-FASTENER,BAT-S01,Rework,498,Open-D2
NCR-CN-00021,MER-BUMPER-REAR-0007,DIM-OUT-OF-TOLERANCE,BAT-S03,Scrap,99,Closed
NCR-CN-00022,MER-INVERTER-0035,ASSY-MISSING-FASTENER,BAT-S03,Use-As-Is,81,Closed
NCR-CN-00023,MER-DC-DC-CONVERTER-0036,WELD-POROSITY,BAT-S02,Rework,292,Closed
NCR-CN-00024,MER-DOORS-0004,WELD-UNDERCUT,BAT-S04,Scrap,302,Open-D6
NCR-CN-00025,MER-WHEELS-0014,SURFACE-SCRATCH,BAT-S02,Use-As-Is,66,Closed
NCR-CN-00026,MER-MOTOR-HOUSING-0033,ELEC-SHORT-CIRCUIT,BAT-S01,Rework,121,Open-D8
NCR-CN-00027,MER-BATTERY-HOUSING-0029,ASSY-WRONG-PART,BAT-S02,Rework,465,Closed
NCR-CN-00028,MER-DOOR-PANELS-0019,WELD-UNDERCUT,BAT-S04,Scrap,192,Open-D7
NCR-CN-00029,MER-STATOR-0031,PAINT-RUNS,BAT-S02,Rework,204,Closed
NCR-CN-00030,MER-BATTERY-MANAGEME-0028,ASSY-CROSS-THREAD,BAT-S01,Rework,432,Closed
NCR-CN-00031,MER-SEATS-0016,WELD-UNDERCUT,BAT-S02,Rework,198,Closed
NCR-CN-00032,MER-ONBOARD-CHARGER-0037,PAINT-ORANGE-PEEL,BAT-S02,Use-As-Is,112,Closed
NCR-CN-00033,MER-WHEELS-0014,DIM-OUT-OF-TOLERANCE,BAT-S01,Rework,175,Closed
NCR-CN-00034,MER-HOOD-0005,PAINT-RUNS,BAT-S02,Use-As-Is,44,Open-D5
NCR-CN-00035,MER-BATTERY-MANAGEME-0028,PAINT-RUNS,BAT-S02,Rework,107,Closed
NCR-CN-00036,MER-BATTERY-MANAGEME-0028,ASSY-MISSING-FASTENER,BAT-S01,Rework,330,Open-D5
