Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1001,S01,12.255,16.069,8.104,1.0
K1001,S01,12.653,16.069,8.104,1.0
K1001,S01,10.972,16.069,8.104,1.0
K1001,S01,9.8,16.069,8.104,1.0
K1002,S02,39.029,41.007,37.047,1.11
K1002,S02,39.703,41.007,37.047,1.11
K1003,S02,78.184,82.913,75.872,2.05
K1003,S02,79.821,82.913,75.872,2.05
K1003,S02,79.344,82.913,75.872,2.05
K1003,S02,79.559,82.913,75.872,2.05
K1004,S03,94.69,101.647,93.278,1.15
K1004,S03,97.279,101.647,93.278,1.15
K1004,S03,96.893,101.647,93.278,1.15
K1005,S03,84.104,85.604,80.222,1.18
K1005,S03,83.916,85.604,80.222,1.18
K1005,S03,83.713,85.604,80.222,1.18
K1005,S03,82.76,85.604,80.222,1.18
K1005,S03,80.872,85.604,80.222,1.18
K1006,S04,173.405,179.725,170.821,1.15
K1006,S04,175.385,179.725,170.821,1.15
K1006,S04,173.054,179.725,170.821,1.15
K1006,S04,179.072,179.725,170.821,1.15
K1007,S04,20.25,22.836,18.245,1.69
K1007,S04,21.139,22.836,18.245,1.69
K1007,S04,20.371,22.836,18.245,1.69
K1008,S01,32.284,36.171,28.629,2.15
K1008,S01,31.607,36.171,28.629,2.15
K1008,S01,32.834,36.171,28.629,2.15
K1008,S01,31.939,36.171,28.629,2.15
K1008,S01,31.763,36.171,28.629,2.15
K1009,S02,33.604,34.686,32.408,0.81
K1009,S02,33.513,34.686,32.408,0.81
K1009,S02,33.962,34.686,32.408,0.81
K1009,S02,32.538,34.686,32.408,0.81
K1010,S01,124.459,126.165,123.455,1.91
K1010,S01,125.1,126.165,123.455,1.91
K1010,S01,125.229,126.165,123.455,1.91
K1010,S01,124.416,126.165,123.455,1.91
K1010,S01,125.09,126.165,123.455,1.91
K1011,S01,75.727,80.21,74.788,0.96
K1011,S01,76.511,80.21,74.788,0.96
K1011,S01,77.048,80.21,74.788,0.96
K1011,S01,77.325,80.21,74.788,0.96
K1012,S01,131.581,135.589,128.583,1.16
K1012,S01,131.867,135.589,128.583,1.16
K1012,S01,131.37,135.589,128.583,1.16
K1013,S02,118.112,120.957,115.233,2.15
K1013,S02,117.399,120.957,115.233,2.15
K1013,S02,117.708,120.957,115.233,2.15
K1014,S03,19.897,21.438,18.88,2.03
