PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-517587,D-14-4,2411,Battery & eDrive Plant CN,Assembly Plant CN
MAT-103790,G-28-4,361,Battery & eDrive Plant CN,Assembly Plant CN
MAT-931888,A-09-3,3638,Battery & eDrive Plant CN,Assembly Plant CN
MAT-622908,H-02-2,1896,Battery & eDrive Plant CN,Assembly Plant CN
MAT-409209,D-09-2,1454,Battery & eDrive Plant CN,Assembly Plant CN
MAT-781326,F-26-1,4199,Battery & eDrive Plant CN,Assembly Plant CN
MAT-986977,A-20-3,3870,Battery & eDrive Plant CN,Assembly Plant CN
MAT-244958,H-23-1,3414,Battery & eDrive Plant CN,Assembly Plant CN
MAT-511735,B-21-5,3122,Battery & eDrive Plant CN,Assembly Plant CN
MAT-424801,E-05-4,2809,Battery & eDrive Plant CN,Assembly Plant CN
MAT-352444,F-20-3,904,Battery & eDrive Plant CN,Assembly Plant CN
MAT-407155,D-13-5,1552,Battery & eDrive Plant CN,Assembly Plant CN
MAT-603031,F-03-2,2535,Battery & eDrive Plant CN,Assembly Plant CN
MAT-385756,B-11-3,3203,Battery & eDrive Plant CN,Assembly Plant CN
MAT-651155,G-10-2,2404,Battery & eDrive Plant CN,Assembly Plant CN
MAT-638107,C-10-4,1902,Battery & eDrive Plant CN,Assembly Plant CN
MAT-126489,E-12-5,1180,Battery & eDrive Plant CN,Assembly Plant CN
MAT-327157,F-01-5,3080,Battery & eDrive Plant CN,Assembly Plant CN
MAT-969669,F-02-4,3867,Battery & eDrive Plant CN,Assembly Plant CN
MAT-786909,E-04-3,504,Battery & eDrive Plant CN,Assembly Plant CN
MAT-419281,B-08-5,2130,Battery & eDrive Plant CN,Assembly Plant CN
MAT-741061,C-24-3,1968,Battery & eDrive Plant CN,Assembly Plant CN
MAT-956043,G-05-2,1842,Battery & eDrive Plant CN,Assembly Plant CN
MAT-709670,H-04-5,2119,Battery & eDrive Plant CN,Assembly Plant CN
MAT-633496,H-20-1,2929,Battery & eDrive Plant CN,Assembly Plant CN
MAT-304825,G-15-4,4367,Battery & eDrive Plant CN,Assembly Plant CN
MAT-310713,D-04-4,4138,Battery & eDrive Plant CN,Assembly Plant CN
MAT-967029,H-21-2,523,Battery & eDrive Plant CN,Assembly Plant CN
MAT-259923,C-23-2,3123,Battery & eDrive Plant CN,Assembly Plant CN
MAT-191226,C-20-3,3368,Battery & eDrive Plant CN,Assembly Plant CN
MAT-460663,F-21-2,959,Battery & eDrive Plant CN,Assembly Plant CN
MAT-247657,F-14-2,656,Battery & eDrive Plant CN,Assembly Plant CN
MAT-229099,B-29-2,389,Battery & eDrive Plant CN,Assembly Plant CN
MAT-138207,H-29-5,140,Battery & eDrive Plant CN,Assembly Plant CN
MAT-435900,H-08-1,3527,Battery & eDrive Plant CN,Assembly Plant CN
MAT-441773,A-08-2,4430,Battery & eDrive Plant CN,Assembly Plant CN
MAT-626820,F-06-2,805,Battery & eDrive Plant CN,Assembly Plant CN
MAT-389930,D-09-2,4615,Battery & eDrive Plant CN,Assembly Plant CN
MAT-788524,D-28-5,1880,Battery & eDrive Plant CN,Assembly Plant CN
MAT-788555,E-11-1,2183,Battery & eDrive Plant CN,Assembly Plant CN
MAT-465462,F-13-3,2501,Battery & eDrive Plant CN,Assembly Plant CN
MAT-172845,F-07-5,350,Battery & eDrive Plant CN,Assembly Plant CN
MAT-950628,H-11-4,655,Battery & eDrive Plant CN,Assembly Plant CN
MAT-110983,H-15-3,1129,Battery & eDrive Plant CN,Assembly Plant CN
MAT-682760,B-14-4,2647,Battery & eDrive Plant CN,Assembly Plant CN
MAT-549855,E-12-4,1229,Battery & eDrive Plant CN,Assembly Plant CN
MAT-727493,B-19-5,473,Battery & eDrive Plant CN,Assembly Plant CN
MAT-988981,A-02-3,288,Battery & eDrive Plant CN,Assembly Plant CN
MAT-374885,A-23-1,192,Battery & eDrive Plant CN,Assembly Plant CN
MAT-533903,F-05-2,1838,Battery & eDrive Plant CN,Assembly Plant CN
MAT-121900,F-28-1,355,Battery & eDrive Plant CN,Assembly Plant CN
MAT-507662,G-15-4,4028,Battery & eDrive Plant CN,Assembly Plant CN
MAT-799447,G-13-1,4053,Battery & eDrive Plant CN,Assembly Plant CN
MAT-329605,F-23-3,2859,Battery & eDrive Plant CN,Assembly Plant CN
MAT-461516,E-27-2,2055,Battery & eDrive Plant CN,Assembly Plant CN
MAT-718475,A-12-5,3431,Battery & eDrive Plant CN,Assembly Plant CN
MAT-960577,D-12-3,967,Battery & eDrive Plant CN,Assembly Plant CN
MAT-558009,D-25-1,2509,Battery & eDrive Plant CN,Assembly Plant CN
MAT-106651,D-15-3,2771,Battery & eDrive Plant CN,Assembly Plant CN
MAT-472868,C-06-1,698,Battery & eDrive Plant CN,Assembly Plant CN
MAT-175615,C-16-3,617,Battery & eDrive Plant CN,Assembly Plant CN
MAT-175829,F-15-1,1096,Battery & eDrive Plant CN,Assembly Plant CN
MAT-418221,G-02-1,2938,Battery & eDrive Plant CN,Assembly Plant CN
MAT-471895,E-08-5,562,Battery & eDrive Plant CN,Assembly Plant CN
MAT-206628,D-21-1,4985,Battery & eDrive Plant CN,Assembly Plant CN
MAT-802768,F-14-4,1861,Battery & eDrive Plant CN,Assembly Plant CN
MAT-863338,G-07-2,2078,Battery & eDrive Plant CN,Assembly Plant CN
MAT-945666,D-22-1,595,Battery & eDrive Plant CN,Assembly Plant CN
MAT-677592,A-01-1,4829,Battery & eDrive Plant CN,Assembly Plant CN
MAT-745099,G-20-4,3359,Battery & eDrive Plant CN,Assembly Plant CN
MAT-875278,D-14-1,1582,Battery & eDrive Plant CN,Assembly Plant CN
MAT-488826,C-03-2,3601,Battery & eDrive Plant CN,Assembly Plant CN
MAT-802036,C-28-5,4374,Battery & eDrive Plant CN,Assembly Plant CN
MAT-179686,H-26-1,2584,Battery & eDrive Plant CN,Assembly Plant CN
MAT-846216,H-15-5,4749,Battery & eDrive Plant CN,Assembly Plant CN
MAT-886510,F-22-1,50,Battery & eDrive Plant CN,Assembly Plant CN
MAT-104723,B-02-3,4271,Battery & eDrive Plant CN,Assembly Plant CN
MAT-408354,F-12-4,4084,Battery & eDrive Plant CN,Assembly Plant CN
MAT-711328,E-19-1,625,Battery & eDrive Plant CN,Assembly Plant CN
MAT-989208,D-17-1,1477,Battery & eDrive Plant CN,Assembly Plant CN
MAT-352908,H-02-2,4816,Battery & eDrive Plant CN,Assembly Plant CN
MAT-413907,F-10-2,4332,Battery & eDrive Plant CN,Assembly Plant CN
MAT-540608,D-15-4,2885,Battery & eDrive Plant CN,Assembly Plant CN
MAT-360707,H-25-4,1100,Battery & eDrive Plant CN,Assembly Plant CN
MAT-870630,E-20-1,872,Battery & eDrive Plant CN,Assembly Plant CN
MAT-804796,F-02-5,942,Battery & eDrive Plant CN,Assembly Plant CN
MAT-163001,E-10-3,4387,Battery & eDrive Plant CN,Assembly Plant CN
MAT-586195,E-13-4,593,Battery & eDrive Plant CN,Assembly Plant CN
MAT-341203,H-25-1,4220,Battery & eDrive Plant CN,Assembly Plant CN
MAT-141491,B-01-1,3709,Battery & eDrive Plant CN,Assembly Plant CN
MAT-772184,E-14-5,1052,Battery & eDrive Plant CN,Assembly Plant CN
