WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2030001,ASSET-00001,Preventive,,0,,000030000001
WO-2030002,ASSET-00001,Preventive,,0,,000030000001
WO-2030003,ASSET-00001,Corrective,BEARING-FAILURE,108,819,000030000001
WO-2030004,ASSET-00001,Preventive,,0,,000030000001
WO-2030005,ASSET-00001,Preventive,,0,,000030000001
WO-2030006,ASSET-00001,Emergency,MOTOR-BURNOUT,359,1590,000030000001
WO-2030007,ASSET-00001,Preventive,,0,,000030000001
WO-2030008,ASSET-00002,Corrective,BEARING-FAILURE,127,1122,000030000002
WO-2030009,ASSET-00002,Corrective,BEARING-FAILURE,183,1663,000030000002
WO-2030010,ASSET-00002,Preventive,,0,,000030000002
WO-2030011,ASSET-00002,Corrective,SENSOR-FAULT,143,1232,000030000002
WO-2030012,ASSET-00003,Corrective,DIE-WEAR,206,868,000030000003
WO-2030013,ASSET-00003,Corrective,SENSOR-FAULT,48,268,000030000003
WO-2030014,ASSET-00003,Preventive,,0,,000030000003
WO-2030015,ASSET-00003,Preventive,,0,,000030000003
WO-2030016,ASSET-00003,Corrective,HYDRAULIC-LEAK,89,356,000030000003
WO-2030017,ASSET-00003,Corrective,BELT-FAILURE,127,592,000030000003
WO-2030018,ASSET-00003,Preventive,,0,,000030000003
WO-2030019,ASSET-00004,Preventive,,0,,
WO-2030020,ASSET-00004,Corrective,SENSOR-FAULT,129,1184,
WO-2030021,ASSET-00004,Preventive,,0,,
WO-2030022,ASSET-00005,Corrective,HYDRAULIC-LEAK,156,927,
WO-2030023,ASSET-00005,Preventive,,0,,
WO-2030024,ASSET-00005,Corrective,BELT-FAILURE,207,740,
WO-2030025,ASSET-00005,Preventive,,0,,
WO-2030026,ASSET-00005,Corrective,PNEUMATIC-LEAK,222,1395,
WO-2030027,ASSET-00006,Preventive,,0,,000030000004
WO-2030028,ASSET-00006,Preventive,,0,,000030000004
WO-2030029,ASSET-00006,Corrective,BEARING-FAILURE,185,1962,000030000004
WO-2030030,ASSET-00007,Corrective,HYDRAULIC-LEAK,221,983,000030000005
WO-2030031,ASSET-00007,Corrective,BELT-FAILURE,83,503,000030000005
WO-2030032,ASSET-00007,Preventive,,0,,000030000005
WO-2030033,ASSET-00007,Preventive,,0,,000030000005
WO-2030034,ASSET-00007,Corrective,HYDRAULIC-LEAK,38,446,000030000005
WO-2030035,ASSET-00008,Preventive,,0,,000030000006
WO-2030036,ASSET-00008,Emergency,CALIBRATION-DRIFT,456,1231,000030000006
WO-2030037,ASSET-00008,Corrective,CALIBRATION-DRIFT,181,1472,000030000006
WO-2030038,ASSET-00008,Preventive,,0,,000030000006
WO-2030039,ASSET-00008,Corrective,CONTROLLER-FAULT,119,911,000030000006
WO-2030040,ASSET-00008,Preventive,,0,,000030000006
WO-2030041,ASSET-00008,Corrective,BELT-FAILURE,38,766,000030000006
WO-2030042,ASSET-00008,Corrective,PNEUMATIC-LEAK,239,1591,000030000006
WO-2030043,ASSET-00008,Preventive,,0,,000030000006
WO-2030044,ASSET-00009,Emergency,CONTROLLER-FAULT,90,1548,000030000007
WO-2030045,ASSET-00009,Emergency,CONTROLLER-FAULT,115,1898,000030000007
WO-2030046,ASSET-00009,Emergency,CONTROLLER-FAULT,549,1658,000030000007
WO-2030047,ASSET-00009,Corrective,CALIBRATION-DRIFT,198,453,000030000007
WO-2030048,ASSET-00010,Emergency,DIE-WEAR,196,1231,000030000008
WO-2030049,ASSET-00010,Corrective,SENSOR-FAULT,233,1620,000030000008
WO-2030050,ASSET-00010,Corrective,SPINDLE-SEIZURE,141,1463,000030000008
WO-2030051,ASSET-00010,Preventive,,0,,000030000008
WO-2030052,ASSET-00010,Preventive,,0,,000030000008
WO-2030053,ASSET-00011,Preventive,,0,,000030000009
WO-2030054,ASSET-00011,Corrective,BEARING-FAILURE,135,1558,000030000009
WO-2030055,ASSET-00011,Preventive,,0,,000030000009
WO-2030056,ASSET-00011,Preventive,,0,,000030000009
WO-2030057,ASSET-00011,Preventive,,0,,000030000009
WO-2030058,ASSET-00011,Preventive,,0,,000030000009
WO-2030059,ASSET-00011,Preventive,,0,,000030000009
WO-2030060,ASSET-00011,Preventive,,0,,000030000009
WO-2030061,ASSET-00012,Preventive,,0,,000030000010
WO-2030062,ASSET-00012,Preventive,,0,,000030000010
WO-2030063,ASSET-00012,Preventive,,0,,000030000010
WO-2030064,ASSET-00013,Corrective,PNEUMATIC-LEAK,206,394,000030000011
WO-2030065,ASSET-00013,Corrective,BELT-FAILURE,208,1388,000030000011
WO-2030066,ASSET-00013,Corrective,BELT-FAILURE,106,1244,000030000011
WO-2030067,ASSET-00013,Corrective,CONTROLLER-FAULT,107,1252,000030000011
WO-2030068,ASSET-00013,Preventive,,0,,000030000011
WO-2030069,ASSET-00013,Corrective,SENSOR-FAULT,140,651,000030000011
WO-2030070,ASSET-00013,Preventive,,0,,000030000011
WO-2030071,ASSET-00014,Preventive,,0,,000030000012
WO-2030072,ASSET-00014,Preventive,,0,,000030000012
WO-2030073,ASSET-00014,Corrective,CONTROLLER-FAULT,154,216,000030000012
WO-2030074,ASSET-00014,Corrective,PNEUMATIC-LEAK,227,1200,000030000012
WO-2030075,ASSET-00015,Corrective,BEARING-FAILURE,143,488,000030000013
WO-2030076,ASSET-00015,Emergency,PNEUMATIC-LEAK,292,1834,000030000013
WO-2030077,ASSET-00015,Emergency,PNEUMATIC-LEAK,300,650,000030000013
WO-2030078,ASSET-00015,Corrective,DIE-WEAR,134,1195,000030000013
WO-2030079,ASSET-00016,Corrective,CONTROLLER-FAULT,49,1613,000030000014
WO-2030080,ASSET-00016,Preventive,,0,,000030000014
WO-2030081,ASSET-00016,Corrective,CONTROLLER-FAULT,41,1136,000030000014
WO-2030082,ASSET-00016,Preventive,,0,,000030000014
WO-2030083,ASSET-00016,Preventive,,0,,000030000014
WO-2030084,ASSET-00016,Preventive,,0,,000030000014
WO-2030085,ASSET-00016,Corrective,CALIBRATION-DRIFT,160,1983,000030000014
WO-2030086,ASSET-00017,Corrective,CONTROLLER-FAULT,128,1140,000030000015
WO-2030087,ASSET-00017,Corrective,BELT-FAILURE,166,1832,000030000015
WO-2030088,ASSET-00017,Corrective,HYDRAULIC-LEAK,98,273,000030000015
WO-2030089,ASSET-00017,Corrective,BEARING-FAILURE,204,281,000030000015
WO-2030090,ASSET-00017,Preventive,,0,,000030000015
WO-2030091,ASSET-00017,Corrective,HYDRAULIC-LEAK,88,1849,000030000015
WO-2030092,ASSET-00017,Corrective,CALIBRATION-DRIFT,44,936,000030000015
