PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1020,000030000001,Conveyor System,92585.75,AIDA Engineering
P1020,000030000002,Leak Test Station,67022.07,Dematic
P1020,000030000003,Coil Winding Machine,118483.51,Mazak Corporation
P1020,000030000004,Robotic Welding Cell,220605.74,Yaskawa Motoman
P1020,000030000005,Palletizing Robot,100311.58,KUKA
P1020,000030000006,Adhesive Dispensing Unit,79933.31,Yaskawa Motoman
P1020,000030000007,Assembly Torque Wrench Station,26413.98,MILLER ELECTRIC
P1020,000030000008,Wheel Alignment Rig,43278.28,Carl Zeiss Industrial Metrology
P1020,000030000009,Adhesive Dispensing Unit,85957.47,Siemens AG
P1020,000030000010,CNC Machining Center,378768.00,FANUC
P1020,000030000011,Vision Inspection Station,41440.60,KUKA AG
P1020,000030000012,Ultrasonic Welding Station,79141.37,KUKA
P1020,000030000013,Screw Fastening Station,19301.43,Dematic
P1020,000030000014,Overhead Gantry Loader,74697.63,KUKA AG
P1020,000030000015,Laser Welding Cell,223014.56,Kuka Ag
P1020,000030000016,Final Functional Test Bench,173905.92,Siemens AG
P1020,000030000017,Induction Heating Unit,79779.36,Ingersoll Rand
P1020,000030000018,Laser Welding Cell,190754.29,Bosch Rexroth
P1020,000030000019,Overhead Gantry Loader,85174.87,KUKA AG
P1020,000030000020,Injection Molding Machine,212658.23,KUKA AG
P1020,000030000021,Dimensional Measurement Arm,136873.22,Lincoln Electric
P1020,000030000022,Overhead Gantry Loader,126355.96,ABB Robotics
P1020,000030000023,Overhead Gantry Loader,176754.70,Miller Electric
P1020,000030000024,Wheel Alignment Rig,34780.85,Yaskawa Motoman
P1020,000030000025,Final Functional Test Bench,105688.28,Fives
P1020,000030000026,Assembly Torque Wrench Station,14758.72,KUKA
P1020,000030000027,Battery Pack Assembly Cell,233118.69,DMG MORI
P1020,000030000028,CNC Machining Center,280553.14,FANUC Corporation
P1020,000030000029,Battery Pack Assembly Cell,242539.13,KUKA AG
P1020,000030000030,,48883.14,KUKA AG
P1020,000030000031,Battery Pack Assembly Cell,361207.51,KUKA AG
P1020,000030000032,Induction Heating Unit,67905.44,KUKA
P1020,000030000033,Wheel Alignment Rig,79296.74,Kuka Ag
P1020,000030000034,Leak Test Station,56146.61,ABB Robotics
P1020,000030000035,Injection Molding Machine,219921.03,Carl Zeiss Industrial Metrology
P1020,000030000036,Palletizing Robot,151528.06,KUKA AG
P1020,000030000037,Laser Welding Cell,304785.09,DMG MORI
P1020,000030000038,Vision Inspection Station,33961.19,schuler group
P1020,000030000039,Robotic Welding Cell,239415.85,Haas Automation
P1020,000030000040,Hydraulic Press,338913.40,FANUC
P1020,000030000041,Adhesive Dispensing Unit,53183.48,Schuler
P1020,000030000042,Adhesive Dispensing Unit,87708.31,Schuler Group
P1020,000030000043,Overhead Gantry Loader,111117.05,AIDA Engineering
P1020,000030000044,Injection Molding Machine,370152.81,Miller Electric
P1020,000030000045,Ultrasonic Welding Station,36055.84,ABB Robotics
P1020,000030000046,Laser Welding Cell,219358.34,DMG MORI
P1020,000030000047,Assembly Torque Wrench Station,32992.11,ABB Robotics
P1020,000030000048,Injection Molding Machine,419374.96,KUKA AG
P1020,000030000049,Overhead Gantry Loader,104569.40,KUKA
P1020,000030000050,Hydraulic Press,286319.54,KUKA AG
P1020,000030000051,Wheel Alignment Rig,81774.68,Schuler Group
P1020,000030000052,Leak Test Station,56711.57,KUKA AG
P1020,000030000053,Injection Molding Machine,355218.05,KUKA
P1020,000030000054,Adhesive Dispensing Unit,68719.97,KUKA AG
P1020,000030000055,Laser Welding Cell,399219.85,ABB Robotics
P1020,000030000056,Stamping Press,466303.00,KUKA
P1020,000030000057,Final Functional Test Bench,135184.57,KUKA AG
P1020,000030000058,Palletizing Robot,70763.51,Eisenmann SE
P1020,000030000059,Induction Heating Unit,54686.22,ABB Robotics
P1020,000030000060,Palletizing Robot,112845.78,DMG MORI
P1020,000030000061,Leak Test Station,52668.11,KUKA
P1020,000030000062,Coil Winding Machine,197283.39,ABB Robotics
P1020,000030000063,Stamping Press,925506.73,ABB Robotics
P1020,000030000064,Riveting Station,29632.66,Carl Zeiss Industrial Metrology
P1020,000030000065,Overhead Gantry Loader,62992.01,FANUC
P1020,000030000066,Leak Test Station,57552.41,Yaskawa Motoman
P1020,000030000067,Stamping Press,410694.46,KUKA
P1020,000030000068,Adhesive Dispensing Unit,56977.75,Haas Automation
P1020,000030000069,,125929.02,ABB
P1020,000030000070,Induction Heating Unit,60061.21,Bosch Rexroth
P1020,000030000071,Adhesive Dispensing Unit,54468.20,FANUC
P1020,000030000072,Automated Guided Vehicle,116328.38,COMAU
P1020,000030000073,,62309.56,KUKA AG
P1020,000030000074,Final Functional Test Bench,85200.79,Haas Automation
P1020,000030000075,Torque Application Unit,21518.99,KUKA
P1020,000030000076,CNC Machining Center,415487.56,ABB
P1020,000030000077,Wheel Alignment Rig,79168.21,KUKA
P1020,000030000078,Assembly Torque Wrench Station,18686.32,Haas
P1020,000030000079,Coil Winding Machine,141116.76,Comau
P1020,000030000080,Dimensional Measurement Arm,103945.60,Mazak Corporation
P1020,000030000081,Assembly Torque Wrench Station,15700.54,KUKA AG
P1020,000030000082,Adhesive Dispensing Unit,76270.54,abb robotics
P1020,000030000083,Ultrasonic Welding Station,28376.75,KUKA
P1020,000030000084,Final Functional Test Bench,72156.36,Yaskawa Motoman
P1020,000030000085,Conveyor System,84173.78,Atlas Copco
P1020,000030000086,CNC Machining Center,411929.93,KUKA AG
P1020,000030000087,Final Functional Test Bench,136167.53,ABB Robotics
P1020,000030000088,Conveyor System,60697.27,Yaskawa Motoman
P1020,000030000089,Ultrasonic Welding Station,59231.90,FANUC
P1020,000030000090,CNC Machining Center,200397.03,FANUC Corporation
P1020,000030000091,Assembly Torque Wrench Station,17732.89,KUKA AG
P1020,000030000092,Induction Heating Unit,42143.01,ABB
P1020,000030000093,Dimensional Measurement Arm,141828.23,Yaskawa Motoman
P1020,000030000094,Automated Guided Vehicle,47957.23,ABB Robotics
P1020,000030000095,Hydraulic Press,310108.95,ABB ROBOTICS
P1020,000030000096,Induction Heating Unit,58376.48,KUKA
P1020,000030000097,Wheel Alignment Rig,52257.87,FANUC Corporation
