PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0003,Torque Tightening,S01,000030000001,,
L01,PR-0128,Grinding - Roof Rail,S02,000030000002,,
L02,PR-0062,Trimming - Wheel Hub,S01,000030000003,,
L02,PR-0040,Shaping - Glass Panel,S01,,,
L02,PR-0167,Wire Harness Trimming,S02,,,
L02,PR-0004,AOI Check,S02,000030000004,,
L03,PR-0122,Securing - Hood Panel,S01,000030000005,,
L03,PR-0001,Dispensing Sealing Compound,S02,000030000006,,
L03,PR-0009,Stacking Operation,S02,000030000007,,
L03,PR-0014,Toe & Camber Setting,S02,000030000008,,
L03,PR-0001,Dispensing Sealing Compound,S03,000030000009,,
L03,PR-0043,Inspection - Door Module,S03,000030000010,,
L04,PR-0009,Stacking Operation,S01,000030000011,,
L04,PR-0008,Clearcoat Application,S01,000030000012,,
L04,PR-0017,Blank Cutting,S01,000030000013,,
L04,PR-0001,Dispensing Sealing Compound,S02,000030000014,,
L04,PR-0002,RSW Operation,S03,000030000015,,
L04,PR-0002,RSW Operation,S04,000030000016,,
L04,PR-0151,Shaping - Fuel Rail,S04,000030000017,,
L04,PR-0053,Die Stamping - Door Module,S04,000030000018,,
L05,PR-0013,Door Fitment,S01,000030000019,,
L05,PR-0027,Crankshaft Machining,S02,000030000020,,
L05,PR-0026,Camshaft Fitting,S02,000030000021,,
L05,PR-0003,Torque Tightening,S03,000030000022,,
L05,PR-0001,Dispensing Sealing Compound,S03,000030000023,,
L06,PR-0015,Motor Coil Winding,S01,000030000024,,
L06,PR-0003,Torque Tightening,S02,000030000025,,
L06,PR-0095,Dispensing - Floor Pan,S02,000030000026,,
L06,PR-0002,RSW Operation,S02,000030000027,,
L06,PR-0016,Sheet Metal Forming,S03,000030000028,,
L06,PR-0007,Base Coat Spray,S03,000030000029,,
L06,PR-0044,Milling - Wheel Hub,S03,000030000030,,
L06,PR-0150,Packaging - Seat Frame,S04,000030000031,,
L07,PR-0006,Electrocoat Dip,S01,000030000032,,
L07,PR-0001,Dispensing Sealing Compound,S01,000030000033,,
L07,PR-0027,Crankshaft Machining,S02,000030000034,,
L08,PR-0001,Dispensing Sealing Compound,S01,,,
L08,PR-0001,Dispensing Sealing Compound,S01,000030000035,,
L08,PR-0027,Crankshaft Machining,S02,000030000036,,
L08,PR-0001,Dispensing Sealing Compound,S02,000030000037,,
L08,PR-0001,Dispensing Sealing Compound,S02,000030000038,,
L09,PR-0007,Base Coat Spray,S01,000030000039,,
L09,PR-0008,Clearcoat Application,S02,000030000040,,
L09,PR-0121,Fastening - Fuel Rail,S02,000030000041,,
L09,PR-0003,Torque Tightening,S02,000030000043,,
L09,PR-0006,Electrocoat Dip,S03,000030000044,,
L09,PR-0036,Molding - Hood Panel,S04,000030000045,,
L09,PR-0073,Battery Module Sealing,S04,000030000046,,
L09,PR-0004,AOI Check,S04,000030000047,,
L10,PR-0023,Trim Fitment,S01,000030000048,,
L10,PR-0022,Cover Stitching,S01,000030000049,,
L10,PR-0003,Torque Tightening,S01,000030000050,,
L10,PR-0001,Dispensing Sealing Compound,S02,000030000051,,
L10,PR-0031,Die Stamping - Transmission Housing,S03,000030000052,,
L10,PR-0003,Torque Tightening,S03,,,
L10,PR-0004,AOI Check,S03,000030000053,,
L10,PR-0016,Sheet Metal Forming,S04,000030000054,,
L11,PR-0001,Dispensing Sealing Compound,S01,000030000055,,
L11,PR-0002,RSW Operation,S01,000030000056,,
L11,PR-0008,Clearcoat Application,S02,000030000057,,
L11,PR-0098,Drilling - Battery Module,S03,000030000058,,
L12,PR-0053,Die Stamping - Door Module,S01,000030000059,,
L12,PR-0004,AOI Check,S01,000030000060,,
L12,PR-0003,Torque Tightening,S02,000030000061,,
L12,PR-0186,Finishing - Glass Panel,S02,000030000062,,
L12,PR-0026,Camshaft Fitting,S03,000030000063,,
L12,PR-0032,Testing - Fuel Rail,S03,000030000064,,
L12,PR-0001,Dispensing Sealing Compound,S04,000030000065,,
L12,PR-0001,Dispensing Sealing Compound,S04,000030000066,,
L13,PR-0003,Torque Tightening,S01,000030000067,,
L13,PR-0079,Trunk Lid Assembly,S02,,,
L13,PR-0119,Fender Panel Trimming,S02,000030000068,,
L13,PR-0002,RSW Operation,S02,000030000069,,
L13,PR-0037,Inspection - Glass Panel,S03,,,
L13,PR-0096,Steering Column Alignment,S03,000030000070,,
L13,PR-0098,Drilling - Battery Module,S03,000030000071,,
L13,PR-0008,Clearcoat Application,S04,000030000072,,
L13,PR-0003,Torque Tightening,S04,000030000073,,
L14,PR-0155,QC Review - Rear Axle,S01,000030000074,,
L14,PR-0003,Torque Tightening,S02,000030000075,,
L14,PR-0002,RSW Operation,S02,000030000076,,
L14,PR-0002,RSW Operation,S02,000030000077,,
L15,PR-0013,Door Fitment,S01,000030000078,,
L15,PR-0001,Dispensing Sealing Compound,S02,,,
L15,PR-0016,Sheet Metal Forming,S03,000030000079,,
L15,PR-0144,Welding - Floor Pan,S04,000030000080,,
L16,PR-0011,EOL Functional Check,S01,000030000081,,
L16,PR-0164,Trimming Operation - Trunk Lid,S01,000030000082,,
L16,PR-0115,Glass Panel Packaging,S01,000030000083,,
L16,PR-0059,Drilling - Trunk Lid,S02,000030000084,,
L16,PR-0020,Crimp Termination,S03,000030000085,,
L16,PR-0099,QC Review - Bumper Fascia,S03,000030000086,,
L16,PR-0015,Motor Coil Winding,S03,000030000087,,
L16,PR-0002,RSW Operation,S04,000030000088,,
L17,PR-0129,Seat Frame Calibration,S01,,,
L17,PR-0011,EOL Functional Check,S01,000030000089,,
L17,PR-0117,Test - Seat Frame,S02,000030000090,,
L17,PR-0006,Electrocoat Dip,S02,,,
L17,PR-0004,AOI Check,S02,000030000091,,
L17,PR-0051,Application - Battery Module,S03,000030000092,,
L17,PR-0023,Trim Fitment,S03,000030000093,,
L17,PR-0007,Base Coat Spray,S03,,,
L18,PR-0098,Drilling - Battery Module,S01,000030000094,,
L18,PR-0012,Underbody Seam Sealing,S02,000030000095,,
L19,PR-0001,Dispensing Sealing Compound,S01,000030000096,,
L19,PR-0033,Glass Panel Machining,S01,000030000097,,
L19,PR-0001,Dispensing Sealing Compound,S01,000030000098,,
L19,PR-0009,Stacking Operation,S02,000030000099,,
L19,PR-0002,RSW Operation,S02,000030000100,,
L19,PR-0002,RSW Operation,S02,000030000101,,
L20,PR-0178,Engine Block Curing,S01,000030000102,,
L20,PR-0001,Dispensing Sealing Compound,S01,,,
L20,PR-0048,Grinding - Trunk Lid,S01,000030000103,,
L20,PR-0024,Circuit Board Assembly,S02,,,
L20,PR-0002,RSW Operation,S02,000030000104,,
L21,PR-0137,Packaging - Chassis Frame,S01,000030000106,,
L21,PR-0002,RSW Operation,S01,000030000107,,
L21,PR-0012,Underbody Seam Sealing,S02,000030000108,,
L21,PR-0059,Drilling - Trunk Lid,S03,000030000109,,
L21,PR-0050,Check - Steering Column,S03,000030000110,,
L21,PR-0004,AOI Check,S03,000030000111,,
L22,PR-0078,Assembly - Floor Pan,S01,000030000112,,
L22,PR-0160,Radiator Core Forming,S02,000030000113,,
L23,PR-0009,Stacking Operation,S01,000030000114,,
L23,PR-0026,Camshaft Fitting,S02,,,
L24,PR-0005,Leak Test,S01,000030000115,,
L24,PR-0004,AOI Check,S01,000030000116,,
L24,PR-0009,Stacking Operation,S01,,,
L24,PR-0002,RSW Operation,S02,000030000117,,
L24,PR-0032,Testing - Fuel Rail,S03,000030000118,,
L24,PR-0001,Dispensing Sealing Compound,S04,000030000119,,
L24,PR-0001,Dispensing Sealing Compound,S04,000030000120,,
L25,PR-0007,Base Coat Spray,S01,000030000121,,
L25,PR-0001,Dispensing Sealing Compound,S01,000030000122,,
L25,PR-0015,Motor Coil Winding,S01,000030000123,,
L25,PR-0012,Underbody Seam Sealing,S02,000030000124,,
L25,PR-0001,Dispensing Sealing Compound,S02,000030000125,,
L25,PR-0002,RSW Operation,S02,000030000126,,
L25,PR-0001,Dispensing Sealing Compound,S03,000030000127,,
L25,PR-0018,Deep Drawing,S03,000030000128,,
L25,PR-0003,Torque Tightening,S04,000030000129,,
L25,PR-0037,Inspection - Glass Panel,S04,000030000130,,
L26,PR-0023,Trim Fitment,S01,,,
L26,PR-0005,Leak Test,S01,000030000131,,
L26,PR-0001,Dispensing Sealing Compound,S01,000030000132,,
L26,PR-0004,AOI Check,S02,000030000133,,
L26,PR-0004,AOI Check,S02,000030000134,,
L26,PR-0004,AOI Check,S02,000030000135,,
L27,PR-0152,Stamping - Battery Module,S01,000030000136,,
L27,PR-0001,Dispensing Sealing Compound,S01,000030000137,,
L27,PR-0003,Torque Tightening,S01,000030000138,,
L27,PR-0075,Weld - Door Module,S02,000030000139,,
L28,PR-0129,Seat Frame Calibration,S01,,,
L28,PR-0009,Stacking Operation,S01,000030000140,,
L28,PR-0013,Door Fitment,S01,,,
L28,PR-0001,Dispensing Sealing Compound,S02,000030000141,,
L28,PR-0065,Seat Frame Curing,S03,,,
L28,PR-0018,Deep Drawing,S03,000030000142,,
L28,PR-0009,Stacking Operation,S04,000030000143,,
L29,PR-0003,Torque Tightening,S01,,,
L29,PR-0008,Clearcoat Application,S01,000030000144,,
L29,PR-0042,Assembly - Wire Harness,S01,000030000145,,
L29,PR-0001,Dispensing Sealing Compound,S02,000030000146,,
L29,PR-0011,EOL Functional Check,S03,000030000147,,
L29,PR-0001,Dispensing Sealing Compound,S03,000030000148,,
L30,PR-0053,Die Stamping - Door Module,S01,000030000149,,
L30,PR-0002,RSW Operation,S02,000030000150,,
L30,PR-0114,Brake Caliper Inspection,S03,000030000151,,
L30,PR-0009,Stacking Operation,S03,000030000152,,
L30,PR-0008,Clearcoat Application,S04,000030000153,,
L30,PR-0005,Leak Test,S04,000030000154,,
L31,PR-0012,Underbody Seam Sealing,S01,000030000155,,
L31,PR-0004,AOI Check,S02,,,
L31,PR-0005,Leak Test,S02,000030000156,,
L31,PR-0002,RSW Operation,S02,000030000157,,
L31,PR-0004,AOI Check,S03,000030000158,,
L31,PR-0066,Radiator Core Machining,S03,000030000159,,
L32,PR-0002,RSW Operation,S01,000030000160,,
L32,PR-0070,Application - Seat Frame,S01,,,
L32,PR-0089,Assembly - Wheel Hub,S01,000030000161,,
L32,PR-0028,Gear Hobbing,S02,000030000162,,
L32,PR-0001,Dispensing Sealing Compound,S02,000030000163,,
L32,PR-0015,Motor Coil Winding,S02,000030000164,,
L33,PR-0075,Weld - Door Module,S01,000030000165,,
L33,PR-0005,Leak Test,S02,,,
L33,PR-0003,Torque Tightening,S02,000030000166,,
L33,PR-0004,AOI Check,S03,000030000167,,
L33,PR-0007,Base Coat Spray,S03,000030000168,,
L34,PR-0001,Dispensing Sealing Compound,S01,000030000169,,
L34,PR-0002,RSW Operation,S01,000030000170,,
L34,PR-0025,Cell Formation,S02,000030000171,,
L34,PR-0009,Stacking Operation,S02,000030000172,,
L34,PR-0002,RSW Operation,S02,000030000173,,
L35,PR-0134,Sealing - Steering Column,S01,000030000174,,
L35,PR-0003,Torque Tightening,S01,000030000176,,
L35,PR-0001,Dispensing Sealing Compound,S01,000030000177,,
L35,PR-0002,RSW Operation,S02,000030000178,,
L36,PR-0003,Torque Tightening,S01,000030000179,,
L36,PR-0012,Underbody Seam Sealing,S01,000030000180,,
L36,PR-0001,Dispensing Sealing Compound,S02,000030000181,,
L36,PR-0085,Deflashing - Brake Caliper,S03,000030000182,,
L36,PR-0098,Drilling - Battery Module,S03,000030000183,,
L36,PR-0004,AOI Check,S03,000030000184,,
L36,PR-0054,Test - Chassis Frame,S04,000030000185,,
L37,PR-0019,Piercing Station,S01,000030000186,,
L37,PR-0081,Dispensing - Steering Column,S02,000030000187,,
L37,PR-0003,Torque Tightening,S02,000030000188,,
L37,PR-0020,Crimp Termination,S02,000030000189,,
L37,PR-0001,Dispensing Sealing Compound,S03,000030000190,,
