NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-PL-00001,MER-CENTER-CONSOLE-0018,ELEC-OPEN-CIRCUIT,BAT-S02,Rework,120
NCR-PL-00002,MER-BATTERY-MANAGEME-0028,MATERIAL-CONTAMINATION,BAT-S02,Use-As-Is,69
NCR-PL-00003,MER-BODY-SHELL-0003,SEAL-LEAK,BAT-S03,Scrap,471
NCR-PL-00004,MER-BATTERY-MANAGEME-0028,PAINT-ORANGE-PEEL,BAT-S01,Scrap,363
NCR-PL-00005,MER-FENDERS-0008,DIM-OUT-OF-TOLERANCE,BAT-S02,Rework,469
NCR-PL-00006,MER-INVERTER-0035,PAINT-BLISTER,BAT-S01,Rework,458
NCR-PL-00007,MER-DC-DC-CONVERTER-0036,ASSY-MISSING-FASTENER,BAT-S03,Rework,129
NCR-PL-00008,MER-STATOR-0031,PAINT-BLISTER,BAT-S01,Use-As-Is,193
NCR-PL-00009,MER-BUMPER-REAR-0007,ELEC-CONNECTOR-MISMATE,BAT-S02,Rework,219
NCR-PL-00010,MER-BRAKE-SYSTEM-0012,ASSY-CROSS-THREAD,BAT-S02,Use-As-Is,218
NCR-PL-00011,MER-BATTERY-HOUSING-0029,ELEC-CONNECTOR-MISMATE,BAT-S02,Rework,427
NCR-PL-00012,MER-DOOR-PANELS-0019,WELD-UNDERCUT,BAT-S03,Scrap,299
NCR-PL-00013,MER-BUMPER-REAR-0007,WELD-MISALIGN,BAT-S01,Rework,320
NCR-PL-00014,MER-CHARGE-PORT-0039,ASSY-MISSING-FASTENER,BAT-S03,Scrap,382
NCR-PL-00015,MER-ONBOARD-CHARGER-0037,PAINT-ORANGE-PEEL,BAT-S01,Rework,478
NCR-PL-00016,MER-BUMPER-REAR-0007,ASSY-WRONG-PART,BAT-S01,Rework,354
NCR-PL-00017,MER-STATOR-0031,ELEC-SHORT-CIRCUIT,BAT-S01,Rework,26
NCR-PL-00018,MER-VEH-EV-0001,MATERIAL-CONTAMINATION,BAT-S03,Rework,393
NCR-PL-00019,MER-INVERTER-0035,MATERIAL-CONTAMINATION,BAT-S01,Rework,160
NCR-PL-00020,MER-CENTER-CONSOLE-0018,PAINT-ORANGE-PEEL,BAT-S01,Scrap,165
NCR-PL-00021,MER-WIRING-HARNESS-0022,ASSY-MISSING-FASTENER,BAT-S02,Rework,170
NCR-PL-00022,MER-MOTOR-HOUSING-0033,PAINT-ORANGE-PEEL,BAT-S04,Rework,109
NCR-PL-00023,MER-BODY-SHELL-0003,ELEC-OPEN-CIRCUIT,BAT-S02,Rework,426
NCR-PL-00024,MER-BUMPER-REAR-0007,PAINT-ORANGE-PEEL,BAT-S01,Rework,64
NCR-PL-00025,MER-CHARGING-CABLE-0040,PAINT-RUNS,BAT-S01,Scrap,387
NCR-PL-00026,MER-INFOTAINMENT-UNI-0025,MATERIAL-CONTAMINATION,BAT-S03,Use-As-Is,113
NCR-PL-00027,MER-STEERING-SYSTEM-0013,WELD-MISALIGN,BAT-S01,Scrap,188
NCR-PL-00028,MER-BUMPER-REAR-0007,PAINT-RUNS,BAT-S01,Scrap,220
NCR-PL-00029,MER-LIGHTING-SYSTEM-0024,SURFACE-SCRATCH,BAT-S02,Scrap,245
NCR-PL-00030,MER-REAR-SUSPENSION-0011,PAINT-ORANGE-PEEL,BAT-S03,Scrap,56
NCR-PL-00031,MER-BODY-SHELL-0003,ASSY-CROSS-THREAD,BAT-S01,Rework,239
NCR-PL-00032,MER-CHARGING-CABLE-0040,ELEC-SHORT-CIRCUIT,BAT-S03,Scrap,473
NCR-PL-00033,MER-DC-DC-CONVERTER-0036,ELEC-OPEN-CIRCUIT,BAT-S02,Scrap,389
NCR-PL-00034,MER-HEADLINER-0020,PAINT-RUNS,BAT-S01,Rework,203
NCR-PL-00035,MER-ROTOR-0032,PAINT-RUNS,BAT-S03,Rework,371
NCR-PL-00036,MER-BATTERY-CELL-MOD-0027,MATERIAL-CONTAMINATION,BAT-S03,Rework,230
NCR-PL-00037,MER-HOOD-0005,SEAL-LEAK,BAT-S04,Rework,317
NCR-PL-00038,MER-VEH-EV-0001,SURFACE-SCRATCH,BAT-S01,Use-As-Is,230
