CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,87.775,88.413,87.046,1.35
K1001,S01,87.718,88.413,87.046,1.35
K1002,S01,196.342,200.235,190.723,1.24
K1002,S01,195.424,200.235,190.723,1.24
K1002,S01,194.113,200.235,190.723,1.24
K1003,S02,22.685,25.217,21.089,1.74
K1003,S02,22.781,25.217,21.089,1.74
K1003,S02,23.391,25.217,21.089,1.74
K1003,S02,23.157,25.217,21.089,1.74
K1003,S02,22.747,25.217,21.089,1.74
K1004,S02,92.516,93.166,91.783,1.64
K1004,S02,92.519,93.166,91.783,1.64
K1004,S02,92.417,93.166,91.783,1.64
K1005,S01,169.757,173.677,164.826,0.68
K1005,S01,163.244,173.677,164.826,0.68
K1005,S01,165.635,173.677,164.826,0.68
K1006,S01,37.608,38.376,36.956,2.15
K1006,S01,37.806,38.376,36.956,2.15
K1007,S01,131.384,134.405,126.346,1.12
K1007,S01,129.822,134.405,126.346,1.12
K1008,S02,130.819,132.619,129.389,1.93
K1008,S02,131.192,132.619,129.389,1.93
K1008,S02,130.946,132.619,129.389,1.93
K1009,S02,78.626,79.703,78.358,1.25
K1009,S02,79.219,79.703,78.358,1.25
K1010,S02,104.424,107.961,102.611,1.0
K1010,S02,105.746,107.961,102.611,1.0
K1010,S02,105.2,107.961,102.611,1.0
K1011,S01,107.084,109.931,103.823,1.72
K1011,S01,107.437,109.931,103.823,1.72
K1011,S01,106.457,109.931,103.823,1.72
K1012,S02,64.121,66.95,58.841,1.53
K1012,S02,62.964,66.95,58.841,1.53
K1012,S02,61.823,66.95,58.841,1.53
K1013,S02,109.941,113.04,103.812,0.7
K1013,S02,109.715,113.04,103.812,0.7
K1013,S02,108.338,113.04,103.812,0.7
K1014,S03,124.833,125.874,124.201,0.93
K1014,S03,124.814,125.874,124.201,0.93
K1014,S03,125.066,125.874,124.201,0.93
K1015,S01,131.542,141.33,132.522,0.63
K1015,S01,133.418,141.33,132.522,0.63
K1015,S01,138.156,141.33,132.522,0.63
K1015,S01,140.68,141.33,132.522,0.63
K1016,S01,188.215,192.527,185.311,1.57
K1016,S01,189.148,192.527,185.311,1.57
K1017,S01,37.683,41.278,34.715,1.93
K1017,S01,38.366,41.278,34.715,1.93
K1017,S01,38.509,41.278,34.715,1.93
K1017,S01,39.216,41.278,34.715,1.93
K1017,S01,38.085,41.278,34.715,1.93
K1018,S02,60.086,65.117,56.551,2.15
K1018,S02,60.86,65.117,56.551,2.15
K1019,S02,102.096,105.155,98.616,1.97
K1019,S02,100.788,105.155,98.616,1.97
K1019,S02,101.103,105.155,98.616,1.97
K1019,S02,103.675,105.155,98.616,1.97
K1019,S02,101.303,105.155,98.616,1.97
K1020,S02,124.232,126.65,121.659,1.06
K1020,S02,123.959,126.65,121.659,1.06
K1020,S02,123.5,126.65,121.659,1.06
K1020,S02,122.66,126.65,121.659,1.06
K1021,S03,147.131,149.34,142.579,1.0
K1021,S03,144.816,149.34,142.579,1.0
K1022,S03,138.318,144.061,136.021,1.05
K1022,S03,140.459,144.061,136.021,1.05
K1023,S04,129.596,133.895,124.13,1.38
K1023,S04,129.861,133.895,124.13,1.38
K1023,S04,129.919,133.895,124.13,1.38
K1023,S04,129.372,133.895,124.13,1.38
K1023,S04,128.612,133.895,124.13,1.38
K1024,S01,139.936,141.97,134.951,0.71
K1024,S01,139.024,141.97,134.951,0.71
K1025,S01,22.22,25.576,19.688,1.56
K1025,S01,22.537,25.576,19.688,1.56
K1025,S01,22.189,25.576,19.688,1.56
K1025,S01,22.8,25.576,19.688,1.56
K1026,S02,103.549,106.325,99.277,2.12
K1026,S02,102.68,106.325,99.277,2.12
K1027,S02,118.268,120.13,117.516,1.68
K1027,S02,118.883,120.13,117.516,1.68
K1027,S02,118.986,120.13,117.516,1.68
K1027,S02,118.638,120.13,117.516,1.68
K1028,S03,14.143,17.101,9.727,1.0
K1028,S03,14.008,17.101,9.727,1.0
K1028,S03,13.783,17.101,9.727,1.0
K1028,S03,13.584,17.101,9.727,1.0
K1028,S03,14.54,17.101,9.727,1.0
K1029,S03,111.621,114.403,109.25,2.12
K1029,S03,110.924,114.403,109.25,2.12
K1029,S03,110.789,114.403,109.25,2.12
K1029,S03,112.17,114.403,109.25,2.12
K1030,S03,87.533,90.128,83.419,1.95
K1030,S03,86.467,90.128,83.419,1.95
K1030,S03,86.812,90.128,83.419,1.95
K1031,S01,58.05,65.355,56.023,0.64
K1031,S01,59.236,65.355,56.023,0.64
K1031,S01,63.334,65.355,56.023,0.64
K1031,S01,57.304,65.355,56.023,0.64
K1031,S01,63.3,65.355,56.023,0.64
K1032,S02,80.348,80.677,79.312,1.8
K1032,S02,79.788,80.677,79.312,1.8
K1032,S02,79.927,80.677,79.312,1.8
K1033,S02,30.687,32.403,28.203,1.01
K1033,S02,29.838,32.403,28.203,1.01
K1033,S02,30.84,32.403,28.203,1.01
K1034,S03,177.535,178.82,175.377,1.65
K1034,S03,176.997,178.82,175.377,1.65
K1034,S03,177.384,178.82,175.377,1.65
K1034,S03,176.567,178.82,175.377,1.65
K1034,S03,177.341,178.82,175.377,1.65
K1035,S03,53.005,54.553,47.325,1.36
K1035,S03,51.174,54.553,47.325,1.36
K1036,S03,112.474,117.467,107.553,0.91
K1036,S03,112.675,117.467,107.553,0.91
K1036,S03,112.935,117.467,107.553,0.91
K1036,S03,112.709,117.467,107.553,0.91
K1037,S04,144.282,145.856,142.638,0.69
K1037,S04,145.34,145.856,142.638,0.69
K1037,S04,145.268,145.856,142.638,0.69
K1037,S04,143.28,145.856,142.638,0.69
K1038,S04,90.812,92.365,89.282,1.65
K1038,S04,91.177,92.365,89.282,1.65
K1039,S04,35.008,37.911,31.897,1.98
K1039,S04,35.108,37.911,31.897,1.98
K1040,S01,131.658,133.638,130.418,1.08
K1040,S01,131.322,133.638,130.418,1.08
K1040,S01,132.148,133.638,130.418,1.08
K1041,S01,41.859,42.63,41.261,1.9
K1041,S01,41.947,42.63,41.261,1.9
K1041,S01,42.121,42.63,41.261,1.9
K1041,S01,41.962,42.63,41.261,1.9
K1042,S01,142.631,143.988,141.826,0.82
K1042,S01,141.928,143.988,141.826,0.82
K1042,S01,143.257,143.988,141.826,0.82
K1043,S02,136.595,138.38,133.622,0.91
K1043,S02,136.801,138.38,133.622,0.91
K1043,S02,136.453,138.38,133.622,0.91
K1044,S02,166.056,168.159,164.967,1.35
K1044,S02,166.555,168.159,164.967,1.35
K1045,S02,70.275,72.018,69.49,1.08
K1045,S02,70.665,72.018,69.49,1.08
K1045,S02,70.528,72.018,69.49,1.08
K1045,S02,71.386,72.018,69.49,1.08
K1046,S01,87.717,91.162,83.586,2.01
K1046,S01,87.68,91.162,83.586,2.01
K1046,S01,86.473,91.162,83.586,2.01
K1046,S01,87.296,91.162,83.586,2.01
K1047,S01,61.081,67.111,57.49,0.72
K1047,S01,65.412,67.111,57.49,0.72
K1047,S01,61.29,67.111,57.49,0.72
K1047,S01,59.971,67.111,57.49,0.72
K1047,S01,61.211,67.111,57.49,0.72
K1048,S01,176.844,178.473,175.456,1.65
K1048,S01,176.993,178.473,175.456,1.65
K1048,S01,177.464,178.473,175.456,1.65
K1048,S01,177.519,178.473,175.456,1.65
K1048,S01,177.025,178.473,175.456,1.65
K1049,S02,189.826,193.722,185.053,1.74
K1049,S02,188.366,193.722,185.053,1.74
K1049,S02,189.468,193.722,185.053,1.74
K1049,S02,188.622,193.722,185.053,1.74
K1050,S02,90.652,91.76,90.048,1.9
K1050,S02,90.856,91.76,90.048,1.9
K1050,S02,90.909,91.76,90.048,1.9
K1051,S01,91.198,93.89,88.718,1.58
K1051,S01,90.385,93.89,88.718,1.58
K1051,S01,92.823,93.89,88.718,1.58
K1052,S01,109.931,111.31,107.326,2.13
K1052,S01,109.298,111.31,107.326,2.13
K1052,S01,109.286,111.31,107.326,2.13
K1052,S01,109.103,111.31,107.326,2.13
K1052,S01,109.267,111.31,107.326,2.13
K1053,S02,73.85,74.971,72.235,0.92
K1053,S02,74.219,74.971,72.235,0.92
K1054,S03,67.795,68.677,66.835,2.06
K1054,S03,67.651,68.677,66.835,2.06
K1054,S03,67.88,68.677,66.835,2.06
K1054,S03,67.959,68.677,66.835,2.06
K1054,S03,67.564,68.677,66.835,2.06
K1055,S03,163.027,164.222,161.622,0.77
K1055,S03,162.841,164.222,161.622,0.77
K1055,S03,162.722,164.222,161.622,0.77
K1056,S04,76.429,80.485,72.584,1.25
K1056,S04,78.523,80.485,72.584,1.25
