MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-539659,B-25-1,2226,KANBAN-00001,Battery & eDrive Plant PL,Assembly Plant DE
MAT-624886,C-11-3,4832,KANBAN-00002,Battery & eDrive Plant PL,Assembly Plant DE
MAT-843851,G-11-1,2072,KANBAN-00003,Battery & eDrive Plant PL,Assembly Plant DE
MAT-435900,E-04-1,3789,KANBAN-00004,Battery & eDrive Plant PL,Assembly Plant DE
MAT-516781,E-28-2,2646,KANBAN-00005,Battery & eDrive Plant PL,Assembly Plant DE
MAT-840862,H-12-1,624,KANBAN-00006,Battery & eDrive Plant PL,Assembly Plant DE
MAT-311732,D-08-2,333,KANBAN-00007,Battery & eDrive Plant PL,Assembly Plant DE
MAT-835704,B-17-3,1561,KANBAN-00008,Battery & eDrive Plant PL,Assembly Plant DE
MAT-268389,F-20-2,4487,KANBAN-00009,Battery & eDrive Plant PL,Assembly Plant DE
MAT-272196,F-03-1,2911,KANBAN-00010,Battery & eDrive Plant PL,Assembly Plant DE
MAT-644159,B-26-2,3376,KANBAN-00011,Battery & eDrive Plant PL,Assembly Plant DE
MAT-922796,F-26-2,2998,KANBAN-00012,Battery & eDrive Plant PL,Assembly Plant DE
MAT-610160,D-10-2,1633,KANBAN-00013,Battery & eDrive Plant PL,Assembly Plant DE
MAT-903031,H-17-1,1172,KANBAN-00014,Battery & eDrive Plant PL,Assembly Plant DE
MAT-676665,A-09-3,1903,KANBAN-00015,Battery & eDrive Plant PL,Assembly Plant DE
MAT-231032,G-23-4,969,KANBAN-00016,Battery & eDrive Plant PL,Assembly Plant DE
MAT-585083,A-02-3,2107,KANBAN-00017,Battery & eDrive Plant PL,Assembly Plant DE
MAT-430255,A-28-5,3492,KANBAN-00018,Battery & eDrive Plant PL,Assembly Plant DE
MAT-820266,G-25-1,3919,KANBAN-00019,Battery & eDrive Plant PL,Assembly Plant DE
MAT-563418,C-13-2,3114,KANBAN-00020,Battery & eDrive Plant PL,Assembly Plant DE
MAT-804636,F-02-5,2916,KANBAN-00021,Battery & eDrive Plant PL,Assembly Plant DE
MAT-425996,B-21-2,4428,KANBAN-00022,Battery & eDrive Plant PL,Assembly Plant DE
MAT-188065,B-12-4,3654,KANBAN-00023,Battery & eDrive Plant PL,Assembly Plant DE
MAT-380882,C-06-1,4895,KANBAN-00024,Battery & eDrive Plant PL,Assembly Plant DE
MAT-696328,E-16-5,2971,KANBAN-00025,Battery & eDrive Plant PL,Assembly Plant DE
MAT-338991,G-02-1,4730,KANBAN-00026,Battery & eDrive Plant PL,Assembly Plant DE
MAT-179610,A-13-3,144,KANBAN-00027,Battery & eDrive Plant PL,Assembly Plant DE
MAT-959058,D-06-2,4568,KANBAN-00028,Battery & eDrive Plant PL,Assembly Plant DE
MAT-264483,D-19-3,3023,KANBAN-00029,Battery & eDrive Plant PL,Assembly Plant DE
MAT-105018,D-25-5,3136,KANBAN-00030,Battery & eDrive Plant PL,Assembly Plant DE
MAT-902966,G-07-2,2754,KANBAN-00031,Battery & eDrive Plant PL,Assembly Plant DE
MAT-312365,B-19-3,706,KANBAN-00032,Battery & eDrive Plant PL,Assembly Plant DE
MAT-981550,D-19-4,3477,KANBAN-00033,Battery & eDrive Plant PL,Assembly Plant DE
