OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2060001,ASSET-00001,Preventive,0,,
WO-2060002,ASSET-00001,Preventive,0,,
WO-2060003,ASSET-00001,Preventive,0,,
WO-2060004,ASSET-00001,Corrective,64,568,
WO-2060005,ASSET-00001,Corrective,157,543,
WO-2060006,ASSET-00001,Preventive,0,,
WO-2060007,ASSET-00002,Corrective,215,1644,000060000001
WO-2060008,ASSET-00002,Preventive,0,,000060000001
WO-2060009,ASSET-00002,Preventive,0,,000060000001
WO-2060010,ASSET-00002,Preventive,0,,000060000001
WO-2060011,ASSET-00002,Preventive,0,,000060000001
WO-2060012,ASSET-00002,Corrective,214,715,000060000001
WO-2060013,ASSET-00003,Corrective,226,602,000060000002
WO-2060014,ASSET-00003,Preventive,0,,000060000002
WO-2060015,ASSET-00003,Corrective,138,1680,000060000002
WO-2060016,ASSET-00003,Emergency,319,200,000060000002
WO-2060017,ASSET-00003,Emergency,120,1996,000060000002
WO-2060018,ASSET-00003,Emergency,138,1810,000060000002
WO-2060019,ASSET-00004,Preventive,0,,000060000003
WO-2060020,ASSET-00004,Corrective,125,698,000060000003
WO-2060021,ASSET-00004,Preventive,0,,000060000003
WO-2060022,ASSET-00004,Corrective,212,201,000060000003
WO-2060023,ASSET-00004,Corrective,57,764,000060000003
WO-2060024,ASSET-00004,Emergency,161,1369,000060000003
WO-2060025,ASSET-00004,Preventive,0,,000060000003
WO-2060026,ASSET-00004,Preventive,0,,000060000003
WO-2060027,ASSET-00005,Preventive,0,,000060000004
WO-2060028,ASSET-00005,Preventive,0,,000060000004
WO-2060029,ASSET-00005,Emergency,536,662,000060000004
WO-2060030,ASSET-00005,Corrective,57,538,000060000004
WO-2060031,ASSET-00005,Emergency,581,675,000060000004
WO-2060032,ASSET-00005,Preventive,0,,000060000004
WO-2060033,ASSET-00006,Preventive,0,,000060000005
WO-2060034,ASSET-00006,Preventive,0,,000060000005
WO-2060035,ASSET-00006,Corrective,106,673,000060000005
WO-2060036,ASSET-00006,Preventive,0,,000060000005
WO-2060037,ASSET-00007,Corrective,171,297,000060000006
WO-2060038,ASSET-00007,Corrective,152,1160,000060000006
WO-2060039,ASSET-00007,Preventive,0,,000060000006
WO-2060040,ASSET-00007,Preventive,0,,000060000006
WO-2060041,ASSET-00008,Emergency,300,850,000060000007
WO-2060042,ASSET-00008,Preventive,0,,000060000007
WO-2060043,ASSET-00008,Preventive,0,,000060000007
WO-2060044,ASSET-00008,Corrective,239,661,000060000007
WO-2060045,ASSET-00009,Preventive,0,,000060000008
WO-2060046,ASSET-00009,Corrective,174,356,000060000008
WO-2060047,ASSET-00009,Preventive,0,,000060000008
WO-2060048,ASSET-00010,Preventive,0,,000060000009
WO-2060049,ASSET-00010,Corrective,47,1796,000060000009
WO-2060050,ASSET-00010,Preventive,0,,000060000009
WO-2060051,ASSET-00010,Preventive,0,,000060000009
WO-2060052,ASSET-00010,Preventive,0,,000060000009
WO-2060053,ASSET-00010,Preventive,0,,000060000009
WO-2060054,ASSET-00011,Corrective,30,565,000060000010
WO-2060055,ASSET-00011,Preventive,0,,000060000010
WO-2060056,ASSET-00011,Preventive,0,,000060000010
WO-2060057,ASSET-00011,Preventive,0,,000060000010
WO-2060058,ASSET-00011,Corrective,219,1409,000060000010
WO-2060059,ASSET-00011,Corrective,108,1577,000060000010
WO-2060060,ASSET-00012,Preventive,0,,000060000011
WO-2060061,ASSET-00012,Emergency,91,405,000060000011
WO-2060062,ASSET-00012,Corrective,77,644,000060000011
WO-2060063,ASSET-00012,Preventive,0,,000060000011
WO-2060064,ASSET-00012,Preventive,0,,000060000011
WO-2060065,ASSET-00012,Preventive,0,,000060000011
WO-2060066,ASSET-00013,Corrective,164,1117,000060000012
WO-2060067,ASSET-00013,Preventive,0,,000060000012
WO-2060068,ASSET-00013,Corrective,89,1418,000060000012
