Site_ID,Asset_Tag,Equipment_Description,CostCtr,Book_Value_USD,OEM_Name
P1050,000060000001,Automated Guided Vehicle,CC-4099,75499.62,DMG MORI
P1050,000060000002,Leak Test Station,CC-4101,57022.32,KUKA AG
P1050,000060000003,Final Functional Test Bench,CC-4099,124327.03,KUKA AG
P1050,000060000004,Ultrasonic Welding Station,CC-4099,70685.02,KUKA
P1050,000060000005,,CC-4099,157153.61,KUKA AG
P1050,000060000006,Final Functional Test Bench,CC-4101,81404.01,haas automation
P1050,000060000007,Torque Application Unit,CC-4102,35732.92,lincoln electric
P1050,000060000008,Hydraulic Press,CC-4101,343168.42,ABB
P1050,000060000009,Vision Inspection Station,CC-4100,34651.52,Lincoln Electric
P1050,000060000010,Induction Heating Unit,CC-4100,42350.25,ABB Robotics
P1050,000060000011,,CC-4099,67218.89,ABB Robotics
P1050,000060000012,Robotic Welding Cell,CC-4099,225255.63,DMG MORI
P1050,000060000013,Torque Application Unit,CC-4100,36286.74,ABB Robotics
P1050,000060000014,Injection Molding Machine,CC-4102,315319.49,ABB Robotics
P1050,000060000015,Laser Welding Cell,CC-4102,308696.42,Bosch Rexroth
P1050,000060000016,Riveting Station,CC-4101,32489.21,FANUC Corporation
P1050,000060000017,Vision Inspection Station,CC-4101,59554.03,AIDA Engineering
P1050,000060000018,Paint Application Robot,CC-4099,336616.50,KUKA AG
P1050,000060000019,Dimensional Measurement Arm,CC-4102,59633.32,Miller Electric
P1050,000060000020,Stamping Press,CC-4099,565505.15,Yaskawa Motoman
P1050,000060000021,Induction Heating Unit,CC-4100,56889.68,FANUC Corporation
P1050,000060000022,CNC Machining Center,CC-4100,353579.04,KUKA AG
P1050,000060000023,Riveting Station,CC-4101,60704.14,Lincoln Electric
P1050,000060000024,Vision Inspection Station,CC-4100,58588.48,KUKA AG
P1050,000060000025,Laser Welding Cell,CC-4100,355007.25,KUKA
P1050,000060000026,Automated Guided Vehicle,CC-4100,65996.17,AIDA
P1050,000060000027,Final Functional Test Bench,CC-4101,100866.86,Siemens AG
P1050,000060000028,Vision Inspection Station,CC-4099,71806.12,KUKA
P1050,000060000029,Adhesive Dispensing Unit,CC-4101,30919.89,Lincoln Electric
P1050,000060000030,Robotic Welding Cell,,127119.79,ABB Robotics
P1050,000060000031,Leak Test Station,CC-4101,33973.82,KUKA AG
P1050,000060000032,Laser Welding Cell,CC-4099,181948.90,Eisenmann SE
P1050,000060000033,Assembly Torque Wrench Station,CC-4100,27273.89,haas automation
P1050,000060000034,Riveting Station,CC-4100,60092.08,KUKA AG
P1050,000060000035,Wheel Alignment Rig,CC-4101,37116.63,ABB
P1050,000060000036,Adhesive Dispensing Unit,CC-4101,65552.94,Mazak Corporation
P1050,000060000037,Wheel Alignment Rig,CC-4099,40626.31,KUKA
P1050,000060000038,Hydraulic Press,CC-4100,169285.81,Bosch Rexroth
