LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0003,Torque Fastening,WU1,S01,,,
L01,PR-0007,Base Coat Spray,WU2,S01,000060000001,,
L01,PR-0025,Cell Formation,WU3,S01,000060000002,,
L01,PR-0187,Molding - Bumper Fascia,WU4,S02,000060000003,,
L01,PR-0003,Torque Fastening,WU5,S03,000060000004,,
L01,PR-0036,Molding - Hood Panel,WU6,S03,000060000005,,
L01,PR-0004,Visual Inspection,WU7,S03,000060000006,,
L01,PR-0002,Resistance Welding,WU8,S04,000060000007,,
L01,PR-0023,Trim Fitment,WU9,S04,000060000008,,
L01,PR-0049,Abrasive Finishing - Door Module,WU10,S04,000060000009,,
L02,PR-0038,Setting - Body Panel,WU11,S01,000060000010,,
L02,PR-0143,Cutting - Hood Panel,WU12,S01,000060000011,,
L02,PR-0001,Dispense Sealant,WU13,S01,000060000012,,
L02,PR-0013,Door Mounting,WU14,S02,000060000013,,
L02,PR-0003,Torque Fastening,WU15,S02,000060000014,,
L02,PR-0068,Packaging - Dashboard Assembly,WU16,S02,,,
L02,PR-0001,Dispense Sealant,WU17,S03,000060000015,,
L02,PR-0002,Resistance Welding,WU18,S03,000060000016,,
L02,PR-0052,Engine Block Assembly,WU19,S04,000060000017,,
L03,PR-0005,Leak Test,WU20,S01,000060000018,,
L03,PR-0031,Transmission Housing Stamping,WU21,S02,000060000019,,
L03,PR-0199,Dispensing - Transmission Housing,WU22,S03,,,
L04,PR-0008,Clear Coat Spray,WU23,S01,000060000020,,
L04,PR-0013,Door Mounting,WU24,S01,000060000021,,
L04,PR-0173,Fastening - Transmission Housing,WU25,S02,000060000022,,
L04,PR-0045,Stamping - Center Console,WU26,S02,000060000023,,
L04,PR-0002,Resistance Welding,WU27,S03,,,
L04,PR-0063,Grinding - Body Panel,WU28,S03,000060000024,,
L04,PR-0012,Chassis Sealing,WU29,S03,000060000025,,
L04,PR-0057,Transmission Housing Trimming,WU30,S04,000060000026,,
L04,PR-0019,Piercing Station,WU31,S04,000060000027,,
L05,PR-0002,Resistance Welding,WU32,S01,000060000028,,
L05,PR-0067,Engine Block Forming,WU33,S02,000060000029,,
L05,PR-0001,Dispense Sealant,WU34,S02,000060000030,,
L05,PR-0104,Welding - Dashboard Assembly,WU35,S02,000060000031,,
L05,PR-0069,Inspection - Roof Rail,WU36,S03,,,
L05,PR-0168,Weld - Trunk Lid,WU37,S03,000060000032,,
L06,PR-0001,Dispense Sealant,WU38,S01,,,
L06,PR-0007,Base Coat Spray,WU39,S01,000060000033,,
L06,PR-0001,Dispense Sealant,WU40,S01,000060000034,,
L06,PR-0005,Leak Test,WU41,S02,000060000035,,
L06,PR-0005,Leak Test,WU42,S02,000060000036,,
L06,PR-0019,Piercing Station,WU43,S02,,,
L07,PR-0007,Base Coat Spray,WU44,S01,000060000037,,
L07,PR-0164,Trimming Operation - Trunk Lid,WU45,S02,000060000038,,
L08,PR-0003,Torque Fastening,WU46,S01,000060000039,,
L08,PR-0007,Base Coat Spray,WU47,S02,000060000040,,
L08,PR-0035,Seal Application - Transmission Housing,WU48,S02,000060000041,,
L08,PR-0003,Torque Fastening,WU49,S02,000060000042,,
L09,PR-0040,Glass Panel Forming,WU50,S01,000060000043,,
L09,PR-0036,Molding - Hood Panel,WU51,S01,000060000044,,
L09,PR-0037,Inspection - Glass Panel,WU52,S01,000060000045,,
L09,PR-0030,Cylinder Boring,WU53,S02,000060000046,,
L09,PR-0069,Inspection - Roof Rail,WU54,S02,000060000047,,
L09,PR-0195,Milling - Center Console,WU55,S02,000060000048,,
L09,PR-0001,Dispense Sealant,WU56,S03,000060000049,,
L09,PR-0010,Cable Routing,WU57,S03,000060000050,,
L10,PR-0067,Engine Block Forming,WU58,S01,000060000051,,
L10,PR-0001,Dispense Sealant,WU59,S02,000060000052,,
L10,PR-0014,Toe & Camber Setting,WU60,S03,000060000053,,
L10,PR-0027,Crank Grinding,WU61,S03,000060000054,,
L11,PR-0002,Resistance Welding,WU62,S01,000060000055,,
L11,PR-0006,Cathodic Dip Coating,WU63,S02,000060000056,,
L12,PR-0058,Moulding - Transmission Housing,WU64,S01,000060000057,,
L12,PR-0001,Dispense Sealant,WU65,S01,000060000058,,
L12,PR-0001,Dispense Sealant,WU66,S02,000060000059,,
L12,PR-0069,Inspection - Roof Rail,WU67,S02,000060000060,,
L12,PR-0065,Baking - Seat Frame,WU68,S02,000060000061,,
L12,PR-0018,Deep Drawing,WU69,S03,000060000062,,
L12,PR-0006,Cathodic Dip Coating,WU70,S03,000060000063,,
L12,PR-0001,Dispense Sealant,WU71,S04,000060000064,,
L13,PR-0066,Cutting Operation - Radiator Core,WU72,S01,000060000065,,
L13,PR-0002,Resistance Welding,WU73,S02,,,
L13,PR-0120,Rear Axle Packaging,WU74,S02,000060000066,,
L13,PR-0054,Test - Chassis Frame,WU75,S02,,,
L13,PR-0001,Dispense Sealant,WU76,S03,,,
L14,PR-0024,Circuit Board Assembly,WU77,S01,000060000067,,
L14,PR-0126,Assembly - Rear Axle,WU78,S01,000060000068,,
L14,PR-0099,Qc Review - Bumper Fascia,WU79,S01,000060000069,,
L14,PR-0021,Cushion Molding,WU80,S02,000060000070,,
L14,PR-0002,Resistance Welding,WU81,S02,000060000071,,
L14,PR-0031,Transmission Housing Stamping,WU82,S03,000060000072,,
L14,PR-0028,Gear Cutting Operation,WU83,S03,000060000073,,
L15,PR-0018,Deep Drawing,WU84,S01,000060000074,,
L15,PR-0003,Torque Fastening,WU85,S01,000060000075,,
L15,PR-0112,Molding - Glass Panel,WU86,S01,000060000076,,
L15,PR-0011,End-Of-Line Test,WU87,S02,000060000077,,
L15,PR-0003,Torque Fastening,WU88,S03,,,
L15,PR-0003,Torque Fastening,WU89,S03,000060000078,,
L16,PR-0003,Torque Fastening,WU90,S01,000060000079,,
L16,PR-0008,Clear Coat Spray,WU91,S01,000060000080,,
L16,PR-0002,Resistance Welding,WU92,S02,000060000081,,
L16,PR-0012,Chassis Sealing,WU93,S02,000060000082,,
L16,PR-0002,Resistance Welding,WU94,S03,000060000083,,
L16,PR-0003,Torque Fastening,WU95,S04,000060000084,,
L17,PR-0001,Dispense Sealant,WU96,S01,000060000085,,
L17,PR-0005,Leak Test,WU97,S01,000060000086,,
L17,PR-0006,Cathodic Dip Coating,WU98,S02,000060000087,,
L17,PR-0006,Cathodic Dip Coating,WU99,S03,000060000088,,
L17,PR-0040,Glass Panel Forming,WU100,S03,,,
L17,PR-0010,Cable Routing,WU101,S04,000060000090,,
L17,PR-0033,Glass Panel Machining,WU102,S04,000060000091,,
L18,PR-0001,Dispense Sealant,WU103,S01,000060000092,,
L18,PR-0007,Base Coat Spray,WU104,S01,000060000093,,
L18,PR-0001,Dispense Sealant,WU105,S01,000060000094,,
L18,PR-0008,Clear Coat Spray,WU106,S02,000060000095,,
L18,PR-0021,Cushion Molding,WU107,S03,000060000096,,
L18,PR-0061,Suspension Arm Cutting,WU108,S03,000060000097,,
L19,PR-0014,Toe & Camber Setting,WU109,S01,000060000098,,
L19,PR-0005,Leak Test,WU110,S01,000060000099,,
L19,PR-0003,Torque Fastening,WU111,S01,000060000100,,
L19,PR-0156,Wheel Hub Packaging,WU112,S02,000060000101,,
L19,PR-0002,Resistance Welding,WU113,S03,000060000102,,
L20,PR-0001,Dispense Sealant,WU114,S01,000060000103,,
L20,PR-0001,Dispense Sealant,WU115,S01,000060000104,,
L20,PR-0198,Transmission Housing Curing,WU116,S02,,,
L20,PR-0115,Glass Panel Packaging,WU117,S02,000060000105,,
L20,PR-0004,Visual Inspection,WU118,S02,000060000106,,
L20,PR-0001,Dispense Sealant,WU119,S03,000060000107,,
L20,PR-0051,Application - Battery Module,WU120,S03,000060000108,,
L21,PR-0003,Torque Fastening,WU121,S01,000060000109,,
L21,PR-0001,Dispense Sealant,WU122,S01,000060000110,,
L21,PR-0008,Clear Coat Spray,WU123,S02,000060000111,,
L21,PR-0007,Base Coat Spray,WU124,S03,000060000112,,
L21,PR-0005,Leak Test,WU125,S04,000060000113,,
L21,PR-0026,Camshaft Fitting,WU126,S04,,,
L21,PR-0040,Glass Panel Forming,WU127,S04,000060000114,,
L22,PR-0015,Winding Operation,WU128,S01,000060000115,,
L22,PR-0001,Dispense Sealant,WU129,S01,000060000116,,
L22,PR-0001,Dispense Sealant,WU130,S01,000060000117,,
L22,PR-0100,Machining - Brake Caliper,WU131,S02,,,
L23,PR-0002,Resistance Welding,WU132,S01,000060000118,,
L23,PR-0006,Cathodic Dip Coating,WU133,S02,000060000119,,
L23,PR-0001,Dispense Sealant,WU134,S02,000060000120,,
L24,PR-0002,Resistance Welding,WU135,S01,000060000121,,
L24,PR-0010,Cable Routing,WU136,S01,000060000122,,
L24,PR-0002,Resistance Welding,WU137,S01,000060000123,,
L24,PR-0027,Crank Grinding,WU138,S02,000060000124,,
L24,PR-0005,Leak Test,WU139,S02,000060000125,,
L24,PR-0058,Moulding - Transmission Housing,WU140,S03,000060000126,,
L24,PR-0019,Piercing Station,WU141,S03,000060000127,,
L25,PR-0002,Resistance Welding,WU142,S01,000060000128,,
L25,PR-0065,Baking - Seat Frame,WU143,S01,000060000129,,
L25,PR-0135,Securing - Door Module,WU144,S01,000060000130,,
L25,PR-0001,Dispense Sealant,WU145,S02,000060000131,,
L25,PR-0029,Connector Fitment,WU146,S02,000060000132,,
L25,PR-0023,Trim Fitment,WU147,S03,000060000133,,
L26,PR-0029,Connector Fitment,WU148,S01,000060000134,,
L26,PR-0001,Dispense Sealant,WU149,S01,000060000135,,
L26,PR-0001,Dispense Sealant,WU150,S01,000060000136,,
L26,PR-0003,Torque Fastening,WU151,S02,000060000137,,
L26,PR-0001,Dispense Sealant,WU152,S03,000060000138,,
L26,PR-0005,Leak Test,WU153,S03,000060000139,,
L26,PR-0095,Dispensing - Floor Pan,WU154,S03,000060000140,,
L27,PR-0005,Leak Test,WU155,S01,000060000141,,
L27,PR-0006,Cathodic Dip Coating,WU156,S01,000060000142,,
L27,PR-0003,Torque Fastening,WU157,S02,000060000143,,
L27,PR-0007,Base Coat Spray,WU158,S03,000060000144,,
L27,PR-0061,Suspension Arm Cutting,WU159,S03,000060000145,,
L27,PR-0074,Setting - Radiator Core,WU160,S03,000060000146,,
L28,PR-0007,Base Coat Spray,WU161,S01,000060000147,,
L28,PR-0006,Cathodic Dip Coating,WU162,S02,000060000148,,
L28,PR-0002,Resistance Welding,WU163,S02,000060000149,,
L29,PR-0174,Molding - Rear Axle,WU164,S01,000060000150,,
L29,PR-0003,Torque Fastening,WU165,S01,000060000152,,
L29,PR-0004,Visual Inspection,WU166,S02,000060000153,,
L29,PR-0007,Base Coat Spray,WU167,S03,000060000154,,
L30,PR-0001,Dispense Sealant,WU168,S01,000060000155,,
L30,PR-0004,Visual Inspection,WU169,S01,000060000156,,
L30,PR-0133,Bumper Fascia Packaging,WU170,S02,,,
L30,PR-0001,Dispense Sealant,WU171,S02,000060000157,,
L31,PR-0002,Resistance Welding,WU172,S01,000060000158,,
L31,PR-0002,Resistance Welding,WU173,S01,000060000159,,
L31,PR-0002,Resistance Welding,WU174,S02,000060000160,,
L31,PR-0154,Milling - Roof Rail,WU175,S02,000060000161,,
L31,PR-0036,Molding - Hood Panel,WU176,S02,000060000162,,
L31,PR-0125,Packaging - Brake Caliper,WU177,S03,000060000163,,
L31,PR-0087,Rear Axle Cutting,WU178,S03,000060000164,,
L32,PR-0022,Trim Sewing,WU179,S01,000060000165,,
L32,PR-0015,Winding Operation,WU180,S01,000060000166,,
L32,PR-0011,End-Of-Line Test,WU181,S02,000060000167,,
L32,PR-0032,Testing - Fuel Rail,WU182,S02,000060000168,,
L32,PR-0035,Seal Application - Transmission Housing,WU183,S03,000060000169,,
L32,PR-0019,Piercing Station,WU184,S03,000060000170,,
L33,PR-0008,Clear Coat Spray,WU185,S01,000060000171,,
L33,PR-0030,Cylinder Boring,WU186,S02,000060000172,,
L33,PR-0001,Dispense Sealant,WU187,S02,000060000173,,
L33,PR-0014,Toe & Camber Setting,WU188,S02,000060000174,,
L34,PR-0012,Chassis Sealing,WU189,S01,000060000175,,
L34,PR-0013,Door Mounting,WU190,S01,000060000176,,
L34,PR-0011,End-Of-Line Test,WU191,S02,,,
L34,PR-0046,Radiator Core Packaging,WU192,S03,000060000177,,
L34,PR-0048,Grinding - Trunk Lid,WU193,S03,000060000178,,
L35,PR-0004,Visual Inspection,WU194,S01,,,
L35,PR-0004,Visual Inspection,WU195,S01,000060000179,,
L35,PR-0001,Dispense Sealant,WU196,S02,000060000180,,
L35,PR-0001,Dispense Sealant,WU197,S02,000060000181,,
L35,PR-0003,Torque Fastening,WU198,S03,000060000182,,
L35,PR-0051,Application - Battery Module,WU199,S03,000060000183,,
L36,PR-0061,Suspension Arm Cutting,WU200,S01,000060000184,,
L36,PR-0002,Resistance Welding,WU201,S01,000060000185,,
L36,PR-0093,Drilling - Chassis Frame,WU202,S02,000060000186,,
L36,PR-0005,Leak Test,WU203,S02,000060000187,,
L36,PR-0061,Suspension Arm Cutting,WU204,S02,000060000188,,
L36,PR-0009,Cell Stack Assembly,WU205,S03,000060000189,,
L36,PR-0037,Inspection - Glass Panel,WU206,S03,000060000190,,
L36,PR-0005,Leak Test,WU207,S03,000060000191,,
L36,PR-0001,Dispense Sealant,WU208,S04,000060000192,,
L36,PR-0002,Resistance Welding,WU209,S04,000060000193,,
L37,PR-0034,Chassis Frame Molding,WU210,S01,000060000194,,
L37,PR-0124,Inspection - Dashboard Assembly,WU211,S02,000060000195,,
L37,PR-0023,Trim Fitment,WU212,S02,000060000196,,
L37,PR-0052,Engine Block Assembly,WU213,S02,000060000197,,
L37,PR-0001,Dispense Sealant,WU214,S03,000060000198,,
L37,PR-0049,Abrasive Finishing - Door Module,WU215,S03,000060000199,,
L37,PR-0076,Cutting - Center Console,WU216,S03,000060000200,,
L37,PR-0006,Cathodic Dip Coating,WU217,S04,000060000201,,
L37,PR-0010,Cable Routing,WU218,S04,000060000202,,
L38,PR-0001,Dispense Sealant,WU219,S01,000060000203,,
L38,PR-0002,Resistance Welding,WU220,S01,000060000204,,
L38,PR-0001,Dispense Sealant,WU221,S02,000060000205,,
L38,PR-0041,Body Panel Coating,WU222,S03,000060000206,,
L38,PR-0062,Trimming - Wheel Hub,WU223,S03,000060000207,,
L38,PR-0001,Dispense Sealant,WU224,S03,000060000208,,
L38,PR-0126,Assembly - Rear Axle,WU225,S04,000060000209,,
