NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-DE-00001,MER-VEH-COMPACT-0001,ELEC-SHORT-CIRCUIT,BIW-S03,Use-As-Is,156
NCR-DE-00002,MER-FUEL-INJECTOR-0038,ELEC-CONNECTOR-MISMATE,BIW-S01,Scrap,184
NCR-DE-00003,MER-MUFFLER-0041,WELD-MISALIGN,BIW-S03,Rework,76
NCR-DE-00004,MER-LIGHTING-SYSTEM-0024,WELD-UNDERCUT,BIW-S02,Scrap,302
NCR-DE-00005,MER-SEATS-0016,ASSY-WRONG-PART,BIW-S03,Rework,115
NCR-DE-00006,MER-BATTERY-MANAGEME-0028,ELEC-SHORT-CIRCUIT,BIW-S01,Use-As-Is,450
NCR-DE-00007,MER-FUEL-PUMP-0037,WELD-POROSITY,BIW-S01,Scrap,22
NCR-DE-00008,MER-WHEELS-0014,DIM-GAP-FLUSH,BIW-S02,Rework,442
NCR-DE-00009,MER-BUMPER-FRONT-0006,WELD-UNDERCUT,BIW-S03,Scrap,294
NCR-DE-00010,MER-BATTERY-MANAGEME-0028,WELD-UNDERCUT,BIW-S03,Rework,377
NCR-DE-00011,MER-BRAKE-SYSTEM-0012,ASSY-CROSS-THREAD,BIW-S01,Rework,405
NCR-DE-00012,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,BIW-S02,Rework,440
NCR-DE-00013,MER-INFOTAINMENT-UNI-0025,WELD-UNDERCUT,BIW-S02,Rework,179
NCR-DE-00014,MER-DASHBOARD-0017,PAINT-RUNS,BIW-S01,Scrap,198
NCR-DE-00015,MER-BRAKE-SYSTEM-0012,ASSY-WRONG-PART,BIW-S03,Rework,459
NCR-DE-00016,MER-HEADLINER-0020,DIM-GAP-FLUSH,BIW-S02,Rework,232
NCR-DE-00017,MER-CYLINDER-BLOCK-0027,PAINT-RUNS,BIW-S01,Rework,218
NCR-DE-00018,MER-MUFFLER-0041,PAINT-RUNS,BIW-S03,Scrap,102
NCR-DE-00019,MER-HEADLINER-0020,ASSY-MISSING-FASTENER,BIW-S03,Scrap,366
NCR-DE-00020,MER-ONBOARD-CHARGER-0037,ELEC-SHORT-CIRCUIT,BIW-S03,Use-As-Is,292
NCR-DE-00021,MER-BATTERY-MANAGEME-0028,ASSY-CROSS-THREAD,BIW-S02,Rework,426
NCR-DE-00022,MER-BODY-SHELL-0003,DIM-OUT-OF-TOLERANCE,BIW-S02,Scrap,371
NCR-DE-00023,MER-HEADLINER-0020,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,93
NCR-DE-00024,MER-DOORS-0004,WELD-POROSITY,BIW-S02,Use-As-Is,200
NCR-DE-00025,MER-CATALYTIC-CONVER-0040,PAINT-RUNS,BIW-S03,Rework,157
NCR-DE-00026,MER-WHEELS-0014,ASSY-CROSS-THREAD,BIW-S02,Use-As-Is,230
NCR-DE-00027,MER-SEATS-0016,SURFACE-SCRATCH,BIW-S03,Rework,301
NCR-DE-00028,MER-BATTERY-MANAGEME-0028,PAINT-ORANGE-PEEL,BIW-S03,Use-As-Is,458
NCR-DE-00029,MER-HEADLINER-0020,ASSY-CROSS-THREAD,BIW-S02,Rework,309
NCR-DE-00030,MER-BUMPER-FRONT-0006,MATERIAL-CONTAMINATION,BIW-S03,Rework,21
NCR-DE-00031,MER-HOOD-0005,SURFACE-SCRATCH,BIW-S02,Rework,296
NCR-DE-00032,MER-BUMPER-FRONT-0006,ASSY-CROSS-THREAD,BIW-S04,Rework,151
NCR-DE-00033,MER-SEATS-0016,ELEC-OPEN-CIRCUIT,BIW-S01,Scrap,199
NCR-DE-00034,MER-HEADLINER-0020,ASSY-WRONG-PART,BIW-S01,Rework,108
NCR-DE-00035,MER-EXHAUST-PIPE-0042,ASSY-MISSING-FASTENER,BIW-S01,Rework,35
NCR-DE-00036,MER-FUEL-PUMP-0037,PAINT-ORANGE-PEEL,BIW-S02,Rework,373
NCR-DE-00037,MER-FENDERS-0008,DIM-OUT-OF-TOLERANCE,BIW-S04,Rework,193
NCR-DE-00038,MER-BATTERY-HOUSING-0029,SEAL-LEAK,BIW-S01,Rework,340
NCR-DE-00039,MER-DOOR-PANELS-0019,WELD-UNDERCUT,BIW-S04,Rework,107
NCR-DE-00040,MER-SEATS-0016,PAINT-RUNS,BIW-S02,Rework,105
NCR-DE-00041,MER-CATALYTIC-CONVER-0040,DIM-GAP-FLUSH,BIW-S02,Rework,122
NCR-DE-00042,MER-PISTONS-0030,ASSY-WRONG-PART,BIW-S01,Rework,80
NCR-DE-00043,MER-WHEELS-0014,WELD-MISALIGN,BIW-S01,Scrap,167
NCR-DE-00044,MER-CENTER-CONSOLE-0018,ELEC-OPEN-CIRCUIT,BIW-S01,Scrap,484
NCR-DE-00045,MER-CRANKSHAFT-0029,SEAL-LEAK,BIW-S02,Rework,456
NCR-DE-00046,MER-CRANKSHAFT-0029,SEAL-LEAK,BIW-S01,Rework,474
NCR-DE-00047,MER-CRANKSHAFT-0029,ASSY-CROSS-THREAD,BIW-S01,Rework,220
NCR-DE-00048,MER-EXHAUST-PIPE-0042,SEAL-LEAK,BIW-S03,Rework,390
NCR-DE-00049,MER-CATALYTIC-CONVER-0040,ELEC-OPEN-CIRCUIT,BIW-S03,Rework,382
NCR-DE-00050,MER-MUFFLER-0041,WELD-UNDERCUT,BIW-S02,Rework,93
NCR-DE-00051,MER-DASHBOARD-0017,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,266
NCR-DE-00052,MER-MUFFLER-0041,MATERIAL-CONTAMINATION,BIW-S03,Scrap,197
NCR-DE-00053,MER-SEATS-0016,WELD-MISALIGN,BIW-S03,Rework,291
NCR-DE-00054,MER-VEH-EV-0001,WELD-UNDERCUT,BIW-S01,Rework,452
NCR-DE-00055,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,BIW-S01,Use-As-Is,22
NCR-DE-00056,MER-HOOD-0005,SEAL-LEAK,BIW-S01,Rework,299
NCR-DE-00057,MER-FUEL-TANK-0036,ASSY-MISSING-FASTENER,BIW-S01,Scrap,416
NCR-DE-00058,MER-CYLINDER-BLOCK-0027,MATERIAL-CONTAMINATION,BIW-S03,Rework,112
NCR-DE-00059,MER-FENDERS-0008,WELD-UNDERCUT,BIW-S02,Rework,103
NCR-DE-00060,MER-CYLINDER-HEAD-0028,WELD-MISALIGN,BIW-S02,Rework,428
NCR-DE-00061,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,BIW-S01,Rework,169
NCR-DE-00062,MER-STATOR-0031,WELD-UNDERCUT,BIW-S01,Rework,76
NCR-DE-00063,MER-CHARGING-CABLE-0040,PAINT-ORANGE-PEEL,BIW-S02,Rework,356
NCR-DE-00064,MER-CLUTCH-ASSEMBLY-0033,ASSY-WRONG-PART,BIW-S02,Rework,375
NCR-DE-00065,MER-HEADLINER-0020,WELD-UNDERCUT,BIW-S03,Scrap,386
NCR-DE-00066,MER-FUEL-PUMP-0037,ELEC-OPEN-CIRCUIT,BIW-S01,Rework,351
NCR-DE-00067,MER-WIRING-HARNESS-0022,PAINT-ORANGE-PEEL,BIW-S02,Use-As-Is,287
NCR-DE-00068,MER-HEADLINER-0020,WELD-MISALIGN,BIW-S01,Scrap,225
NCR-DE-00069,MER-DOOR-PANELS-0019,ASSY-MISSING-FASTENER,BIW-S03,Rework,87
NCR-DE-00070,MER-LIGHTING-SYSTEM-0024,SURFACE-SCRATCH,BIW-S01,Rework,202
NCR-DE-00071,MER-WHEELS-0014,PAINT-RUNS,BIW-S03,Scrap,350
NCR-DE-00072,MER-LOW-VOLTAGE-BATT-0023,WELD-UNDERCUT,BIW-S01,Scrap,289
NCR-DE-00073,MER-DOORS-0004,WELD-POROSITY,BIW-S02,Scrap,285
NCR-DE-00074,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,BIW-S02,Rework,372
NCR-DE-00075,MER-LOW-VOLTAGE-BATT-0023,WELD-POROSITY,BIW-S03,Use-As-Is,366
NCR-DE-00076,MER-WIRING-HARNESS-0022,DIM-OUT-OF-TOLERANCE,BIW-S03,Use-As-Is,465
NCR-DE-00077,MER-HEADLINER-0020,SURFACE-SCRATCH,BIW-S01,Use-As-Is,432
NCR-DE-00078,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,BIW-S02,Rework,404
NCR-DE-00079,MER-BRAKE-SYSTEM-0012,SEAL-LEAK,BIW-S02,Scrap,29
NCR-DE-00080,MER-INFOTAINMENT-UNI-0025,WELD-MISALIGN,BIW-S02,Rework,271
NCR-DE-00081,MER-STATOR-0031,PAINT-BLISTER,BIW-S03,Rework,95
NCR-DE-00082,MER-SEATS-0016,ASSY-MISSING-FASTENER,BIW-S02,Rework,173
NCR-DE-00083,MER-BODY-SHELL-0003,ASSY-MISSING-FASTENER,BIW-S04,Use-As-Is,84
NCR-DE-00084,MER-INFOTAINMENT-UNI-0025,MATERIAL-CONTAMINATION,BIW-S02,Rework,299
NCR-DE-00085,MER-FUEL-INJECTOR-0038,DIM-OUT-OF-TOLERANCE,BIW-S03,Scrap,220
NCR-DE-00086,MER-GEARBOX-HOUSING-0032,PAINT-ORANGE-PEEL,BIW-S03,Rework,413
NCR-DE-00087,MER-DOORS-0004,ASSY-MISSING-FASTENER,BIW-S02,Rework,397
NCR-DE-00088,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,BIW-S03,Use-As-Is,305
NCR-DE-00089,MER-STATOR-0031,WELD-MISALIGN,BIW-S02,Rework,251
NCR-DE-00090,MER-HEADLINER-0020,DIM-OUT-OF-TOLERANCE,BIW-S02,Rework,172
NCR-DE-00091,MER-SEATS-0016,SEAL-LEAK,BIW-S01,Use-As-Is,263
NCR-DE-00092,MER-CYLINDER-HEAD-0028,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,435
NCR-DE-00093,MER-CHARGE-PORT-0039,ASSY-MISSING-FASTENER,BIW-S02,Rework,126
NCR-DE-00094,MER-SEATS-0016,MATERIAL-CONTAMINATION,BIW-S04,Rework,167
NCR-DE-00095,MER-MOTOR-HOUSING-0033,WELD-UNDERCUT,BIW-S03,Rework,306
NCR-DE-00096,MER-GEAR-SET-0034,PAINT-RUNS,BIW-S02,Scrap,389
NCR-DE-00097,MER-VEH-EV-0001,PAINT-RUNS,BIW-S04,Rework,111
NCR-DE-00098,MER-HOOD-0005,ELEC-SHORT-CIRCUIT,BIW-S04,Rework,476
NCR-DE-00099,MER-CHARGING-CABLE-0040,SURFACE-SCRATCH,BIW-S02,Scrap,62
NCR-DE-00100,MER-INVERTER-0035,PAINT-ORANGE-PEEL,BIW-S02,Rework,358
NCR-DE-00101,MER-GEAR-SET-0034,ELEC-OPEN-CIRCUIT,BIW-S01,Rework,263
NCR-DE-00102,MER-FRONT-SUSPENSION-0010,ASSY-CROSS-THREAD,BIW-S04,Rework,494
NCR-DE-00103,MER-BATTERY-MANAGEME-0028,WELD-UNDERCUT,BIW-S01,Rework,69
NCR-DE-00104,MER-VEH-COMPACT-0001,DIM-GAP-FLUSH,BIW-S01,Use-As-Is,324
NCR-DE-00105,MER-CRANKSHAFT-0029,WELD-MISALIGN,BIW-S02,Rework,37
NCR-DE-00106,MER-FENDERS-0008,PAINT-BLISTER,BIW-S02,Rework,341
NCR-DE-00107,MER-DOOR-PANELS-0019,ASSY-CROSS-THREAD,BIW-S02,Scrap,125
NCR-DE-00108,MER-FENDERS-0008,PAINT-BLISTER,BIW-S03,Rework,330
NCR-DE-00109,MER-VEH-EV-0001,ASSY-CROSS-THREAD,BIW-S01,Rework,369
NCR-DE-00110,MER-CLUTCH-ASSEMBLY-0033,PAINT-ORANGE-PEEL,BIW-S01,Rework,347
NCR-DE-00111,MER-FUEL-TANK-0036,WELD-UNDERCUT,BIW-S02,Rework,48
NCR-DE-00112,MER-BATTERY-CELL-MOD-0027,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,270
NCR-DE-00113,MER-BRAKE-SYSTEM-0012,WELD-POROSITY,BIW-S03,Scrap,298
NCR-DE-00114,MER-FENDERS-0008,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,398
NCR-DE-00115,MER-CLUTCH-ASSEMBLY-0033,ASSY-WRONG-PART,BIW-S01,Scrap,389
NCR-DE-00116,MER-MUFFLER-0041,MATERIAL-CONTAMINATION,BIW-S03,Rework,24
NCR-DE-00117,MER-CYLINDER-BLOCK-0027,SEAL-LEAK,BIW-S03,Use-As-Is,211
NCR-DE-00118,MER-WIRING-HARNESS-0022,WELD-MISALIGN,BIW-S01,Rework,83
NCR-DE-00119,MER-BUMPER-REAR-0007,PAINT-ORANGE-PEEL,BIW-S02,Rework,131
NCR-DE-00120,MER-FUEL-TANK-0036,ELEC-OPEN-CIRCUIT,BIW-S02,Use-As-Is,292
NCR-DE-00121,MER-DOORS-0004,ASSY-CROSS-THREAD,BIW-S01,Rework,474
NCR-DE-00122,MER-GEARBOX-HOUSING-0032,ASSY-WRONG-PART,BIW-S02,Rework,110
NCR-DE-00123,MER-CLUTCH-ASSEMBLY-0033,ELEC-OPEN-CIRCUIT,BIW-S02,Scrap,253
NCR-DE-00124,MER-BODY-SHELL-0003,DIM-OUT-OF-TOLERANCE,BIW-S01,Rework,231
NCR-DE-00125,MER-CLUTCH-ASSEMBLY-0033,DIM-OUT-OF-TOLERANCE,BIW-S01,Scrap,237
NCR-DE-00126,MER-CHARGE-PORT-0039,ELEC-SHORT-CIRCUIT,BIW-S01,Rework,310
NCR-DE-00127,MER-SEATS-0016,SEAL-LEAK,BIW-S01,Rework,21
