CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,48.108,51.687,45.268,0.73
K1001,S01,52.937,51.687,45.268,0.73
K1001,S01,46.313,51.687,45.268,0.73
K1002,S01,11.068,12.893,9.852,1.15
K1002,S01,11.628,12.893,9.852,1.15
K1002,S01,10.933,12.893,9.852,1.15
K1002,S01,11.735,12.893,9.852,1.15
K1002,S01,11.03,12.893,9.852,1.15
K1003,S02,31.246,33.351,29.833,1.49
K1003,S02,31.417,33.351,29.833,1.49
K1004,S02,109.898,113.354,104.81,1.02
K1004,S02,110.603,113.354,104.81,1.02
K1004,S02,109.55,113.354,104.81,1.02
K1004,S02,112.07,113.354,104.81,1.02
K1004,S02,108.424,113.354,104.81,1.02
K1005,S03,107.217,111.776,105.23,1.18
K1005,S03,107.135,111.776,105.23,1.18
K1005,S03,110.246,111.776,105.23,1.18
K1005,S03,108.89,111.776,105.23,1.18
K1006,S03,123.273,128.224,118.676,2.1
K1006,S03,123.213,128.224,118.676,2.1
K1006,S03,124.258,128.224,118.676,2.1
K1006,S03,122.694,128.224,118.676,2.1
K1007,S04,158.146,158.634,157.343,1.89
K1007,S04,157.849,158.634,157.343,1.89
K1007,S04,157.97,158.634,157.343,1.89
K1008,S04,75.242,76.163,73.372,0.97
K1008,S04,75.555,76.163,73.372,0.97
K1008,S04,74.536,76.163,73.372,0.97
K1008,S04,74.828,76.163,73.372,0.97
K1008,S04,75.907,76.163,73.372,0.97
K1009,S04,94.397,95.783,93.277,1.65
K1009,S04,94.708,95.783,93.277,1.65
K1009,S04,94.634,95.783,93.277,1.65
K1010,S01,130.422,131.126,129.836,1.46
K1010,S01,130.55,131.126,129.836,1.46
K1011,S02,90.947,96.202,86.426,1.79
K1011,S02,91.756,96.202,86.426,1.79
K1011,S02,91.816,96.202,86.426,1.79
K1011,S02,90.591,96.202,86.426,1.79
K1012,S03,192.749,197.837,189.692,1.09
K1012,S03,194.854,197.837,189.692,1.09
K1012,S03,194.738,197.837,189.692,1.09
K1012,S03,195.241,197.837,189.692,1.09
K1012,S03,192.681,197.837,189.692,1.09
K1013,S03,143.015,143.728,142.363,1.93
K1013,S03,143.229,143.728,142.363,1.93
K1014,S03,147.932,150.188,144.69,1.83
K1014,S03,147.313,150.188,144.69,1.83
K1014,S03,147.299,150.188,144.69,1.83
K1014,S03,147.487,150.188,144.69,1.83
K1015,S04,199.959,200.95,198.994,1.47
K1015,S04,200.02,200.95,198.994,1.47
K1016,S04,167.366,167.877,166.088,1.82
K1016,S04,167.045,167.877,166.088,1.82
K1016,S04,166.873,167.877,166.088,1.82
K1017,S04,194.932,198.007,192.759,1.89
K1017,S04,195.118,198.007,192.759,1.89
K1017,S04,194.674,198.007,192.759,1.89
K1017,S04,194.758,198.007,192.759,1.89
K1017,S04,196.362,198.007,192.759,1.89
K1018,S01,134.706,140.115,130.419,1.16
K1018,S01,132.987,140.115,130.419,1.16
K1018,S01,136.074,140.115,130.419,1.16
K1018,S01,132.373,140.115,130.419,1.16
K1019,S01,174.689,174.885,173.868,1.32
K1019,S01,174.635,174.885,173.868,1.32
K1019,S01,174.602,174.885,173.868,1.32
K1020,S01,145.183,146.921,143.518,1.49
K1020,S01,145.314,146.921,143.518,1.49
K1021,S02,162.635,167.722,158.111,1.15
K1021,S02,163.268,167.722,158.111,1.15
K1021,S02,163.191,167.722,158.111,1.15
K1022,S03,107.359,108.64,106.598,1.34
K1022,S03,107.554,108.64,106.598,1.34
K1023,S01,87.551,88.206,86.666,2.02
K1023,S01,87.34,88.206,86.666,2.02
K1023,S01,87.179,88.206,86.666,2.02
K1023,S01,87.357,88.206,86.666,2.02
K1024,S01,160.977,162.481,160.491,1.39
K1024,S01,161.507,162.481,160.491,1.39
K1024,S01,161.193,162.481,160.491,1.39
K1024,S01,161.486,162.481,160.491,1.39
K1025,S01,184.526,185.836,183.264,1.47
K1025,S01,184.926,185.836,183.264,1.47
K1026,S02,115.617,117.903,112.915,1.28
K1026,S02,115.302,117.903,112.915,1.28
K1026,S02,114.657,117.903,112.915,1.28
K1027,S02,22.3,25.19,17.743,1.75
K1027,S02,22.152,25.19,17.743,1.75
K1028,S02,178.555,184.792,175.543,1.05
K1028,S02,183.308,184.792,175.543,1.05
K1029,S03,61.394,62.181,60.69,1.72
K1029,S03,61.39,62.181,60.69,1.72
K1030,S03,133.574,138.574,129.924,2.19
K1030,S03,133.751,138.574,129.924,2.19
K1031,S03,150.56,154.579,149.41,0.95
K1031,S03,152.396,154.579,149.41,0.95
K1031,S03,150.619,154.579,149.41,0.95
K1032,S04,22.447,23.616,15.248,0.75
K1032,S04,18.242,23.616,15.248,0.75
K1032,S04,17.736,23.616,15.248,0.75
K1033,S01,58.161,61.275,52.453,0.84
K1033,S01,56.86,61.275,52.453,0.84
K1033,S01,55.781,61.275,52.453,0.84
K1034,S01,185.35,187.374,184.478,1.01
K1034,S01,185.989,187.374,184.478,1.01
K1035,S02,15.892,17.406,13.602,1.8
K1035,S02,15.802,17.406,13.602,1.8
K1035,S02,15.397,17.406,13.602,1.8
K1036,S03,195.938,198.171,194.083,1.85
K1036,S03,196.242,198.171,194.083,1.85
K1036,S03,196.217,198.171,194.083,1.85
K1036,S03,196.052,198.171,194.083,1.85
K1037,S01,34.397,37.348,31.954,1.03
K1037,S01,33.821,37.348,31.954,1.03
K1038,S02,135.318,136.544,131.149,0.91
K1038,S02,133.354,136.544,131.149,0.91
K1038,S02,132.091,136.544,131.149,0.91
K1038,S02,133.232,136.544,131.149,0.91
K1039,S01,126.024,128.324,124.671,1.93
K1039,S01,126.562,128.324,124.671,1.93
K1040,S01,96.507,100.427,92.923,1.99
K1040,S01,97.698,100.427,92.923,1.99
K1040,S01,97.147,100.427,92.923,1.99
K1040,S01,97.843,100.427,92.923,1.99
K1040,S01,97.039,100.427,92.923,1.99
K1041,S02,132.172,137.749,128.223,1.26
K1041,S02,132.956,137.749,128.223,1.26
K1041,S02,133.421,137.749,128.223,1.26
K1041,S02,134.26,137.749,128.223,1.26
K1041,S02,134.066,137.749,128.223,1.26
K1042,S01,103.769,105.408,102.528,2.08
K1042,S01,104.178,105.408,102.528,2.08
K1042,S01,103.664,105.408,102.528,2.08
K1042,S01,104.055,105.408,102.528,2.08
K1042,S01,103.84,105.408,102.528,2.08
K1043,S01,11.307,17.339,9.632,1.03
K1043,S01,13.108,17.339,9.632,1.03
K1043,S01,13.347,17.339,9.632,1.03
K1043,S01,13.801,17.339,9.632,1.03
K1044,S02,158.417,162.614,155.486,1.11
K1044,S02,157.899,162.614,155.486,1.11
K1044,S02,158.875,162.614,155.486,1.11
K1044,S02,159.736,162.614,155.486,1.11
K1044,S02,156.827,162.614,155.486,1.11
K1045,S02,194.326,198.079,191.766,1.76
K1045,S02,195.872,198.079,191.766,1.76
K1045,S02,195.353,198.079,191.766,1.76
K1045,S02,194.431,198.079,191.766,1.76
K1045,S02,194.941,198.079,191.766,1.76
K1046,S02,126.31,127.387,125.571,1.02
K1046,S02,126.552,127.387,125.571,1.02
