MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-758999,F-02-1,4439,KANBAN-00001,BIW/Welding Plant DE,Paint Shop DE
MAT-747029,E-18-4,3024,KANBAN-00002,BIW/Welding Plant DE,Paint Shop DE
MAT-140122,D-25-3,4526,KANBAN-00003,BIW/Welding Plant DE,Paint Shop DE
MAT-368420,F-12-4,759,KANBAN-00004,BIW/Welding Plant DE,Paint Shop DE
MAT-374150,H-04-5,4452,KANBAN-00005,BIW/Welding Plant DE,Paint Shop DE
MAT-792521,H-19-4,1672,KANBAN-00006,BIW/Welding Plant DE,Paint Shop DE
MAT-452437,H-17-4,2908,KANBAN-00007,BIW/Welding Plant DE,Paint Shop DE
MAT-709421,B-23-2,3812,KANBAN-00008,BIW/Welding Plant DE,Paint Shop DE
MAT-210312,H-29-2,3785,KANBAN-00009,BIW/Welding Plant DE,Paint Shop DE
MAT-484831,B-25-4,3727,KANBAN-00010,BIW/Welding Plant DE,Paint Shop DE
MAT-133379,H-08-5,1434,KANBAN-00011,BIW/Welding Plant DE,Paint Shop DE
MAT-516473,B-01-3,3481,KANBAN-00012,BIW/Welding Plant DE,Paint Shop DE
MAT-167175,G-01-1,783,KANBAN-00013,BIW/Welding Plant DE,Paint Shop DE
MAT-763161,F-11-2,1803,KANBAN-00014,BIW/Welding Plant DE,Paint Shop DE
MAT-239760,E-13-4,3955,KANBAN-00015,BIW/Welding Plant DE,Paint Shop DE
MAT-538597,D-07-4,1918,KANBAN-00016,BIW/Welding Plant DE,Paint Shop DE
MAT-755332,D-25-5,1757,KANBAN-00017,BIW/Welding Plant DE,Paint Shop DE
MAT-267616,C-01-3,500,KANBAN-00018,BIW/Welding Plant DE,Paint Shop DE
MAT-207727,E-14-5,4345,KANBAN-00019,BIW/Welding Plant DE,Paint Shop DE
MAT-535301,F-13-1,182,KANBAN-00020,BIW/Welding Plant DE,Paint Shop DE
MAT-527993,F-16-4,3095,KANBAN-00021,BIW/Welding Plant DE,Paint Shop DE
MAT-371804,B-18-4,401,KANBAN-00022,BIW/Welding Plant DE,Paint Shop DE
MAT-326619,A-03-3,214,KANBAN-00023,BIW/Welding Plant DE,Paint Shop DE
MAT-157338,H-01-3,1877,KANBAN-00024,BIW/Welding Plant DE,Paint Shop DE
MAT-130214,G-12-2,508,KANBAN-00025,BIW/Welding Plant DE,Paint Shop DE
MAT-405229,A-02-3,953,KANBAN-00026,BIW/Welding Plant DE,Paint Shop DE
MAT-414463,E-19-1,3402,KANBAN-00027,BIW/Welding Plant DE,Paint Shop DE
MAT-816351,H-17-2,774,KANBAN-00028,BIW/Welding Plant DE,Paint Shop DE
MAT-723053,G-14-3,3223,KANBAN-00029,BIW/Welding Plant DE,Paint Shop DE
MAT-862814,A-04-4,385,KANBAN-00030,BIW/Welding Plant DE,Paint Shop DE
MAT-414386,A-27-1,3784,KANBAN-00031,BIW/Welding Plant DE,Paint Shop DE
MAT-358284,G-23-4,1413,KANBAN-00032,BIW/Welding Plant DE,Paint Shop DE
MAT-852651,B-18-3,4212,KANBAN-00033,BIW/Welding Plant DE,Paint Shop DE
MAT-888282,H-10-2,1984,KANBAN-00034,BIW/Welding Plant DE,Paint Shop DE
MAT-279214,G-09-3,3172,KANBAN-00035,BIW/Welding Plant DE,Paint Shop DE
MAT-142245,D-29-3,4154,KANBAN-00036,BIW/Welding Plant DE,Paint Shop DE
MAT-600502,A-27-2,787,KANBAN-00037,BIW/Welding Plant DE,Paint Shop DE
