WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2100001,ASSET-00001,Emergency,PNEUMATIC-LEAK,440,1104,000100000001
WO-2100002,ASSET-00001,Preventive,,0,,000100000001
WO-2100003,ASSET-00001,Preventive,,0,,000100000001
WO-2100004,ASSET-00001,Preventive,,0,,000100000001
WO-2100005,ASSET-00001,Corrective,CALIBRATION-DRIFT,205,1966,000100000001
WO-2100006,ASSET-00001,Corrective,SPINDLE-SEIZURE,226,1837,000100000001
WO-2100007,ASSET-00002,Preventive,,0,,000100000002
WO-2100008,ASSET-00002,Corrective,DIE-WEAR,36,861,000100000002
WO-2100009,ASSET-00002,Preventive,,0,,000100000002
WO-2100010,ASSET-00002,Preventive,,0,,000100000002
WO-2100011,ASSET-00003,Preventive,,0,,000100000003
WO-2100012,ASSET-00003,Preventive,,0,,000100000003
WO-2100013,ASSET-00003,Emergency,BELT-FAILURE,327,277,000100000003
WO-2100014,ASSET-00004,Corrective,SENSOR-FAULT,164,1793,000100000004
WO-2100015,ASSET-00004,Preventive,,0,,000100000004
WO-2100016,ASSET-00004,Preventive,,0,,000100000004
WO-2100017,ASSET-00004,Preventive,,0,,000100000004
WO-2100018,ASSET-00005,Corrective,BEARING-FAILURE,227,1757,000100000005
WO-2100019,ASSET-00005,Preventive,,0,,000100000005
WO-2100020,ASSET-00005,Preventive,,0,,000100000005
WO-2100021,ASSET-00005,Corrective,BEARING-FAILURE,86,1589,000100000005
WO-2100022,ASSET-00006,Corrective,PNEUMATIC-LEAK,98,558,000100000006
WO-2100023,ASSET-00006,Preventive,,0,,000100000006
WO-2100024,ASSET-00006,Preventive,,0,,000100000006
WO-2100025,ASSET-00006,Preventive,,0,,000100000006
WO-2100026,ASSET-00006,Corrective,CONTROLLER-FAULT,79,594,000100000006
WO-2100027,ASSET-00006,Corrective,CALIBRATION-DRIFT,177,1683,000100000006
WO-2100028,ASSET-00006,Preventive,,0,,000100000006
WO-2100029,ASSET-00006,Corrective,PNEUMATIC-LEAK,73,1326,000100000006
WO-2100030,ASSET-00007,Corrective,PNEUMATIC-LEAK,69,954,000100000007
WO-2100031,ASSET-00007,Preventive,,0,,000100000007
WO-2100032,ASSET-00007,Preventive,,0,,000100000007
WO-2100033,ASSET-00007,Corrective,PNEUMATIC-LEAK,128,1968,000100000007
WO-2100034,ASSET-00008,Corrective,PNEUMATIC-LEAK,85,1298,000100000008
WO-2100035,ASSET-00008,Preventive,,0,,000100000008
WO-2100036,ASSET-00008,Preventive,,0,,000100000008
WO-2100037,ASSET-00008,Preventive,,0,,000100000008
WO-2100038,ASSET-00008,Preventive,,0,,000100000008
WO-2100039,ASSET-00009,Corrective,DIE-WEAR,190,1217,000100000009
WO-2100040,ASSET-00009,Preventive,,0,,000100000009
WO-2100041,ASSET-00009,Preventive,,0,,000100000009
WO-2100042,ASSET-00010,Preventive,,0,,000100000010
WO-2100043,ASSET-00010,Preventive,,0,,000100000010
WO-2100044,ASSET-00010,Preventive,,0,,000100000010
WO-2100045,ASSET-00010,Preventive,,0,,000100000010
WO-2100046,ASSET-00010,Corrective,CONTROLLER-FAULT,33,1756,000100000010
WO-2100047,ASSET-00010,Corrective,BEARING-FAILURE,113,1435,000100000010
WO-2100048,ASSET-00011,Preventive,,0,,000100000011
WO-2100049,ASSET-00011,Corrective,CONTROLLER-FAULT,123,1031,000100000011
WO-2100050,ASSET-00011,Preventive,,0,,000100000011
WO-2100051,ASSET-00012,Corrective,SENSOR-FAULT,191,1673,000100000012
WO-2100052,ASSET-00012,Corrective,SPINDLE-SEIZURE,58,1333,000100000012
WO-2100053,ASSET-00012,Emergency,HYDRAULIC-LEAK,65,1466,000100000012
WO-2100054,ASSET-00012,Emergency,CONTROLLER-FAULT,101,389,000100000012
WO-2100055,ASSET-00012,Corrective,SPINDLE-SEIZURE,206,1424,000100000012
WO-2100056,ASSET-00012,Corrective,PNEUMATIC-LEAK,111,801,000100000012
WO-2100057,ASSET-00012,Preventive,,0,,000100000012
WO-2100058,ASSET-00012,Preventive,,0,,000100000012
WO-2100059,ASSET-00012,Emergency,CONTROLLER-FAULT,325,1834,000100000012
