Site_ID,Asset_Tag,Equipment_Description,CostCtr,Book_Value_USD,OEM_Name
P1090,000100000001,Robotic Welding Cell,,151217.24,FANUC Corporation
P1090,000100000002,Battery Pack Assembly Cell,,556570.59,KUKA AG
P1090,000100000003,Stamping Press,CC-4410,1035406.56,fanuc corporation
P1090,000100000004,Dimensional Measurement Arm,CC-4412,112697.19,KUKA AG
P1090,000100000005,Injection Molding Machine,CC-4411,499779.87,Carl Zeiss Industrial Metrology
P1090,000100000006,Ultrasonic Welding Station,CC-4412,52393.17,KUKA
P1090,000100000007,Torque Application Unit,CC-4409,28044.36,Bosch Rexroth
P1090,000100000008,Hydraulic Press,CC-4411,215787.11,FANUC Corporation
P1090,000100000009,Screw Fastening Station,CC-4412,24664.67,ABB Robotics
P1090,000100000010,Automated Guided Vehicle,CC-4412,55612.10,Mazak
P1090,000100000011,Wheel Alignment Rig,CC-4409,80834.80,KUKA AG
P1090,000100000012,Coil Winding Machine,CC-4409,93911.00,Dematic
P1090,000100000013,Battery Pack Assembly Cell,CC-4412,264096.93,KUKA AG
P1090,000100000014,Robotic Welding Cell,CC-4411,201417.33,KUKA AG
P1090,000100000015,Stamping Press,CC-4409,678868.99,Eisenmann SE
P1090,000100000016,Stamping Press,CC-4412,702456.76,Eisenmann Se
P1090,000100000017,Leak Test Station,CC-4411,31386.33,DMG MORI
P1090,000100000018,Adhesive Dispensing Unit,CC-4411,72392.52,ABB Robotics
P1090,000100000019,Automated Guided Vehicle,CC-4410,105850.85,KUKA AG
P1090,000100000020,,CC-4412,53243.97,FANUC
P1090,000100000021,Laser Welding Cell,CC-4410,280987.33,ABB Robotics
P1090,000100000022,Adhesive Dispensing Unit,CC-4409,68260.32,KUKA AG
P1090,000100000023,Stamping Press,CC-4410,542965.95,Lincoln Electric
P1090,000100000024,Coil Winding Machine,CC-4411,114889.81,KUKA AG
P1090,000100000025,Leak Test Station,CC-4409,22758.70,abb robotics
P1090,000100000026,Ultrasonic Welding Station,CC-4412,68099.98,FANUC Corporation
P1090,000100000027,Overhead Gantry Loader,CC-4412,159421.10,FANUC
P1090,000100000028,,CC-4412,229200.06,Ingersoll
P1090,000100000029,Coil Winding Machine,CC-4410,98901.81,Lincoln Electric
P1090,000100000030,Stamping Press,CC-4410,968846.08,Fives Group
P1090,000100000031,Final Functional Test Bench,CC-4410,162068.65,AIDA Engineering
P1090,000100000032,,CC-4412,41332.03,KUKA AG
P1090,000100000033,Wheel Alignment Rig,CC-4409,64973.16,KUKA AG
P1090,000100000034,Riveting Station,CC-4411,61990.00,Haas
P1090,000100000035,Assembly Torque Wrench Station,CC-4412,29772.07,Yaskawa
P1090,000100000036,Robotic Welding Cell,CC-4410,257621.04,KUKA AG
P1090,000100000037,Stamping Press,CC-4412,750194.92,KUKA AG
P1090,000100000038,Paint Application Robot,CC-4412,306455.66,Dematic
P1090,000100000039,Laser Welding Cell,CC-4409,382283.37,Siemens AG
P1090,000100000040,Automated Guided Vehicle,CC-4410,89371.02,Schuler
P1090,000100000041,Ultrasonic Welding Station,CC-4411,34074.67,Yaskawa Motoman
P1090,000100000042,Assembly Torque Wrench Station,CC-4412,11997.71,Dematic
P1090,000100000043,Wheel Alignment Rig,CC-4411,78821.86,Miller Electric
P1090,000100000044,Laser Welding Cell,CC-4412,300398.59,KUKA AG
P1090,000100000045,Automated Guided Vehicle,CC-4409,101012.02,KUKA AG
P1090,000100000046,Adhesive Dispensing Unit,CC-4410,68003.11,KUKA AG
P1090,000100000047,Overhead Gantry Loader,CC-4412,90434.12,Bosch Rexroth
P1090,000100000048,Vision Inspection Station,CC-4410,88851.85,Kuka Ag
P1090,000100000049,Robotic Welding Cell,CC-4409,121149.77,Durr AG
P1090,000100000050,Paint Application Robot,CC-4410,316888.63,KUKA
P1090,000100000051,CNC Machining Center,CC-4411,361964.46,Miller
P1090,000100000052,Vision Inspection Station,CC-4410,47844.64,Atlas Copco
P1090,000100000053,Injection Molding Machine,CC-4411,180380.97,Yaskawa Motoman
P1090,000100000054,Battery Pack Assembly Cell,CC-4412,357846.61,ABB Robotics
P1090,000100000055,Conveyor System,,70554.37,Schuler Group
P1090,000100000056,Adhesive Dispensing Unit,CC-4411,32012.18,Atlas Copco
P1090,000100000057,Adhesive Dispensing Unit,CC-4411,67793.80,ABB Robotics
P1090,000100000058,Induction Heating Unit,CC-4412,62719.16,ABB Robotics
P1090,000100000059,Ultrasonic Welding Station,CC-4409,47606.54,KUKA AG
P1090,000100000060,Coil Winding Machine,CC-4411,100771.91,Lincoln Electric
P1090,000100000061,Laser Welding Cell,CC-4410,196856.29,bosch rexroth
P1090,000100000062,Ultrasonic Welding Station,CC-4412,38474.43,ROCKWELL AUTOMATION
P1090,000100000063,Assembly Torque Wrench Station,CC-4412,28304.33,KUKA AG
P1090,000100000064,Robotic Welding Cell,CC-4409,236381.83,KUKA AG
P1090,000100000065,Screw Fastening Station,CC-4409,39435.65,KUKA
P1090,000100000066,Overhead Gantry Loader,CC-4409,107376.04,YASKAWA MOTOMAN
P1090,000100000067,,CC-4409,588088.19,Haas
P1090,000100000068,Overhead Gantry Loader,CC-4412,61275.35,abb robotics
P1090,000100000069,Dimensional Measurement Arm,CC-4409,102135.08,Miller Electric
P1090,000100000070,Ultrasonic Welding Station,CC-4412,42279.54,FANUC
P1090,000100000071,Adhesive Dispensing Unit,CC-4412,37509.62,Dematic
P1090,000100000072,Leak Test Station,CC-4412,27029.45,Schuler Group
P1090,000100000073,Assembly Torque Wrench Station,CC-4412,17424.51,ABB Robotics
P1090,000100000074,CNC Machining Center,CC-4412,283084.01,KUKA
P1090,000100000075,Torque Application Unit,,20983.17,KUKA
P1090,000100000076,Induction Heating Unit,CC-4412,67100.63,KUKA
P1090,000100000077,Stamping Press,CC-4411,600420.03,Atlas Copco
P1090,000100000078,Ultrasonic Welding Station,CC-4409,56304.16,AIDA Engineering
P1090,000100000079,Assembly Torque Wrench Station,CC-4410,28734.14,Mazak Corporation
P1090,000100000080,Stamping Press,CC-4410,492976.82,Lincoln Electric
P1090,000100000081,Injection Molding Machine,CC-4411,435394.50,Rockwell Automation
P1090,000100000082,Coil Winding Machine,CC-4409,219183.20,Ingersoll
P1090,000100000083,Conveyor System,CC-4410,52655.89,Miller Electric
P1090,000100000084,Overhead Gantry Loader,CC-4412,96890.58,KUKA AG
P1090,000100000085,CNC Machining Center,CC-4412,337977.04,KUKA
P1090,000100000086,Battery Pack Assembly Cell,CC-4410,494208.85,KUKA
P1090,000100000087,Overhead Gantry Loader,CC-4412,139612.75,ABB Robotics
P1090,000100000088,Coil Winding Machine,CC-4411,158781.72,KUKA AG
P1090,000100000089,Final Functional Test Bench,CC-4409,68482.07,Yaskawa
P1090,000100000090,Ultrasonic Welding Station,CC-4410,56624.16,ABB Robotics
P1090,000100000091,Injection Molding Machine,CC-4409,283903.31,Yaskawa Motoman
P1090,000100000092,Ultrasonic Welding Station,CC-4412,61483.66,FANUC Corporation
P1090,000100000093,Hydraulic Press,CC-4411,304315.68,DURR AG
