LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0001,Bead Application,WU1,S01,000100000001,,
L01,PR-0001,Bead Application,WU2,S01,000100000002,,
L01,PR-0003,Torque Fastening,WU3,S02,000100000003,,
L01,PR-0109,Weld - Wheel Hub,WU4,S03,000100000004,,
L01,PR-0045,Stamping - Center Console,WU5,S03,000100000005,,
L01,PR-0021,Foam Molding,WU6,S04,000100000006,,
L02,PR-0001,Bead Application,WU7,S01,000100000007,,
L02,PR-0132,Deflashing - Suspension Arm,WU8,S01,000100000008,,
L02,PR-0065,Baking - Seat Frame,WU9,S01,000100000009,,
L02,PR-0002,Spot Weld,WU10,S02,000100000010,,
L02,PR-0006,Cathodic Dip Coating,WU11,S03,000100000011,,
L02,PR-0007,Base Coat Spray,WU12,S03,000100000012,,
L02,PR-0018,Draw Forming,WU13,S04,,,
L02,PR-0005,Pressure Decay Test,WU14,S04,,,
L02,PR-0002,Spot Weld,WU15,S04,000100000013,,
L03,PR-0028,Gear Cutting Operation,WU16,S01,,,
L03,PR-0030,Block Machining,WU17,S02,000100000014,,
L03,PR-0008,Clear Coat Spray,WU18,S02,000100000015,,
L03,PR-0010,Harness Routing,WU19,S03,000100000017,,
L03,PR-0001,Bead Application,WU20,S03,000100000018,,
L03,PR-0008,Clear Coat Spray,WU21,S04,000100000019,,
L03,PR-0062,Trimming - Wheel Hub,WU22,S04,000100000020,,
L04,PR-0018,Draw Forming,WU23,S01,000100000021,,
L04,PR-0126,Assembly - Rear Axle,WU24,S02,000100000022,,
L04,PR-0038,Setting - Body Panel,WU25,S02,000100000023,,
L04,PR-0054,Verification - Chassis Frame,WU26,S02,000100000024,,
L05,PR-0008,Clear Coat Spray,WU27,S01,000100000025,,
L05,PR-0002,Spot Weld,WU28,S02,000100000026,,
L06,PR-0120,Packing - Rear Axle,WU29,S01,000100000027,,
L06,PR-0027,Crank Grinding,WU30,S02,000100000028,,
L06,PR-0118,Seal Application - Trunk Lid,WU31,S02,,,
L07,PR-0021,Foam Molding,WU32,S01,000100000029,,
L07,PR-0008,Clear Coat Spray,WU33,S02,000100000030,,
L07,PR-0001,Bead Application,WU34,S03,000100000031,,
L07,PR-0006,Cathodic Dip Coating,WU35,S04,000100000032,,
L07,PR-0019,Trim and Pierce Operation,WU36,S04,000100000033,,
L08,PR-0133,Packing - Bumper Fascia,WU37,S01,,,
L08,PR-0074,Setting - Radiator Core,WU38,S01,000100000034,,
L08,PR-0011,End-of-Line Test,WU39,S01,000100000035,,
L08,PR-0008,Clear Coat Spray,WU40,S02,000100000036,,
L08,PR-0001,Bead Application,WU41,S02,000100000037,,
L09,PR-0004,AOI Check,WU42,S01,000100000038,,
L09,PR-0180,Wheel Hub Drilling,WU43,S01,000100000039,,
L09,PR-0044,Cutting Operation - Wheel Hub,WU44,S02,000100000040,,
L09,PR-0012,Chassis Sealing,WU45,S02,000100000041,,
L09,PR-0089,Assembly - Wheel Hub,WU46,S03,000100000042,,
L09,PR-0001,Bead Application,WU47,S03,000100000043,,
L09,PR-0156,Wheel Hub Packaging,WU48,S03,000100000044,,
L09,PR-0034,Moulding - Chassis Frame,WU49,S04,000100000045,,
L09,PR-0001,Bead Application,WU50,S04,000100000046,,
L10,PR-0036,Molding - Hood Panel,WU51,S01,000100000047,,
L10,PR-0001,Bead Application,WU52,S01,000100000048,,
L10,PR-0024,Circuit Board Assembly,WU53,S01,000100000049,,
L10,PR-0003,Torque Fastening,WU54,S02,000100000050,,
L10,PR-0002,Spot Weld,WU55,S02,000100000051,,
L10,PR-0023,Trim Fitment,WU56,S03,000100000052,,
L10,PR-0007,Base Coat Spray,WU57,S03,000100000053,,
L10,PR-0001,Bead Application,WU58,S03,000100000054,,
L10,PR-0071,Alignment - Seat Frame,WU59,S04,000100000055,,
L11,PR-0003,Torque Fastening,WU60,S01,000100000056,,
L11,PR-0021,Foam Molding,WU61,S01,000100000057,,
L11,PR-0020,Wire Crimping,WU62,S01,000100000058,,
L11,PR-0001,Bead Application,WU63,S02,,,
L11,PR-0197,Stamping - Roof Rail,WU64,S02,,,
