QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-MX-00001,MER-CENTER-CONSOLE-0018,PAINT-ORANGE-PEEL,ELEC-S01,Rework,278,Open-D7
NCR-MX-00002,MER-HEADLINER-0020,PAINT-BLISTER,ELEC-S03,Scrap,187,Closed
NCR-MX-00003,MER-BUMPER-REAR-0007,WELD-UNDERCUT,ELEC-S04,Scrap,283,Open-D4
NCR-MX-00004,MER-BUMPER-FRONT-0006,PAINT-RUNS,ELEC-S02,Rework,131,Closed
NCR-MX-00005,MER-EXHAUST-PIPE-0042,WELD-MISALIGN,ELEC-S04,Rework,343,Closed
NCR-MX-00006,MER-CENTER-CONSOLE-0018,ASSY-WRONG-PART,ELEC-S01,Use-As-Is,432,Closed
NCR-MX-00007,MER-FUEL-TANK-0036,PAINT-RUNS,ELEC-S01,Rework,202,Open-D7
NCR-MX-00008,MER-HOOD-0005,ASSY-MISSING-FASTENER,ELEC-S02,Rework,386,Closed
NCR-MX-00009,MER-REAR-SUSPENSION-0011,SEAL-LEAK,ELEC-S01,Rework,446,Open-D6
NCR-MX-00010,MER-LOW-VOLTAGE-BATT-0023,DIM-GAP-FLUSH,ELEC-S03,Scrap,64,Closed
NCR-MX-00011,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,ELEC-S04,Rework,484,Closed
NCR-MX-00012,MER-SEATS-0016,SEAL-LEAK,ELEC-S01,Scrap,132,Closed
NCR-MX-00013,MER-MUFFLER-0041,PAINT-RUNS,ELEC-S04,Scrap,214,Open-D2
NCR-MX-00014,MER-CENTER-CONSOLE-0018,ASSY-CROSS-THREAD,ELEC-S01,Rework,485,Open-D1
NCR-MX-00015,MER-LIGHTING-SYSTEM-0024,ELEC-CONNECTOR-MISMATE,ELEC-S03,Rework,489,Closed
NCR-MX-00016,MER-FUEL-INJECTOR-0038,MATERIAL-CONTAMINATION,ELEC-S01,Use-As-Is,245,Closed
NCR-MX-00017,MER-WIRING-HARNESS-0022,ASSY-WRONG-PART,ELEC-S01,Scrap,237,Closed
NCR-MX-00018,MER-DOOR-PANELS-0019,ELEC-CONNECTOR-MISMATE,ELEC-S01,Scrap,283,Closed
NCR-MX-00019,MER-EXHAUST-PIPE-0042,DIM-GAP-FLUSH,ELEC-S02,Rework,255,Open-D3
NCR-MX-00020,MER-BATTERY-MANAGEME-0028,MATERIAL-CONTAMINATION,ELEC-S02,Rework,150,Closed
NCR-MX-00021,MER-MUFFLER-0041,SEAL-LEAK,ELEC-S02,Rework,368,Closed
