Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1001,S01,180.829,183.514,178.508,1.97
K1001,S01,181.313,183.514,178.508,1.97
K1001,S01,181.488,183.514,178.508,1.97
K1001,S01,180.336,183.514,178.508,1.97
K1001,S01,180.543,183.514,178.508,1.97
K1002,S01,57.871,61.145,54.964,1.66
K1002,S01,58.344,61.145,54.964,1.66
K1002,S01,58.669,61.145,54.964,1.66
K1002,S01,58.617,61.145,54.964,1.66
K1002,S01,57.839,61.145,54.964,1.66
K1003,S01,53.867,55.129,52.918,1.01
K1003,S01,53.78,55.129,52.918,1.01
K1003,S01,54.58,55.129,52.918,1.01
K1003,S01,53.973,55.129,52.918,1.01
K1003,S01,53.834,55.129,52.918,1.01
K1004,S02,64.156,66.83,59.744,1.22
K1004,S02,62.67,66.83,59.744,1.22
K1005,S02,137.905,140.805,135.662,1.55
K1005,S02,138.293,140.805,135.662,1.55
K1005,S02,137.937,140.805,135.662,1.55
K1006,S02,190.45,195.224,186.322,0.65
K1006,S02,189.362,195.224,186.322,0.65
K1006,S02,186.989,195.224,186.322,0.65
K1006,S02,191.414,195.224,186.322,0.65
K1007,S03,161.03,161.657,160.48,1.01
K1007,S03,160.701,161.657,160.48,1.01
K1008,S03,12.269,17.687,10.374,1.64
K1008,S03,13.868,17.687,10.374,1.64
K1008,S03,14.665,17.687,10.374,1.64
K1008,S03,14.889,17.687,10.374,1.64
K1008,S03,12.76,17.687,10.374,1.64
K1009,S04,117.118,118.215,115.851,1.06
K1009,S04,117.11,118.215,115.851,1.06
K1009,S04,116.328,118.215,115.851,1.06
K1009,S04,116.274,118.215,115.851,1.06
K1009,S04,117.396,118.215,115.851,1.06
K1010,S01,114.168,115.024,113.526,2.1
K1010,S01,114.047,115.024,113.526,2.1
K1010,S01,114.213,115.024,113.526,2.1
K1010,S01,114.318,115.024,113.526,2.1
K1010,S01,114.173,115.024,113.526,2.1
K1011,S02,113.302,114.787,108.303,1.01
K1011,S02,112.345,114.787,108.303,1.01
K1011,S02,111.394,114.787,108.303,1.01
K1011,S02,111.458,114.787,108.303,1.01
K1011,S02,112.433,114.787,108.303,1.01
K1012,S02,126.652,129.835,124.386,1.99
K1012,S02,126.314,129.835,124.386,1.99
K1012,S02,127.522,129.835,124.386,1.99
K1013,S02,160.54,163.104,157.536,1.66
K1013,S02,161.454,163.104,157.536,1.66
K1013,S02,160.019,163.104,157.536,1.66
K1014,S03,189.715,194.131,186.797,1.27
K1014,S03,188.507,194.131,186.797,1.27
K1014,S03,188.404,194.131,186.797,1.27
K1014,S03,190.651,194.131,186.797,1.27
K1015,S04,45.059,45.948,44.594,1.49
K1015,S04,45.292,45.948,44.594,1.49
K1016,S04,90.538,92.947,84.108,0.79
