PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-199371,G-18-3,3699,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-499015,C-12-4,3148,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-286571,H-12-5,2175,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-951529,F-29-1,707,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-222359,B-01-5,726,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-524790,F-21-4,3660,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-282470,F-17-5,3393,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-829701,E-13-1,282,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-701555,B-12-4,1820,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-114066,A-01-3,2921,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-336781,B-26-3,2440,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-798034,D-23-2,657,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-601741,H-27-4,1376,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-450812,G-12-3,3315,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-497353,D-23-1,2137,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-649844,G-21-2,344,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-377244,G-01-4,3648,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-678509,G-01-1,2640,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-256842,B-04-2,3058,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-288470,A-04-2,3924,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-379113,H-28-1,710,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-315083,C-19-2,1163,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-460626,H-29-3,1223,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-917981,G-08-3,4230,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-600037,C-03-2,2840,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-404695,D-24-4,1680,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-921339,D-07-4,4636,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-581318,F-22-4,4800,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-325802,D-20-5,3375,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-234384,H-16-3,4715,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-199693,C-27-3,517,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-146172,H-26-4,4317,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-325339,H-25-2,960,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-365633,H-11-4,3857,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-378651,H-15-2,4479,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-671471,B-28-4,3910,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-309031,B-03-4,3325,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-251902,B-18-1,2229,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-386169,A-10-2,3699,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-412177,A-02-1,1715,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-714387,C-07-4,4967,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-454438,C-20-3,860,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-910622,H-17-3,473,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-279677,F-21-5,2451,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-531381,E-13-2,1078,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-193050,E-24-5,3184,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-797687,E-11-5,297,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-217721,D-01-3,4297,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-628995,A-11-4,1471,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-111655,G-19-5,3895,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-706955,C-16-2,2916,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-427396,A-12-2,3329,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-709087,D-23-3,3838,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-395673,E-20-2,4276,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-669094,D-14-1,2416,Electronics & Wiring Harness Plant MX,Assembly Plant DE
MAT-788146,E-27-4,1276,Electronics & Wiring Harness Plant MX,Assembly Plant DE
