WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2010001,ASSET-00001,Corrective,PNEUMATIC-LEAK,97,1862,000010000001
WO-2010002,ASSET-00001,Corrective,CONTROLLER-FAULT,97,1492,000010000001
WO-2010003,ASSET-00001,Preventive,,0,,000010000001
WO-2010004,ASSET-00001,Preventive,,0,,000010000001
WO-2010005,ASSET-00001,Preventive,,0,,000010000001
WO-2010006,ASSET-00001,Emergency,BELT-FAILURE,524,1179,000010000001
WO-2010007,ASSET-00002,Emergency,CONTROLLER-FAULT,557,1313,000010000002
WO-2010008,ASSET-00002,Corrective,PNEUMATIC-LEAK,130,1233,000010000002
WO-2010009,ASSET-00002,Preventive,,0,,000010000002
WO-2010010,ASSET-00002,Preventive,,0,,000010000002
WO-2010011,ASSET-00002,Preventive,,0,,000010000002
WO-2010012,ASSET-00002,Preventive,,0,,000010000002
WO-2010013,ASSET-00003,Emergency,CALIBRATION-DRIFT,456,1708,000010000003
WO-2010014,ASSET-00003,Corrective,BELT-FAILURE,195,470,000010000003
WO-2010015,ASSET-00003,Emergency,HYDRAULIC-LEAK,570,691,000010000003
WO-2010016,ASSET-00003,Corrective,SENSOR-FAULT,32,380,000010000003
WO-2010017,ASSET-00003,Corrective,HYDRAULIC-LEAK,165,1626,000010000003
WO-2010018,ASSET-00003,Corrective,BELT-FAILURE,60,307,000010000003
WO-2010019,ASSET-00003,Preventive,,0,,000010000003
WO-2010020,ASSET-00004,Corrective,HYDRAULIC-LEAK,68,823,000010000004
WO-2010021,ASSET-00004,Corrective,MOTOR-BURNOUT,121,1013,000010000004
WO-2010022,ASSET-00005,Preventive,,0,,000010000005
WO-2010023,ASSET-00005,Emergency,MOTOR-BURNOUT,488,1029,000010000005
WO-2010024,ASSET-00005,Corrective,MOTOR-BURNOUT,135,1631,000010000005
WO-2010025,ASSET-00005,Corrective,BEARING-FAILURE,179,1412,000010000005
WO-2010026,ASSET-00005,Preventive,,0,,000010000005
WO-2010027,ASSET-00005,Corrective,DIE-WEAR,133,1311,000010000005
WO-2010028,ASSET-00006,Preventive,,0,,000010000006
WO-2010029,ASSET-00006,Preventive,,0,,000010000006
WO-2010030,ASSET-00006,Preventive,,0,,000010000006
WO-2010031,ASSET-00007,Corrective,MOTOR-BURNOUT,37,1031,000010000007
WO-2010032,ASSET-00007,Corrective,SENSOR-FAULT,148,1469,000010000007
WO-2010033,ASSET-00007,Emergency,CALIBRATION-DRIFT,461,901,000010000007
WO-2010034,ASSET-00007,Preventive,,0,,000010000007
WO-2010035,ASSET-00007,Preventive,,0,,000010000007
WO-2010036,ASSET-00007,Corrective,PNEUMATIC-LEAK,222,1125,000010000007
WO-2010037,ASSET-00008,Preventive,,0,,000010000008
WO-2010038,ASSET-00008,Preventive,,0,,000010000008
WO-2010039,ASSET-00008,Corrective,CALIBRATION-DRIFT,214,1964,000010000008
WO-2010040,ASSET-00008,Preventive,,0,,000010000008
WO-2010041,ASSET-00009,Preventive,,0,,000010000009
WO-2010042,ASSET-00009,Preventive,,0,,000010000009
WO-2010043,ASSET-00009,Corrective,SPINDLE-SEIZURE,37,906,000010000009
WO-2010044,ASSET-00009,Preventive,,0,,000010000009
WO-2010045,ASSET-00009,Preventive,,0,,000010000009
WO-2010046,ASSET-00009,Preventive,,0,,000010000009
WO-2010047,ASSET-00009,Preventive,,0,,000010000009
WO-2010048,ASSET-00010,Preventive,,0,,000010000010
WO-2010049,ASSET-00010,Emergency,DIE-WEAR,187,820,000010000010
WO-2010050,ASSET-00010,Preventive,,0,,000010000010
WO-2010051,ASSET-00010,Corrective,CALIBRATION-DRIFT,180,1597,000010000010
WO-2010052,ASSET-00010,Corrective,HYDRAULIC-LEAK,132,511,000010000010
WO-2010053,ASSET-00010,Preventive,,0,,000010000010
WO-2010054,ASSET-00011,Preventive,,0,,000010000011
WO-2010055,ASSET-00011,Corrective,HYDRAULIC-LEAK,159,572,000010000011
WO-2010056,ASSET-00011,Emergency,PNEUMATIC-LEAK,252,930,000010000011
WO-2010057,ASSET-00011,Preventive,,0,,000010000011
WO-2010058,ASSET-00011,Preventive,,0,,000010000011
WO-2010059,ASSET-00012,Emergency,DIE-WEAR,109,1003,000010000012
WO-2010060,ASSET-00012,Preventive,,0,,000010000012
WO-2010061,ASSET-00012,Preventive,,0,,000010000012
WO-2010062,ASSET-00013,Emergency,CONTROLLER-FAULT,313,1608,000010000013
WO-2010063,ASSET-00013,Corrective,SPINDLE-SEIZURE,225,1182,000010000013
WO-2010064,ASSET-00013,Corrective,PNEUMATIC-LEAK,153,1862,000010000013
WO-2010065,ASSET-00013,Preventive,,0,,000010000013
WO-2010066,ASSET-00013,Preventive,,0,,000010000013
WO-2010067,ASSET-00013,Corrective,CONTROLLER-FAULT,161,1281,000010000013
WO-2010068,ASSET-00013,Corrective,MOTOR-BURNOUT,235,410,000010000013
WO-2010069,ASSET-00013,Preventive,,0,,000010000013
WO-2010070,ASSET-00013,Corrective,HYDRAULIC-LEAK,113,788,000010000013
WO-2010071,ASSET-00014,Corrective,BELT-FAILURE,153,1370,000010000014
WO-2010072,ASSET-00014,Preventive,,0,,000010000014
WO-2010073,ASSET-00014,Preventive,,0,,000010000014
WO-2010074,ASSET-00014,Preventive,,0,,000010000014
WO-2010075,ASSET-00015,Preventive,,0,,000010000015
WO-2010076,ASSET-00015,Preventive,,0,,000010000015
WO-2010077,ASSET-00015,Preventive,,0,,000010000015
WO-2010078,ASSET-00015,Preventive,,0,,000010000015
WO-2010079,ASSET-00016,Preventive,,0,,000010000016
WO-2010080,ASSET-00016,Corrective,DIE-WEAR,232,1017,000010000016
WO-2010081,ASSET-00016,Emergency,BELT-FAILURE,580,1377,000010000016
WO-2010082,ASSET-00016,Preventive,,0,,000010000016
WO-2010083,ASSET-00016,Preventive,,0,,000010000016
WO-2010084,ASSET-00016,Preventive,,0,,000010000016
WO-2010085,ASSET-00017,Emergency,SENSOR-FAULT,115,1009,000010000018
WO-2010086,ASSET-00017,Corrective,BELT-FAILURE,217,510,000010000018
WO-2010087,ASSET-00017,Preventive,,0,,000010000018
WO-2010088,ASSET-00017,Emergency,MOTOR-BURNOUT,196,1123,000010000018
WO-2010089,ASSET-00017,Preventive,,0,,000010000018
WO-2010090,ASSET-00017,Preventive,,0,,000010000018
WO-2010091,ASSET-00017,Corrective,MOTOR-BURNOUT,222,1454,000010000018
WO-2010092,ASSET-00018,Corrective,CONTROLLER-FAULT,158,1399,000010000019
WO-2010093,ASSET-00018,Preventive,,0,,000010000019
WO-2010094,ASSET-00018,Preventive,,0,,000010000019
WO-2010095,ASSET-00018,Emergency,BELT-FAILURE,160,278,000010000019
WO-2010096,ASSET-00019,Corrective,PNEUMATIC-LEAK,165,763,000010000020
WO-2010097,ASSET-00019,Corrective,BEARING-FAILURE,92,792,000010000020
WO-2010098,ASSET-00019,Corrective,PNEUMATIC-LEAK,40,414,000010000020
WO-2010099,ASSET-00019,Preventive,,0,,000010000020
WO-2010100,ASSET-00019,Emergency,CONTROLLER-FAULT,106,1897,000010000020
WO-2010101,ASSET-00019,Preventive,,0,,000010000020
WO-2010102,ASSET-00019,Corrective,SPINDLE-SEIZURE,134,1832,000010000020
WO-2010103,ASSET-00020,Emergency,CALIBRATION-DRIFT,66,257,000010000021
WO-2010104,ASSET-00020,Preventive,,0,,000010000021
WO-2010105,ASSET-00020,Preventive,,0,,000010000021
WO-2010106,ASSET-00020,Preventive,,0,,000010000021
WO-2010107,ASSET-00020,Preventive,,0,,000010000021
WO-2010108,ASSET-00020,Preventive,,0,,000010000021
WO-2010109,ASSET-00021,Corrective,HYDRAULIC-LEAK,228,1622,000010000022
WO-2010110,ASSET-00021,Corrective,CONTROLLER-FAULT,174,1457,000010000022
WO-2010111,ASSET-00021,Corrective,CALIBRATION-DRIFT,205,1224,000010000022
WO-2010112,ASSET-00021,Preventive,,0,,000010000022
WO-2010113,ASSET-00021,Preventive,,0,,000010000022
WO-2010114,ASSET-00021,Corrective,SENSOR-FAULT,220,1570,000010000022
WO-2010115,ASSET-00021,Preventive,,0,,000010000022
WO-2010116,ASSET-00021,Preventive,,0,,000010000022
WO-2010117,ASSET-00022,Corrective,BEARING-FAILURE,231,1106,000010000023
WO-2010118,ASSET-00022,Preventive,,0,,000010000023
WO-2010119,ASSET-00022,Emergency,CALIBRATION-DRIFT,214,1706,000010000023
WO-2010120,ASSET-00022,Preventive,,0,,000010000023
WO-2010121,ASSET-00022,Preventive,,0,,000010000023
WO-2010122,ASSET-00023,Preventive,,0,,000010000024
WO-2010123,ASSET-00023,Preventive,,0,,000010000024
