PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1000,000010000001,Injection Molding Machine,480915.51,ABB Robotics
P1000,000010000002,Adhesive Dispensing Unit,30299.06,KUKA
P1000,000010000003,Vision Inspection Station,88048.50,Mazak
P1000,000010000004,Laser Welding Cell,373804.07,aida engineering
P1000,000010000005,Robotic Welding Cell,233443.56,Lincoln
P1000,000010000006,Hydraulic Press,133242.04,FANUC
P1000,000010000007,Paint Application Robot,336443.79,KUKA AG
P1000,000010000008,Riveting Station,29719.81,KUKA AG
P1000,000010000009,Torque Application Unit,31178.82,FANUC Corporation
P1000,000010000010,Riveting Station,64699.69,Bosch Rexroth
P1000,000010000011,Hydraulic Press,253160.47,KUKA AG
P1000,000010000012,Leak Test Station,25201.82,KUKA AG
P1000,000010000013,Injection Molding Machine,291374.83,Siemens AG
P1000,000010000014,Overhead Gantry Loader,122289.83,Schuler
P1000,000010000015,Conveyor System,97674.03,Eisenmann
P1000,000010000016,Ultrasonic Welding Station,40295.86,Yaskawa Motoman
P1000,000010000017,Ultrasonic Welding Station,72881.03,Yaskawa Motoman
P1000,000010000018,Robotic Welding Cell,199168.47,Atlas Copco
P1000,000010000019,Injection Molding Machine,289476.98,Mazak Corporation
P1000,000010000020,Injection Molding Machine,456520.29,DMG MORI
P1000,000010000021,Overhead Gantry Loader,127350.14,Miller
P1000,000010000022,Paint Application Robot,177436.04,Miller
P1000,000010000023,Induction Heating Unit,89853.08,Fanuc Corporation
P1000,000010000024,Wheel Alignment Rig,70114.09,ABB Robotics
P1000,000010000025,CNC Machining Center,304641.36,Miller Electric
P1000,000010000026,Assembly Torque Wrench Station,25776.17,KUKA
P1000,000010000027,Torque Application Unit,29800.42,Miller
P1000,000010000028,Automated Guided Vehicle,66760.00,Atlas Copco
P1000,000010000029,Ultrasonic Welding Station,72818.13,Atlas Copco
P1000,000010000030,Coil Winding Machine,142531.85,Mazak Corporation
P1000,000010000031,Torque Application Unit,41396.22,KUKA
P1000,000010000032,Laser Welding Cell,395404.66,Fives Group
P1000,000010000033,Automated Guided Vehicle,44818.09,KUKA AG
P1000,000010000034,Leak Test Station,51637.70,ABB
P1000,000010000035,Induction Heating Unit,39443.20,FANUC Corporation
P1000,000010000036,Injection Molding Machine,478642.64,ABB
P1000,000010000037,Induction Heating Unit,69828.19,Atlas Copco
P1000,000010000038,CNC Machining Center,426780.60,Atlas Copco
P1000,000010000039,Vision Inspection Station,49060.76,Rockwell Automation
P1000,000010000040,Adhesive Dispensing Unit,83632.33,KUKA AG
P1000,000010000041,Leak Test Station,55356.75,Yaskawa Motoman
P1000,000010000042,Paint Application Robot,246840.75,Kuka Ag
P1000,000010000043,Laser Welding Cell,275285.43,KUKA AG
P1000,000010000044,,43658.23,KUKA AG
P1000,000010000045,Laser Welding Cell,313424.96,FANUC
P1000,000010000046,Battery Pack Assembly Cell,577602.51,ABB Robotics
P1000,000010000047,Leak Test Station,51330.85,Mazak Corporation
P1000,000010000048,Induction Heating Unit,37387.95,Haas Automation
P1000,000010000049,Coil Winding Machine,147103.83,KUKA AG
P1000,000010000050,Adhesive Dispensing Unit,49830.10,FANUC Corporation
P1000,000010000051,CNC Machining Center,289001.72,dematic
P1000,000010000052,Conveyor System,144231.03,Yaskawa
P1000,000010000053,Hydraulic Press,152790.16,KUKA
P1000,000010000054,Dimensional Measurement Arm,137264.65,ABB ROBOTICS
P1000,000010000055,Torque Application Unit,22281.82,KUKA AG
P1000,000010000056,Adhesive Dispensing Unit,88414.44,Siemens AG
P1000,000010000057,Vision Inspection Station,30046.50,dmg mori
P1000,000010000058,Ultrasonic Welding Station,52694.95,ABB Robotics
P1000,000010000059,Vision Inspection Station,69262.82,Mazak Corporation
P1000,000010000060,Induction Heating Unit,57918.35,Fives Group
P1000,000010000061,Wheel Alignment Rig,37453.72,FANUC
P1000,000010000062,Ultrasonic Welding Station,34374.72,kuka ag
P1000,000010000063,Paint Application Robot,187414.34,Fives
P1000,000010000064,Torque Application Unit,19174.31,FANUC Corporation
P1000,000010000065,CNC Machining Center,431719.12,ABB
P1000,000010000066,Leak Test Station,31238.46,Fives Group
P1000,000010000067,Conveyor System,61305.13,KUKA
P1000,000010000068,Final Functional Test Bench,111146.48,Siemens AG
P1000,000010000069,CNC Machining Center,401289.06,FANUC
P1000,000010000070,Screw Fastening Station,22820.20,kuka ag
